[Test Data]
Format 2
Experiment Type:,dry
Test Date:,25/10/2018,15:26:38
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\HighCurv_RadOff_wind0_3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0117166,15:27:08,37.99,37.96,37.94,37.97,37.95,37.96,37.96,37.99,37.96,37.98,37.95,37.93,37.97,37.59,37.99,37.97,37.99,37.99,38.02,36.27,37.98,38.00,36.27,37.98,37.97,38.03,38.01,38.00,38.00,38.00,37.98,38.00,37.98,38.01,387.1,87.0,265.5,267.3,275.5,283.9,266.9,300.2,270.6,327.7,436.1,479.2,218.3,259.3,276.9,135.7,228.7,153.3,87.0,188.1,248.5,71.3,165.5,251.6,256.3,244.8,254.2,256.1,332.8,292.2,365.6,299.3,364.6,374.3,1.76,1.47,2.05,47.9,0.0,0.00,0.00,0.00,0.00,,
60.0264333,15:27:38,37.98,37.95,37.96,37.97,37.96,37.96,37.96,37.99,37.97,37.99,37.96,37.93,37.98,37.61,37.98,37.97,38.00,37.98,37.99,36.36,37.98,38.00,36.36,38.00,38.01,37.97,37.99,37.99,37.91,38.00,37.96,37.98,37.97,37.97,385.9,90.4,266.0,268.1,274.5,282.7,263.9,301.6,269.5,328.0,439.2,480.4,217.6,267.8,281.0,137.0,227.5,153.7,88.5,173.2,252.4,70.3,145.6,248.9,253.7,249.8,253.2,257.0,344.3,288.8,369.4,299.2,368.6,375.6,1.72,1.44,1.99,47.8,0.0,0.00,0.00,0.00,0.00,,
90.04015,15:28:08,37.96,37.95,37.96,37.97,37.97,37.96,37.96,38.00,37.98,38.02,37.98,37.94,37.97,37.64,37.99,37.97,38.00,37.98,38.00,36.38,37.97,38.01,36.38,38.01,38.01,38.00,37.99,37.99,38.03,37.98,37.98,38.01,37.95,37.99,392.0,92.0,266.5,267.7,275.0,285.0,266.1,299.0,270.3,323.8,435.3,480.7,219.1,272.1,281.5,139.1,228.0,154.0,84.8,158.2,251.3,73.0,133.4,249.3,251.2,250.0,253.7,257.9,334.4,289.3,366.8,300.0,367.6,374.2,1.67,1.40,1.93,47.9,0.0,0.00,0.00,0.00,0.00,,
120.0548667,15:28:38,37.94,37.94,37.97,37.97,37.98,37.96,37.97,38.00,37.98,38.01,37.96,37.96,37.97,37.69,37.98,37.99,38.01,37.97,38.03,36.35,37.98,38.01,36.35,38.00,38.00,37.97,37.97,37.98,38.04,38.01,37.98,37.99,37.96,37.98,396.4,93.7,266.3,268.5,273.1,286.6,264.2,298.6,270.4,323.9,439.0,476.3,221.9,273.3,281.5,138.7,225.8,154.3,86.3,153.7,248.6,71.0,127.6,248.6,253.7,243.9,257.3,257.9,334.1,298.0,366.5,300.4,366.4,373.4,1.62,1.37,1.86,48.0,0.0,0.00,0.00,0.00,0.00,,
150.0695835,15:29:08,37.95,37.94,37.97,37.97,37.99,37.95,37.98,38.00,37.98,38.01,37.96,37.96,37.98,37.72,37.99,37.98,38.02,37.96,38.00,36.33,37.99,38.01,36.32,37.99,37.96,37.97,37.97,38.00,37.97,37.98,38.01,37.98,37.98,37.97,397.8,95.0,268.3,268.1,272.3,288.5,263.4,299.3,270.9,325.0,441.9,480.2,220.6,273.0,280.9,138.5,223.8,156.0,85.0,147.6,250.7,70.7,122.3,247.5,262.8,243.7,257.2,256.4,333.2,291.3,363.4,303.5,363.5,377.6,1.57,1.34,1.80,48.1,0.0,0.00,0.00,0.00,0.00,,
180.0843002,15:29:38,37.94,37.94,37.97,37.96,37.98,37.96,37.98,37.99,37.99,37.99,37.97,37.97,37.97,37.76,37.98,37.99,38.00,37.97,37.99,36.30,38.02,38.00,36.30,38.00,37.99,38.00,37.99,38.00,37.98,38.03,38.00,38.01,37.93,37.96,398.7,96.7,268.6,269.5,273.7,289.9,263.9,302.4,271.1,326.1,441.2,477.1,221.1,275.4,282.6,139.2,225.8,156.9,87.2,145.7,251.5,73.4,121.6,248.9,259.8,245.1,256.2,257.3,330.9,292.6,364.2,300.6,364.4,378.4,1.53,1.31,1.74,48.2,0.0,0.00,0.00,0.00,0.00,,
210.099017,15:30:08,37.95,37.94,37.98,37.98,37.99,37.97,37.98,38.00,37.99,38.00,37.98,37.98,37.97,37.79,37.98,38.00,38.01,37.99,38.02,36.27,37.98,38.00,36.26,38.01,37.95,38.02,38.00,37.98,37.98,37.98,37.99,37.99,38.00,37.99,400.9,97.4,267.8,269.4,275.2,289.1,264.3,300.3,269.9,324.7,439.2,476.3,221.5,275.2,283.6,137.7,227.1,156.8,81.8,142.5,253.9,70.2,117.4,246.2,257.6,241.4,257.3,258.6,341.8,295.0,363.4,300.8,362.3,376.2,1.49,1.27,1.69,48.3,0.0,0.00,0.00,0.00,0.00,,
240.1137337,15:30:38,37.96,37.94,37.97,37.98,37.98,37.97,37.97,38.00,37.99,38.00,37.99,38.00,37.98,37.82,37.98,37.98,38.00,37.97,37.97,36.22,37.97,38.01,36.22,38.00,38.00,37.98,38.00,37.99,38.05,38.03,38.01,38.00,37.95,38.00,398.6,98.3,270.0,270.0,274.1,287.4,266.8,300.9,271.8,325.0,438.9,474.7,221.0,273.0,283.7,140.5,225.9,156.9,87.0,143.6,251.6,69.6,119.2,248.5,255.6,248.1,255.8,259.3,331.9,292.9,362.5,299.4,366.7,373.7,1.45,1.24,1.65,48.5,0.0,0.00,0.00,0.00,0.00,,
270.1284505,15:31:08,37.98,37.95,37.98,37.98,38.00,37.98,37.98,38.01,37.99,37.98,38.00,37.98,37.98,37.86,37.98,37.99,38.00,37.98,37.98,36.19,38.01,38.01,36.19,38.01,38.00,38.01,37.99,37.99,38.02,37.97,38.00,38.01,38.01,38.00,397.3,99.2,269.4,271.4,273.7,288.3,266.4,298.5,273.7,327.4,436.4,478.4,221.6,274.0,284.9,139.8,227.4,157.6,86.4,143.6,254.3,69.0,120.1,247.7,259.8,245.1,256.0,258.3,329.4,299.3,362.8,298.4,363.4,374.9,1.42,1.21,1.62,48.6,0.0,0.00,0.00,0.00,0.00,,
