[Test Data]
Format 2
Experiment Type:,dry
Test Date:,24/10/2018,16:04:10
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\HighCurv_RadOff_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0160583,16:04:40,33.90,33.98,33.98,33.97,33.96,33.98,33.96,33.95,33.98,33.97,33.93,33.93,33.98,33.98,33.94,33.98,33.98,33.97,33.99,26.25,34.02,33.99,26.19,33.98,33.97,33.94,34.00,33.99,33.95,33.99,33.95,34.00,33.97,33.98,238.2,71.3,166.9,179.9,165.1,175.9,176.2,180.5,164.1,200.1,270.5,282.4,136.9,179.9,171.2,87.2,136.5,126.5,72.2,0.0,186.1,59.5,0.0,180.0,164.8,151.9,162.8,156.0,211.9,185.9,206.5,185.4,223.0,216.4,9.65,9.62,9.67,38.9,0.0,0.00,0.00,0.00,0.00,,
60.030511,16:05:10,33.49,33.89,33.78,33.81,33.74,33.84,33.79,33.73,33.77,33.73,33.50,33.22,33.79,33.80,33.61,33.85,33.85,33.89,33.86,26.22,33.95,33.91,26.19,33.93,33.83,33.79,33.87,33.78,33.66,33.95,33.60,33.93,33.78,33.77,308.2,83.2,194.6,206.0,200.7,197.3,203.0,214.9,196.4,233.5,359.2,402.0,167.6,202.0,218.1,107.2,159.2,136.3,84.2,0.0,193.1,72.7,0.0,185.9,181.3,179.7,176.0,188.1,269.8,190.9,262.9,189.7,259.1,246.1,9.60,9.59,9.60,39.0,0.0,0.00,0.00,0.00,0.00,,
90.0449638,16:05:40,33.46,33.86,33.69,33.79,33.68,33.79,33.77,33.69,33.69,33.63,33.45,32.88,33.73,33.72,33.52,33.80,33.80,33.86,33.85,26.23,33.82,33.88,26.19,33.87,33.78,33.69,33.82,33.67,33.59,33.92,33.55,33.91,33.75,33.70,328.2,91.1,215.1,215.5,215.7,211.1,211.3,230.4,219.4,257.3,388.2,512.0,183.1,220.7,245.7,117.1,173.3,142.6,91.0,0.0,209.3,80.1,0.0,195.4,190.4,196.4,188.3,210.5,287.4,196.6,282.0,198.7,268.2,261.7,9.56,9.57,9.55,39.3,0.0,0.00,0.00,0.00,0.00,,
120.0594165,16:06:10,33.45,33.86,33.68,33.75,33.68,33.78,33.76,33.65,33.68,33.61,33.46,32.90,33.71,33.70,33.51,33.80,33.80,33.84,33.83,26.19,33.83,33.88,26.19,33.85,33.79,33.65,33.78,33.67,33.55,33.88,33.53,33.87,33.70,33.67,342.8,92.8,222.7,224.3,224.7,217.0,217.6,241.9,232.3,271.5,401.7,545.1,192.7,232.0,255.3,122.3,179.4,147.3,96.3,0.0,214.4,84.5,0.0,203.1,198.1,211.9,196.5,221.1,301.2,200.3,295.9,206.7,280.7,268.9,9.52,9.54,9.50,39.2,0.0,0.00,0.00,0.00,0.00,,
150.0738692,16:06:40,33.47,33.85,33.69,33.76,33.70,33.77,33.76,33.66,33.70,33.61,33.51,33.09,33.72,33.71,33.54,33.80,33.79,33.82,33.85,26.20,33.79,33.88,26.18,33.83,33.77,33.61,33.79,33.65,33.58,33.89,33.56,33.87,33.71,33.68,350.8,97.6,230.1,229.7,232.3,223.5,223.3,247.4,232.0,277.6,409.5,538.1,199.1,234.7,262.1,127.6,184.3,151.3,104.4,0.0,220.9,84.6,0.0,208.2,205.4,226.4,202.5,231.2,311.0,209.2,302.3,205.4,281.9,278.7,9.51,9.55,9.48,39.3,0.0,0.00,0.00,0.00,0.00,,
180.0883219,16:07:10,33.52,33.86,33.70,33.78,33.71,33.78,33.78,33.67,33.73,33.61,33.57,33.24,33.73,33.74,33.57,33.82,33.81,33.81,33.85,26.18,33.77,33.89,26.19,33.83,33.77,33.62,33.78,33.67,33.62,33.99,33.59,33.90,33.70,33.70,355.1,99.3,233.7,232.9,234.2,225.1,225.6,251.9,238.4,285.2,408.6,531.7,200.2,238.0,268.5,129.1,188.2,156.0,111.5,0.0,230.4,86.5,0.0,211.6,211.8,229.6,209.4,239.1,313.1,198.8,307.0,205.7,291.5,281.0,9.51,9.56,9.47,39.4,0.0,0.00,0.00,0.00,0.00,,
210.1027746,16:07:40,33.58,33.88,33.72,33.79,33.73,33.80,33.80,33.70,33.75,33.64,33.63,33.34,33.76,33.78,33.60,33.84,33.82,33.82,33.86,26.15,33.75,33.91,26.18,33.83,33.82,33.66,33.78,33.70,33.65,33.89,33.63,33.90,33.73,33.72,357.2,99.9,237.6,234.6,241.2,225.2,228.0,256.1,236.9,289.0,409.9,535.1,205.0,237.2,273.1,129.2,191.3,159.1,102.9,0.0,235.9,89.9,0.0,213.6,210.0,231.6,213.7,240.4,316.0,205.9,311.0,205.2,283.9,284.4,9.53,9.58,9.48,39.4,0.0,0.00,0.00,0.00,0.00,,
240.1172273,16:08:10,33.62,33.89,33.75,33.82,33.77,33.82,33.84,33.74,33.77,33.67,33.69,33.46,33.80,33.79,33.68,33.85,33.83,33.81,33.84,26.11,33.83,33.91,26.18,33.83,33.81,33.73,33.81,33.74,33.66,33.92,33.70,33.90,33.81,33.75,361.2,99.0,237.5,236.8,239.9,227.1,226.9,255.6,240.9,293.9,408.1,528.0,201.9,242.1,271.0,131.7,192.7,161.7,110.9,0.0,237.7,90.0,0.0,216.6,215.0,229.0,214.0,240.8,325.7,210.5,311.5,211.6,291.8,284.5,9.53,9.60,9.48,39.5,0.0,0.00,0.00,0.00,0.00,,
270.1316801,16:08:40,33.67,33.91,33.79,33.83,33.79,33.83,33.85,33.77,33.79,33.70,33.73,33.55,33.84,33.82,33.72,33.88,33.85,33.83,33.92,26.14,33.79,33.92,26.19,33.85,33.83,33.74,33.83,33.76,33.75,33.93,33.71,33.93,33.79,33.77,363.6,99.7,238.4,237.0,238.9,230.0,228.2,256.7,243.9,296.6,409.4,523.8,202.8,240.2,273.1,131.6,193.9,164.8,114.9,0.0,240.1,90.0,0.0,217.9,217.4,236.1,214.3,243.1,319.0,205.7,315.9,209.3,292.5,288.3,9.55,9.61,9.48,39.4,0.0,0.00,0.00,0.00,0.00,,
