[Test Data]
Format 2
Experiment Type:,dry
Test Date:,24/10/2018,16:46:21
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\HighCurv_RadOff_wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0144527,16:46:51,32.87,33.58,33.37,33.54,33.39,33.44,33.36,33.35,33.52,33.30,32.96,32.42,33.46,33.29,33.32,33.59,33.51,33.48,33.52,25.19,33.61,33.69,25.94,33.58,33.39,33.32,33.44,33.34,33.49,33.38,33.48,33.45,33.51,33.52,614.4,166.4,351.4,336.5,362.5,323.6,350.1,364.3,330.4,415.1,675.8,872.2,301.5,370.3,400.4,190.6,302.2,218.5,193.0,0.0,299.7,148.3,0.0,282.7,327.0,348.2,321.9,359.3,414.7,315.1,417.5,310.1,393.5,374.4,9.42,9.56,9.30,39.5,0.0,0.00,0.00,0.00,0.00,,
60.0289054,16:47:21,32.92,33.58,33.40,33.55,33.41,33.46,33.38,33.37,33.54,33.31,33.05,32.61,33.48,33.35,33.36,33.60,33.52,33.46,33.54,24.97,33.61,33.69,25.82,33.58,33.44,33.34,33.45,33.37,33.47,33.49,33.52,33.49,33.50,33.54,632.1,175.4,361.8,343.3,371.6,334.3,360.4,373.0,335.8,427.7,687.3,886.4,307.8,377.3,407.1,197.3,309.8,229.1,203.5,0.0,303.8,155.0,0.0,290.4,333.2,356.4,332.0,369.5,428.8,322.5,424.5,315.3,405.1,379.0,9.46,9.60,9.33,39.5,0.0,0.00,0.00,0.00,0.00,,
90.0433581,16:47:51,33.03,33.62,33.43,33.58,33.45,33.49,33.42,33.39,33.58,33.35,33.15,32.80,33.51,33.42,33.41,33.64,33.55,33.42,33.54,24.83,33.58,33.72,25.71,33.58,33.49,33.38,33.49,33.40,33.49,33.50,33.54,33.54,33.51,33.57,643.5,178.1,370.6,349.3,378.6,341.3,368.8,380.8,341.1,436.4,694.6,885.2,313.3,384.2,413.0,201.0,317.8,238.5,212.9,0.0,308.9,158.5,0.0,297.1,337.7,361.3,337.4,376.9,437.9,327.8,428.1,318.2,418.4,387.7,9.49,9.64,9.35,39.4,0.0,0.00,0.00,0.00,0.00,,
120.0578109,16:48:21,33.11,33.64,33.47,33.62,33.49,33.51,33.47,33.45,33.60,33.38,33.26,32.92,33.56,33.48,33.46,33.67,33.59,33.44,33.60,24.64,33.64,33.74,25.60,33.60,33.49,33.43,33.52,33.43,33.53,33.54,33.61,33.60,33.60,33.61,650.5,182.0,375.2,351.8,385.5,348.0,374.1,386.8,345.0,442.6,696.5,884.9,315.6,386.1,417.2,202.2,321.6,246.3,216.7,0.0,314.7,160.2,0.0,301.7,344.7,369.1,342.7,382.0,440.0,333.1,433.6,323.3,419.6,391.1,9.49,9.64,9.33,39.3,0.0,0.00,0.00,0.00,0.00,,
150.0722636,16:48:51,33.19,33.68,33.53,33.65,33.53,33.57,33.51,33.48,33.64,33.43,33.33,33.08,33.60,33.54,33.50,33.70,33.61,33.45,33.61,24.48,33.62,33.76,25.51,33.62,33.55,33.49,33.56,33.49,33.60,33.65,33.65,33.63,33.61,33.62,658.3,185.4,378.0,355.7,388.4,351.6,378.5,390.9,347.3,449.5,701.0,889.0,318.9,387.8,421.8,205.0,326.3,253.5,226.8,0.0,320.7,164.8,0.0,307.4,348.3,370.5,345.6,385.7,442.7,332.1,436.4,324.9,419.1,392.7,9.46,9.62,9.28,39.2,0.0,0.00,0.00,0.00,0.00,,
180.0867163,16:49:21,33.27,33.73,33.57,33.68,33.59,33.60,33.56,33.52,33.68,33.49,33.39,33.21,33.65,33.59,33.54,33.74,33.65,33.49,33.64,24.32,33.64,33.78,25.41,33.64,33.59,33.54,33.58,33.54,33.61,33.63,33.68,33.66,33.65,33.65,663.4,184.4,381.1,358.3,392.5,353.1,382.9,396.1,349.0,452.3,707.9,884.8,321.8,391.4,426.6,205.6,330.8,258.0,226.5,0.0,326.4,168.1,0.0,312.2,351.8,371.4,353.1,390.4,449.3,334.6,437.9,327.5,427.7,394.9,9.42,9.60,9.22,39.2,0.0,0.00,0.00,0.00,0.00,,
210.101169,16:49:51,33.35,33.77,33.62,33.72,33.64,33.64,33.60,33.57,33.71,33.54,33.46,33.30,33.69,33.64,33.59,33.76,33.69,33.52,33.68,24.18,33.69,33.80,25.33,33.67,33.61,33.56,33.64,33.59,33.66,33.72,33.70,33.72,33.72,33.70,667.2,184.6,381.5,360.9,393.9,355.8,385.8,398.1,351.0,454.8,711.7,888.3,323.0,391.7,426.5,206.1,332.0,263.2,228.8,0.0,325.1,168.0,0.0,314.4,354.7,371.8,354.2,391.8,450.7,337.6,443.2,328.3,427.2,396.6,9.38,9.57,9.17,39.3,0.0,0.00,0.00,0.00,0.00,,
240.1156217,16:50:21,33.43,33.80,33.66,33.74,33.67,33.67,33.64,33.62,33.75,33.58,33.53,33.34,33.72,33.68,33.64,33.79,33.72,33.57,33.70,24.01,33.68,33.83,25.24,33.69,33.69,33.59,33.66,33.63,33.69,33.72,33.73,33.76,33.70,33.71,670.0,185.7,382.8,362.0,398.9,358.9,388.6,399.4,354.3,459.3,713.8,895.4,323.2,394.1,428.8,208.5,333.3,265.9,230.7,0.0,327.7,169.5,0.0,317.6,352.7,376.6,356.6,393.8,456.1,341.3,447.1,327.4,438.3,397.7,9.30,9.50,9.07,39.4,0.0,0.00,0.00,0.00,0.00,,
270.1300745,16:50:51,33.49,33.83,33.70,33.77,33.70,33.71,33.67,33.65,33.77,33.62,33.58,33.41,33.74,33.72,33.68,33.81,33.75,33.59,33.75,23.83,33.71,33.84,25.14,33.72,33.71,33.66,33.69,33.66,33.71,33.79,33.76,33.78,33.74,33.76,669.7,185.8,385.1,363.7,399.2,360.3,390.2,400.7,355.7,461.9,715.8,900.3,321.5,394.2,428.8,209.3,336.2,269.9,230.6,0.0,331.7,172.2,0.0,319.8,356.6,380.7,359.0,398.7,457.4,340.7,446.2,328.3,432.0,399.3,9.21,9.44,8.97,39.4,0.0,0.00,0.00,0.00,0.00,,
300.1445272,16:51:21,33.56,33.85,33.74,33.80,33.73,33.74,33.72,33.68,33.79,33.66,33.62,33.50,33.78,33.75,33.73,33.84,33.77,33.63,33.80,23.75,33.73,33.86,25.07,33.75,33.73,33.70,33.75,33.71,33.73,33.78,33.78,33.80,33.78,33.79,674.3,185.8,385.5,365.5,401.7,362.5,391.1,404.1,356.2,464.1,720.8,899.8,321.7,395.6,428.0,210.6,338.7,271.7,234.9,0.0,331.4,172.7,0.0,321.2,359.3,377.9,359.6,399.7,461.8,344.5,445.8,330.8,428.4,397.4,9.13,9.38,8.85,39.5,0.0,0.00,0.00,0.00,0.00,,
330.1589799,16:51:51,33.63,33.86,33.76,33.82,33.76,33.75,33.75,33.72,33.83,33.70,33.65,33.58,33.81,33.79,33.76,33.84,33.80,33.67,33.78,23.61,33.78,33.89,25.00,33.77,33.76,33.73,33.78,33.74,33.74,33.77,33.81,33.82,33.79,33.80,674.6,185.5,387.0,365.3,403.7,365.0,391.4,405.8,356.3,464.5,725.1,897.6,321.2,396.2,429.5,212.3,338.6,273.0,234.1,0.0,334.9,171.4,0.0,323.9,365.0,382.5,359.9,400.3,462.4,338.9,450.0,330.2,437.2,401.1,9.04,9.30,8.75,39.6,0.0,0.00,0.00,0.00,0.00,,
360.1734326,16:52:21,33.66,33.88,33.80,33.84,33.80,33.80,33.78,33.75,33.85,33.74,33.70,33.61,33.83,33.82,33.78,33.87,33.82,33.71,33.79,23.48,33.78,33.88,24.93,33.79,33.78,33.76,33.80,33.78,33.77,33.82,33.82,33.87,33.82,33.83,674.9,185.9,388.1,366.7,403.7,364.7,391.9,405.7,356.3,465.6,723.3,901.7,322.8,396.4,429.2,211.8,340.1,274.4,233.5,0.0,337.4,171.4,0.0,324.4,360.4,382.0,360.0,400.3,461.0,346.4,448.8,329.3,434.4,403.5,8.95,9.21,8.67,39.7,0.0,0.00,0.00,0.00,0.00,,
390.1878853,16:52:51,33.72,33.91,33.83,33.86,33.82,33.82,33.81,33.79,33.86,33.75,33.73,33.60,33.85,33.85,33.83,33.90,33.84,33.75,33.84,23.35,33.82,33.91,24.85,33.81,33.82,33.80,33.83,33.80,33.82,33.85,33.85,33.89,33.82,33.84,674.2,185.3,386.8,367.4,404.0,364.5,392.5,406.9,357.8,467.2,725.7,910.2,321.8,393.5,429.8,210.8,341.6,275.5,235.6,0.0,334.9,175.0,0.0,325.9,359.1,380.0,362.2,401.5,462.6,346.8,451.0,327.0,439.5,403.1,8.87,9.13,8.60,39.7,0.0,0.00,0.00,0.00,0.00,,
