[Test Data]
Format 2
Experiment Type:,dry
Test Date:,25/10/2018,14:37:22
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\HighCurv_RadOn_wind0_3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0227172,14:37:52,38.25,38.93,38.04,38.03,38.01,38.05,38.04,38.00,38.02,37.97,38.02,38.01,38.03,38.32,38.02,38.03,37.99,38.07,38.03,37.07,37.96,38.00,37.18,38.01,38.01,37.95,38.01,38.01,37.96,37.99,37.98,37.97,38.00,37.99,380.6,144.7,248.6,263.6,266.8,276.4,264.5,299.8,260.9,343.7,442.0,461.6,208.7,196.1,277.9,130.6,229.8,153.8,80.3,190.8,253.3,71.5,183.0,260.9,242.7,244.1,262.0,248.1,342.7,286.0,364.0,313.3,359.4,373.7,1.57,1.34,1.81,48.8,0.0,0.00,0.00,0.00,0.00,,
60.0374339,14:38:22,38.22,38.91,38.02,38.02,38.01,38.04,38.04,37.99,38.03,37.97,38.03,38.00,38.03,38.29,38.03,38.04,37.99,38.05,38.01,37.08,38.05,38.02,37.21,38.01,37.99,38.00,38.00,38.00,37.97,37.98,38.01,37.99,37.94,38.00,378.9,128.6,250.0,263.6,264.4,276.2,263.4,301.1,259.5,344.0,439.4,462.8,209.9,194.4,275.9,130.0,230.2,155.6,83.8,165.4,251.7,70.5,152.3,258.3,246.5,249.5,263.5,248.1,339.1,297.1,359.5,312.1,372.1,374.4,1.58,1.34,1.83,48.7,0.0,0.00,0.00,0.00,0.00,,
90.0521507,14:38:52,38.18,38.87,38.02,38.03,38.02,38.03,38.03,37.99,38.02,37.98,38.01,38.01,38.01,38.24,38.00,38.04,38.00,38.06,37.97,37.05,38.01,38.02,37.12,38.01,37.98,38.01,37.98,38.00,38.01,38.01,38.01,37.99,38.00,38.00,381.3,115.1,249.3,264.5,263.5,276.6,262.2,301.1,263.1,341.9,439.4,463.8,210.0,196.5,279.3,128.0,229.0,153.6,83.4,148.7,249.2,70.0,133.3,257.8,253.2,254.7,264.8,249.0,338.5,296.6,360.2,314.0,361.3,375.4,1.59,1.33,1.83,48.7,0.0,0.00,0.00,0.00,0.00,,
120.0668674,14:39:22,38.15,38.80,38.02,38.02,38.00,38.03,38.03,37.99,38.03,38.00,38.03,38.04,38.03,38.21,38.01,38.05,38.01,38.06,38.03,36.96,38.02,38.02,37.03,38.02,38.00,37.97,37.98,38.01,38.04,38.00,38.00,37.98,38.01,38.00,384.8,106.7,249.7,265.8,265.8,276.5,261.8,299.3,262.2,339.7,435.4,456.0,209.6,194.9,280.0,127.2,226.8,153.6,85.4,140.9,249.9,69.2,120.9,257.4,262.5,249.6,267.3,249.0,332.3,285.8,358.0,315.8,360.9,373.4,1.58,1.32,1.84,48.6,0.0,0.00,0.00,0.00,0.00,,
150.0815841,14:39:52,38.14,38.72,38.00,38.00,38.00,38.01,38.01,37.98,38.02,37.98,37.99,38.01,38.01,38.18,38.00,38.02,37.99,38.08,38.03,36.85,38.01,38.02,36.92,38.01,37.96,38.00,37.99,38.00,38.04,37.95,38.00,37.97,38.02,38.03,381.6,102.1,250.6,267.9,268.3,277.7,263.1,299.9,260.1,343.4,439.0,458.1,210.7,193.1,279.7,129.5,229.1,151.1,81.4,135.6,246.4,69.7,113.6,258.7,255.2,247.9,263.7,247.8,337.6,291.5,362.8,316.8,358.1,372.4,1.57,1.31,1.83,48.7,0.0,0.00,0.00,0.00,0.00,,
180.0973009,14:40:22,38.14,38.64,37.98,38.00,37.96,38.01,37.98,37.97,38.00,37.98,37.98,37.98,38.00,38.14,38.01,38.00,37.98,38.07,38.06,36.75,37.96,38.00,36.81,38.00,37.98,37.99,38.01,37.99,37.98,37.98,38.00,37.97,38.02,38.01,379.5,98.7,253.5,269.3,271.3,279.3,268.3,302.1,264.1,344.3,445.3,464.4,211.4,196.5,279.9,132.0,231.3,150.3,87.5,129.4,251.3,70.9,109.1,259.5,248.1,257.6,263.0,250.9,346.5,293.4,362.7,314.9,359.9,369.3,1.56,1.29,1.82,48.6,0.0,0.00,0.00,0.00,0.00,,
210.1100176,14:40:52,38.09,38.58,37.98,37.99,37.98,38.01,37.99,37.98,37.99,37.98,38.00,37.97,38.00,38.11,38.02,38.01,37.99,38.05,38.00,36.64,38.00,38.01,36.70,38.01,37.97,37.97,38.03,37.99,38.01,38.00,38.00,37.98,38.01,38.00,380.0,95.1,254.2,268.6,273.0,278.4,266.3,301.9,264.7,344.6,441.8,467.3,212.3,199.0,277.9,129.4,229.2,150.4,92.6,127.8,247.4,71.0,107.8,259.0,253.5,256.3,260.6,251.5,342.1,295.4,361.3,315.3,358.1,374.0,1.54,1.27,1.81,48.5,0.0,0.00,0.00,0.00,0.00,,
240.1247343,14:41:22,38.06,38.50,37.98,37.99,37.98,38.02,37.99,37.98,38.01,37.97,37.99,37.99,37.99,38.09,38.00,37.98,37.98,38.03,38.02,36.54,38.04,38.02,36.61,38.02,37.92,38.00,38.02,38.00,37.98,37.98,38.02,37.99,38.02,37.99,382.2,94.5,254.1,267.3,272.1,278.1,267.9,300.2,264.9,346.4,439.1,465.1,212.6,198.5,279.1,131.8,231.1,151.8,81.3,132.8,245.6,69.7,107.2,257.2,256.6,252.5,259.6,249.5,345.1,290.4,356.9,315.8,364.6,376.6,1.53,1.25,1.80,48.5,0.0,0.00,0.00,0.00,0.00,,
270.1394511,14:41:52,38.04,38.43,37.98,37.99,37.98,37.99,38.00,37.98,37.99,37.98,38.00,37.98,37.99,38.08,37.99,37.99,37.98,38.04,37.98,36.46,37.98,38.01,36.51,38.01,38.03,37.96,38.01,38.00,38.01,38.00,37.99,37.99,37.98,37.99,385.3,93.8,255.0,268.5,271.5,279.6,266.0,303.0,267.6,347.7,439.3,470.2,214.0,200.2,280.9,132.8,232.8,150.8,87.0,132.0,248.8,70.4,108.9,257.4,245.7,248.0,264.0,248.8,345.9,294.6,362.8,316.9,362.2,373.8,1.52,1.24,1.79,48.5,0.0,0.00,0.00,0.00,0.00,,
