[Test Data]
Format 2
Experiment Type:,dry
Test Date:,24/10/2018,18:22:45
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\HighCurv_RadOn_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0144527,18:23:15,35.00,34.27,34.42,34.38,34.50,34.48,34.49,34.47,34.41,34.54,35.07,35.61,34.41,34.60,34.58,34.33,34.39,34.25,34.36,21.46,34.25,34.24,23.87,34.23,34.48,34.46,34.42,34.45,34.41,34.52,34.48,34.48,34.32,34.36,501.6,127.0,318.6,294.7,321.2,288.5,304.2,353.9,290.1,397.3,524.7,623.5,256.9,220.8,336.7,163.0,274.3,265.2,197.3,0.0,324.0,142.1,0.0,319.1,294.4,324.4,305.5,337.1,378.0,254.2,365.3,263.7,366.3,365.4,9.12,9.28,8.95,38.6,0.0,0.00,0.00,0.00,0.00,,
60.0289055,18:23:45,35.16,34.36,34.61,34.47,34.63,34.60,34.62,34.63,34.56,34.74,35.23,36.22,34.54,34.81,34.74,34.41,34.50,34.42,34.47,21.62,34.37,34.30,23.99,34.38,34.63,34.65,34.58,34.62,34.59,34.63,34.58,34.64,34.49,34.46,444.9,105.6,280.7,273.7,283.9,259.6,270.9,324.8,255.5,358.9,455.0,451.2,222.2,166.6,295.6,140.1,244.7,243.4,171.6,0.0,306.4,122.8,0.0,296.9,260.8,276.3,268.5,300.7,348.4,216.9,336.9,225.6,348.3,341.3,9.05,9.19,8.89,38.8,0.0,0.00,0.00,0.00,0.00,,
90.0433582,18:24:15,35.16,34.40,34.65,34.48,34.63,34.63,34.64,34.66,34.57,34.81,35.13,36.12,34.55,34.81,34.74,34.42,34.55,34.53,34.54,21.78,34.44,34.32,24.12,34.43,34.65,34.69,34.61,34.68,34.58,34.59,34.57,34.64,34.52,34.49,418.0,93.3,262.9,261.6,266.3,242.6,256.6,308.6,235.9,330.5,440.1,398.9,207.4,148.2,279.7,131.1,224.8,224.6,151.5,0.0,291.8,113.0,0.0,279.3,243.4,268.7,250.9,278.1,331.9,207.3,323.5,207.3,324.1,327.9,8.99,9.14,8.82,39.1,0.0,0.00,0.00,0.00,0.00,,
120.0578109,18:24:45,35.13,34.40,34.64,34.47,34.64,34.62,34.63,34.67,34.57,34.84,35.04,35.90,34.53,34.75,34.71,34.41,34.53,34.60,34.52,21.94,34.48,34.30,24.23,34.44,34.64,34.69,34.61,34.67,34.56,34.56,34.55,34.60,34.51,34.51,398.1,84.8,248.6,251.1,252.6,230.2,243.7,292.9,226.3,308.3,425.4,379.7,198.0,136.0,267.2,124.2,216.4,208.9,139.5,0.0,281.5,105.9,0.0,267.6,229.7,249.1,236.4,264.4,321.9,199.4,316.5,199.2,315.0,317.6,8.92,9.06,8.77,39.0,0.0,0.00,0.00,0.00,0.00,,
150.0722636,18:25:15,35.06,34.37,34.60,34.46,34.57,34.59,34.60,34.64,34.51,34.79,34.93,35.56,34.50,34.69,34.65,34.39,34.51,34.61,34.50,22.09,34.47,34.30,24.35,34.45,34.58,34.66,34.58,34.64,34.53,34.53,34.51,34.55,34.50,34.47,382.9,78.0,239.1,241.9,245.3,223.6,235.4,283.1,220.0,299.4,415.8,392.5,191.6,131.2,260.8,117.2,208.2,196.0,135.8,0.0,272.5,101.1,0.0,258.2,224.5,242.5,229.2,251.6,320.5,192.9,309.7,196.5,305.8,305.1,8.87,8.98,8.74,39.1,0.0,0.00,0.00,0.00,0.00,,
180.0867163,18:25:45,35.01,34.35,34.55,34.41,34.53,34.53,34.56,34.59,34.46,34.74,34.82,35.24,34.46,34.60,34.60,34.36,34.46,34.61,34.48,22.23,34.45,34.29,24.46,34.43,34.55,34.61,34.52,34.61,34.48,34.45,34.46,34.47,34.46,34.43,368.0,74.6,233.1,238.2,241.4,216.6,225.5,276.3,216.7,291.3,411.1,410.6,186.3,129.9,254.5,114.1,202.1,186.8,128.7,0.0,260.7,95.2,0.0,251.0,220.8,239.7,224.0,241.2,307.7,196.3,306.0,195.6,297.7,302.3,8.82,8.91,8.72,39.2,0.0,0.00,0.00,0.00,0.00,,
210.101169,18:26:15,34.88,34.33,34.50,34.37,34.47,34.47,34.50,34.54,34.39,34.66,34.73,34.98,34.41,34.51,34.52,34.32,34.42,34.56,34.43,22.38,34.39,34.25,24.54,34.40,34.49,34.58,34.48,34.56,34.45,34.44,34.42,34.42,34.41,34.39,365.6,69.3,229.5,236.5,237.9,214.1,222.6,271.3,215.1,287.5,405.6,429.3,182.7,128.3,251.9,110.7,198.0,180.5,120.7,0.0,259.4,93.8,0.0,246.4,218.4,225.6,220.8,234.4,305.4,191.7,301.8,191.7,291.8,299.0,8.80,8.87,8.73,39.4,0.0,0.00,0.00,0.00,0.00,,
240.1156218,18:26:45,34.79,34.29,34.45,34.34,34.41,34.41,34.46,34.49,34.34,34.56,34.63,34.76,34.35,34.44,34.46,34.27,34.37,34.54,34.38,22.57,34.37,34.23,24.63,34.38,34.42,34.50,34.44,34.51,34.39,34.35,34.36,34.36,34.40,34.35,358.2,68.8,225.5,233.1,234.3,213.6,219.6,268.3,216.5,286.3,403.2,446.3,180.7,130.3,250.0,110.8,196.7,175.1,120.3,0.0,252.8,91.3,0.0,242.5,215.5,227.8,218.3,233.4,300.4,181.7,301.9,193.7,287.9,295.8,8.80,8.85,8.75,39.4,0.0,0.00,0.00,0.00,0.00,,
270.1300745,18:27:15,34.72,34.25,34.40,34.30,34.38,34.36,34.41,34.44,34.28,34.49,34.55,34.57,34.30,34.35,34.40,34.24,34.32,34.49,34.33,22.66,34.39,34.21,24.72,34.34,34.39,34.43,34.37,34.44,34.39,34.32,34.31,34.29,34.35,34.31,352.9,68.3,223.8,231.0,231.9,212.7,216.7,265.6,217.7,287.8,401.4,461.4,181.8,130.8,248.9,109.5,195.0,169.7,124.3,0.0,249.1,91.0,0.0,239.7,216.5,224.6,216.5,228.8,299.5,182.7,300.2,193.1,291.1,294.9,8.82,8.85,8.81,39.4,0.0,0.00,0.00,0.00,0.00,,
