[Test Data]
Format 2
Experiment Type:,dry
Test Date:,24/10/2018,17:32:10
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\HighCurv_RadOn_wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0144527,17:32:40,33.99,34.01,34.00,34.00,34.01,34.00,34.01,33.99,34.00,34.00,34.02,34.05,34.00,34.12,34.00,34.00,34.00,33.98,34.00,21.36,34.03,34.00,23.83,33.99,34.05,34.01,34.00,33.99,34.03,33.99,34.01,33.99,34.01,34.00,669.3,168.0,379.9,353.0,388.9,345.1,380.3,408.2,354.9,467.2,704.4,896.9,327.5,355.9,411.9,200.5,341.2,283.4,241.3,0.0,350.3,176.5,0.0,334.8,359.3,378.8,357.1,397.1,449.4,327.3,428.9,328.7,420.4,406.9,8.90,9.11,8.70,43.7,0.0,0.00,0.00,0.00,0.00,,
60.0289054,17:33:10,34.03,34.02,34.03,34.01,34.03,34.02,34.03,34.00,34.01,34.00,34.06,34.06,34.03,34.30,34.01,34.01,34.00,34.00,33.95,21.35,34.01,33.99,23.83,33.99,33.99,34.00,34.00,33.99,33.98,34.01,34.01,34.00,34.03,34.00,662.9,166.5,377.9,348.1,385.1,342.7,378.2,408.5,354.1,467.5,694.3,894.9,325.9,325.9,412.8,201.3,341.0,285.1,249.9,0.0,346.1,177.3,0.0,335.2,352.9,372.7,358.2,400.2,441.3,335.2,426.6,329.8,417.6,406.1,8.94,9.13,8.75,43.5,0.0,0.00,0.00,0.00,0.00,,
90.0433581,17:33:40,34.02,34.03,34.03,34.02,34.03,34.03,34.03,34.00,34.03,33.99,34.06,34.07,34.02,34.33,34.02,34.00,33.99,33.99,33.98,21.32,33.97,33.99,23.83,34.00,34.05,33.99,34.00,34.00,34.01,34.00,34.01,34.01,34.00,34.00,661.3,166.0,376.7,349.5,385.9,340.6,376.5,408.9,353.3,469.6,695.4,889.4,321.5,310.4,409.7,202.4,341.4,286.7,242.5,0.0,347.2,176.9,0.0,334.7,354.5,371.9,357.1,398.8,441.1,335.8,428.7,327.9,415.6,408.6,8.96,9.13,8.78,43.2,0.0,0.00,0.00,0.00,0.00,,
120.0578108,17:34:10,34.02,34.02,34.04,34.01,34.03,34.04,34.03,33.99,34.02,34.01,34.04,34.08,34.03,34.31,34.01,34.03,33.99,34.00,34.00,21.33,33.98,34.00,23.82,34.00,34.00,33.98,33.99,33.99,33.98,34.02,34.01,33.99,33.99,33.99,661.9,165.1,373.8,348.8,386.2,339.6,375.5,410.8,352.2,469.2,693.6,889.2,320.3,303.6,410.1,199.5,342.3,286.0,246.8,0.0,347.7,176.2,0.0,334.9,354.6,383.4,359.3,400.2,440.7,320.6,431.5,327.1,419.8,406.2,8.95,9.10,8.80,43.0,0.0,0.00,0.00,0.00,0.00,,
150.0878636,17:34:40,34.02,34.02,34.04,34.02,34.02,34.04,34.03,34.00,34.03,34.01,34.04,34.06,34.03,34.29,33.99,34.03,33.99,34.00,33.98,21.36,34.01,34.01,23.82,33.99,33.95,33.99,33.98,33.98,34.01,34.00,33.99,34.00,33.99,34.00,664.0,163.9,373.8,347.4,385.0,339.7,376.2,407.2,350.2,469.0,696.2,888.0,321.5,300.7,412.9,197.6,342.1,284.9,241.3,0.0,345.9,175.3,0.0,335.2,359.6,377.5,358.7,401.2,442.1,334.4,429.9,326.2,414.8,405.5,8.95,9.08,8.81,42.8,0.0,0.00,0.00,0.00,0.00,,
180.0867163,17:35:10,34.01,34.03,34.04,34.01,34.01,34.03,34.02,33.99,34.01,34.00,34.04,34.03,34.02,34.25,33.97,34.01,33.99,34.00,34.03,21.35,34.01,33.99,23.81,33.99,34.01,33.98,33.99,33.99,33.99,33.97,34.00,33.99,33.98,34.01,661.7,164.4,372.2,348.4,387.1,339.4,375.1,410.0,354.2,469.3,695.9,892.9,318.3,301.4,412.6,200.1,343.1,284.9,239.1,0.0,351.2,176.7,0.0,334.9,355.5,378.8,358.4,400.7,443.2,332.4,436.1,327.4,423.2,406.4,8.92,9.05,8.79,42.8,0.0,0.00,0.00,0.00,0.00,,
210.101169,17:35:40,34.03,34.02,34.02,34.00,34.01,34.02,34.02,33.98,34.01,33.98,34.03,33.98,34.01,34.23,33.99,34.01,33.98,34.00,34.01,21.36,33.97,33.98,23.80,33.99,33.99,34.00,33.98,33.98,33.98,34.01,33.99,33.99,34.00,34.01,662.9,163.2,374.8,348.9,387.3,339.6,376.4,409.9,351.4,471.4,695.6,902.2,318.8,299.6,408.5,201.5,344.4,287.5,244.9,0.0,348.4,176.8,0.0,335.3,361.3,383.8,361.6,402.7,441.8,333.6,437.0,331.1,416.1,404.0,8.90,9.03,8.77,42.7,0.0,0.00,0.00,0.00,0.00,,
240.1156217,17:36:10,34.02,34.01,34.00,34.01,34.01,34.01,34.03,33.99,33.99,33.98,34.02,33.95,34.01,34.19,34.02,34.01,33.98,34.00,33.95,21.34,34.00,33.97,23.82,33.99,33.99,34.01,33.97,33.99,34.04,33.97,33.99,34.00,34.00,34.00,659.2,163.9,375.4,347.1,389.0,340.6,374.3,409.7,352.7,469.3,697.1,910.2,317.8,300.4,405.4,201.1,344.5,287.4,251.5,0.0,352.3,177.9,0.0,334.8,365.2,376.2,359.7,400.7,443.6,332.9,435.3,328.4,414.5,407.6,8.90,9.01,8.77,42.5,0.0,0.00,0.00,0.00,0.00,,
270.1300744,17:36:40,34.01,34.01,34.00,34.01,34.02,34.01,34.02,33.98,34.01,33.98,34.02,33.98,34.01,34.15,34.01,34.00,33.99,33.99,34.00,21.30,33.98,33.98,23.80,33.99,34.00,34.03,33.98,33.99,33.97,34.00,33.99,33.97,33.97,33.99,662.1,163.4,375.9,348.9,387.0,341.4,375.5,410.1,351.0,473.1,698.9,906.4,319.7,301.2,406.8,201.2,345.8,286.6,252.5,0.0,348.1,178.6,0.0,335.2,356.6,371.7,362.0,401.4,446.2,332.7,436.0,329.7,416.3,408.1,8.89,9.01,8.77,42.4,0.0,0.00,0.00,0.00,0.00,,
