[Test Data]
Format 2
Experiment Type:,dry
Test Date:,25/10/2018,11:59:09
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\LowCurv_RadOff_wind0_3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0147168,11:59:40,37.99,37.79,37.95,37.97,37.97,37.97,37.96,38.01,37.98,37.99,37.96,37.93,37.98,37.79,38.00,37.97,38.00,38.00,37.99,36.91,37.97,38.01,36.97,38.01,37.98,38.02,38.00,38.00,37.99,37.97,37.99,38.01,37.97,37.97,383.4,61.7,260.5,270.0,265.9,277.2,274.6,279.9,273.5,331.0,433.9,493.3,220.7,240.3,286.8,140.6,214.8,153.9,84.8,212.1,256.0,70.7,175.2,229.4,249.7,247.3,252.2,252.6,352.2,286.7,353.2,307.4,373.9,369.1,2.03,1.54,2.49,46.6,0.0,0.00,0.00,0.00,0.00,,
60.0294335,12:00:10,37.97,37.78,37.97,37.97,37.98,37.96,37.98,38.00,37.98,37.99,37.95,37.93,37.98,37.82,37.99,37.99,38.00,37.98,38.01,37.02,38.02,38.00,37.01,38.01,38.02,38.02,37.99,38.00,38.03,37.97,37.97,37.99,37.96,37.98,385.2,68.4,259.9,269.6,265.7,278.7,272.0,282.1,270.9,331.1,437.1,496.0,220.5,240.1,287.9,139.9,216.8,154.1,85.3,184.7,253.1,71.0,146.0,229.1,246.3,245.8,259.4,253.2,352.4,288.9,356.9,308.2,375.4,370.9,1.96,1.53,2.39,46.7,0.0,0.00,0.00,0.00,0.00,,
90.0441502,12:00:40,37.95,37.78,37.98,37.97,37.98,37.96,37.98,38.00,37.99,38.01,37.95,37.93,37.99,37.84,37.99,37.98,37.99,37.99,38.05,37.01,37.99,38.01,36.96,38.00,37.98,38.03,37.99,38.00,37.97,38.02,37.98,37.99,38.00,37.99,388.4,73.1,258.2,270.1,266.7,279.2,272.3,281.4,273.7,330.5,436.8,498.4,220.5,242.2,288.6,140.3,216.4,155.4,84.5,162.3,257.2,72.9,130.6,230.2,259.3,239.5,259.8,254.6,352.2,285.9,358.5,308.7,385.7,368.6,1.91,1.50,2.30,46.7,0.0,0.00,0.00,0.00,0.00,,
120.058867,12:01:10,37.98,37.79,37.97,37.97,37.97,37.95,37.96,37.99,37.98,37.99,37.95,37.93,37.98,37.85,37.97,37.98,37.98,37.99,37.98,36.91,38.05,37.99,36.89,38.00,38.00,38.02,38.00,37.99,37.99,38.01,37.97,37.98,37.99,38.02,385.9,76.7,259.4,271.5,268.4,280.9,275.6,282.7,272.9,332.8,442.6,500.1,221.6,244.4,291.0,140.5,217.7,154.2,83.2,146.2,257.0,72.7,118.8,230.0,252.0,239.2,260.7,254.7,345.3,289.4,359.6,311.4,369.3,364.2,1.86,1.49,2.21,46.7,0.0,0.00,0.00,0.00,0.00,,
150.0735837,12:01:40,37.97,37.80,37.96,37.96,37.97,37.96,37.96,37.98,37.99,38.01,37.93,37.98,37.97,37.87,37.98,37.98,37.99,37.99,37.99,36.87,37.99,38.00,36.78,38.00,38.03,37.98,37.99,37.98,37.98,38.01,37.96,37.97,37.99,38.01,389.0,77.6,261.3,272.6,268.9,279.2,277.1,283.9,272.6,328.8,445.0,491.8,223.4,242.3,289.9,141.4,217.2,154.3,82.4,144.0,255.4,71.3,113.7,230.9,251.7,248.0,260.3,256.4,354.0,296.7,362.1,313.4,368.4,364.2,1.81,1.48,2.13,46.8,0.0,0.00,0.00,0.00,0.00,,
180.0883005,12:02:10,37.99,37.81,37.97,37.98,37.97,37.97,37.96,37.98,37.98,37.99,37.94,37.96,37.97,37.90,37.99,37.99,38.00,37.98,37.99,36.78,37.96,38.00,36.68,37.99,37.98,37.98,37.98,38.00,37.93,37.98,37.97,37.98,37.99,38.01,385.8,81.3,261.2,273.0,269.0,279.1,277.2,284.0,275.1,332.6,448.1,494.3,226.2,242.5,288.8,140.4,217.5,153.8,83.2,132.4,257.0,70.8,109.7,231.6,259.9,243.6,260.9,255.2,357.2,288.3,361.0,313.4,371.9,362.9,1.77,1.48,2.07,46.9,0.0,0.00,0.00,0.00,0.00,,
210.1020172,12:02:40,37.97,37.84,37.97,37.96,37.99,37.98,37.97,37.97,37.99,37.98,37.96,37.97,37.98,37.92,37.99,37.99,38.00,37.99,37.99,36.69,38.03,38.00,36.59,38.00,38.02,38.00,37.99,37.99,38.01,37.99,37.98,37.98,38.07,38.02,388.7,82.3,261.0,273.7,268.1,278.7,275.6,286.0,273.7,332.0,445.6,498.9,224.0,241.0,288.9,140.5,215.9,156.2,84.7,131.1,249.6,69.9,109.2,231.3,250.8,242.4,259.0,255.3,352.1,293.9,360.7,310.7,367.3,363.4,1.74,1.46,2.01,47.0,0.0,0.00,0.00,0.00,0.00,,
240.1167339,12:03:10,37.97,37.85,37.98,37.97,37.96,37.98,37.97,37.99,37.98,37.98,37.98,37.98,37.97,37.93,38.00,37.98,37.99,37.99,37.98,36.60,38.01,38.01,36.51,37.99,38.04,38.01,38.00,37.99,38.00,37.99,38.00,37.99,38.01,38.02,387.6,83.6,261.2,273.7,270.9,279.1,278.3,284.2,274.1,332.4,442.0,495.3,226.8,241.5,287.3,140.2,216.6,156.1,85.5,132.4,251.9,71.2,108.2,231.8,253.8,242.9,259.7,255.2,349.5,294.1,359.6,310.0,368.9,362.6,1.70,1.43,1.97,46.9,0.0,0.00,0.00,0.00,0.00,,
270.1314507,12:03:40,38.01,37.86,37.98,37.98,37.98,37.98,37.98,37.98,37.97,37.99,37.96,37.97,37.98,37.93,38.00,37.98,38.00,37.98,38.03,36.50,38.01,38.00,36.44,37.99,38.01,37.97,38.01,37.99,37.99,38.02,37.98,37.99,38.03,38.00,384.7,84.5,262.9,273.4,271.7,280.2,277.4,286.7,277.0,332.9,445.5,495.4,226.1,242.8,287.8,140.7,218.4,156.8,87.2,126.6,253.4,71.8,108.3,231.5,253.5,253.2,258.4,257.3,350.1,287.4,361.2,311.0,371.6,362.1,1.68,1.41,1.93,47.0,0.0,0.00,0.00,0.00,0.00,,
