[Test Data]
Format 2
Experiment Type:,dry
Test Date:,23/10/2018,19:12:07
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\LowCurv_RadOff_wind0_3.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0040166,19:12:37,34.03,34.02,34.04,34.02,34.03,34.03,34.03,34.04,34.03,34.02,34.01,33.99,34.03,34.03,34.03,34.02,34.02,34.04,34.02,25.32,34.06,34.02,25.78,34.02,34.02,34.03,34.02,34.02,34.05,34.05,34.06,34.02,33.98,34.07,275.8,67.2,180.3,181.4,188.7,187.3,188.9,212.3,193.2,214.1,278.6,283.3,161.2,164.5,172.7,102.1,156.9,132.9,76.2,0.0,215.5,68.9,0.0,201.7,186.8,154.8,171.9,170.5,218.3,180.1,233.5,193.8,231.4,234.1,9.40,9.34,9.45,43.8,0.0,0.00,0.00,0.00,0.00,,
60.020029,19:13:07,34.06,34.01,34.03,34.02,34.05,34.02,34.03,34.04,34.03,34.00,33.99,33.99,34.05,34.00,34.06,34.02,34.01,34.02,34.01,25.40,34.06,34.03,25.80,34.02,34.04,34.03,34.03,34.03,34.03,34.04,34.04,34.04,34.01,34.05,268.1,66.0,181.1,182.0,183.5,188.4,188.8,212.7,190.7,216.9,279.1,284.8,158.2,166.8,170.0,100.4,157.2,132.7,83.1,0.0,219.2,69.4,0.0,201.7,180.4,155.7,169.0,169.7,222.3,172.8,234.8,193.4,222.2,237.4,9.41,9.36,9.47,43.8,0.0,0.00,0.00,0.00,0.00,,
90.0350257,19:13:37,34.05,34.00,34.02,34.02,34.02,34.02,34.01,34.03,34.01,34.02,33.99,33.99,34.02,34.01,34.02,34.00,34.00,34.05,34.00,25.42,33.99,34.01,25.83,34.03,34.03,34.02,34.02,34.02,34.02,34.03,34.01,34.05,33.98,34.03,267.6,67.6,181.4,181.4,186.8,187.3,189.9,214.1,194.1,215.5,281.5,285.1,160.5,168.0,171.9,100.9,156.8,130.8,80.8,0.0,219.1,70.1,0.0,200.7,182.0,161.9,168.3,169.3,219.7,180.2,241.9,190.1,225.4,241.7,9.43,9.37,9.49,43.6,0.0,0.00,0.00,0.00,0.00,,
120.0485343,19:14:07,34.03,34.01,34.02,34.03,34.03,34.01,34.03,34.03,34.02,34.03,34.01,34.00,34.03,34.02,34.01,34.02,34.01,34.02,34.04,25.43,34.02,34.02,25.86,34.03,34.01,34.04,34.02,34.02,34.02,34.04,33.99,34.04,33.97,33.98,268.2,67.7,181.9,180.1,187.2,187.9,188.5,212.3,194.1,213.5,277.6,285.3,160.3,168.0,172.3,101.0,155.5,133.1,78.2,0.0,217.4,70.0,0.0,200.5,182.2,154.2,168.9,169.6,220.5,178.8,242.0,188.8,238.7,245.9,9.42,9.37,9.48,43.6,0.0,0.00,0.00,0.00,0.00,,
150.0635349,19:14:37,33.99,34.01,34.01,34.02,34.02,34.02,34.03,34.01,34.03,34.03,33.99,34.02,34.03,34.01,34.02,34.02,34.00,34.02,34.01,25.48,34.03,34.01,25.89,34.02,34.02,33.99,34.00,34.02,34.01,34.03,33.98,34.04,33.99,33.98,274.4,67.6,181.2,179.9,186.9,187.7,187.8,214.4,190.6,213.8,281.5,279.7,158.9,166.5,172.4,99.0,156.2,134.9,79.5,0.0,220.1,69.7,0.0,200.8,184.9,155.2,171.0,168.5,223.2,177.8,243.4,189.2,228.0,246.7,9.41,9.36,9.46,43.5,0.0,0.00,0.00,0.00,0.00,,
180.0785377,19:15:07,33.98,34.01,34.02,34.03,34.01,34.02,34.03,34.02,34.01,34.03,34.02,34.01,34.03,34.01,34.01,34.00,34.00,34.00,34.03,25.44,34.03,34.01,25.91,34.02,34.02,34.01,34.00,34.03,33.96,34.03,34.00,34.03,33.97,33.97,273.8,65.9,181.3,179.3,187.9,187.5,188.2,213.1,193.3,212.2,279.0,281.2,159.8,167.3,172.2,101.6,155.8,134.7,74.5,0.0,214.3,71.2,0.0,199.0,185.7,155.5,172.8,168.4,220.1,172.9,245.1,189.4,231.7,249.3,9.40,9.36,9.45,43.5,0.0,0.00,0.00,0.00,0.00,,
210.0960438,19:15:37,33.99,34.01,34.01,34.02,34.01,34.02,34.02,34.02,34.01,34.03,34.02,34.00,34.03,34.00,34.01,34.01,34.01,34.01,34.00,25.48,33.99,34.02,25.93,34.02,34.00,34.00,34.00,34.02,34.01,34.00,34.00,34.02,33.97,33.98,274.0,66.0,182.4,179.2,187.0,186.8,187.8,212.3,194.1,213.0,279.6,285.2,159.8,165.6,171.7,99.6,154.3,133.5,77.2,0.0,220.7,70.0,0.0,197.6,189.2,155.6,172.0,169.3,221.3,179.8,244.2,190.1,228.5,248.2,9.39,9.35,9.43,43.3,0.0,0.00,0.00,0.00,0.00,,
240.1075588,19:16:07,34.00,34.01,34.02,34.01,34.00,34.00,34.02,34.01,34.02,34.04,34.01,34.02,34.02,34.03,33.99,34.00,34.00,34.00,34.02,25.47,33.99,34.00,25.96,34.02,34.02,34.04,34.02,34.01,34.00,33.97,34.01,34.01,33.99,33.98,272.6,66.6,182.2,180.1,185.6,188.6,188.6,213.7,193.5,211.2,280.1,279.0,161.2,165.7,173.5,101.0,155.7,135.2,76.8,0.0,219.6,69.7,0.0,198.6,185.4,159.5,172.2,168.9,224.7,179.6,243.1,191.5,233.1,248.7,9.38,9.34,9.41,43.3,0.0,0.00,0.00,0.00,0.00,,
270.1220635,19:16:37,33.99,34.01,34.01,34.01,34.01,34.00,34.02,34.02,34.02,34.03,34.02,34.02,34.02,34.01,34.00,34.02,34.00,34.00,34.00,25.52,33.99,34.00,25.98,34.02,34.01,34.01,34.00,34.01,34.00,34.03,34.01,34.02,33.97,33.97,270.8,65.9,181.7,180.3,186.9,188.3,189.1,212.1,193.5,211.6,279.3,278.3,162.2,167.9,174.4,99.4,156.6,135.0,77.2,0.0,214.5,70.5,0.0,198.1,180.9,154.5,172.6,169.1,222.3,178.0,242.5,188.1,237.9,250.6,9.36,9.33,9.40,43.3,0.0,0.00,0.00,0.00,0.00,,
