[Test Data]
Format 2
Experiment Type:,dry
Test Date:,23/10/2018,20:13:51
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\LowCurv_RadOff_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0080185,20:14:21,33.45,33.76,33.67,33.74,33.70,33.76,33.77,33.63,33.72,33.63,33.46,33.03,33.71,33.68,33.56,33.84,33.83,33.82,33.92,26.25,33.81,33.89,26.67,33.84,33.71,33.67,33.80,33.69,33.60,33.86,33.62,33.88,33.72,33.73,362.9,101.4,233.7,216.7,242.6,223.2,221.0,260.6,232.3,259.5,406.5,496.7,194.7,214.8,245.0,121.8,176.9,151.8,82.1,0.0,227.6,80.5,0.0,210.9,217.2,205.0,201.1,219.6,299.3,191.1,299.8,202.7,275.1,293.2,9.33,9.35,9.30,43.6,0.0,0.00,0.00,0.00,0.00,,
60.0235163,20:14:51,33.48,33.77,33.67,33.74,33.70,33.76,33.76,33.63,33.72,33.62,33.50,33.12,33.73,33.67,33.58,33.83,33.83,33.80,33.85,26.25,33.81,33.88,26.66,33.82,33.82,33.64,33.79,33.67,33.56,33.88,33.63,33.87,33.73,33.71,373.5,106.1,240.7,223.9,246.7,228.3,227.0,269.3,239.5,269.4,412.6,504.4,199.5,221.6,252.5,127.6,182.4,157.5,96.6,0.0,236.2,84.2,0.0,218.8,215.1,216.4,207.4,228.1,299.4,192.0,305.6,204.6,286.7,298.8,9.32,9.36,9.28,43.2,0.0,0.00,0.00,0.00,0.00,,
90.0435162,20:15:21,33.50,33.78,33.68,33.74,33.72,33.77,33.77,33.65,33.73,33.60,33.58,33.26,33.75,33.68,33.62,33.83,33.84,33.80,33.86,26.25,33.79,33.90,26.64,33.83,33.81,33.61,33.80,33.69,33.65,33.90,33.68,33.90,33.71,33.73,382.4,108.0,245.5,229.4,251.6,231.5,231.9,275.5,244.4,278.8,415.7,503.6,203.6,227.3,255.0,130.9,185.0,161.6,98.6,0.0,239.9,86.4,0.0,222.2,222.7,218.7,211.5,234.2,299.2,197.9,304.4,204.3,293.4,302.5,9.32,9.37,9.26,43.4,0.0,0.00,0.00,0.00,0.00,,
120.0540148,20:15:51,33.53,33.80,33.71,33.76,33.73,33.77,33.79,33.68,33.74,33.63,33.66,33.38,33.76,33.72,33.65,33.84,33.85,33.80,33.86,26.25,33.82,33.91,26.60,33.82,33.76,33.68,33.80,33.71,33.65,33.90,33.70,33.87,33.69,33.75,389.1,109.5,246.8,231.2,257.2,233.5,234.4,276.4,248.8,284.6,407.6,500.2,204.7,230.2,258.9,132.2,187.7,164.3,107.8,0.0,245.1,85.9,0.0,226.6,228.5,226.5,212.7,234.7,312.8,196.5,305.7,209.3,294.0,304.7,9.32,9.38,9.25,43.6,0.0,0.00,0.00,0.00,0.00,,
150.0680171,20:16:21,33.60,33.83,33.73,33.76,33.74,33.80,33.79,33.70,33.79,33.67,33.67,33.52,33.77,33.74,33.65,33.89,33.86,33.81,33.92,26.18,33.82,33.91,26.60,33.82,33.83,33.69,33.80,33.73,33.67,33.89,33.74,33.91,33.73,33.76,389.4,111.3,251.3,234.8,259.6,236.6,236.9,281.6,249.6,285.8,414.9,491.9,206.9,232.1,265.3,131.4,190.1,167.6,102.5,0.0,248.2,88.1,0.0,230.1,225.6,230.7,219.4,239.0,318.9,199.4,309.0,206.4,294.2,309.1,9.31,9.39,9.22,43.7,0.0,0.00,0.00,0.00,0.00,,
180.0810239,20:16:51,33.64,33.87,33.77,33.80,33.78,33.81,33.83,33.73,33.80,33.69,33.72,33.60,33.80,33.80,33.71,33.88,33.88,33.81,33.93,26.18,33.81,33.92,26.57,33.84,33.81,33.74,33.84,33.76,33.76,33.88,33.77,33.92,33.81,33.80,392.0,109.9,251.5,234.5,260.9,238.0,237.3,281.8,251.1,289.9,413.7,487.6,206.6,232.1,265.4,132.9,192.2,168.8,100.0,0.0,248.7,85.7,0.0,231.7,228.1,227.8,219.8,240.1,315.2,204.4,309.2,207.1,300.3,310.0,9.29,9.38,9.20,43.5,0.0,0.00,0.00,0.00,0.00,,
210.0965445,20:17:21,33.69,33.88,33.79,33.82,33.81,33.83,33.85,33.75,33.83,33.73,33.75,33.66,33.83,33.79,33.75,33.90,33.89,33.83,33.90,26.16,33.84,33.92,26.56,33.85,33.86,33.77,33.83,33.79,33.75,33.96,33.79,33.93,33.84,33.82,393.0,108.7,253.3,236.5,261.1,240.4,237.0,285.1,253.9,291.9,415.1,485.7,205.3,232.8,265.4,133.4,192.7,171.7,98.8,0.0,252.1,88.5,0.0,233.6,225.4,233.0,221.8,241.7,319.5,204.7,311.9,208.7,294.3,311.2,9.29,9.38,9.19,43.6,0.0,0.00,0.00,0.00,0.00,,
240.111054,20:17:51,33.72,33.91,33.82,33.85,33.82,33.84,33.86,33.80,33.84,33.74,33.81,33.66,33.86,33.84,33.81,33.91,33.90,33.85,33.91,26.17,33.81,33.94,26.54,33.86,33.84,33.82,33.86,33.82,33.80,33.96,33.83,33.95,33.84,33.84,395.1,107.8,253.1,237.0,263.3,241.2,237.0,284.8,254.4,295.7,413.1,495.8,203.6,230.5,263.9,134.3,192.8,171.3,108.5,0.0,253.2,87.2,0.0,235.0,228.1,232.9,222.3,242.3,315.5,198.6,311.7,207.2,298.4,312.5,9.27,9.36,9.19,43.6,0.0,0.00,0.00,0.00,0.00,,
270.1250653,20:18:21,33.75,33.92,33.82,33.86,33.84,33.86,33.88,33.81,33.87,33.79,33.80,33.72,33.87,33.86,33.79,33.94,33.91,33.88,33.93,26.17,33.87,33.94,26.53,33.88,33.89,33.83,33.86,33.83,33.78,33.92,33.83,33.95,33.85,33.88,396.0,107.8,255.7,237.9,263.9,242.3,239.8,288.1,255.0,295.0,418.0,495.0,205.0,231.9,266.6,132.3,194.6,170.0,102.8,0.0,254.5,89.7,0.0,236.3,230.7,232.2,223.8,243.6,322.4,204.9,311.5,205.9,302.5,310.3,9.25,9.33,9.16,43.7,0.0,0.00,0.00,0.00,0.00,,
