[Test Data]
Format 2
Experiment Type:,dry
Test Date:,25/10/2018,11:11:06
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\warmup3.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0090242,11:11:36,37.01,37.00,37.01,37.02,37.02,37.03,37.02,37.03,37.01,37.03,37.02,37.00,37.01,37.00,37.02,37.01,37.01,37.03,37.03,35.01,37.00,37.03,35.01,37.02,37.04,37.02,37.01,37.01,37.02,37.01,37.02,37.01,37.01,37.00,392.0,28.5,268.2,268.9,271.3,268.0,271.8,299.2,274.7,333.9,429.2,493.6,215.9,198.3,282.3,140.8,230.1,151.2,95.8,130.6,245.6,80.3,121.6,237.7,264.3,244.0,258.7,257.6,340.0,273.0,363.7,295.4,369.9,375.7,2.05,1.51,2.58,46.0,0.0,0.00,0.00,0.00,0.00,,
60.0240271,11:12:06,37.06,37.05,37.07,37.07,37.07,37.06,37.06,37.06,37.07,37.06,37.06,37.05,37.05,37.04,37.06,37.06,37.08,37.04,37.10,35.01,37.03,37.08,35.07,37.06,37.10,37.06,37.05,37.05,37.04,37.04,37.06,37.07,37.04,37.04,406.5,41.9,284.7,280.6,286.9,284.0,281.9,312.2,287.5,345.7,450.2,505.9,232.6,209.2,297.5,156.3,243.6,163.1,107.5,141.6,258.7,94.5,136.1,251.7,278.4,247.7,274.3,271.6,364.0,285.8,376.4,310.2,384.7,392.2,2.05,1.52,2.58,46.1,0.0,0.00,0.00,0.00,0.00,,
90.0390234,11:12:36,37.15,37.12,37.14,37.16,37.15,37.14,37.15,37.15,37.14,37.13,37.16,37.09,37.11,37.11,37.11,37.15,37.17,37.11,37.18,35.06,37.07,37.16,35.18,37.13,37.20,37.13,37.12,37.11,37.16,37.05,37.14,37.15,37.13,37.13,413.0,50.5,294.3,288.7,295.1,293.0,290.4,319.9,297.3,354.6,453.4,524.3,240.5,219.5,310.5,162.6,252.4,171.9,114.7,156.4,269.7,102.1,143.1,261.7,274.2,269.3,285.4,283.4,366.3,308.4,390.1,320.4,393.6,399.3,2.05,1.52,2.59,46.1,0.0,0.00,0.00,0.00,0.00,,
120.0530152,11:13:06,37.22,37.20,37.23,37.25,37.24,37.22,37.23,37.23,37.24,37.22,37.26,37.24,37.20,37.20,37.20,37.24,37.27,37.19,37.27,35.16,37.10,37.25,35.27,37.21,37.29,37.19,37.22,37.21,37.28,37.18,37.27,37.25,37.25,37.23,419.7,57.5,298.6,294.4,302.1,298.5,295.9,324.7,301.4,361.2,458.6,525.9,249.6,227.8,315.8,168.2,254.7,175.2,128.2,156.4,273.5,107.3,146.9,267.0,275.8,271.3,287.9,289.1,379.4,310.1,389.0,323.4,390.1,400.6,2.05,1.52,2.58,46.0,0.0,0.00,0.00,0.00,0.00,,
150.0690105,11:13:36,37.32,37.30,37.32,37.34,37.33,37.30,37.33,37.32,37.33,37.30,37.36,37.32,37.29,37.30,37.29,37.34,37.37,37.27,37.40,35.26,37.25,37.34,35.38,37.30,37.40,37.31,37.31,37.30,37.34,37.28,37.35,37.33,37.30,37.31,424.8,60.8,303.5,296.2,303.6,302.6,298.2,328.5,303.4,364.4,460.9,526.9,253.4,230.7,319.4,170.0,255.4,180.1,126.8,161.3,284.4,109.6,147.9,271.1,273.0,271.6,293.2,291.7,378.8,308.1,392.2,324.7,393.8,402.3,2.03,1.50,2.56,46.0,0.0,0.00,0.00,0.00,0.00,,
180.0812115,11:14:06,37.42,37.41,37.42,37.44,37.42,37.41,37.45,37.44,37.43,37.43,37.48,37.43,37.39,37.37,37.38,37.45,37.47,37.36,37.48,35.34,37.32,37.44,35.47,37.39,37.48,37.41,37.42,37.41,37.40,37.40,37.44,37.44,37.38,37.41,423.4,59.3,303.2,296.5,304.8,303.3,297.3,327.4,304.6,362.3,456.3,529.2,253.1,233.8,318.9,168.1,255.0,182.4,128.9,168.7,284.2,110.2,149.5,274.0,273.8,273.9,290.2,292.0,388.9,316.0,396.1,324.5,400.4,403.4,2.03,1.49,2.57,46.0,0.0,0.00,0.00,0.00,0.00,,
210.0982091,11:14:36,37.52,37.50,37.52,37.53,37.52,37.50,37.55,37.52,37.54,37.51,37.58,37.57,37.49,37.49,37.47,37.55,37.55,37.47,37.56,35.42,37.43,37.52,35.54,37.47,37.56,37.49,37.48,37.49,37.51,37.45,37.52,37.53,37.51,37.50,421.9,59.9,300.0,295.3,301.0,302.2,293.3,326.3,301.9,361.9,450.2,515.2,251.1,230.6,320.7,165.9,253.8,181.9,128.8,170.8,283.8,110.0,146.4,272.9,274.1,274.9,293.1,291.7,381.6,315.7,393.4,322.0,394.7,405.3,2.02,1.47,2.57,46.0,0.0,0.00,0.00,0.00,0.00,,
240.1107049,11:15:06,37.59,37.58,37.59,37.59,37.59,37.58,37.60,37.59,37.60,37.57,37.61,37.63,37.57,37.57,37.55,37.61,37.62,37.55,37.63,35.56,37.48,37.59,35.62,37.56,37.62,37.60,37.57,37.57,37.57,37.52,37.60,37.59,37.61,37.59,421.9,58.8,299.2,294.3,299.3,301.8,294.8,325.6,300.8,362.7,454.4,512.2,249.2,228.6,320.0,164.5,252.3,179.9,123.2,167.0,288.6,108.1,146.9,273.1,275.3,275.0,291.0,290.0,384.4,309.1,392.6,322.8,391.6,401.0,2.01,1.45,2.58,46.1,0.0,0.00,0.00,0.00,0.00,,
270.1272026,11:15:36,37.63,37.65,37.65,37.66,37.67,37.65,37.67,37.66,37.68,37.64,37.69,37.73,37.65,37.64,37.63,37.69,37.69,37.64,37.64,35.57,37.53,37.69,35.67,37.63,37.66,37.67,37.63,37.63,37.67,37.62,37.67,37.67,37.68,37.66,425.7,56.1,298.8,292.5,295.6,300.1,294.3,323.2,298.7,362.2,453.1,505.9,246.8,227.6,318.3,162.5,251.1,178.2,124.4,165.7,285.6,102.8,145.2,271.7,281.8,270.8,293.7,290.9,376.8,309.8,387.5,321.0,389.1,399.0,2.00,1.44,2.57,46.1,0.0,0.00,0.00,0.00,0.00,,
