[Test Data]
Format 2
Experiment Type:,dry
Test Date:,24/10/2018,10:59:01
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\LowCurv_RadOn_wind0_3.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0065461,10:59:31,34.00,34.82,34.02,34.01,34.01,34.01,34.00,34.02,34.01,34.02,34.02,34.06,34.00,34.01,34.01,34.00,34.02,34.00,34.00,26.66,34.01,34.00,26.84,34.01,33.99,34.00,33.99,33.98,34.00,34.03,34.02,33.98,34.00,33.99,240.3,0.0,158.5,162.8,162.3,168.2,166.5,184.2,160.9,207.2,257.0,271.3,133.0,102.9,175.6,77.5,138.9,115.2,72.4,0.0,187.5,54.5,0.0,174.9,163.0,158.6,157.1,170.7,222.1,179.1,220.7,190.4,229.0,228.4,10.37,9.82,10.92,40.7,0.0,0.00,0.00,0.00,0.00,,
60.0230467,11:00:01,34.01,34.82,34.02,34.00,34.00,34.02,34.01,34.02,34.02,34.01,34.03,34.06,34.01,34.01,34.01,34.00,34.02,34.00,34.00,26.68,34.01,34.01,26.85,34.01,34.01,34.01,34.00,33.99,34.01,34.01,34.00,33.99,34.01,34.01,236.8,0.0,159.1,161.8,163.4,165.9,166.0,183.2,161.4,206.8,253.4,270.6,131.7,103.8,174.4,76.9,138.2,114.8,70.9,0.0,183.5,56.8,0.0,174.9,162.7,156.9,155.3,169.3,220.7,177.2,220.6,189.8,229.3,225.2,10.39,9.84,10.94,40.5,0.0,0.00,0.00,0.00,0.00,,
90.0370504,11:00:31,34.03,34.84,34.02,34.01,34.02,34.02,34.01,34.03,34.02,34.02,34.04,34.07,34.01,34.01,34.01,34.01,34.01,33.99,33.99,26.69,34.03,34.01,26.86,34.02,34.02,34.00,34.01,34.00,34.00,34.00,34.01,33.99,34.00,34.01,236.7,0.0,158.3,162.3,162.6,164.1,164.8,181.6,160.7,204.6,252.9,268.5,133.6,102.5,173.8,76.8,139.1,115.0,71.3,0.0,184.7,56.9,0.0,174.4,161.2,157.0,156.5,168.5,222.3,176.8,222.5,190.1,229.4,226.6,10.42,9.88,10.98,40.4,0.0,0.00,0.00,0.00,0.00,,
120.0505929,11:01:01,34.01,34.86,34.02,34.01,34.01,34.02,34.01,34.03,34.02,34.01,34.03,34.06,34.02,34.01,34.01,34.01,34.01,34.00,34.00,26.70,34.01,34.01,26.86,34.02,34.00,34.02,34.01,34.00,34.01,34.01,34.02,34.00,34.00,34.03,236.6,0.0,157.3,160.3,161.4,162.4,164.9,179.4,158.6,202.5,251.5,268.0,131.7,102.6,173.8,75.2,137.8,114.9,71.9,0.0,184.5,56.6,0.0,173.2,159.5,155.2,153.3,166.4,223.0,178.7,220.7,190.4,229.0,227.4,10.45,9.90,11.01,40.3,0.0,0.00,0.00,0.00,0.00,,
150.0666003,11:01:31,34.02,34.86,34.01,34.01,34.01,34.03,34.00,34.03,34.02,34.02,34.03,34.02,34.00,34.01,34.01,34.01,34.00,34.00,34.00,26.72,34.01,34.01,26.86,34.01,34.01,34.00,34.00,34.01,34.00,34.01,34.00,34.00,34.00,33.99,236.7,0.0,157.6,161.8,162.7,161.5,165.0,179.7,158.5,202.0,252.0,271.3,131.6,103.0,174.1,75.8,138.8,115.7,73.3,0.0,183.5,56.3,0.0,172.8,160.1,155.9,153.2,168.3,220.7,175.3,221.5,187.3,228.1,229.5,10.48,9.92,11.05,40.3,0.0,0.00,0.00,0.00,0.00,,
180.080608,11:02:01,34.04,34.88,34.00,34.00,34.01,34.03,33.99,34.01,34.00,34.01,34.01,33.94,34.01,34.01,34.03,33.99,34.00,33.99,34.00,26.73,34.01,34.01,26.87,34.01,34.02,34.01,34.03,34.03,33.98,34.02,33.99,34.02,33.99,33.98,230.4,0.0,158.5,161.8,162.3,159.7,168.8,181.8,163.4,204.1,258.4,289.1,131.9,102.6,172.3,77.4,139.2,117.3,71.7,0.0,183.1,57.5,0.0,173.9,159.2,154.0,154.0,163.4,225.1,175.9,223.3,186.1,228.6,229.5,10.50,9.94,11.07,40.4,0.0,0.00,0.00,0.00,0.00,,
210.0956053,11:02:31,34.02,34.89,34.01,34.01,34.02,34.03,34.01,34.03,34.01,34.00,34.02,33.99,34.01,34.03,34.02,34.00,34.00,34.00,33.99,26.74,34.00,34.01,26.89,34.01,34.01,34.00,34.01,34.02,34.00,34.02,34.01,34.01,34.00,34.01,234.3,0.0,157.9,159.9,161.4,162.3,166.2,181.0,161.8,202.9,252.8,283.3,131.7,97.7,173.2,77.2,137.8,116.5,74.2,0.0,184.2,56.4,0.0,173.9,157.6,154.8,152.1,164.7,222.9,176.3,220.4,186.4,228.2,228.0,10.53,9.97,11.10,40.4,0.0,0.00,0.00,0.00,0.00,,
240.1111262,11:03:01,34.01,34.90,34.01,34.01,34.01,34.00,34.00,34.02,34.01,34.01,34.01,34.01,34.01,34.02,34.01,34.00,34.01,34.00,34.01,26.75,34.01,34.00,26.89,34.00,34.01,34.00,34.02,34.00,34.02,34.01,34.02,34.02,34.03,34.03,237.3,0.0,158.2,160.5,158.6,162.6,165.5,180.5,160.5,203.8,253.5,277.0,131.9,98.4,173.8,78.0,138.6,115.5,70.3,0.0,183.0,55.8,0.0,173.8,159.2,155.1,155.0,165.9,218.1,175.0,219.3,186.1,227.9,224.0,10.55,9.98,11.11,40.4,0.0,0.00,0.00,0.00,0.00,,
270.1251284,11:03:31,33.99,34.91,34.01,34.01,33.99,34.00,34.00,34.03,34.01,34.01,34.02,34.02,34.01,34.02,34.00,34.01,34.02,34.01,34.01,26.76,34.02,34.01,26.88,34.00,34.02,34.01,34.01,34.01,34.01,34.00,34.04,34.01,34.01,34.05,240.4,0.2,157.5,160.2,161.7,162.8,165.6,178.8,160.2,203.0,251.1,275.1,130.6,99.0,174.5,77.2,137.0,113.8,72.8,0.0,183.3,56.1,0.0,173.2,157.7,154.5,153.9,165.5,223.6,175.6,216.0,185.3,227.0,222.4,10.56,9.99,11.13,40.4,0.0,0.00,0.00,0.00,0.00,,
