[Test Data]
Format 2
Experiment Type:,dry
Test Date:,24/10/2018,09:50:54
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\LowCurv_RadOn_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0165406,09:51:24,35.32,34.28,34.63,34.48,34.67,34.63,34.64,34.66,34.54,34.78,35.25,36.19,34.53,34.84,34.73,34.55,34.51,34.47,34.50,21.76,34.43,34.35,23.99,34.43,34.64,34.69,34.61,34.66,34.64,34.61,34.60,34.65,34.50,34.47,448.5,70.7,277.3,257.2,280.8,248.9,260.8,322.7,252.0,354.9,428.8,457.7,223.0,203.7,301.3,137.7,237.6,242.1,170.6,0.0,308.3,118.3,0.0,282.5,255.5,285.0,254.5,296.8,333.6,219.4,331.4,225.9,329.4,342.9,8.97,8.96,8.96,42.8,0.0,0.00,0.00,0.00,0.00,,
60.0290397,09:51:54,35.28,34.31,34.63,34.47,34.65,34.63,34.63,34.66,34.58,34.87,35.13,36.15,34.53,34.81,34.70,34.54,34.53,34.57,34.54,21.85,34.45,34.34,24.12,34.46,34.66,34.67,34.63,34.67,34.59,34.61,34.60,34.63,34.55,34.51,422.8,60.5,261.0,250.5,267.5,232.6,248.6,307.1,233.8,327.4,418.9,409.4,211.0,190.6,290.0,123.4,221.5,222.1,147.6,0.0,295.1,110.3,0.0,266.5,245.5,273.4,239.1,277.3,321.0,204.5,319.4,214.1,319.5,330.9,8.93,8.91,8.95,42.9,0.0,0.00,0.00,0.00,0.00,,
90.0420407,09:52:24,35.17,34.32,34.57,34.44,34.61,34.60,34.58,34.63,34.56,34.84,34.97,35.81,34.50,34.72,34.65,34.53,34.50,34.63,34.52,21.98,34.46,34.33,24.23,34.47,34.59,34.65,34.59,34.63,34.52,34.53,34.53,34.57,34.50,34.47,411.5,52.6,254.9,243.8,257.3,222.4,242.4,296.3,224.8,312.4,420.5,406.0,204.4,186.2,282.6,115.6,210.5,206.2,141.0,0.0,284.3,107.2,0.0,257.1,234.8,253.7,229.0,268.2,318.2,203.2,313.1,209.1,307.0,322.4,8.88,8.85,8.91,42.9,0.0,0.00,0.00,0.00,0.00,,
120.0575435,09:52:54,35.07,34.30,34.54,34.41,34.56,34.55,34.54,34.60,34.48,34.78,34.86,35.45,34.45,34.63,34.60,34.48,34.46,34.63,34.50,22.17,34.43,34.30,24.34,34.45,34.55,34.61,34.56,34.61,34.50,34.44,34.50,34.51,34.48,34.45,399.4,47.9,246.9,238.9,251.9,218.6,236.7,289.4,221.8,302.1,418.1,432.8,199.8,181.4,276.6,109.8,205.8,197.2,129.8,0.0,275.7,100.3,0.0,250.7,229.3,249.6,222.1,257.7,307.3,196.8,306.1,204.3,302.6,316.6,8.85,8.79,8.89,43.0,0.0,0.00,0.00,0.00,0.00,,
150.0710444,09:53:24,34.92,34.28,34.48,34.38,34.52,34.49,34.50,34.55,34.42,34.69,34.78,35.13,34.41,34.56,34.53,34.42,34.41,34.61,34.46,22.30,34.42,34.26,24.45,34.43,34.48,34.54,34.51,34.56,34.46,34.44,34.45,34.44,34.44,34.41,395.5,44.2,241.6,235.1,247.5,214.7,230.7,282.4,220.1,298.0,410.4,453.0,196.8,180.2,274.7,108.6,201.7,189.1,117.8,0.0,271.0,99.8,0.0,244.9,225.0,243.3,218.3,252.5,304.0,195.1,305.0,202.8,298.2,312.0,8.81,8.74,8.88,43.1,0.0,0.00,0.00,0.00,0.00,,
180.0870485,09:53:54,34.86,34.26,34.44,34.34,34.46,34.43,34.45,34.50,34.36,34.63,34.67,34.92,34.38,34.49,34.47,34.36,34.37,34.59,34.37,22.43,34.38,34.24,24.55,34.40,34.46,34.50,34.46,34.50,34.42,34.36,34.40,34.36,34.41,34.37,387.3,42.5,238.7,231.7,243.2,214.2,226.2,279.3,218.5,293.9,413.3,465.2,193.0,179.1,273.3,107.5,198.4,181.1,122.2,0.0,263.9,98.2,0.0,239.6,215.4,245.6,213.3,248.7,297.7,198.1,302.0,203.7,290.2,309.2,8.81,8.73,8.89,43.2,0.0,0.00,0.00,0.00,0.00,,
210.1020481,09:54:24,34.77,34.25,34.41,34.32,34.44,34.40,34.43,34.47,34.33,34.56,34.63,34.82,34.34,34.45,34.44,34.33,34.35,34.55,34.38,22.57,34.39,34.23,24.64,34.36,34.40,34.45,34.42,34.45,34.36,34.31,34.37,34.34,34.32,34.35,380.4,38.3,234.0,228.4,237.1,209.6,220.2,273.6,217.6,289.1,399.3,461.9,189.3,174.9,269.0,104.1,193.2,176.0,114.3,0.0,262.5,94.2,0.0,235.1,221.9,238.8,209.0,243.3,300.4,195.8,299.5,201.1,289.3,304.3,8.82,8.72,8.93,43.1,0.0,0.00,0.00,0.00,0.00,,
240.1160463,09:54:54,34.69,34.23,34.39,34.30,34.37,34.34,34.39,34.42,34.28,34.48,34.55,34.66,34.32,34.41,34.42,34.29,34.32,34.49,34.30,22.71,34.33,34.22,24.71,34.34,34.36,34.39,34.40,34.42,34.37,34.29,34.32,34.31,34.32,34.32,375.4,35.4,228.2,222.8,235.9,209.3,217.2,269.5,215.8,288.5,396.2,468.8,187.6,170.7,261.4,104.6,189.8,171.1,121.6,0.0,257.1,90.3,0.0,231.3,214.3,234.0,204.6,239.9,293.4,186.6,296.1,199.6,288.9,302.8,8.85,8.73,8.99,43.0,0.0,0.00,0.00,0.00,0.00,,
270.130054,09:55:24,34.64,34.20,34.35,34.27,34.34,34.30,34.37,34.40,34.24,34.42,34.51,34.53,34.28,34.36,34.38,34.27,34.27,34.45,34.29,22.85,34.29,34.19,24.78,34.31,34.32,34.37,34.34,34.37,34.31,34.23,34.28,34.25,34.28,34.28,370.0,34.7,224.6,219.2,233.7,208.6,210.9,263.7,217.1,289.0,390.5,477.6,185.0,170.0,258.1,103.0,189.4,169.1,117.3,0.0,256.0,87.6,0.0,229.3,216.7,231.0,202.1,237.5,291.3,196.4,295.0,200.1,290.1,301.0,8.91,8.76,9.06,42.7,0.0,0.00,0.00,0.00,0.00,,
