[Test Data]
Format 2
Experiment Type:,dry
Test Date:,25/10/2018,17:39:43
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\MidCurv_RadOff_wind0_3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.018717,17:40:13,37.97,37.94,37.96,37.97,37.95,37.96,37.95,37.98,37.98,38.00,37.91,37.93,37.98,37.76,37.98,37.97,37.99,37.99,38.02,36.21,38.00,38.00,36.20,38.00,38.00,37.96,37.99,38.00,38.02,37.97,37.98,38.01,38.00,37.98,382.2,48.1,262.6,269.3,266.1,269.2,265.4,298.5,272.1,322.5,442.7,479.9,216.9,227.8,286.3,136.2,225.9,156.2,86.5,174.5,253.9,71.9,161.6,237.5,245.0,247.1,249.9,260.4,351.4,291.9,360.5,302.8,381.5,352.6,1.88,1.43,2.30,47.1,0.0,0.00,0.00,0.00,0.00,,
60.0334337,17:40:43,37.94,37.90,37.95,37.96,37.95,37.95,37.96,37.98,37.96,37.98,37.91,37.91,37.98,37.72,37.97,37.98,37.98,37.99,38.04,36.27,37.99,38.00,36.29,38.00,37.96,38.00,38.00,37.99,38.00,38.01,37.97,37.99,37.99,37.97,386.3,55.0,266.3,270.9,267.2,271.6,265.8,298.8,272.3,326.0,446.1,484.0,218.8,243.3,289.7,137.1,229.1,157.5,86.9,162.1,259.9,72.9,145.0,238.0,244.2,243.2,248.1,260.1,343.7,285.5,359.2,303.1,383.5,354.5,1.81,1.41,2.20,47.3,0.0,0.00,0.00,0.00,0.00,,
90.0481505,17:41:13,37.94,37.86,37.95,37.97,37.96,37.95,37.96,37.98,37.98,37.98,37.93,37.91,37.98,37.75,37.97,37.97,37.99,37.99,38.02,36.30,37.96,38.00,36.31,38.00,37.96,37.98,37.98,37.99,38.01,37.97,37.99,37.99,37.97,37.98,387.3,62.3,268.7,269.8,267.6,272.2,266.2,299.6,272.6,325.7,444.1,486.6,219.6,245.8,289.8,138.0,227.1,158.8,86.2,153.3,260.9,73.2,133.8,236.7,250.9,248.3,251.7,260.5,343.8,286.2,355.9,305.9,380.4,355.5,1.74,1.37,2.10,47.4,0.0,0.00,0.00,0.00,0.00,,
120.0628672,17:41:43,37.94,37.85,37.95,37.97,37.96,37.95,37.96,37.99,37.98,38.00,37.96,37.94,37.99,37.77,37.96,37.97,38.00,37.98,37.98,36.30,38.00,38.00,36.30,38.00,38.00,37.97,37.98,37.99,37.93,37.96,37.99,37.98,38.00,37.98,386.9,66.6,268.3,272.2,266.9,274.8,267.0,298.3,272.0,323.9,441.6,484.8,219.8,248.2,291.9,137.2,227.1,160.7,79.9,148.0,258.9,71.7,126.5,237.4,248.4,252.0,252.7,262.9,348.0,295.7,356.0,304.4,382.3,354.7,1.68,1.34,2.00,47.6,0.0,0.00,0.00,0.00,0.00,,
150.077584,17:42:13,37.94,37.85,37.96,37.97,37.98,37.95,37.97,37.99,37.99,37.98,37.96,37.97,37.98,37.80,37.97,37.97,38.00,37.98,37.99,36.28,37.99,38.01,36.28,38.00,37.93,37.98,37.97,37.99,37.99,37.97,37.97,37.99,37.96,37.99,389.6,71.0,269.4,273.5,265.2,275.9,267.4,298.1,272.1,326.0,442.6,482.7,220.6,249.9,291.6,137.7,226.6,162.5,85.4,146.0,257.5,73.4,123.8,238.4,250.3,244.4,254.9,262.9,349.9,291.8,355.7,304.5,380.5,355.1,1.61,1.30,1.91,47.8,0.0,0.00,0.00,0.00,0.00,,
180.0913006,17:42:43,37.93,37.86,37.96,37.97,37.98,37.95,37.96,37.99,37.99,37.98,37.97,37.98,37.99,37.82,37.96,37.98,37.99,37.98,38.00,36.27,37.97,38.01,36.25,38.00,37.96,38.00,37.98,37.99,38.02,38.01,37.99,37.99,37.95,38.00,390.8,73.8,270.2,273.0,267.0,276.9,267.8,299.2,273.3,327.4,442.0,480.9,220.0,248.9,291.8,136.9,227.9,160.6,82.6,138.7,260.6,73.3,120.9,237.7,247.0,247.2,252.6,263.3,351.0,288.7,355.4,306.0,379.6,352.8,1.55,1.26,1.84,47.9,0.0,0.00,0.00,0.00,0.00,,
210.1060174,17:43:13,37.97,37.87,37.96,37.97,37.97,37.95,37.96,37.99,37.99,38.00,37.98,38.02,37.98,37.84,37.98,37.97,37.99,37.97,38.00,36.23,37.99,37.99,36.23,38.00,38.01,37.98,37.98,37.99,38.01,37.99,38.01,38.00,38.03,38.01,387.3,73.7,271.1,273.1,267.7,276.1,270.1,299.7,272.1,323.6,438.9,472.7,220.8,249.0,292.5,139.5,226.0,162.2,84.2,136.7,260.7,72.6,118.1,237.7,243.8,249.3,254.0,262.0,347.3,289.6,352.1,306.4,386.7,353.0,1.52,1.24,1.79,48.0,0.0,0.00,0.00,0.00,0.00,,
240.1207341,17:43:43,38.01,37.87,37.96,37.97,37.97,37.96,37.95,37.99,37.99,37.99,37.96,38.01,37.98,37.88,37.98,37.97,37.98,37.98,38.00,36.21,37.99,37.99,36.19,38.00,37.97,37.99,38.00,38.00,37.96,37.98,38.00,37.99,38.03,37.99,382.2,76.5,271.9,275.4,267.0,277.3,270.6,299.2,273.2,325.6,444.7,474.4,220.0,250.8,294.8,138.3,228.4,162.5,82.9,141.3,258.8,73.1,117.9,236.7,246.9,241.2,251.4,262.7,349.7,298.6,354.3,305.5,381.3,354.1,1.49,1.24,1.74,48.0,0.0,0.00,0.00,0.00,0.00,,
270.1354509,17:44:13,37.98,37.89,37.96,37.98,37.98,37.98,37.95,37.99,37.98,37.99,37.98,38.03,37.99,37.90,38.00,37.96,37.98,37.97,38.01,36.18,37.98,38.00,36.17,38.00,38.00,38.00,38.01,37.99,38.02,38.00,38.00,38.01,38.01,38.00,384.8,76.8,273.0,272.8,267.5,275.3,273.5,299.4,274.1,325.3,443.7,470.4,221.8,248.5,289.6,138.4,231.1,162.3,84.1,135.9,256.7,74.3,118.7,235.4,247.0,242.0,250.6,262.8,350.9,292.6,352.0,302.5,378.8,351.9,1.47,1.23,1.71,48.0,0.0,0.00,0.00,0.00,0.00,,
