[Test Data]
Format 2
Experiment Type:,dry
Test Date:,24/10/2018,12:53:14
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\MidCurv_RadOff_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.011009,12:53:44,35.07,34.23,34.43,34.37,34.52,34.45,34.47,34.50,34.37,34.51,35.09,35.45,34.41,34.53,34.57,34.29,34.39,34.24,34.35,21.44,34.23,34.23,23.89,34.23,34.50,34.46,34.43,34.45,34.43,34.51,34.48,34.45,34.38,34.35,527.3,129.9,339.4,305.3,330.7,294.6,318.9,358.4,309.1,413.3,548.5,675.5,268.0,286.2,343.8,164.3,273.6,274.3,202.5,0.0,328.2,140.1,0.0,321.0,302.9,331.6,302.1,337.6,379.5,261.0,372.8,274.7,362.5,370.7,8.90,9.08,8.72,42.8,0.0,0.00,0.00,0.00,0.00,,
60.0245001,12:54:14,35.32,34.32,34.64,34.50,34.65,34.60,34.66,34.66,34.51,34.71,35.28,35.97,34.56,34.74,34.77,34.40,34.51,34.44,34.49,21.61,34.39,34.31,24.00,34.38,34.64,34.67,34.56,34.67,34.58,34.64,34.59,34.63,34.49,34.45,457.1,113.9,288.6,271.8,295.8,263.9,277.9,321.6,274.6,371.2,460.0,536.8,231.3,239.8,296.4,141.2,243.6,253.7,173.6,0.0,304.4,122.7,0.0,295.0,267.1,288.2,266.0,292.7,342.5,215.6,339.8,231.6,336.2,345.5,8.87,9.04,8.68,42.9,0.0,0.00,0.00,0.00,0.00,,
90.0389979,12:54:44,35.32,34.34,34.68,34.52,34.66,34.62,34.70,34.70,34.55,34.78,35.21,35.97,34.57,34.75,34.77,34.41,34.55,34.54,34.52,21.78,34.45,34.34,24.11,34.46,34.65,34.72,34.62,34.73,34.60,34.62,34.61,34.65,34.52,34.51,423.0,103.4,270.2,257.6,274.2,247.5,257.5,302.0,258.6,343.9,439.9,471.0,218.3,220.7,281.0,130.0,225.7,237.6,154.6,0.0,289.8,112.8,0.0,275.6,251.4,263.9,251.3,265.4,325.7,210.6,326.0,215.5,322.5,329.2,8.83,9.00,8.64,42.8,0.0,0.00,0.00,0.00,0.00,,
120.0539926,12:55:14,35.28,34.34,34.66,34.50,34.65,34.60,34.67,34.69,34.53,34.79,35.10,35.75,34.54,34.70,34.72,34.38,34.53,34.58,34.51,21.94,34.46,34.34,24.21,34.48,34.63,34.71,34.61,34.72,34.58,34.60,34.57,34.59,34.52,34.51,401.1,95.4,257.3,249.2,263.9,239.7,245.4,288.6,247.0,325.5,427.9,459.8,209.8,210.9,272.3,123.8,213.9,222.3,140.5,0.0,279.1,103.8,0.0,262.8,238.2,246.2,237.1,250.6,317.1,200.4,318.0,205.4,309.0,318.3,8.77,8.93,8.59,42.8,0.0,0.00,0.00,0.00,0.00,,
150.0694897,12:55:44,35.17,34.32,34.62,34.47,34.62,34.56,34.63,34.64,34.50,34.75,34.96,35.49,34.51,34.62,34.66,34.35,34.49,34.61,34.48,22.09,34.46,34.30,24.31,34.46,34.57,34.70,34.60,34.66,34.55,34.53,34.51,34.55,34.47,34.49,388.6,91.5,248.3,244.7,256.1,232.3,237.9,279.3,238.4,313.1,424.1,467.8,202.1,205.9,264.4,119.9,207.5,207.7,133.9,0.0,269.8,98.9,0.0,253.5,233.0,236.6,225.4,243.4,309.7,197.1,315.8,200.8,299.6,309.8,8.72,8.89,8.55,42.9,0.0,0.00,0.00,0.00,0.00,,
180.082491,12:56:14,35.06,34.30,34.57,34.43,34.55,34.52,34.58,34.59,34.46,34.70,34.84,35.25,34.45,34.54,34.59,34.32,34.45,34.60,34.45,22.23,34.46,34.28,24.40,34.45,34.53,34.63,34.54,34.62,34.48,34.45,34.49,34.48,34.44,34.43,379.2,87.2,244.3,241.2,249.2,226.8,233.7,273.0,233.6,303.2,421.2,471.3,199.7,204.2,260.9,117.3,201.7,198.3,128.6,0.0,263.9,95.1,0.0,247.1,226.9,228.6,218.5,236.9,306.3,195.6,313.0,200.9,299.0,307.7,8.68,8.83,8.52,42.9,0.0,0.00,0.00,0.00,0.00,,
210.0974919,12:56:44,34.96,34.27,34.51,34.38,34.49,34.47,34.51,34.54,34.40,34.64,34.72,35.02,34.41,34.48,34.53,34.28,34.41,34.58,34.41,22.38,34.42,34.27,24.50,34.41,34.47,34.58,34.49,34.55,34.45,34.38,34.40,34.43,34.41,34.40,372.0,84.0,240.1,239.6,246.7,222.6,231.4,269.6,231.2,296.8,421.9,479.1,196.4,202.7,257.6,115.5,197.3,189.8,124.1,0.0,257.5,92.7,0.0,242.3,225.5,227.5,217.5,232.7,301.3,193.6,310.5,197.4,294.0,299.2,8.65,8.78,8.50,43.0,0.0,0.00,0.00,0.00,0.00,,
240.1129914,12:57:14,34.83,34.24,34.45,34.34,34.43,34.41,34.45,34.48,34.35,34.55,34.63,34.78,34.36,34.41,34.45,34.25,34.35,34.55,34.38,22.52,34.38,34.23,24.56,34.39,34.42,34.49,34.42,34.49,34.40,34.32,34.38,34.37,34.37,34.36,370.6,82.3,238.1,239.0,245.2,221.7,228.2,265.1,230.0,296.9,418.2,498.3,193.9,204.2,257.1,114.5,195.6,183.7,121.1,0.0,252.2,92.4,0.0,237.8,224.1,224.9,218.2,229.0,299.2,192.4,309.4,198.8,292.2,298.3,8.63,8.76,8.50,43.1,0.0,0.00,0.00,0.00,0.00,,
270.126979,12:57:44,34.73,34.22,34.41,34.30,34.37,34.36,34.40,34.43,34.28,34.49,34.55,34.64,34.32,34.33,34.43,34.21,34.31,34.50,34.30,22.65,34.34,34.20,24.65,34.35,34.37,34.42,34.39,34.42,34.35,34.28,34.30,34.30,34.31,34.32,367.3,80.9,238.7,238.9,241.5,220.2,226.7,262.1,233.2,295.0,416.9,505.7,192.3,205.5,254.0,115.9,194.6,178.6,122.4,0.0,250.7,88.8,0.0,235.0,220.1,225.4,212.0,229.1,298.0,198.1,310.4,198.0,289.9,300.4,8.63,8.76,8.52,43.0,0.0,0.00,0.00,0.00,0.00,,
