[Test Data]
Format 2
Experiment Type:,dry
Test Date:,24/10/2018,12:08:00
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\MidCurv_RadOff_wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0060226,12:08:30,32.67,33.62,33.23,33.39,33.28,33.35,33.34,33.17,33.40,33.07,32.96,32.55,33.35,33.26,33.13,33.58,33.47,33.28,33.49,25.39,33.43,33.65,26.07,33.45,33.33,33.18,33.31,33.21,33.33,33.53,33.35,33.50,33.41,33.39,625.1,185.9,379.8,347.1,379.7,336.7,360.7,400.6,345.7,437.8,677.3,885.7,325.3,361.3,392.2,203.9,301.3,251.7,212.8,0.0,310.1,159.6,0.0,299.3,343.0,362.1,329.1,380.0,421.2,327.6,408.2,323.4,387.1,394.6,10.02,10.24,9.81,40.9,0.0,0.00,0.00,0.00,0.00,,
60.0195224,12:09:00,32.79,33.67,33.31,33.44,33.33,33.40,33.39,33.24,33.47,33.16,33.07,32.76,33.42,33.36,33.21,33.64,33.52,33.31,33.49,25.16,33.45,33.70,25.94,33.47,33.38,33.24,33.38,33.28,33.41,33.58,33.41,33.56,33.48,33.43,636.3,186.3,386.1,351.0,384.9,341.6,364.1,406.9,348.0,443.5,682.4,884.0,328.2,368.2,398.2,201.3,306.9,260.3,219.9,0.0,314.7,160.8,0.0,304.6,351.6,369.7,335.5,386.3,425.1,332.1,411.7,325.0,387.2,398.3,10.00,10.23,9.76,40.7,0.0,0.00,0.00,0.00,0.00,,
90.0360203,12:09:30,32.90,33.70,33.37,33.48,33.40,33.44,33.44,33.32,33.48,33.20,33.15,32.80,33.48,33.42,33.29,33.64,33.54,33.33,33.52,24.96,33.52,33.70,25.82,33.50,33.45,33.29,33.41,33.34,33.47,33.59,33.45,33.60,33.51,33.47,640.4,186.0,390.8,354.0,390.8,346.7,367.9,408.7,354.3,454.1,691.3,905.8,331.5,370.3,402.5,207.0,313.2,267.9,223.9,0.0,320.9,163.1,0.0,310.1,352.6,374.8,343.6,393.5,432.8,334.7,420.1,326.8,391.7,404.3,9.94,10.18,9.69,40.7,0.0,0.00,0.00,0.00,0.00,,
120.0490254,12:10:00,33.02,33.75,33.42,33.53,33.45,33.49,33.48,33.37,33.54,33.27,33.23,32.92,33.52,33.51,33.35,33.70,33.59,33.37,33.55,24.77,33.50,33.74,25.67,33.54,33.49,33.40,33.47,33.39,33.48,33.63,33.51,33.63,33.53,33.53,645.7,187.6,398.0,358.1,395.5,352.5,373.0,411.4,359.3,461.3,698.6,920.8,334.8,376.4,406.8,207.5,319.3,274.3,228.8,0.0,328.5,167.5,0.0,314.1,358.7,375.7,347.6,397.6,433.4,333.3,421.9,330.7,395.1,407.9,9.80,10.08,9.48,40.7,0.0,0.00,0.00,0.00,0.00,,
150.0630394,12:10:30,33.09,33.77,33.48,33.56,33.50,33.53,33.52,33.41,33.59,33.34,33.30,33.03,33.56,33.55,33.40,33.74,33.62,33.43,33.60,24.58,33.56,33.75,25.57,33.56,33.50,33.43,33.52,33.44,33.51,33.67,33.55,33.68,33.57,33.57,653.6,186.5,401.8,364.3,400.1,357.1,377.3,417.1,362.3,465.5,708.0,927.3,338.9,380.1,413.5,209.5,322.8,278.3,236.7,0.0,330.6,169.0,0.0,320.5,363.6,385.0,352.2,401.0,435.1,335.2,425.5,335.0,401.9,414.0,9.60,9.93,9.21,40.9,0.0,0.00,0.00,0.00,0.00,,
180.0765624,12:11:00,33.17,33.80,33.53,33.60,33.53,33.57,33.56,33.45,33.63,33.40,33.35,33.15,33.61,33.60,33.45,33.73,33.64,33.45,33.65,24.37,33.59,33.79,25.45,33.59,33.54,33.47,33.54,33.49,33.54,33.71,33.57,33.71,33.62,33.61,662.3,187.4,405.0,369.8,404.6,360.8,381.2,421.3,362.4,471.3,715.3,930.6,343.1,377.9,417.7,211.8,328.4,282.4,238.3,0.0,336.1,170.5,0.0,325.8,373.2,386.5,357.1,402.7,444.9,338.7,431.6,333.6,394.8,417.4,9.38,9.74,8.96,41.2,0.0,0.00,0.00,0.00,0.00,,
210.0930635,12:11:30,33.25,33.83,33.56,33.62,33.58,33.61,33.60,33.50,33.68,33.45,33.41,33.24,33.65,33.63,33.51,33.79,33.68,33.51,33.69,24.19,33.59,33.81,25.31,33.61,33.56,33.50,33.58,33.54,33.60,33.73,33.61,33.75,33.66,33.65,665.3,187.5,409.6,372.6,405.9,362.7,385.1,426.6,363.4,474.5,724.2,936.9,346.7,382.8,420.9,215.3,331.6,288.1,235.6,0.0,336.2,171.1,0.0,329.1,370.2,396.7,361.7,405.9,447.9,343.5,433.8,336.1,404.8,420.4,9.14,9.55,8.68,41.5,0.0,0.00,0.00,0.00,0.00,,
240.1500732,12:12:00,33.35,33.85,33.62,33.67,33.62,33.64,33.64,33.56,33.70,33.50,33.48,33.26,33.70,33.69,33.58,33.81,33.71,33.53,33.68,24.00,33.62,33.83,25.21,33.64,33.65,33.59,33.62,33.57,33.61,33.78,33.65,33.75,33.66,33.68,669.2,189.1,410.8,372.6,410.4,367.5,387.1,427.0,367.4,479.2,727.2,953.5,347.0,382.3,421.8,214.9,334.3,290.2,245.6,0.0,344.2,173.6,0.0,333.1,371.3,392.1,365.4,411.8,454.8,340.2,438.3,340.3,405.1,420.4,8.97,9.39,8.52,41.8,0.0,0.00,0.00,0.00,0.00,,
270.1515772,12:12:30,33.42,33.89,33.66,33.71,33.67,33.69,33.68,33.62,33.73,33.55,33.52,33.34,33.73,33.73,33.64,33.84,33.75,33.59,33.75,23.83,33.66,33.84,25.10,33.68,33.69,33.63,33.67,33.64,33.65,33.78,33.69,33.77,33.73,33.72,671.0,187.0,412.5,373.9,410.6,367.5,387.3,426.8,370.7,482.4,735.1,961.3,349.4,380.7,421.2,213.4,334.5,293.4,238.7,0.0,344.8,173.5,0.0,336.4,368.9,399.4,365.8,410.2,455.0,343.3,438.8,343.7,412.3,423.4,8.84,9.26,8.41,42.1,0.0,0.00,0.00,0.00,0.00,,
