[Test Data]
Format 2
Experiment Type:,dry
Test Date:,25/10/2018,16:18:52
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\MidCurv_RadOn_wind0_3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0177169,16:19:22,38.15,38.35,38.01,38.02,38.01,38.01,38.00,38.02,38.01,38.01,38.02,38.01,37.98,38.03,38.01,38.02,38.02,38.05,38.03,37.82,37.98,38.02,37.80,38.01,37.97,38.00,38.00,38.01,38.05,37.99,38.02,38.01,38.03,38.00,383.8,112.6,257.6,265.3,256.7,272.0,256.3,293.0,266.4,323.0,435.1,474.8,205.9,208.6,284.9,137.0,220.8,155.4,87.5,171.8,257.1,70.4,154.1,242.2,253.1,238.3,249.6,258.0,340.5,300.4,356.0,305.9,382.1,367.2,1.81,1.32,2.29,49.3,0.0,0.00,0.00,0.00,0.00,,
60.0324337,16:19:52,38.13,38.40,38.00,38.00,38.00,38.01,38.01,37.99,37.99,38.00,38.00,37.99,37.99,38.03,38.00,38.03,38.01,38.04,38.02,37.72,38.02,38.02,37.73,38.02,37.96,38.01,37.99,38.00,38.01,38.00,38.01,37.98,37.99,38.00,384.6,98.9,257.6,267.7,259.8,270.9,256.4,295.6,269.6,326.1,437.2,478.0,203.6,207.0,288.1,136.1,220.9,154.3,82.2,147.8,255.3,70.0,127.1,241.4,251.6,235.8,251.0,259.0,341.6,294.7,356.2,310.2,379.3,368.7,1.78,1.32,2.25,49.1,0.0,0.00,0.00,0.00,0.00,,
90.0471504,16:20:22,38.11,38.41,37.99,38.00,37.98,37.99,38.01,37.98,37.99,37.98,38.01,37.95,37.98,38.00,37.99,38.02,38.00,38.04,38.02,37.58,38.00,38.01,37.59,38.02,37.97,38.00,37.98,37.99,38.02,37.99,37.99,37.98,38.01,38.00,385.4,88.4,260.2,267.6,262.7,272.5,256.2,297.8,271.3,327.5,436.5,483.1,208.3,209.8,289.0,137.6,222.6,153.7,80.6,130.9,257.5,70.7,108.8,240.1,253.6,237.8,254.5,260.6,347.1,302.1,359.0,312.1,376.1,362.3,1.75,1.29,2.20,49.0,0.0,0.00,0.00,0.00,0.00,,
120.0618672,16:20:52,38.12,38.39,37.98,37.99,37.97,37.99,37.99,37.97,37.98,37.99,37.99,37.95,37.97,38.02,37.99,38.01,38.01,38.04,38.01,37.41,38.00,38.01,37.41,38.02,38.00,38.00,38.00,37.98,37.99,38.00,38.01,37.98,38.00,38.01,383.6,80.1,261.4,270.1,265.1,273.6,258.4,300.5,272.8,328.1,443.2,483.4,208.8,210.1,289.2,137.5,222.6,153.6,80.8,121.2,254.6,70.7,97.9,240.4,250.2,238.0,252.2,261.5,341.6,305.0,355.4,313.2,375.3,366.8,1.73,1.28,2.17,49.0,0.0,0.00,0.00,0.00,0.00,,
150.0765839,16:21:22,38.10,38.38,37.97,38.00,37.97,37.99,37.99,37.98,37.98,37.98,38.00,37.97,37.97,38.01,38.00,38.01,38.00,38.04,38.03,37.24,38.02,38.00,37.23,38.02,37.97,38.00,38.00,37.99,38.00,38.00,38.00,37.97,38.01,37.99,380.5,73.3,262.8,269.8,266.5,273.8,259.0,300.5,273.2,329.7,439.7,481.5,209.5,209.3,289.0,137.2,223.8,152.1,77.4,109.5,254.9,71.6,91.8,239.0,255.4,238.3,253.2,261.5,349.3,295.4,358.6,312.9,380.4,368.2,1.71,1.27,2.14,48.9,0.0,0.00,0.00,0.00,0.00,,
180.0913006,16:21:52,38.09,38.35,37.98,38.00,37.98,37.99,38.00,38.00,37.99,37.99,38.03,38.00,37.97,38.02,38.00,38.00,38.01,38.02,37.97,37.07,38.01,38.01,37.05,38.01,37.99,38.00,38.00,37.99,37.97,37.97,38.00,37.99,37.99,38.00,381.8,71.0,262.3,269.2,264.2,274.7,257.9,300.0,272.5,327.7,433.3,477.2,209.7,208.4,288.4,135.1,220.9,154.0,83.0,112.2,256.2,71.3,91.8,239.5,248.1,238.4,252.5,260.0,349.6,302.1,353.9,310.7,381.0,368.7,1.70,1.26,2.13,48.9,0.0,0.00,0.00,0.00,0.00,,
210.1050173,16:22:22,38.08,38.32,37.97,37.99,37.99,38.00,37.99,38.01,38.00,38.00,38.03,38.01,37.97,38.02,37.99,38.01,38.00,38.02,38.01,36.94,38.04,38.00,36.90,38.01,38.00,38.00,37.99,37.99,38.01,38.02,38.03,38.01,38.00,38.00,380.1,67.8,264.2,268.6,265.6,273.1,258.0,297.8,271.8,327.0,433.4,475.3,212.4,210.4,288.6,135.9,221.0,153.2,79.8,113.0,255.9,70.7,92.1,239.7,252.9,237.3,253.9,260.1,346.7,296.7,351.0,309.5,377.9,364.8,1.69,1.26,2.12,48.7,0.0,0.00,0.00,0.00,0.00,,
240.1197341,16:22:52,38.08,38.29,37.99,38.01,38.00,38.00,38.00,38.02,38.01,37.99,38.05,38.05,37.97,38.02,38.00,38.01,38.02,38.02,38.00,36.80,37.99,38.00,36.77,38.02,38.00,38.00,37.99,37.99,38.04,38.02,38.02,37.99,38.01,38.03,379.1,65.0,261.7,268.0,263.1,272.9,258.3,296.2,270.0,328.5,427.2,472.0,211.2,207.8,288.3,135.0,220.2,153.4,84.9,114.6,255.1,70.6,95.3,239.1,254.4,238.5,254.0,261.4,341.9,297.6,348.1,311.1,374.1,362.0,1.68,1.25,2.12,48.7,0.0,0.00,0.00,0.00,0.00,,
270.1344508,16:23:22,38.07,38.26,37.99,38.00,38.00,37.99,38.00,38.01,38.02,38.01,38.03,38.09,37.97,38.00,37.98,38.01,38.01,38.01,38.02,36.63,38.01,38.00,36.65,38.01,38.01,37.99,37.99,37.99,38.02,38.00,38.04,38.00,38.01,38.02,380.1,62.9,262.3,267.4,262.2,274.8,257.5,298.1,268.3,325.8,431.6,459.3,211.8,209.7,289.7,136.1,221.2,154.1,83.9,113.6,256.1,71.7,93.2,239.2,253.5,239.5,252.1,260.2,335.8,298.2,347.4,310.4,371.1,363.3,1.69,1.26,2.12,48.5,0.0,0.00,0.00,0.00,0.00,,
