[Test Data]
Format 2
Experiment Type:,dry
Test Date:,24/10/2018,13:38:18
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\MidCurv_RadOn_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0075384,13:38:48,33.98,34.00,34.00,33.99,34.00,34.00,33.98,33.97,34.02,34.03,33.98,34.05,33.99,34.04,33.98,34.01,34.01,34.01,34.01,25.59,34.01,34.00,26.23,34.00,34.01,34.00,34.00,33.99,34.02,33.99,34.01,34.03,34.02,34.01,366.6,92.3,247.8,242.3,252.6,228.7,231.6,266.8,236.7,296.6,418.2,494.9,210.4,216.9,272.1,122.2,189.0,162.9,110.3,0.0,236.4,87.7,0.0,223.7,224.3,228.0,217.9,237.4,303.9,206.6,312.7,203.8,280.3,297.6,9.25,9.30,9.19,40.5,0.0,0.00,0.00,0.00,0.00,,
60.0230329,13:39:18,34.00,34.04,34.03,34.01,34.02,34.03,34.01,33.99,34.03,34.03,34.04,34.05,34.00,34.16,33.98,34.01,34.00,34.00,34.03,25.58,34.01,34.01,26.24,34.00,34.02,33.99,34.00,34.00,34.00,34.03,34.01,34.03,34.01,34.01,362.7,89.0,245.4,241.8,250.4,225.0,228.0,264.8,235.0,296.8,400.7,500.9,208.1,199.7,273.1,120.4,189.7,163.6,117.5,0.0,238.4,84.0,0.0,224.6,218.1,228.4,217.6,238.4,303.2,205.4,313.5,200.2,283.4,297.5,9.28,9.32,9.25,40.4,0.0,0.00,0.00,0.00,0.00,,
90.0360292,13:39:48,34.04,34.08,34.04,34.02,34.03,34.04,34.02,33.99,34.04,34.04,34.05,34.08,34.01,34.26,34.00,34.03,34.02,34.01,34.03,25.61,33.99,34.02,26.24,34.00,34.01,34.01,34.01,34.01,34.01,34.02,34.02,34.04,34.04,34.02,360.3,80.5,240.2,241.6,248.7,222.2,225.6,264.9,233.4,295.6,398.1,497.4,205.3,176.9,271.4,118.7,186.4,161.2,111.3,0.0,237.8,84.4,0.0,224.6,225.1,227.3,217.5,235.4,300.3,203.6,309.0,197.7,283.7,294.5,9.32,9.34,9.31,40.4,0.0,0.00,0.00,0.00,0.00,,
120.052524,13:40:18,34.06,34.12,34.06,34.03,34.05,34.04,34.04,34.01,34.03,34.02,34.07,34.05,34.02,34.24,34.03,34.02,34.01,34.01,34.02,25.62,34.01,34.01,26.23,34.01,34.01,34.04,34.02,34.00,34.00,34.02,34.02,34.02,34.01,34.02,357.6,73.0,237.5,239.4,245.7,221.2,222.4,263.8,231.3,296.6,395.1,495.6,205.6,172.4,267.3,118.9,187.9,161.9,112.8,0.0,237.6,83.8,0.0,224.8,221.5,225.9,215.1,235.9,302.0,202.1,311.2,197.5,283.4,294.8,9.36,9.36,9.37,40.2,0.0,0.00,0.00,0.00,0.00,,
150.0665277,13:40:48,34.04,34.13,34.06,34.04,34.04,34.04,34.04,34.02,34.02,34.01,34.06,34.02,34.03,34.22,34.03,34.03,34.01,34.01,33.99,25.62,34.01,34.00,26.25,34.01,34.01,34.03,34.03,34.00,34.01,34.02,34.02,34.01,34.03,34.02,357.0,68.5,236.4,239.8,246.3,219.7,220.1,262.2,233.4,298.3,394.5,504.3,202.6,171.3,266.0,117.1,187.4,162.0,112.2,0.0,238.1,84.4,0.0,223.8,221.3,225.7,216.6,236.3,301.3,202.2,309.4,200.1,283.6,293.9,9.40,9.39,9.43,40.2,0.0,0.00,0.00,0.00,0.00,,
180.0800614,13:41:18,34.05,34.13,34.05,34.03,34.04,34.04,34.04,34.02,34.03,34.02,34.07,34.03,34.02,34.19,34.03,34.02,34.01,34.02,34.04,25.64,34.01,34.01,26.26,34.01,34.02,33.99,34.01,34.01,34.02,34.00,34.04,34.01,34.02,34.02,355.2,65.5,236.6,240.4,245.3,219.4,219.8,260.6,233.5,297.7,389.1,499.9,202.8,169.8,266.6,117.4,188.4,160.6,112.8,0.0,237.1,82.9,0.0,223.4,220.6,229.2,213.8,235.5,298.5,201.4,308.2,202.2,283.0,295.2,9.44,9.40,9.47,40.0,0.0,0.00,0.00,0.00,0.00,,
210.0950652,13:41:48,34.04,34.14,34.05,34.03,34.04,34.03,34.04,34.01,34.02,34.02,34.05,33.99,34.02,34.17,34.01,34.02,34.01,34.02,34.02,25.64,34.02,34.02,26.26,34.01,34.01,34.02,34.01,34.01,34.02,34.03,34.01,34.00,34.03,34.02,355.1,62.7,235.4,241.5,243.9,220.0,219.0,261.3,233.5,295.7,391.2,506.9,202.8,167.3,266.7,116.9,187.1,159.3,107.4,0.0,239.5,81.9,0.0,223.0,219.5,223.6,216.4,235.0,299.3,198.4,308.3,203.9,282.3,295.5,9.46,9.42,9.51,40.0,0.0,0.00,0.00,0.00,0.00,,
240.109062,13:42:18,34.03,34.12,34.04,34.03,34.03,34.02,34.04,34.02,34.02,34.01,34.05,33.99,34.01,34.15,34.01,34.02,34.00,34.00,34.01,25.65,34.01,34.02,26.27,34.01,34.01,33.99,34.01,34.00,34.01,34.02,34.01,33.99,34.02,34.01,356.4,62.0,234.9,242.0,243.8,219.3,217.9,259.3,233.3,297.0,388.5,507.8,204.3,168.9,268.4,114.9,187.7,161.6,110.1,0.0,236.0,82.5,0.0,222.9,223.0,226.9,216.4,234.5,299.0,195.7,308.4,200.4,285.3,295.2,9.48,9.42,9.54,39.9,0.0,0.00,0.00,0.00,0.00,,
270.1230706,13:42:48,34.04,34.12,34.04,34.03,34.03,34.04,34.03,34.02,34.01,34.00,34.05,34.01,34.02,34.13,34.01,34.01,34.00,34.02,34.00,25.66,34.00,34.00,26.28,34.01,34.01,34.03,34.02,34.01,34.00,34.01,34.02,34.01,34.03,34.02,353.1,58.6,235.7,240.9,245.7,218.1,218.3,258.2,233.8,297.2,387.3,505.6,202.8,167.9,266.4,115.3,186.3,158.9,113.4,0.0,238.4,83.5,0.0,223.1,222.9,230.1,214.0,234.7,302.5,200.2,309.5,203.0,282.4,293.9,9.49,9.42,9.55,39.9,0.0,0.00,0.00,0.00,0.00,,
