[Test Data]
Format 2
Experiment Type:,dry
Test Date:,24/10/2018,14:36:29
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\MidCurv_RadOn_wind2.5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0165415,14:36:59,32.88,33.72,33.48,33.60,33.46,33.46,33.46,33.46,33.52,33.35,32.90,32.14,33.55,33.32,33.37,33.66,33.56,33.69,33.58,25.47,33.72,33.73,26.40,33.70,33.46,33.44,33.55,33.47,33.53,33.45,33.49,33.44,33.62,33.62,569.3,92.8,313.3,287.8,323.9,287.7,304.5,332.5,294.8,370.6,630.4,783.3,275.2,266.8,356.8,160.4,261.3,181.4,165.2,0.0,278.6,128.2,0.0,250.3,295.2,310.7,285.8,314.5,372.1,300.7,382.2,286.8,348.8,345.6,9.63,9.69,9.58,38.8,0.0,0.00,0.00,0.00,0.00,,
60.0300383,14:37:29,32.83,33.67,33.39,33.55,33.41,33.41,33.41,33.40,33.47,33.25,32.92,32.13,33.49,33.27,33.34,33.60,33.51,33.55,33.52,25.28,33.63,33.70,26.27,33.63,33.42,33.32,33.48,33.38,33.46,33.47,33.46,33.39,33.52,33.57,603.4,106.1,337.2,300.8,344.5,307.5,325.2,351.3,318.6,397.1,664.2,843.9,295.6,292.0,377.1,177.0,282.9,198.6,185.0,0.0,296.5,141.5,0.0,268.3,312.0,340.9,300.8,343.2,391.3,313.2,393.4,309.3,367.3,359.9,9.69,9.77,9.63,38.6,0.0,0.00,0.00,0.00,0.00,,
90.0471281,14:37:59,32.86,33.65,33.38,33.55,33.42,33.41,33.40,33.38,33.48,33.26,33.01,32.37,33.49,33.32,33.36,33.61,33.51,33.47,33.52,25.08,33.60,33.70,26.13,33.60,33.44,33.33,33.47,33.38,33.46,33.46,33.48,33.43,33.53,33.53,624.7,116.2,352.3,310.4,354.0,320.4,337.7,363.6,330.5,411.0,677.8,854.5,306.5,302.7,387.6,184.0,295.8,212.9,192.6,0.0,310.7,147.4,0.0,280.1,319.9,360.7,310.7,360.2,406.1,322.0,402.4,319.0,384.5,371.7,9.75,9.83,9.68,38.4,0.0,0.00,0.00,0.00,0.00,,
120.0615808,14:38:29,32.95,33.64,33.42,33.57,33.46,33.44,33.44,33.41,33.53,33.27,33.11,32.65,33.53,33.39,33.39,33.64,33.53,33.44,33.53,24.89,33.61,33.72,26.02,33.60,33.44,33.39,33.48,33.40,33.50,33.52,33.53,33.48,33.53,33.55,635.6,122.5,360.4,315.6,361.2,328.9,347.1,371.4,336.0,423.2,687.4,846.2,312.4,306.8,395.3,188.6,305.5,225.5,203.3,0.0,316.7,153.4,0.0,287.3,330.1,369.1,319.5,369.4,413.9,325.2,409.0,324.1,387.8,378.8,9.81,9.91,9.73,38.4,0.0,0.00,0.00,0.00,0.00,,
150.0760335,14:38:59,33.05,33.67,33.46,33.60,33.49,33.47,33.47,33.44,33.55,33.31,33.21,32.83,33.56,33.45,33.44,33.67,33.56,33.44,33.56,24.73,33.61,33.73,25.90,33.61,33.50,33.42,33.52,33.44,33.58,33.56,33.57,33.54,33.56,33.59,642.5,127.1,367.4,319.6,367.3,334.4,353.6,378.1,343.4,431.9,693.7,840.2,316.6,310.2,401.3,189.8,312.2,234.8,206.3,0.0,321.7,156.9,0.0,291.4,334.4,375.4,327.7,375.6,418.6,322.2,412.6,324.8,395.7,385.2,9.86,9.95,9.78,38.3,0.0,0.00,0.00,0.00,0.00,,
180.0904862,14:39:29,33.13,33.69,33.51,33.63,33.53,33.52,33.51,33.48,33.59,33.37,33.30,32.96,33.61,33.53,33.52,33.70,33.59,33.45,33.58,24.56,33.61,33.74,25.78,33.63,33.53,33.50,33.53,33.50,33.59,33.58,33.63,33.58,33.61,33.60,649.3,130.9,372.0,323.8,370.2,339.5,359.5,381.7,347.1,438.6,697.9,850.7,316.6,311.3,403.6,192.0,317.3,242.7,215.1,0.0,327.5,162.6,0.0,297.1,339.1,380.9,332.5,376.8,423.5,326.6,413.2,328.6,399.3,391.4,9.86,9.96,9.75,38.3,0.0,0.00,0.00,0.00,0.00,,
210.1049389,14:39:59,33.20,33.72,33.55,33.66,33.57,33.55,33.55,33.52,33.64,33.42,33.37,33.12,33.63,33.56,33.54,33.74,33.64,33.47,33.64,24.40,33.65,33.79,25.68,33.64,33.58,33.51,33.58,33.54,33.62,33.66,33.65,33.64,33.64,33.64,659.6,133.1,374.8,328.1,373.5,342.7,364.9,386.8,349.1,443.0,704.0,845.0,319.2,314.5,409.7,192.0,320.4,248.6,215.0,0.0,333.8,160.6,0.0,301.0,343.6,389.0,336.7,379.7,427.8,334.9,416.6,330.5,403.0,392.7,9.84,9.94,9.72,38.5,0.0,0.00,0.00,0.00,0.00,,
240.1243917,14:40:29,33.27,33.75,33.61,33.70,33.62,33.59,33.58,33.56,33.69,33.49,33.43,33.26,33.68,33.60,33.58,33.76,33.66,33.51,33.64,24.24,33.67,33.79,25.58,33.66,33.62,33.57,33.64,33.58,33.60,33.69,33.70,33.69,33.67,33.67,667.2,135.4,376.9,330.4,377.9,346.1,369.2,391.0,350.4,445.5,709.1,845.5,321.1,317.3,413.8,193.6,323.8,253.3,218.2,0.0,335.8,163.7,0.0,305.5,346.7,386.0,338.3,382.6,433.7,337.7,420.2,327.8,402.8,396.1,9.79,9.93,9.63,38.5,0.0,0.00,0.00,0.00,0.00,,
270.1388444,14:40:59,33.35,33.77,33.65,33.73,33.67,33.64,33.64,33.60,33.72,33.53,33.49,33.36,33.71,33.65,33.63,33.79,33.68,33.53,33.68,24.12,33.70,33.83,25.49,33.69,33.65,33.60,33.65,33.61,33.63,33.75,33.71,33.74,33.71,33.73,672.4,137.2,379.5,331.7,378.8,347.9,370.4,393.4,352.1,449.3,711.1,846.5,323.4,317.0,415.2,195.7,327.7,258.8,220.4,0.0,341.2,164.4,0.0,308.7,347.7,388.0,341.2,386.4,436.0,328.1,422.1,327.8,405.8,397.5,9.73,9.91,9.53,38.7,0.0,0.00,0.00,0.00,0.00,,
