[Test Data]
Format 2
Experiment Type:,dry
Test Date:,25/10/2018,13:48:52
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\NoWig_RadOff_wind0_3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0147168,13:49:22,37.96,37.19,37.93,37.96,37.94,37.97,37.93,37.98,37.95,37.96,37.91,37.91,37.95,37.47,37.99,37.96,37.97,37.97,38.00,36.25,38.00,38.00,36.23,37.99,38.00,37.98,38.03,38.01,38.01,38.01,37.99,38.00,38.00,37.99,442.3,275.2,268.0,270.1,270.6,277.7,263.6,295.3,265.3,337.8,447.0,464.3,208.7,254.8,282.6,134.5,224.0,157.5,81.0,190.9,250.1,73.6,170.3,242.1,252.9,244.1,255.6,254.7,332.1,296.1,346.4,311.3,363.3,366.9,2.35,1.57,3.10,47.7,0.0,0.00,0.00,0.00,0.00,,
60.0294335,13:49:52,37.92,37.19,37.93,37.96,37.94,37.97,37.95,37.98,37.96,37.97,37.92,37.92,37.94,37.49,37.98,37.95,37.98,37.97,37.99,36.39,37.97,38.00,36.32,37.99,37.92,38.03,38.02,38.00,37.98,38.03,38.01,37.99,38.02,38.02,447.9,292.1,269.9,271.5,272.5,278.4,263.9,294.4,265.8,338.1,444.6,463.3,210.4,269.3,284.3,138.9,224.4,159.2,80.2,164.0,253.2,72.0,149.9,242.4,258.7,239.9,254.8,255.5,331.6,293.3,347.9,313.3,355.9,368.7,2.25,1.55,2.93,47.7,0.0,0.00,0.00,0.00,0.00,,
90.0431502,13:50:22,37.95,37.23,37.94,37.97,37.95,37.97,37.95,37.98,37.96,37.98,37.93,37.94,37.93,37.52,37.99,37.94,38.00,37.98,37.97,36.38,38.05,38.01,36.33,37.99,38.02,37.97,38.01,38.00,37.95,38.01,37.98,37.99,38.05,37.99,446.9,304.4,271.2,272.1,273.6,280.6,264.6,296.5,267.2,337.8,446.6,464.3,213.0,274.3,285.3,135.4,223.8,160.2,91.3,154.2,253.7,71.8,138.7,243.8,250.4,246.3,256.3,255.6,333.1,285.9,345.8,312.1,359.6,369.4,2.17,1.54,2.78,47.5,0.0,0.00,0.00,0.00,0.00,,
120.0578669,13:50:52,37.95,37.29,37.94,37.99,37.96,37.97,37.95,37.99,37.96,37.96,37.96,37.93,37.94,37.53,37.99,37.96,37.99,37.98,38.02,36.35,37.98,38.00,36.34,37.99,37.99,38.02,38.00,37.99,37.99,37.99,37.97,38.00,38.01,38.01,446.9,310.9,273.0,269.4,272.1,279.6,263.4,295.0,267.4,338.8,442.4,465.6,213.0,280.3,282.6,137.8,224.0,158.0,81.3,150.6,250.0,72.4,131.7,244.4,253.4,235.8,255.7,257.3,326.7,294.9,350.6,314.5,359.2,369.9,2.09,1.53,2.64,47.6,0.0,0.00,0.00,0.00,0.00,,
150.0725837,13:51:22,37.97,37.35,37.96,37.97,37.98,37.98,37.98,38.00,37.99,37.97,37.98,37.93,37.94,37.60,37.99,37.98,37.99,37.98,37.97,36.37,37.99,38.00,36.30,37.99,38.01,37.97,38.00,38.00,38.03,38.00,37.99,38.00,37.98,38.00,447.3,317.8,269.9,271.8,271.3,280.2,263.9,292.9,265.4,339.4,441.2,467.6,214.8,278.1,284.8,135.2,221.6,158.0,82.6,139.4,250.2,71.9,126.4,244.2,257.2,247.0,257.0,255.4,323.5,292.6,347.2,313.1,360.3,367.4,2.03,1.52,2.53,47.6,0.0,0.00,0.00,0.00,0.00,,
180.0873004,13:51:52,37.96,37.43,37.96,37.98,37.98,37.97,37.97,37.98,37.98,38.00,37.96,37.96,37.95,37.64,37.99,37.94,37.99,37.97,37.99,36.29,37.99,38.00,36.27,38.00,37.99,38.04,37.99,38.00,37.98,37.97,37.97,37.99,37.94,38.01,449.2,321.7,269.8,270.1,270.5,281.2,263.5,294.4,265.3,335.1,442.8,464.4,214.5,282.1,285.3,140.8,221.5,158.3,85.7,145.2,252.6,71.9,121.2,242.4,254.9,240.7,259.7,256.1,325.9,289.8,347.2,311.7,368.1,367.7,1.98,1.52,2.43,47.6,0.0,0.00,0.00,0.00,0.00,,
210.1020172,13:52:22,37.94,37.49,37.97,37.99,37.98,37.99,37.99,38.00,37.99,37.99,38.00,37.95,37.95,37.69,37.99,37.96,38.00,37.96,38.01,36.27,38.00,38.01,36.25,38.00,38.00,38.01,37.99,37.99,38.00,37.99,37.98,37.99,37.96,38.00,451.5,321.8,269.9,272.7,270.4,280.0,262.9,294.3,264.8,336.4,436.9,465.3,215.8,278.8,284.2,134.8,221.9,160.8,84.7,143.3,245.6,70.1,121.0,242.9,256.7,241.7,258.7,257.0,335.0,287.9,347.3,313.1,367.9,369.5,1.93,1.50,2.34,47.6,0.0,0.00,0.00,0.00,0.00,,
240.1167339,13:52:52,37.97,37.56,37.97,37.99,37.98,37.97,37.97,37.99,37.97,37.99,38.00,37.97,37.96,37.72,37.99,37.97,37.99,37.97,37.99,36.31,38.01,37.99,36.20,38.00,37.94,37.99,37.99,38.00,38.02,37.99,37.98,37.99,37.98,38.00,448.8,323.4,271.8,271.7,272.9,280.7,263.6,293.2,268.9,338.0,439.0,466.5,217.3,281.8,284.7,137.8,222.7,158.6,82.7,135.4,250.4,72.9,120.8,243.0,264.2,242.9,258.0,256.7,332.2,299.4,345.7,313.2,359.3,369.2,1.88,1.49,2.27,47.7,0.0,0.00,0.00,0.00,0.00,,
270.1314506,13:53:22,38.01,37.63,37.97,37.98,37.97,37.98,37.97,37.99,37.98,38.01,37.99,37.99,37.95,37.78,38.00,37.98,37.99,37.96,38.01,36.21,38.00,38.01,36.18,38.00,37.98,37.98,38.01,37.98,37.96,37.99,37.98,37.98,37.97,38.02,444.3,324.2,270.5,272.2,272.7,281.2,265.4,294.6,266.1,332.5,438.8,461.0,217.2,283.3,284.7,138.4,222.5,159.9,83.0,133.9,248.6,72.0,121.7,242.4,262.0,242.5,256.3,257.9,330.2,293.5,345.0,311.3,362.6,367.6,1.85,1.49,2.21,47.7,0.0,0.00,0.00,0.00,0.00,,
