[Test Data]
Format 2
Experiment Type:,dry
Test Date:,23/10/2018,17:12:31
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\NoWig_RadOff_wind0_3.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0105157,17:13:01,34.75,34.17,34.33,34.26,34.29,34.24,34.22,34.37,34.27,34.39,34.52,34.99,34.28,34.28,34.43,34.17,34.17,34.21,34.15,25.77,34.20,34.12,25.99,34.16,34.27,34.31,34.22,34.29,34.40,34.10,34.43,34.12,34.28,34.34,279.0,219.0,178.8,189.7,184.9,187.6,190.7,199.2,173.1,225.7,275.8,252.0,145.1,175.2,185.6,83.9,150.0,136.7,77.6,0.0,211.2,62.8,0.0,198.5,171.4,162.1,177.7,176.6,225.9,186.5,226.9,186.3,248.8,232.3,9.26,9.29,9.23,43.2,0.0,0.00,0.00,0.00,0.00,,
60.0265141,17:13:31,34.68,34.17,34.31,34.26,34.28,34.24,34.21,34.35,34.26,34.40,34.46,34.84,34.26,34.26,34.39,34.16,34.16,34.22,34.12,25.82,34.20,34.10,26.03,34.16,34.23,34.31,34.22,34.30,34.36,34.12,34.40,34.10,34.33,34.31,276.1,216.6,173.6,183.6,180.2,183.3,186.9,192.5,169.4,216.9,271.2,247.3,142.3,174.1,180.9,80.2,147.9,130.3,74.5,0.0,204.3,62.0,0.0,193.7,169.7,156.5,172.6,170.4,214.5,182.7,220.6,187.2,231.4,225.6,9.27,9.29,9.26,43.1,0.0,0.00,0.00,0.00,0.00,,
90.0390106,17:14:01,34.61,34.16,34.29,34.24,34.26,34.21,34.20,34.31,34.23,34.36,34.39,34.69,34.23,34.25,34.36,34.14,34.14,34.20,34.14,25.81,34.19,34.10,26.05,34.16,34.21,34.36,34.22,34.28,34.36,34.05,34.34,34.10,34.30,34.26,274.4,213.7,170.3,178.4,178.6,182.2,183.7,191.8,167.4,211.5,272.8,255.7,139.9,169.8,177.6,80.1,145.5,128.2,74.4,0.0,202.3,59.3,0.0,190.1,170.8,155.6,169.7,167.2,216.1,180.7,222.0,187.1,237.8,226.6,9.29,9.29,9.28,42.9,0.0,0.00,0.00,0.00,0.00,,
120.0540083,17:14:31,34.53,34.14,34.25,34.22,34.22,34.18,34.17,34.27,34.20,34.33,34.33,34.53,34.21,34.20,34.31,34.11,34.12,34.19,34.13,25.84,34.22,34.09,26.08,34.15,34.20,34.29,34.19,34.25,34.30,34.07,34.30,34.07,34.21,34.25,270.7,213.2,170.2,176.9,176.3,182.5,183.0,191.5,168.3,210.5,271.5,267.4,138.2,171.6,176.3,78.6,144.7,126.6,76.3,0.0,194.3,59.0,0.0,187.1,167.9,152.9,169.2,165.0,201.3,178.9,218.8,187.2,231.0,224.3,9.29,9.29,9.29,42.7,0.0,0.00,0.00,0.00,0.00,,
150.0680036,17:15:01,34.45,34.13,34.21,34.19,34.20,34.17,34.15,34.24,34.18,34.28,34.29,34.42,34.19,34.17,34.27,34.10,34.11,34.19,34.12,25.86,34.19,34.06,26.11,34.13,34.17,34.24,34.18,34.22,34.25,34.05,34.24,34.07,34.23,34.19,269.8,211.9,169.4,177.4,176.1,180.6,183.3,188.7,168.2,209.8,269.2,275.5,137.4,172.4,175.0,80.2,144.9,124.0,74.4,0.0,194.1,60.6,0.0,186.6,165.7,156.9,168.2,163.6,219.4,183.9,222.6,186.3,234.5,227.6,9.29,9.29,9.30,42.6,0.0,0.00,0.00,0.00,0.00,,
180.0844967,17:15:31,34.38,34.12,34.19,34.17,34.16,34.14,34.13,34.21,34.15,34.26,34.25,34.34,34.15,34.14,34.23,34.08,34.10,34.17,34.11,25.86,34.20,34.06,26.12,34.12,34.11,34.18,34.15,34.19,34.23,34.07,34.20,34.06,34.18,34.15,271.5,210.9,168.3,175.6,175.7,181.0,183.3,189.4,165.8,207.4,268.6,279.9,138.7,172.5,176.3,81.8,145.5,121.7,65.6,0.0,197.8,59.7,0.0,187.1,167.1,153.5,166.9,163.7,210.6,182.1,225.8,186.1,231.6,229.5,9.29,9.28,9.30,42.5,0.0,0.00,0.00,0.00,0.00,,
210.0989914,17:16:01,34.33,34.10,34.17,34.15,34.15,34.12,34.12,34.18,34.13,34.23,34.19,34.29,34.13,34.12,34.20,34.07,34.08,34.15,34.07,25.87,34.15,34.04,26.13,34.11,34.14,34.19,34.12,34.17,34.21,34.02,34.18,34.04,34.19,34.15,267.4,211.6,168.2,175.6,174.7,180.1,181.8,188.1,166.2,205.5,272.0,280.0,138.3,172.2,174.7,82.5,143.7,121.1,72.8,0.0,193.7,59.1,0.0,186.5,165.1,149.4,168.6,164.9,214.2,191.7,221.9,188.1,225.1,226.4,9.28,9.27,9.29,42.5,0.0,0.00,0.00,0.00,0.00,,
240.112993,17:16:31,34.28,34.08,34.14,34.13,34.13,34.11,34.11,34.16,34.13,34.20,34.17,34.26,34.11,34.11,34.17,34.07,34.08,34.13,34.07,25.90,34.13,34.05,26.14,34.10,34.11,34.21,34.11,34.14,34.20,34.02,34.16,34.03,34.15,34.14,269.8,211.8,168.1,174.9,173.6,179.5,181.7,189.2,165.1,205.5,271.4,277.3,139.8,172.4,176.3,81.8,143.4,122.4,66.4,0.0,197.3,60.9,0.0,185.6,167.0,146.9,167.6,164.2,212.9,184.6,225.5,188.2,222.4,224.4,9.28,9.26,9.29,42.5,0.0,0.00,0.00,0.00,0.00,,
270.1264914,17:17:01,34.22,34.07,34.13,34.10,34.11,34.10,34.10,34.14,34.11,34.18,34.14,34.22,34.08,34.09,34.15,34.05,34.07,34.11,34.06,25.95,34.13,34.03,26.16,34.09,34.01,34.14,34.10,34.12,34.12,34.05,34.17,34.02,34.11,34.12,270.2,209.8,167.5,176.2,174.0,178.7,180.2,188.9,164.2,204.2,274.1,277.8,141.5,171.2,173.7,79.5,142.7,122.1,65.6,0.0,189.0,59.7,0.0,185.8,170.3,155.3,167.3,165.5,212.1,180.3,217.8,190.0,220.8,223.1,9.28,9.26,9.30,42.4,0.0,0.00,0.00,0.00,0.00,,
300.1409913,17:17:31,34.19,34.07,34.11,34.10,34.10,34.08,34.07,34.13,34.10,34.15,34.13,34.18,34.07,34.08,34.13,34.04,34.06,34.10,34.06,25.91,34.10,34.04,26.17,34.08,34.05,34.14,34.08,34.09,34.15,34.05,34.13,34.02,34.10,34.12,270.5,210.7,167.1,173.7,173.5,180.0,180.8,186.1,164.6,203.0,270.7,277.5,141.7,173.2,174.3,79.5,142.2,120.7,67.8,0.0,188.8,58.7,0.0,185.5,163.4,147.1,166.5,165.0,211.8,177.5,218.7,190.7,225.8,221.9,9.29,9.26,9.31,42.4,0.0,0.00,0.00,0.00,0.00,,
330.1614913,17:18:01,34.16,34.06,34.10,34.08,34.08,34.09,34.07,34.12,34.08,34.13,34.12,34.14,34.07,34.05,34.10,34.02,34.05,34.10,34.03,25.94,34.09,34.02,26.19,34.07,34.07,34.10,34.06,34.09,34.11,34.00,34.11,34.02,34.07,34.12,271.6,209.6,166.4,175.9,174.5,179.4,180.6,185.4,164.5,205.0,267.8,281.1,140.3,173.7,173.9,80.1,141.2,119.6,66.2,0.0,191.0,59.8,0.0,184.9,165.2,150.3,169.5,166.6,211.0,187.8,218.4,190.2,229.2,218.7,9.30,9.27,9.33,42.4,0.0,0.00,0.00,0.00,0.00,,
360.1704968,17:18:31,34.15,34.05,34.08,34.07,34.07,34.07,34.05,34.11,34.07,34.11,34.11,34.12,34.05,34.03,34.09,34.03,34.05,34.07,34.06,25.96,34.08,34.02,26.19,34.08,34.05,34.11,34.06,34.06,34.04,34.04,34.11,34.01,34.04,34.12,270.1,210.4,166.9,174.9,173.4,177.9,180.7,184.4,164.2,203.9,267.2,282.2,143.1,173.9,174.7,81.6,141.9,121.3,67.9,0.0,191.5,59.9,0.0,183.4,171.0,155.1,165.5,166.2,216.8,186.6,216.9,190.4,228.5,217.6,9.31,9.28,9.34,42.3,0.0,0.00,0.00,0.00,0.00,,
