[Test Data]
Format 2
Experiment Type:,dry
Test Date:,23/10/2018,16:18:38
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\NoWig_RadOff_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0085295,16:19:08,35.39,34.96,34.62,34.50,34.63,34.60,34.70,34.75,34.47,34.74,35.17,35.69,34.56,34.72,34.74,34.46,34.52,34.59,34.47,21.74,34.47,34.33,23.23,34.49,34.66,34.75,34.63,34.75,34.58,34.58,34.59,34.61,34.57,34.50,483.9,265.1,261.5,256.1,269.7,255.7,259.4,300.8,249.5,342.9,440.3,480.6,215.0,231.8,274.6,128.8,215.6,226.0,140.0,0.0,303.9,111.1,0.0,267.4,239.7,260.4,253.2,254.9,324.4,214.6,334.7,216.5,316.7,325.6,8.58,8.78,8.38,43.6,0.0,0.00,0.00,0.00,0.00,,
60.0235236,16:19:38,35.34,34.93,34.61,34.47,34.62,34.59,34.68,34.72,34.46,34.73,35.05,35.52,34.54,34.66,34.70,34.44,34.51,34.61,34.42,21.90,34.49,34.31,23.35,34.50,34.62,34.72,34.61,34.72,34.56,34.57,34.56,34.57,34.54,34.49,463.9,252.5,252.2,248.1,258.7,244.5,246.2,288.8,239.7,329.1,429.6,469.5,207.2,221.8,265.6,119.1,205.2,210.9,136.3,0.0,294.8,107.6,0.0,257.7,232.3,248.8,245.4,243.4,320.5,207.1,325.8,206.9,309.2,313.2,8.55,8.74,8.36,43.5,0.0,0.00,0.00,0.00,0.00,,
90.0390187,16:20:08,35.24,34.87,34.56,34.44,34.56,34.55,34.63,34.66,34.44,34.72,34.90,35.38,34.50,34.61,34.63,34.43,34.47,34.62,34.45,22.11,34.47,34.30,23.48,34.47,34.60,34.64,34.60,34.67,34.54,34.52,34.51,34.53,34.49,34.46,448.4,241.9,246.8,243.3,251.3,237.7,237.9,281.3,231.9,313.1,426.2,456.9,199.6,216.7,261.6,112.7,200.4,199.4,121.0,0.0,286.8,102.3,0.0,250.3,216.6,241.3,231.6,237.7,313.6,202.6,322.4,201.3,302.7,309.8,8.53,8.70,8.34,43.3,0.0,0.00,0.00,0.00,0.00,,
120.053518,16:20:38,35.09,34.78,34.51,34.40,34.52,34.49,34.57,34.61,34.39,34.65,34.80,35.15,34.45,34.52,34.55,34.38,34.42,34.60,34.41,22.22,34.42,34.27,23.58,34.44,34.54,34.60,34.54,34.59,34.46,34.41,34.45,34.47,34.46,34.43,445.9,235.3,242.1,240.6,244.7,234.8,233.6,275.8,228.0,306.7,426.5,464.1,195.2,216.1,260.7,109.4,196.9,190.4,117.8,0.0,277.7,101.9,0.0,245.1,211.2,236.2,228.7,233.8,301.6,199.6,321.0,200.9,302.4,305.0,8.51,8.66,8.35,43.4,0.0,0.00,0.00,0.00,0.00,,
150.067515,16:21:08,34.96,34.69,34.47,34.36,34.46,34.44,34.51,34.56,34.35,34.58,34.74,34.95,34.39,34.44,34.48,34.33,34.39,34.58,34.37,22.35,34.42,34.24,23.69,34.41,34.49,34.53,34.49,34.52,34.41,34.38,34.39,34.40,34.40,34.39,439.9,233.2,237.2,237.1,240.7,231.1,230.1,270.4,229.1,301.7,414.3,469.2,193.0,217.5,261.0,110.1,194.2,184.6,120.6,0.0,278.1,100.3,0.0,240.7,210.9,230.7,224.7,231.0,304.6,199.3,318.9,204.0,296.3,301.3,8.52,8.65,8.38,43.3,0.0,0.00,0.00,0.00,0.00,,
180.0825257,16:21:38,34.83,34.60,34.42,34.33,34.40,34.40,34.47,34.51,34.29,34.50,34.65,34.74,34.37,34.39,34.48,34.27,34.34,34.53,34.28,22.49,34.35,34.23,23.79,34.37,34.39,34.50,34.46,34.47,34.41,34.30,34.35,34.33,34.36,34.34,438.5,230.8,234.3,232.8,238.8,229.4,225.2,265.4,228.6,301.7,412.7,483.3,189.7,217.0,251.5,108.3,191.1,178.4,121.6,0.0,271.6,97.7,0.0,237.1,215.4,230.8,218.6,226.6,294.3,198.8,315.5,205.1,295.6,298.4,8.54,8.66,8.42,43.3,0.0,0.00,0.00,0.00,0.00,,
210.0965428,16:22:08,34.71,34.52,34.37,34.28,34.36,34.33,34.41,34.44,34.25,34.44,34.55,34.60,34.32,34.32,34.42,34.24,34.31,34.49,34.26,22.60,34.37,34.20,23.88,34.35,34.35,34.40,34.39,34.42,34.37,34.33,34.30,34.29,34.32,34.30,437.7,231.0,233.0,231.2,237.7,228.9,225.4,264.6,228.2,301.9,412.9,493.6,188.5,217.1,249.0,110.9,188.0,175.2,114.7,0.0,261.1,95.4,0.0,233.6,213.6,231.7,217.2,225.5,297.8,201.7,315.4,204.8,294.7,297.9,8.56,8.66,8.46,43.2,0.0,0.00,0.00,0.00,0.00,,
240.110575,16:22:38,34.64,34.45,34.32,34.25,34.31,34.31,34.36,34.40,34.21,34.37,34.49,34.49,34.27,34.27,34.34,34.21,34.27,34.44,34.23,22.69,34.32,34.18,23.98,34.31,34.28,34.38,34.34,34.36,34.31,34.25,34.27,34.24,34.27,34.25,433.9,230.8,232.3,231.1,237.7,226.5,224.0,262.2,227.2,301.6,409.5,495.4,189.5,220.4,251.5,108.3,187.9,171.9,119.3,0.0,267.0,95.8,0.0,231.9,211.4,231.2,216.2,223.2,295.0,205.4,315.4,205.1,297.2,296.3,8.61,8.70,8.52,43.1,0.0,0.00,0.00,0.00,0.00,,
270.1266014,16:23:08,34.55,34.37,34.28,34.23,34.27,34.25,34.32,34.37,34.18,34.33,34.43,34.42,34.24,34.21,34.32,34.18,34.23,34.39,34.17,22.79,34.27,34.17,24.06,34.28,34.29,34.30,34.30,34.31,34.26,34.19,34.22,34.19,34.22,34.24,431.2,229.3,230.8,229.6,237.1,229.2,222.4,257.8,227.9,300.0,404.7,493.6,188.8,220.1,248.4,108.7,186.4,170.0,117.5,0.0,262.2,94.2,0.0,230.4,214.6,230.1,214.1,224.3,305.5,199.5,316.9,207.7,299.1,295.4,8.66,8.73,8.59,43.1,0.0,0.00,0.00,0.00,0.00,,
