[Test Data]
Format 2
Experiment Type:,dry
Test Date:,25/10/2018,12:47:59
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\NoWig_RadOn_wind0_3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0447184,12:48:29,37.76,37.61,38.06,38.04,38.05,38.02,38.07,38.01,38.02,37.99,38.08,38.07,38.05,38.28,38.02,38.04,38.03,38.00,38.03,37.15,38.03,38.00,37.20,38.00,37.98,37.98,37.99,38.02,38.06,38.04,38.04,37.98,38.02,38.01,432.6,184.1,257.7,268.2,256.0,280.8,268.0,291.1,266.4,328.0,421.1,475.4,211.9,211.1,283.8,135.0,219.1,163.5,80.2,200.4,266.7,73.5,177.9,241.7,252.4,245.0,250.7,251.2,347.3,285.5,359.0,307.4,373.1,355.8,1.57,1.31,1.87,48.7,0.0,0.00,0.00,0.00,0.00,,
60.0594352,12:48:59,37.81,37.70,38.07,38.05,38.04,38.03,38.07,38.00,38.03,37.98,38.09,38.06,38.05,38.32,38.02,38.03,38.01,38.02,38.00,37.16,38.00,38.01,37.22,38.01,38.00,37.98,38.00,38.02,38.02,38.02,38.03,38.00,37.97,37.99,433.2,179.2,254.1,267.2,258.3,279.0,266.1,292.7,264.4,329.7,418.0,475.8,209.5,195.7,284.4,132.2,219.3,161.4,85.0,170.4,255.5,71.7,146.1,240.2,248.2,242.6,252.0,251.4,347.2,291.1,360.2,302.2,370.1,357.1,1.68,1.33,2.04,48.5,0.0,0.00,0.00,0.00,0.00,,
90.0741519,12:49:29,37.81,37.76,38.06,38.05,38.03,38.02,38.07,38.00,38.03,37.99,38.07,38.05,38.07,38.30,38.01,38.05,38.02,38.03,38.04,37.11,38.05,38.00,37.15,38.01,37.98,38.00,37.99,38.01,38.04,38.00,38.02,38.00,38.00,38.01,433.5,176.6,253.9,264.8,257.3,278.0,263.2,292.9,261.7,329.4,421.2,474.1,208.1,194.2,285.4,133.1,217.9,158.1,82.0,155.2,255.3,72.5,126.3,240.4,246.8,250.9,253.7,251.7,349.8,286.2,363.5,308.6,367.2,357.3,1.76,1.35,2.19,48.3,0.0,0.00,0.00,0.00,0.00,,
120.0888687,12:49:59,37.82,37.79,38.06,38.02,38.03,38.01,38.06,37.98,38.02,37.99,38.04,38.02,38.04,38.27,38.00,38.04,38.01,38.04,38.03,37.03,38.02,38.01,37.04,38.01,38.03,38.00,38.00,38.02,38.01,38.03,38.02,37.99,37.99,38.00,438.5,177.0,254.1,267.6,257.9,280.9,263.6,295.9,264.9,330.0,425.4,476.8,207.4,188.8,286.2,132.5,221.2,157.9,86.0,139.7,256.6,72.1,114.5,239.2,252.6,243.1,253.7,251.5,341.0,285.9,359.5,307.5,368.2,360.0,1.84,1.37,2.32,48.1,0.0,0.00,0.00,0.00,0.00,,
150.1035854,12:50:29,37.85,37.81,38.05,38.03,38.02,38.01,38.06,37.98,38.02,37.97,38.02,37.99,38.03,38.24,37.99,38.03,38.00,38.04,38.05,36.94,38.05,37.99,36.92,38.01,37.99,38.01,38.00,38.01,38.01,37.99,38.00,38.00,37.99,38.00,437.9,178.4,255.1,265.5,257.7,280.9,262.0,295.5,264.9,331.5,428.0,481.0,209.0,190.0,286.9,131.4,220.0,156.5,85.6,130.0,259.1,75.1,110.3,239.8,249.0,243.9,254.2,251.1,347.0,291.2,361.7,308.0,371.1,359.7,1.89,1.38,2.42,47.9,0.0,0.00,0.00,0.00,0.00,,
180.1183022,12:50:59,37.83,37.86,38.02,38.03,38.00,38.01,38.04,37.96,38.00,37.95,38.00,37.96,38.02,38.20,37.99,38.03,37.98,38.06,37.99,36.82,38.04,38.00,36.81,38.01,37.97,38.02,38.02,37.98,37.98,37.99,37.99,37.98,38.03,38.01,443.0,175.1,256.2,267.0,261.0,281.0,264.9,297.7,267.6,334.5,431.5,488.6,210.2,187.3,287.8,131.7,222.9,157.0,80.1,126.5,257.2,71.7,106.8,239.8,257.8,245.2,252.7,252.4,351.0,294.8,362.7,311.5,367.3,356.6,1.94,1.38,2.51,47.8,0.0,0.00,0.00,0.00,0.00,,
210.1330189,12:51:29,37.90,37.90,38.01,38.02,37.98,38.01,38.00,37.98,37.99,37.95,38.01,37.94,38.03,38.16,38.02,38.00,37.97,38.03,38.00,36.70,37.99,38.00,36.69,38.01,38.02,37.94,38.02,37.98,37.97,38.02,37.98,37.99,37.99,38.00,438.6,172.2,258.4,268.8,263.7,280.2,270.5,300.4,271.0,337.1,428.8,494.8,209.5,188.6,283.9,133.3,226.2,155.9,84.3,126.5,259.0,73.0,104.4,240.5,245.2,246.9,251.7,255.3,351.6,293.9,367.0,309.3,370.4,360.6,1.98,1.39,2.59,48.2,0.0,0.00,0.00,0.00,0.00,,
240.1477356,12:51:59,38.07,37.90,38.02,38.01,38.06,37.94,38.01,38.00,38.02,37.93,37.96,37.91,38.06,38.15,38.05,38.02,37.99,38.03,37.99,36.61,37.97,37.99,36.60,38.01,38.05,38.01,38.06,38.01,37.96,37.99,37.96,38.02,37.99,37.97,414.0,174.8,258.3,270.5,252.6,287.0,269.5,296.6,262.9,340.3,437.9,500.5,203.3,189.4,278.3,135.1,226.5,157.3,85.6,128.2,264.3,73.6,102.8,240.1,240.0,242.9,243.4,253.6,360.3,294.4,372.5,308.0,376.6,361.7,2.03,1.41,2.65,48.1,0.0,0.00,0.00,0.00,0.00,,
270.1614523,12:52:29,37.98,37.89,38.03,38.01,38.02,37.96,38.01,38.00,38.01,37.96,37.99,37.94,38.04,38.10,38.01,38.01,37.99,38.01,37.99,36.51,38.00,37.98,36.52,38.02,38.00,37.98,38.03,38.01,37.96,37.99,38.00,38.00,37.94,37.98,421.0,176.2,255.6,266.4,255.9,288.8,267.2,296.1,266.0,339.4,435.6,500.6,203.4,191.9,279.1,133.8,225.0,158.1,88.2,127.9,261.8,74.4,104.2,238.0,244.4,242.8,246.5,250.6,356.9,290.5,369.8,305.5,380.6,359.7,2.05,1.42,2.69,48.1,0.0,0.00,0.00,0.00,0.00,,
