[Test Data]
Format 2
Experiment Type:,dry
Test Date:,23/10/2018,13:41:11
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\NoWig_RadOn_wind1ms.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0125284,13:41:41,33.80,33.92,33.89,33.90,33.92,33.96,33.92,33.86,33.98,33.93,33.89,34.00,33.92,33.93,33.85,33.98,33.94,33.92,33.98,26.60,33.92,33.96,26.97,33.92,33.92,33.89,33.91,33.88,33.92,33.98,33.90,33.97,33.93,33.92,439.7,68.8,235.8,225.2,232.9,209.0,228.0,269.2,202.9,260.2,404.7,404.3,192.8,124.5,272.7,115.4,187.0,152.5,94.2,0.0,231.0,88.6,0.0,212.1,213.8,234.6,216.5,238.1,304.4,190.8,303.6,199.3,286.4,283.6,10.43,10.17,10.67,41.0,0.0,0.00,0.00,0.00,0.00,,
60.0270398,13:42:11,33.81,33.92,33.91,33.91,33.93,33.94,33.94,33.90,33.96,33.93,33.95,33.99,33.94,33.94,33.87,33.97,33.95,33.92,33.98,26.55,33.92,33.97,26.95,33.93,33.94,33.92,33.92,33.90,33.91,33.98,33.92,33.98,33.93,33.93,441.0,70.2,236.7,225.2,234.0,211.8,225.8,267.0,205.6,262.7,396.9,404.4,194.1,125.3,274.9,113.6,186.2,152.9,93.3,0.0,231.7,88.7,0.0,212.5,211.9,236.2,216.2,238.5,304.8,192.2,300.9,201.2,283.2,284.2,10.37,10.14,10.58,40.6,0.0,0.00,0.00,0.00,0.00,,
90.0425431,13:42:41,33.82,33.91,33.91,33.92,33.93,33.95,33.94,33.89,33.97,33.93,33.91,33.99,33.94,33.94,33.89,33.97,33.94,33.92,33.98,26.53,33.94,33.94,26.94,33.94,33.94,33.93,33.93,33.91,33.94,33.97,33.92,33.99,33.93,33.94,444.3,73.5,237.4,226.9,233.7,212.1,227.2,268.9,205.6,263.1,404.6,404.3,194.1,125.9,276.6,115.6,189.6,154.9,93.6,0.0,228.7,91.3,0.0,212.1,212.0,235.8,217.3,237.5,307.7,192.0,302.7,201.8,285.7,283.5,10.30,10.08,10.51,40.7,0.0,0.00,0.00,0.00,0.00,,
120.0570515,13:43:11,33.86,33.93,33.91,33.92,33.96,33.96,33.95,33.90,33.99,33.95,33.93,34.00,33.94,33.95,33.89,33.98,33.94,33.93,34.01,26.50,33.94,33.96,26.94,33.94,33.95,33.95,33.95,33.93,33.94,33.98,33.93,33.99,33.94,33.94,445.1,72.2,237.4,227.0,232.1,210.5,227.9,270.2,203.3,263.1,405.2,403.8,194.6,125.9,278.7,113.9,189.2,155.9,92.0,0.0,230.7,90.8,0.0,213.3,213.9,235.0,216.3,238.4,307.7,189.8,302.7,201.7,283.9,281.8,10.26,10.07,10.44,40.4,0.0,0.00,0.00,0.00,0.00,,
150.0695582,13:43:41,33.86,33.94,33.93,33.93,33.94,33.94,33.95,33.92,33.98,33.94,33.95,33.97,33.95,33.95,33.93,33.96,33.95,33.96,33.98,26.49,33.95,33.97,26.92,33.95,33.95,33.94,33.95,33.93,33.93,34.00,33.94,33.99,33.96,33.95,445.8,72.3,239.1,227.6,234.9,211.3,228.0,270.1,204.3,264.6,403.3,410.6,192.8,126.1,277.0,117.5,189.9,153.6,95.4,0.0,232.4,92.6,0.0,214.0,214.8,233.8,216.3,240.2,307.4,192.1,301.7,202.5,284.5,282.6,10.20,10.01,10.38,40.6,0.0,0.00,0.00,0.00,0.00,,
180.0850644,13:44:11,33.88,33.94,33.94,33.95,33.95,33.95,33.96,33.92,33.97,33.95,33.94,33.96,33.95,33.95,33.93,33.99,33.96,33.96,33.99,26.46,33.95,33.99,26.91,33.95,33.96,33.96,33.95,33.95,33.96,33.99,33.95,34.00,33.93,33.96,445.2,73.0,239.1,227.5,235.4,212.5,226.5,270.8,207.8,264.7,405.3,412.5,194.5,127.1,276.6,114.4,189.0,154.7,94.5,0.0,233.8,91.2,0.0,214.5,214.3,236.0,216.1,240.3,309.6,187.8,302.7,202.9,283.0,282.9,10.13,9.94,10.31,40.4,0.0,0.00,0.00,0.00,0.00,,
210.1005717,13:44:41,33.88,33.94,33.94,33.96,33.96,33.96,33.96,33.93,33.97,33.96,33.95,33.96,33.95,33.96,33.93,33.99,33.95,33.96,33.98,26.44,33.97,33.97,26.91,33.96,33.96,33.97,33.95,33.96,33.95,33.99,33.95,34.00,33.93,33.95,449.4,74.2,238.7,227.1,234.6,211.9,227.6,272.3,206.6,263.5,407.7,412.9,194.2,125.9,276.8,114.6,192.1,155.1,95.8,0.0,231.0,94.4,0.0,213.7,216.1,234.4,219.1,238.3,305.2,192.5,302.2,202.4,287.6,284.3,10.09,9.91,10.26,40.9,0.0,0.00,0.00,0.00,0.00,,
240.1140719,13:45:11,33.91,33.97,33.95,33.97,33.97,33.96,33.98,33.94,33.96,33.96,33.93,33.96,33.97,33.97,33.96,33.98,33.97,33.96,33.98,26.41,33.96,33.97,26.88,33.96,33.98,33.96,33.97,33.96,33.95,34.00,33.95,33.99,33.97,33.95,447.5,71.0,239.6,226.0,235.0,213.7,227.2,271.9,209.3,266.1,408.0,417.4,193.3,127.3,274.4,117.3,191.0,155.6,97.1,0.0,231.2,92.1,0.0,214.9,213.6,233.8,218.6,239.5,305.5,193.9,301.9,202.2,281.2,285.9,10.05,9.87,10.22,40.6,0.0,0.00,0.00,0.00,0.00,,
270.1300806,13:45:41,33.94,33.96,33.96,33.97,33.99,33.98,33.98,33.94,34.00,34.00,33.95,34.01,33.98,34.00,33.96,34.00,33.98,33.98,33.99,26.40,33.96,33.99,26.88,33.97,33.98,33.97,33.97,33.97,33.97,33.97,33.96,33.99,33.98,33.97,445.9,73.3,240.9,225.5,233.5,210.9,227.4,273.1,203.2,261.2,413.0,405.9,193.1,124.4,274.6,113.6,190.4,154.5,92.3,0.0,232.0,89.3,0.0,213.4,214.9,234.8,218.1,238.1,305.4,191.0,302.4,201.0,283.9,286.4,10.01,9.82,10.18,40.9,0.0,0.00,0.00,0.00,0.00,,
