[Test Data]
Format 2
Experiment Type:,dry
Test Date:,23/10/2018,14:34:19
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\NoWig_RadOn_wind2_7ms.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0035246,14:34:49,33.17,33.41,33.57,33.65,33.57,33.58,33.54,33.48,33.67,33.44,33.36,33.19,33.65,33.54,33.51,33.71,33.62,33.47,33.65,24.37,33.62,33.77,25.34,33.61,33.56,33.52,33.55,33.51,33.59,33.67,33.63,33.65,33.62,33.67,728.6,282.3,378.6,339.1,380.7,351.0,368.0,416.7,336.4,443.8,696.3,859.7,318.2,287.0,412.6,216.4,317.6,260.6,216.8,0.0,334.3,161.3,0.0,314.1,354.4,384.7,356.7,399.2,433.1,337.2,423.0,332.9,395.7,400.1,10.10,10.24,9.96,41.0,0.0,0.00,0.00,0.00,0.00,,
60.0195262,14:35:19,33.24,33.48,33.61,33.67,33.61,33.58,33.58,33.53,33.67,33.48,33.43,33.26,33.68,33.60,33.55,33.73,33.64,33.48,33.66,24.19,33.66,33.79,25.20,33.64,33.59,33.58,33.58,33.54,33.63,33.69,33.66,33.70,33.68,33.70,738.8,285.0,381.7,342.5,384.3,354.3,372.5,420.3,340.3,448.4,703.5,868.8,321.1,289.9,416.5,218.6,323.3,268.1,220.2,0.0,337.8,164.5,0.0,318.7,356.4,387.1,359.7,399.6,431.5,335.1,427.3,334.1,399.5,402.3,10.03,10.18,9.83,40.9,0.0,0.00,0.00,0.00,0.00,,
90.032556,14:35:49,33.28,33.51,33.64,33.71,33.66,33.63,33.64,33.57,33.70,33.53,33.49,33.31,33.71,33.63,33.59,33.74,33.68,33.54,33.70,24.00,33.66,33.81,25.09,33.66,33.61,33.56,33.62,33.59,33.63,33.66,33.69,33.71,33.69,33.71,745.9,291.2,385.9,342.6,389.9,354.1,375.0,422.6,343.2,454.2,706.1,881.3,323.9,299.1,417.9,223.7,324.9,271.1,223.8,0.0,336.5,165.9,0.0,321.5,361.7,395.4,364.3,401.9,442.2,341.1,428.0,339.5,406.8,404.8,9.87,10.07,9.65,41.0,0.0,0.00,0.00,0.00,0.00,,
120.0485678,14:36:19,33.38,33.59,33.69,33.74,33.68,33.67,33.66,33.60,33.74,33.57,33.50,33.38,33.74,33.67,33.62,33.76,33.70,33.57,33.69,23.86,33.73,33.83,24.96,33.68,33.69,33.63,33.64,33.61,33.67,33.73,33.71,33.75,33.73,33.74,746.3,290.0,386.7,347.4,392.5,355.5,379.5,427.8,342.9,456.5,717.1,882.6,323.0,295.9,422.7,224.1,328.2,274.7,228.1,0.0,341.0,170.2,0.0,326.3,363.3,392.2,367.3,406.2,446.0,343.8,432.9,338.1,404.6,408.2,9.72,9.97,9.44,41.2,0.0,0.00,0.00,0.00,0.00,,
150.0626014,14:36:49,33.46,33.63,33.71,33.75,33.70,33.69,33.69,33.63,33.76,33.60,33.54,33.45,33.77,33.73,33.68,33.75,33.72,33.58,33.72,23.70,33.72,33.82,24.84,33.70,33.69,33.66,33.68,33.65,33.71,33.77,33.75,33.78,33.72,33.75,747.1,291.0,388.7,349.4,395.3,359.2,382.5,430.7,346.0,461.4,718.9,890.7,324.2,295.4,419.7,230.8,331.7,279.5,232.8,0.0,344.8,170.9,0.0,329.1,363.8,398.0,367.6,409.8,450.2,342.3,433.5,341.9,404.1,410.3,9.55,9.83,9.24,41.3,0.0,0.00,0.00,0.00,0.00,,
180.0771193,14:37:19,33.47,33.66,33.72,33.77,33.73,33.70,33.72,33.66,33.77,33.62,33.58,33.43,33.79,33.74,33.69,33.79,33.74,33.63,33.77,23.56,33.73,33.85,24.72,33.73,33.73,33.69,33.72,33.69,33.71,33.78,33.75,33.79,33.73,33.77,751.9,295.1,393.6,352.6,398.8,363.8,385.3,434.1,351.4,465.1,728.2,904.3,326.8,300.2,426.3,230.6,334.4,283.0,228.3,0.0,348.9,173.0,0.0,329.8,371.0,398.9,372.4,410.4,447.3,344.2,435.8,341.1,413.7,413.0,9.37,9.70,9.00,41.4,0.0,0.00,0.00,0.00,0.00,,
210.090617,14:37:49,33.54,33.70,33.75,33.79,33.75,33.73,33.75,33.70,33.79,33.64,33.66,33.44,33.80,33.77,33.73,33.79,33.78,33.65,33.76,23.40,33.77,33.87,24.63,33.74,33.74,33.71,33.73,33.71,33.72,33.80,33.76,33.79,33.76,33.78,752.3,297.3,395.5,350.6,401.4,364.9,384.7,434.7,353.8,469.5,723.8,923.4,326.6,299.5,425.7,237.3,336.0,284.3,235.6,0.0,353.0,173.0,0.0,332.3,376.3,402.3,374.4,416.2,454.7,342.5,444.3,343.9,418.3,416.5,9.23,9.56,8.87,41.5,0.0,0.00,0.00,0.00,0.00,,
240.1056503,14:38:19,33.60,33.74,33.79,33.81,33.78,33.76,33.76,33.72,33.81,33.68,33.65,33.49,33.83,33.79,33.76,33.81,33.79,33.68,33.80,23.26,33.76,33.89,24.51,33.76,33.78,33.71,33.77,33.73,33.76,33.82,33.79,33.84,33.77,33.81,752.9,297.4,394.8,353.8,401.8,364.1,387.8,438.0,355.7,472.3,731.4,925.3,326.8,300.4,425.3,240.2,339.1,287.2,238.2,0.0,353.5,174.7,0.0,333.8,373.3,407.4,375.9,417.0,460.6,346.8,439.5,345.6,416.1,417.7,9.09,9.42,8.72,41.6,0.0,0.00,0.00,0.00,0.00,,
270.1216882,14:38:50,33.63,33.79,33.81,33.83,33.82,33.80,33.77,33.73,33.85,33.73,33.65,33.61,33.85,33.83,33.79,33.86,33.81,33.71,33.82,23.11,33.79,33.88,24.39,33.77,33.79,33.72,33.77,33.76,33.80,33.83,33.80,33.85,33.81,33.82,756.0,296.0,393.5,357.2,398.7,365.0,391.4,443.3,354.1,472.5,743.8,909.7,327.9,301.4,429.2,235.3,341.8,288.9,233.0,0.0,354.5,173.5,0.0,334.9,372.5,411.3,378.8,418.2,459.8,352.2,443.1,346.3,417.6,420.4,8.98,9.33,8.61,41.8,0.0,0.00,0.00,0.00,0.00,,
