[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/10/2018,11:06:50
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\HighCurv_RadOff_wind0_3 (run with new conditons).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0180395,11:07:20,38.28,38.86,38.01,37.99,38.00,38.01,38.00,38.00,37.99,38.02,38.01,38.06,38.00,37.99,38.00,38.01,38.01,38.01,38.00,36.98,38.00,38.00,37.03,38.02,38.01,38.00,38.00,38.00,38.03,37.98,37.99,38.01,38.01,37.98,372.4,178.0,269.4,281.5,273.3,292.0,272.8,303.3,268.4,331.2,434.4,476.3,223.7,290.5,299.9,140.5,231.0,171.3,90.1,212.2,269.5,79.7,186.2,245.6,268.0,238.6,256.4,265.9,355.7,301.9,355.1,298.6,369.4,378.2,1.15,1.00,1.29,44.4,0.0,0.00,0.00,0.00,0.00,,
60.0325342,11:07:50,38.26,38.87,38.01,38.01,37.99,38.00,38.00,38.00,37.98,37.99,37.99,38.01,38.00,38.00,37.99,38.01,38.01,38.01,37.99,37.03,37.99,38.01,37.07,38.00,38.00,38.00,38.00,38.00,37.98,37.98,37.98,38.00,38.01,38.00,369.6,157.4,270.0,281.7,274.7,292.1,273.5,302.1,268.9,334.0,437.6,485.2,224.2,291.2,298.0,138.1,228.8,169.3,97.6,187.2,275.1,78.1,158.0,245.2,262.6,242.1,258.0,267.3,363.9,298.1,351.7,304.8,373.0,374.4,1.12,0.99,1.25,44.5,0.0,0.00,0.00,0.00,0.00,,
90.0465314,11:08:20,38.22,38.84,38.00,38.00,37.99,38.00,38.01,38.00,37.99,37.97,37.99,37.93,38.00,38.01,37.99,38.01,38.01,38.02,38.02,37.01,38.01,38.01,37.02,38.01,38.02,37.96,38.01,37.99,38.01,37.95,37.98,38.00,38.00,38.02,369.4,143.1,269.5,282.0,274.6,292.7,273.1,302.9,270.1,338.3,438.9,499.4,224.7,290.6,300.3,137.4,228.8,168.3,92.1,163.3,266.6,77.6,137.2,247.2,262.4,240.3,259.7,270.3,358.2,298.2,352.4,303.9,371.3,371.9,1.09,0.96,1.22,44.5,0.0,0.00,0.00,0.00,0.00,,
120.0600312,11:08:50,38.19,38.79,38.00,38.00,37.99,38.00,38.01,37.98,37.98,37.98,37.98,37.95,38.00,38.00,37.97,38.00,38.00,38.01,38.00,36.93,37.99,38.01,36.94,38.00,38.00,38.00,38.00,37.98,38.05,37.97,37.99,38.00,38.01,37.98,369.8,132.7,269.6,282.2,275.3,292.5,272.1,304.9,271.3,337.4,440.6,496.4,225.0,290.8,301.2,137.5,229.7,168.3,94.6,150.6,269.7,79.2,127.2,248.0,263.6,243.7,259.4,271.1,367.2,307.6,361.1,305.7,368.9,373.6,1.07,0.94,1.18,44.4,0.0,0.00,0.00,0.00,0.00,,
150.0760336,11:09:20,38.16,38.73,37.98,37.99,37.97,37.99,38.00,37.99,37.98,37.99,37.97,37.92,38.00,37.99,37.99,38.02,38.00,38.02,37.99,36.82,38.01,38.00,36.85,37.99,37.98,37.97,38.00,37.98,37.98,38.03,37.98,38.01,38.00,38.00,369.5,126.4,271.8,284.4,277.7,291.5,274.0,304.2,271.6,337.6,446.3,504.8,223.3,293.1,302.0,137.1,229.7,167.8,94.5,145.3,264.9,79.4,117.4,245.8,260.7,240.9,258.8,274.3,361.8,292.0,360.2,306.5,364.5,371.2,1.04,0.93,1.16,44.5,0.0,0.00,0.00,0.00,0.00,,
180.0905237,11:09:50,38.15,38.65,37.99,38.01,38.00,37.99,38.02,38.00,37.99,37.97,38.00,37.95,38.00,38.02,38.01,38.02,38.03,38.02,38.01,36.77,37.97,38.02,36.74,38.00,37.99,38.01,38.00,37.98,38.00,38.00,37.97,37.98,38.01,38.01,368.3,121.5,271.6,282.5,275.6,293.1,272.1,304.0,270.7,338.6,437.6,505.0,223.2,289.9,298.9,135.7,226.2,167.2,91.7,135.2,271.3,77.8,116.6,246.5,260.7,240.7,263.3,272.8,355.9,300.2,356.5,305.6,366.0,372.1,1.03,0.91,1.14,44.4,0.0,0.00,0.00,0.00,0.00,,
210.1035169,11:10:20,38.11,38.59,37.99,38.00,37.99,37.99,38.00,37.98,38.00,37.98,38.01,37.97,38.01,38.01,37.99,38.02,38.00,38.02,38.02,36.66,38.03,38.01,36.65,38.01,38.01,37.99,38.00,37.99,38.02,38.01,38.00,37.99,38.00,38.03,368.7,117.8,271.5,283.9,275.4,293.6,271.3,304.5,267.6,339.3,438.7,499.7,223.3,289.6,299.0,134.4,227.7,167.3,90.1,133.9,267.3,80.1,111.4,244.8,264.1,245.1,260.2,272.2,355.4,295.9,356.4,306.5,365.6,372.8,1.02,0.90,1.14,44.4,0.0,0.00,0.00,0.00,0.00,,
240.1195238,11:10:50,38.12,38.51,37.99,37.98,37.97,38.00,37.98,38.00,37.99,37.98,37.99,37.98,38.00,38.00,37.99,37.99,37.98,38.03,37.98,36.57,38.01,38.01,36.55,37.99,38.02,38.03,38.01,37.99,37.98,38.01,38.02,38.00,38.08,38.00,366.9,115.5,271.7,286.1,278.6,293.5,275.2,304.4,271.3,339.4,440.2,500.8,224.1,291.1,300.2,137.7,232.2,166.8,89.7,134.4,268.7,78.8,112.3,243.8,263.1,238.7,259.4,268.3,353.3,294.2,358.8,306.9,359.9,371.4,1.02,0.90,1.13,44.5,0.0,0.00,0.00,0.00,0.00,,
270.1340227,11:11:20,38.10,38.44,38.00,38.00,38.00,37.99,37.98,38.01,38.00,38.00,38.02,38.02,38.00,37.99,37.99,38.00,37.99,38.02,37.99,36.50,37.99,37.99,36.50,38.01,38.02,38.01,38.00,38.01,38.02,37.98,38.02,38.02,38.03,38.03,366.4,115.1,272.3,283.6,276.5,295.0,275.7,303.5,268.2,337.6,439.8,493.3,223.3,292.0,301.7,139.0,231.4,166.1,94.6,133.0,268.0,80.8,110.6,243.9,253.5,234.9,260.3,269.2,349.3,297.3,352.6,305.0,362.9,368.0,1.02,0.91,1.14,44.3,0.0,0.00,0.00,0.00,0.00,,
