[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,10:46:03
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Oct26\HighCurv_RadOff_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0127167,10:46:33,34.57,34.21,34.35,34.25,34.33,34.28,34.35,34.39,34.24,34.40,34.50,34.57,34.28,34.30,34.38,34.18,34.24,34.41,34.26,22.59,34.33,34.11,24.67,34.30,34.38,34.36,34.37,34.37,34.28,34.29,34.29,34.25,34.26,34.28,384.2,83.0,248.3,240.0,252.4,233.4,236.7,267.9,240.7,314.4,414.1,505.6,202.8,225.1,257.9,112.8,202.0,182.9,122.0,0.0,265.6,92.1,0.0,240.6,232.2,240.3,232.4,244.5,289.9,198.6,307.8,209.9,309.0,300.3,8.53,8.70,8.38,44.4,0.0,0.00,0.00,0.00,0.00,,
60.0394341,10:47:03,34.51,34.17,34.32,34.23,34.27,34.25,34.32,34.35,34.21,34.35,34.42,34.49,34.24,34.23,34.35,34.14,34.21,34.36,34.23,22.70,34.27,34.11,24.71,34.28,34.33,34.29,34.32,34.33,34.29,34.21,34.21,34.20,34.19,34.24,380.2,84.7,242.8,237.6,249.3,233.7,232.7,265.4,241.5,314.0,413.1,515.1,200.1,226.5,253.2,112.0,201.8,180.7,122.5,0.0,263.6,89.9,0.0,238.9,233.2,236.1,229.7,245.2,294.6,208.0,309.1,213.8,312.0,300.0,8.55,8.70,8.41,43.9,0.0,0.00,0.00,0.00,0.00,,
90.0421502,10:47:33,34.43,34.14,34.28,34.20,34.23,34.23,34.28,34.30,34.17,34.30,34.37,34.40,34.20,34.21,34.30,34.13,34.19,34.33,34.19,22.85,34.28,34.08,24.76,34.24,34.28,34.28,34.30,34.27,34.24,34.19,34.23,34.19,34.19,34.22,382.3,83.9,245.9,236.9,250.6,231.0,232.6,264.1,239.9,314.2,413.2,514.5,201.3,227.0,254.2,113.6,198.6,179.0,116.9,0.0,262.6,92.5,0.0,237.8,228.9,238.9,228.0,244.0,284.7,202.1,307.5,210.4,305.2,301.9,8.59,8.72,8.47,43.9,0.0,0.00,0.00,0.00,0.00,,
120.0568669,10:48:03,34.37,34.13,34.24,34.18,34.21,34.19,34.26,34.28,34.15,34.26,34.34,34.34,34.18,34.17,34.27,34.11,34.16,34.28,34.18,22.94,34.22,34.08,24.82,34.22,34.24,34.24,34.26,34.24,34.20,34.19,34.22,34.15,34.25,34.17,381.8,84.4,243.4,234.1,247.2,230.7,229.4,262.1,242.9,314.4,409.6,516.5,200.5,227.7,250.6,113.4,197.9,178.8,121.1,0.0,263.9,89.8,0.0,236.9,232.0,240.7,227.9,244.6,293.8,198.8,305.9,210.9,314.5,301.3,8.64,8.76,8.54,43.5,0.0,0.00,0.00,0.00,0.00,,
150.0715836,10:48:33,34.31,34.10,34.23,34.15,34.18,34.16,34.23,34.24,34.14,34.21,34.29,34.28,34.17,34.14,34.26,34.09,34.15,34.25,34.16,23.03,34.19,34.07,24.86,34.19,34.21,34.18,34.25,34.19,34.19,34.13,34.16,34.10,34.14,34.14,382.0,85.4,241.0,233.6,247.4,231.4,227.7,260.4,240.6,314.6,406.4,519.4,199.3,229.3,248.4,113.0,199.0,179.1,123.4,0.0,262.1,89.7,0.0,235.4,233.2,235.8,223.7,243.9,285.2,207.1,305.4,211.6,311.5,303.3,8.70,8.80,8.62,43.1,0.0,0.00,0.00,0.00,0.00,,
180.0863004,10:49:03,34.25,34.08,34.20,34.13,34.15,34.14,34.20,34.22,34.11,34.18,34.28,34.22,34.14,34.10,34.22,34.07,34.13,34.22,34.08,23.19,34.18,34.05,24.90,34.17,34.16,34.18,34.17,34.17,34.16,34.11,34.13,34.05,34.16,34.13,385.1,85.7,239.8,234.3,244.9,230.1,227.3,260.3,242.5,314.0,401.9,519.9,201.5,231.6,248.6,115.1,198.3,177.3,120.5,0.0,262.4,91.4,0.0,235.1,235.7,238.9,227.8,246.0,289.6,200.6,305.4,214.5,307.3,301.7,8.76,8.84,8.71,42.7,0.0,0.00,0.00,0.00,0.00,,
210.1010171,10:49:33,34.20,34.07,34.15,34.12,34.14,34.13,34.16,34.18,34.08,34.16,34.23,34.20,34.11,34.08,34.17,34.06,34.11,34.20,34.08,23.27,34.17,34.05,24.96,34.15,34.13,34.15,34.16,34.14,34.13,34.07,34.12,34.06,34.09,34.10,388.6,87.4,242.4,233.8,245.7,230.9,227.8,260.1,243.6,314.9,401.4,522.2,201.9,231.9,250.0,115.8,196.2,175.7,122.5,0.0,261.1,90.9,0.0,234.7,231.4,241.6,226.5,244.6,289.5,206.7,307.3,216.1,305.5,302.9,8.83,8.90,8.78,42.8,0.0,0.00,0.00,0.00,0.00,,
240.1147338,10:50:03,34.18,34.06,34.14,34.10,34.09,34.09,34.14,34.17,34.08,34.14,34.22,34.20,34.10,34.05,34.14,34.05,34.08,34.17,34.09,23.30,34.14,34.04,25.00,34.13,34.14,34.14,34.13,34.12,34.07,34.09,34.07,34.04,34.11,34.10,386.9,88.5,241.9,234.7,250.3,233.1,229.0,258.6,244.0,314.6,400.3,515.2,201.9,235.5,252.9,115.0,199.9,175.5,122.4,0.0,260.1,90.8,0.0,234.8,235.4,243.5,228.6,245.6,297.5,203.3,307.9,216.4,310.0,301.0,8.87,8.93,8.82,42.6,0.0,0.00,0.00,0.00,0.00,,
270.1294506,10:50:33,34.14,34.04,34.11,34.07,34.06,34.07,34.10,34.14,34.05,34.11,34.16,34.14,34.06,34.05,34.09,34.05,34.07,34.14,34.07,23.43,34.11,34.04,25.02,34.11,34.05,34.10,34.09,34.11,34.11,34.01,34.07,34.05,34.08,34.06,387.6,86.7,242.1,234.5,253.9,234.0,230.5,259.1,244.7,316.0,402.7,517.4,204.1,237.6,256.3,115.9,199.7,176.4,120.1,0.0,257.6,89.6,0.0,236.3,238.3,235.1,232.4,245.3,283.5,210.8,307.7,221.6,312.3,300.2,8.90,8.95,8.85,42.5,0.0,0.00,0.00,0.00,0.00,,
