[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,09:46:40
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Oct26\HighCurv_RadOff_wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.000716,09:47:10,32.52,33.70,33.05,33.33,33.15,33.25,33.15,32.98,33.27,32.91,32.68,32.04,33.22,33.18,32.96,33.53,33.38,33.24,33.42,25.22,33.38,33.69,25.83,33.39,33.23,33.03,33.17,33.01,33.15,33.42,33.14,33.38,33.25,33.22,579.3,194.8,378.0,329.1,367.9,345.8,359.3,396.9,341.1,431.9,696.4,903.4,333.1,358.6,407.8,196.6,294.7,235.8,198.5,0.0,311.9,132.3,0.0,293.0,342.0,374.2,351.1,381.2,429.8,328.6,425.0,339.0,389.1,386.7,9.50,9.58,9.41,43.0,0.0,0.00,0.00,0.00,0.00,,
60.0154327,09:47:40,32.63,33.71,33.11,33.36,33.21,33.30,33.19,33.04,33.33,32.96,32.80,32.32,33.27,33.27,33.03,33.57,33.41,33.23,33.49,24.97,33.37,33.72,25.73,33.41,33.23,33.09,33.24,33.07,33.20,33.47,33.22,33.44,33.27,33.28,597.0,198.4,388.3,339.2,378.2,354.2,371.5,410.4,349.8,445.5,710.7,903.3,339.0,362.6,417.1,200.0,303.9,249.5,204.9,0.0,321.9,135.3,0.0,299.6,359.9,390.2,360.5,391.8,437.0,335.6,433.6,342.9,403.5,395.1,9.49,9.59,9.39,43.1,0.0,0.00,0.00,0.00,0.00,,
90.0301494,09:48:10,32.74,33.75,33.19,33.41,33.29,33.37,33.27,33.11,33.39,33.06,32.95,32.57,33.35,33.35,33.13,33.62,33.48,33.26,33.51,24.80,33.37,33.75,25.62,33.44,33.30,33.17,33.27,33.15,33.25,33.49,33.31,33.51,33.33,33.33,606.2,200.9,397.0,344.7,384.0,359.6,377.4,418.7,354.8,453.4,717.4,902.1,342.1,363.2,423.4,201.0,307.5,258.2,209.7,0.0,326.5,136.4,0.0,306.8,364.0,388.1,370.4,396.3,445.3,338.3,438.5,345.0,399.9,402.0,9.48,9.59,9.37,43.1,0.0,0.00,0.00,0.00,0.00,,
120.0448662,09:48:40,32.89,33.78,33.28,33.48,33.37,33.43,33.35,33.21,33.48,33.16,33.09,32.81,33.43,33.45,33.24,33.67,33.53,33.31,33.56,24.58,33.45,33.78,25.52,33.48,33.39,33.21,33.36,33.26,33.32,33.57,33.38,33.58,33.41,33.40,613.8,201.3,400.7,348.0,388.9,362.7,380.1,424.6,356.6,456.8,717.0,895.4,342.7,363.3,426.3,203.0,312.1,265.0,217.2,0.0,332.5,137.9,0.0,313.7,366.8,395.0,371.3,398.1,444.4,340.0,439.5,345.6,406.4,406.9,9.45,9.57,9.33,43.3,0.0,0.00,0.00,0.00,0.00,,
150.0595829,09:49:10,33.01,33.80,33.37,33.52,33.41,33.48,33.42,33.30,33.52,33.24,33.21,32.93,33.50,33.50,33.32,33.71,33.58,33.37,33.62,24.43,33.48,33.81,25.43,33.52,33.42,33.35,33.42,33.34,33.41,33.61,33.45,33.63,33.50,33.47,617.7,202.3,404.1,352.3,392.7,367.2,383.5,428.2,360.8,462.7,721.0,902.5,341.7,365.8,429.3,202.5,314.9,269.7,212.5,0.0,334.5,137.8,0.0,317.7,370.7,396.7,375.6,399.9,449.7,338.3,439.9,345.5,418.3,409.9,9.41,9.53,9.27,43.4,0.0,0.00,0.00,0.00,0.00,,
180.0742997,09:49:40,33.11,33.85,33.43,33.58,33.50,33.54,33.49,33.37,33.59,33.32,33.31,33.06,33.56,33.59,33.41,33.76,33.62,33.42,33.68,24.23,33.51,33.83,25.35,33.56,33.51,33.39,33.48,33.41,33.49,33.68,33.52,33.69,33.55,33.53,622.0,200.6,407.2,354.5,391.6,369.1,386.9,432.4,362.4,466.7,722.3,907.4,344.8,365.8,431.7,202.4,317.0,273.1,214.7,0.0,342.6,139.3,0.0,320.9,373.5,399.9,378.3,402.0,450.5,342.3,441.3,346.0,416.2,412.8,9.35,9.50,9.19,43.5,0.0,0.00,0.00,0.00,0.00,,
210.0890164,09:50:10,33.21,33.88,33.50,33.63,33.56,33.60,33.55,33.44,33.62,33.40,33.40,33.15,33.63,33.63,33.48,33.78,33.68,33.47,33.73,24.08,33.58,33.84,25.26,33.61,33.56,33.49,33.54,33.49,33.56,33.76,33.57,33.73,33.62,33.59,628.3,198.8,408.6,354.4,395.2,370.2,387.7,434.3,363.7,469.1,725.7,913.4,342.6,366.5,433.5,203.6,318.3,277.4,215.8,0.0,342.8,139.8,0.0,324.1,374.3,403.0,380.4,404.0,448.6,343.4,443.9,344.2,406.3,414.1,9.29,9.45,9.11,43.6,0.0,0.00,0.00,0.00,0.00,,
240.1037332,09:50:40,33.32,33.91,33.57,33.68,33.60,33.65,33.61,33.51,33.69,33.48,33.49,33.29,33.69,33.71,33.57,33.82,33.72,33.54,33.76,23.95,33.62,33.87,25.18,33.65,33.65,33.58,33.60,33.57,33.62,33.74,33.64,33.76,33.63,33.63,629.2,196.8,410.1,356.1,397.4,371.4,390.2,437.4,364.1,470.2,723.5,914.5,342.0,364.7,431.9,201.6,319.1,279.0,214.9,0.0,342.8,140.7,0.0,325.6,376.1,402.8,379.7,403.1,450.5,343.6,442.9,345.6,411.0,416.2,9.22,9.40,9.04,43.7,0.0,0.00,0.00,0.00,0.00,,
270.1174498,09:51:10,33.39,33.93,33.63,33.72,33.67,33.69,33.65,33.57,33.73,33.53,33.52,33.38,33.73,33.73,33.62,33.83,33.75,33.58,33.78,23.78,33.65,33.88,25.11,33.69,33.64,33.65,33.64,33.62,33.66,33.75,33.68,33.78,33.71,33.67,633.4,195.9,408.7,355.5,397.6,373.4,391.0,436.5,364.4,472.6,730.8,912.1,340.3,365.7,431.7,204.2,320.0,281.6,212.8,0.0,344.6,140.3,0.0,326.8,378.8,404.5,380.7,403.7,450.5,342.9,445.6,348.2,414.7,415.6,9.15,9.33,8.94,43.6,0.0,0.00,0.00,0.00,0.00,,
