[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/10/2018,11:54:23
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\HighCurv_RadOn_wind0_3 (run with new conditons).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0140245,11:54:53,38.06,38.02,38.04,38.00,38.04,38.02,38.02,38.01,38.03,38.03,38.06,38.13,38.03,38.25,38.01,38.01,37.99,38.02,38.02,36.57,37.99,37.99,36.57,38.01,38.03,38.03,38.02,38.02,38.03,38.00,38.02,38.02,38.02,38.01,372.1,111.1,269.3,276.6,270.8,295.6,277.3,299.8,264.4,328.4,421.4,472.5,216.8,256.6,295.0,132.6,234.8,164.4,93.5,206.7,271.6,79.8,183.2,251.1,256.5,239.8,259.6,263.6,355.9,287.9,366.5,308.3,376.8,367.2,1.09,0.94,1.24,44.3,0.0,0.00,0.00,0.00,0.00,,
60.0285241,11:55:23,38.04,38.04,38.06,38.04,38.06,38.03,38.05,38.01,38.04,38.04,38.09,38.16,38.04,38.39,38.03,38.03,38.01,38.03,38.01,36.68,38.02,38.02,36.67,38.02,38.02,38.02,38.02,38.01,38.06,38.02,38.05,38.02,38.05,38.02,374.8,109.3,263.7,273.3,267.2,292.5,272.8,298.9,261.6,327.5,414.8,460.5,214.0,228.5,292.4,128.8,228.5,163.5,92.5,181.8,269.3,75.6,157.6,250.2,256.8,239.6,260.5,262.9,346.7,288.7,363.8,309.2,369.4,364.6,1.16,0.99,1.33,44.0,0.0,0.00,0.00,0.00,0.00,,
90.0430284,11:55:53,38.05,38.07,38.06,38.05,38.06,38.05,38.05,38.02,38.04,38.02,38.09,38.11,38.04,38.40,38.03,38.03,38.01,38.03,38.00,36.68,38.03,38.01,36.67,38.02,38.01,38.02,38.01,38.03,38.04,38.00,38.04,38.01,38.03,38.01,372.5,105.7,261.5,270.8,265.7,290.3,269.5,297.1,261.0,326.9,410.6,461.6,214.3,217.0,290.2,127.9,229.5,161.8,96.5,163.4,266.4,76.2,139.7,249.7,256.3,239.5,260.3,260.2,349.5,283.2,364.5,310.6,371.2,361.9,1.21,1.02,1.41,43.9,0.0,0.00,0.00,0.00,0.00,,
120.0565207,11:56:23,38.04,38.07,38.06,38.05,38.04,38.05,38.05,38.02,38.05,38.02,38.07,38.08,38.05,38.37,38.03,38.02,38.00,38.04,38.02,36.66,38.01,38.00,36.64,38.02,38.03,38.03,38.02,38.01,37.99,38.03,38.04,38.01,38.02,38.04,374.1,102.5,261.3,268.3,265.3,288.6,268.8,297.2,261.7,327.7,410.6,467.8,213.0,211.7,290.0,127.6,231.2,160.5,93.3,149.4,268.0,76.4,129.6,249.8,256.8,238.1,261.0,261.0,348.1,289.2,366.1,311.7,371.2,359.4,1.26,1.05,1.48,43.7,0.0,0.00,0.00,0.00,0.00,,
150.0725185,11:56:53,38.03,38.08,38.04,38.04,38.05,38.04,38.05,38.01,38.05,38.05,38.05,38.10,38.04,38.34,38.02,38.01,38.01,38.04,38.02,36.62,38.03,38.00,36.59,38.03,38.01,38.02,38.02,38.01,38.04,38.01,38.04,38.01,38.04,38.03,374.0,100.1,260.8,269.4,260.7,288.6,269.9,297.9,258.9,321.1,414.0,459.6,213.2,207.9,290.8,129.1,229.9,160.1,93.6,142.3,266.9,77.2,122.9,248.5,253.1,239.4,257.9,260.8,352.7,289.9,366.3,311.0,365.1,361.6,1.32,1.09,1.55,43.7,0.0,0.00,0.00,0.00,0.00,,
180.08601,11:57:23,38.02,38.08,38.05,38.04,38.06,38.04,38.06,38.01,38.05,38.06,38.05,38.12,38.04,38.29,38.02,38.04,38.03,38.05,38.02,36.57,38.03,38.01,36.52,38.03,38.03,38.00,38.02,38.01,38.03,38.01,38.05,38.01,38.01,38.03,375.3,98.1,259.9,266.8,262.6,289.3,266.7,298.4,257.2,320.3,414.0,452.6,211.6,208.2,290.1,126.3,226.5,159.1,89.5,136.8,264.3,77.4,116.2,248.2,253.3,243.1,258.9,259.7,346.8,290.8,363.2,309.7,374.0,360.8,1.36,1.12,1.60,43.6,0.0,0.00,0.00,0.00,0.00,,
210.10101,11:57:53,38.03,38.08,38.06,38.05,38.06,38.05,38.07,38.02,38.05,38.07,38.07,38.14,38.03,38.25,38.03,38.04,38.02,38.05,38.03,36.49,38.02,38.02,36.47,38.03,38.00,38.02,38.01,38.02,38.06,38.01,38.03,38.01,38.02,38.04,372.9,97.1,257.8,266.5,260.8,286.4,264.3,297.9,255.6,316.1,408.0,446.3,211.7,207.8,287.3,125.1,226.4,158.3,91.6,134.2,264.4,75.4,116.4,246.8,252.8,243.1,258.1,259.4,347.5,287.6,364.6,310.2,371.0,360.4,1.39,1.14,1.64,43.4,0.0,0.00,0.00,0.00,0.00,,
240.1160117,11:58:23,38.03,38.07,38.05,38.04,38.04,38.04,38.06,38.01,38.05,38.05,38.06,38.08,38.03,38.23,38.02,38.03,38.01,38.05,38.00,36.44,38.03,38.01,36.40,38.02,38.03,38.00,38.01,38.01,38.01,37.99,38.03,38.02,38.03,38.02,370.3,95.5,256.9,267.1,261.9,286.6,264.2,298.9,253.2,316.6,407.5,451.2,210.5,206.1,288.4,123.8,228.2,156.9,93.5,131.2,258.9,75.5,113.1,247.6,253.2,245.2,258.5,260.2,345.9,286.4,364.2,309.2,372.7,361.9,1.42,1.15,1.68,43.3,0.0,0.00,0.00,0.00,0.00,,
270.1305138,11:58:53,38.01,38.06,38.03,38.03,38.03,38.03,38.04,38.01,38.02,38.02,38.01,38.01,38.03,38.16,38.02,38.01,38.00,38.05,38.00,36.39,38.03,38.00,36.35,38.02,38.01,38.01,38.00,38.02,37.98,38.01,38.01,38.00,38.01,38.01,373.9,95.5,258.9,266.4,264.3,287.6,264.5,298.4,257.1,321.0,412.1,464.6,210.9,208.3,288.0,126.1,229.6,156.1,90.2,132.1,263.3,76.8,113.3,247.7,253.8,245.3,260.5,259.2,353.8,288.7,368.1,310.1,373.1,361.8,1.43,1.16,1.71,43.2,0.0,0.00,0.00,0.00,0.00,,
300.1440137,11:59:23,38.03,38.06,38.03,38.03,38.02,38.03,38.04,38.02,38.02,38.01,38.04,37.97,38.02,38.15,38.02,38.02,38.01,38.03,38.01,36.31,38.01,38.00,36.29,38.01,38.02,38.02,38.00,38.01,38.00,38.01,38.02,38.00,38.03,38.01,370.8,94.9,258.1,266.0,262.2,288.0,264.4,297.5,257.6,320.5,409.0,471.4,210.7,208.6,288.6,127.4,227.6,156.6,92.8,132.9,261.8,76.5,114.4,248.7,255.9,243.7,261.3,259.4,353.0,289.4,368.4,308.7,373.7,363.1,1.45,1.17,1.74,43.2,0.0,0.00,0.00,0.00,0.00,,
330.15852,11:59:53,37.99,38.05,38.02,38.03,38.02,38.03,38.03,38.02,38.01,37.99,38.02,37.94,38.01,38.15,38.02,38.02,38.02,38.03,38.02,36.26,38.02,38.02,36.23,38.02,37.97,38.00,37.98,38.01,37.99,38.03,38.00,37.99,38.00,38.00,375.6,94.7,258.5,265.9,260.0,285.9,262.9,295.5,258.6,323.9,407.4,476.6,212.0,207.6,286.2,124.9,225.0,156.1,97.1,133.3,263.7,74.8,115.2,247.4,257.3,242.8,262.3,259.3,351.4,292.3,367.1,312.0,375.1,364.5,1.46,1.18,1.75,43.0,0.0,0.00,0.00,0.00,0.00,,
360.1740145,12:00:23,38.00,38.04,38.01,38.02,38.00,38.02,38.02,38.00,38.00,37.98,37.97,37.91,38.01,38.10,37.99,38.01,38.01,38.03,38.01,36.22,38.00,38.01,36.20,38.01,37.98,37.99,37.97,38.00,37.97,37.98,37.98,37.98,37.99,38.00,376.6,94.4,261.1,266.6,265.2,285.9,267.4,297.1,259.3,325.2,417.2,484.2,213.0,207.1,289.7,126.7,225.9,156.5,94.2,134.8,265.5,74.6,115.1,248.4,254.9,247.1,262.0,259.9,357.3,288.0,371.1,312.1,369.5,365.3,1.46,1.16,1.75,42.9,0.0,0.00,0.00,0.00,0.00,,
390.189015,12:00:53,37.95,38.04,38.01,38.00,38.00,38.00,38.02,37.98,37.99,37.97,37.94,37.91,38.00,38.08,37.98,38.00,38.00,38.02,37.98,36.18,38.00,38.02,36.17,38.01,37.94,37.98,37.99,38.00,37.98,37.97,37.98,37.98,38.01,37.98,380.6,95.3,260.9,268.0,264.4,289.4,264.6,300.0,260.8,326.3,425.9,488.2,215.2,209.6,291.6,126.9,228.2,156.9,89.4,136.8,263.9,74.8,117.6,247.3,259.2,245.6,263.2,259.9,354.4,288.0,373.4,311.8,368.8,368.1,1.44,1.16,1.71,43.0,0.0,0.00,0.00,0.00,0.00,,
420.202012,12:01:23,37.97,38.02,37.98,37.99,37.98,37.99,38.00,37.98,37.97,37.95,37.94,37.86,37.99,38.04,37.98,37.99,37.99,38.00,37.97,36.15,38.00,38.00,36.13,38.00,37.98,37.98,37.99,37.98,38.00,38.00,37.96,37.98,37.96,37.98,380.6,96.7,262.9,270.8,268.8,290.6,267.0,302.3,264.0,330.8,428.7,502.0,216.9,213.3,293.4,128.7,231.4,157.6,95.2,136.9,266.2,75.8,118.6,248.0,259.1,248.3,263.0,263.6,351.9,292.8,376.4,312.7,377.0,368.5,1.40,1.11,1.68,43.0,0.0,0.00,0.00,0.00,0.00,,
450.2190146,12:01:53,37.96,38.02,37.99,37.98,37.97,38.00,38.00,37.98,37.96,37.93,37.94,37.85,37.99,38.03,37.99,37.99,37.99,38.00,38.01,36.12,37.99,38.01,36.11,38.00,37.98,37.97,37.99,37.98,37.96,37.99,37.97,37.97,37.99,37.98,384.8,96.5,263.9,270.6,268.8,290.3,266.3,302.3,266.2,333.8,427.9,507.1,215.9,213.6,291.4,128.6,230.1,157.1,92.9,138.0,265.7,76.5,120.6,247.9,260.0,247.2,262.6,263.3,361.1,288.5,375.8,313.5,375.4,369.5,1.37,1.08,1.65,43.1,0.0,0.00,0.00,0.00,0.00,,
480.232519,12:02:23,37.96,38.01,37.98,37.99,37.98,38.00,38.01,37.99,37.97,37.95,37.98,37.87,37.98,38.04,38.00,37.99,38.00,38.00,38.00,36.09,38.00,38.01,36.09,38.00,37.98,37.98,37.98,37.99,37.98,38.01,37.98,37.98,38.01,37.98,387.0,97.7,265.7,270.8,269.3,289.9,265.1,300.9,265.8,332.7,425.0,510.3,218.3,214.8,291.6,129.5,228.6,158.5,93.6,142.5,266.5,73.9,120.7,247.9,261.4,246.3,264.9,264.4,358.3,289.3,375.8,313.8,372.7,367.9,1.34,1.05,1.63,43.1,0.0,0.00,0.00,0.00,0.00,,
510.2465234,12:02:53,37.94,38.01,37.99,38.00,37.98,38.01,38.02,37.98,37.98,37.95,37.99,37.92,37.98,38.02,37.99,38.00,38.01,38.00,38.03,36.08,38.00,38.00,36.07,37.99,37.97,37.98,37.98,37.99,37.97,37.99,37.97,37.98,37.99,37.99,387.8,98.2,264.2,270.1,269.6,289.1,265.5,302.6,264.7,333.9,421.8,503.5,217.2,212.8,290.7,129.6,227.5,158.6,89.4,142.1,265.1,73.6,123.1,248.9,260.2,250.2,265.5,263.7,360.2,293.3,374.8,313.0,375.9,368.4,1.32,1.03,1.61,43.2,0.0,0.00,0.00,0.00,0.00,,
540.2610201,12:03:23,37.96,38.00,37.99,37.99,37.99,38.00,38.01,37.98,37.98,37.96,38.00,37.92,37.99,38.03,38.00,37.99,37.99,37.99,37.98,36.06,37.99,38.00,36.06,38.00,37.97,38.02,37.98,37.99,37.99,38.00,37.98,37.99,37.96,37.98,386.9,97.9,264.2,270.4,269.5,289.4,264.7,303.5,265.7,334.1,420.0,503.3,217.1,211.9,291.0,129.3,229.2,159.0,89.2,143.8,269.3,74.5,125.5,248.9,260.6,246.0,264.1,263.5,355.7,291.6,373.0,313.5,376.5,369.2,1.31,1.01,1.61,43.1,0.0,0.00,0.00,0.00,0.00,,
570.2755215,12:03:53,37.96,38.01,37.99,38.00,37.99,38.01,38.00,38.00,37.98,37.95,38.01,37.93,38.01,38.02,38.00,37.99,37.99,37.99,38.00,36.05,38.00,37.99,36.05,38.00,38.01,38.02,38.00,37.98,37.99,37.98,37.98,37.99,37.98,37.99,386.9,96.5,264.8,269.7,269.2,289.0,265.2,301.9,264.9,335.0,419.7,503.4,214.4,212.5,289.7,130.0,231.4,159.3,94.7,143.5,269.5,73.9,121.3,248.4,260.9,243.8,262.2,264.0,358.4,289.5,371.9,312.5,376.0,369.9,1.30,1.01,1.60,43.1,0.0,0.00,0.00,0.00,0.00,,
600.2905169,12:04:23,38.00,38.01,37.99,38.00,38.01,38.00,38.00,38.01,38.00,37.97,38.02,37.99,38.00,38.03,37.99,37.99,38.00,37.99,38.00,36.03,37.99,37.99,36.04,38.00,37.99,38.02,38.00,38.00,38.00,37.98,38.01,38.00,38.00,37.99,382.7,96.4,263.8,271.0,268.3,289.4,266.8,299.5,265.9,334.8,417.1,498.0,215.2,211.9,289.3,129.8,229.9,159.1,95.5,144.3,268.0,75.5,122.3,247.3,262.5,245.7,263.6,262.3,352.6,284.2,367.5,312.0,380.1,369.3,1.30,1.00,1.60,43.1,0.0,0.00,0.00,0.00,0.00,,
630.3060239,12:04:53,38.00,38.01,38.02,38.02,38.01,38.00,38.01,38.01,38.02,38.01,38.05,38.07,38.00,38.03,38.00,38.01,38.01,38.00,37.98,36.04,37.98,38.00,36.04,37.99,38.01,38.01,38.00,38.00,38.03,38.03,38.02,38.00,38.01,37.98,381.9,96.6,262.4,266.5,266.7,290.3,264.7,299.1,260.7,329.3,409.6,483.5,214.3,211.7,291.2,129.3,229.5,159.4,94.5,144.3,266.6,75.6,124.9,250.0,256.4,243.7,263.0,261.9,354.0,289.7,367.2,311.1,375.7,370.0,1.31,1.00,1.61,42.9,0.0,0.00,0.00,0.00,0.00,,
660.3195288,12:05:23,38.00,38.00,38.01,38.01,38.00,38.01,38.00,38.02,38.02,38.03,38.04,38.10,38.00,38.03,38.02,38.01,38.02,38.00,38.02,36.04,37.99,38.01,36.03,38.01,38.00,38.00,38.00,38.00,38.00,38.03,38.02,38.01,38.00,38.02,380.3,97.9,260.1,265.2,265.6,287.8,264.5,297.2,258.8,325.2,408.8,470.4,214.2,210.2,288.3,126.9,226.3,159.9,95.7,144.6,268.2,74.4,123.8,249.0,255.7,245.3,263.5,260.3,349.9,284.8,365.1,308.8,370.5,367.4,1.32,1.00,1.64,42.9,0.0,0.00,0.00,0.00,0.00,,
690.3335294,12:05:53,38.00,38.01,38.00,38.01,37.99,38.00,38.00,38.02,38.00,38.01,38.02,38.07,38.00,38.02,38.01,37.99,38.00,38.00,38.03,36.03,38.01,37.99,36.02,38.01,38.03,37.99,38.02,38.01,38.02,38.01,38.02,38.01,38.03,38.02,380.7,96.1,262.7,266.2,268.0,289.5,267.4,297.5,264.1,329.3,414.5,473.8,214.1,211.8,290.0,130.0,228.1,159.6,93.7,141.9,267.6,76.2,121.4,248.2,258.8,247.0,259.9,261.5,351.2,286.7,364.4,310.6,374.3,364.4,1.33,1.02,1.66,42.8,0.0,0.00,0.00,0.00,0.00,,
720.3480282,12:06:23,38.00,38.02,38.00,38.01,38.00,38.02,38.01,38.03,38.02,38.01,38.03,38.05,38.02,38.03,38.02,38.00,38.02,38.01,38.02,36.02,38.00,38.02,36.01,38.01,38.00,37.99,38.01,38.01,38.00,37.99,38.01,38.00,38.02,38.03,381.7,95.3,262.3,265.7,265.1,286.6,263.5,295.6,259.9,326.5,410.3,474.4,211.8,209.7,287.0,128.7,225.4,160.1,95.2,145.4,267.7,72.0,123.8,247.6,257.3,245.1,261.3,260.2,353.7,286.0,364.6,310.9,372.7,363.9,1.35,1.02,1.68,42.7,0.0,0.00,0.00,0.00,0.00,,
