[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,11:53:15
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\HighCurv_RadOn_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0110995,11:53:45,30.39,33.24,31.93,31.74,31.85,31.98,31.89,31.33,31.83,31.08,29.04,29.64,32.31,32.98,31.77,32.85,31.95,32.38,32.98,25.50,31.96,33.14,25.84,32.08,31.73,31.88,31.97,31.90,31.71,32.21,31.08,32.10,31.29,31.14,536.3,107.2,301.5,342.3,310.3,341.2,362.5,407.4,400.0,458.3,655.1,619.1,291.1,257.8,339.6,154.5,344.7,250.3,153.4,0.0,278.6,134.7,0.0,249.3,317.3,378.1,338.0,335.5,397.0,271.5,484.6,320.0,405.1,410.6,9.19,9.21,9.16,43.0,0.0,0.00,0.00,0.00,0.00,,
60.0231265,11:54:15,31.83,33.62,32.97,33.02,33.08,32.99,32.99,32.68,33.00,32.51,31.21,30.30,33.14,33.52,32.72,33.37,33.15,33.01,33.50,25.46,32.89,33.62,25.81,32.93,32.89,32.82,32.83,32.80,32.80,33.06,32.55,32.91,32.61,32.52,609.1,157.4,449.1,429.8,429.4,417.0,428.0,492.8,461.7,542.6,616.2,884.4,389.2,303.3,475.5,225.7,391.6,302.0,203.9,0.0,421.6,158.1,0.0,399.1,434.9,448.6,450.7,440.8,519.8,374.2,573.9,418.4,549.3,576.5,9.19,9.21,9.18,43.1,0.0,0.00,0.00,0.00,0.00,,
90.0356562,11:54:45,32.61,33.82,33.51,33.58,33.62,33.52,33.55,33.40,33.59,33.19,32.02,31.62,33.56,33.88,33.28,33.73,33.67,33.43,33.76,25.45,33.38,33.81,25.80,33.40,33.47,33.38,33.40,33.36,33.41,33.53,33.32,33.49,33.32,33.31,547.5,140.5,390.1,370.7,370.0,361.3,364.1,415.2,378.3,471.5,534.9,754.1,336.1,266.3,426.6,192.6,323.1,276.0,176.4,0.0,381.7,136.1,0.0,357.9,368.7,398.4,386.7,383.0,457.6,325.6,491.8,350.5,469.9,488.4,9.19,9.20,9.18,43.1,0.0,0.00,0.00,0.00,0.00,,
120.0521652,11:55:15,33.07,33.94,33.85,33.90,33.90,33.83,33.87,33.83,33.91,33.61,32.50,32.56,33.86,34.08,33.70,33.93,33.97,33.72,33.87,25.48,33.71,33.92,25.79,33.70,33.83,33.75,33.77,33.74,33.70,33.83,33.77,33.80,33.76,33.79,503.2,126.8,348.2,333.1,329.2,327.6,319.8,365.6,334.2,431.4,492.7,636.5,304.6,238.8,383.1,166.3,277.9,252.0,156.5,0.0,351.0,120.9,0.0,327.0,327.2,351.8,339.9,340.8,417.3,290.8,439.0,309.6,413.5,438.9,9.20,9.21,9.20,43.4,0.0,0.00,0.00,0.00,0.00,,
150.0651672,11:55:45,33.39,34.03,34.06,34.10,34.08,34.03,34.09,34.10,34.09,33.90,32.86,33.12,34.05,34.21,33.98,34.05,34.14,33.95,33.98,25.48,33.92,34.00,25.79,33.92,34.07,33.99,34.02,34.00,33.92,34.00,34.03,34.03,34.11,34.09,472.1,114.3,318.4,304.6,302.6,299.3,290.5,337.2,309.3,399.4,461.1,568.3,275.5,215.6,352.9,148.5,247.1,231.1,150.4,0.0,329.6,111.8,0.0,302.8,297.4,323.3,313.5,312.6,398.5,273.7,396.1,279.9,375.4,396.6,9.22,9.24,9.21,43.5,0.0,0.00,0.00,0.00,0.00,,
180.0811708,11:56:15,33.66,34.11,34.20,34.21,34.19,34.16,34.21,34.25,34.20,34.07,33.11,33.43,34.16,34.31,34.16,34.12,34.22,34.08,34.09,25.49,34.08,34.05,25.80,34.08,34.23,34.15,34.18,34.16,34.09,34.15,34.23,34.17,34.25,34.26,444.2,104.1,295.8,283.8,284.4,279.3,269.8,315.3,287.0,374.2,445.9,530.4,256.6,196.4,325.2,135.9,230.1,216.0,138.3,0.0,310.2,104.0,0.0,283.6,282.2,299.9,286.3,289.9,384.8,249.8,365.9,254.8,347.3,365.8,9.23,9.24,9.22,43.7,0.0,0.00,0.00,0.00,0.00,,
210.0936691,11:56:45,33.81,34.15,34.26,34.27,34.26,34.25,34.27,34.32,34.25,34.19,33.24,33.58,34.24,34.37,34.27,34.18,34.26,34.20,34.13,25.48,34.19,34.10,25.81,34.19,34.30,34.26,34.27,34.27,34.19,34.26,34.32,34.26,34.33,34.37,430.7,95.3,279.7,267.6,269.3,264.8,254.7,301.9,271.9,353.0,445.3,522.7,240.4,181.6,306.4,126.1,218.1,202.1,128.5,0.0,292.4,97.9,0.0,267.3,264.4,277.0,268.9,268.3,362.3,235.6,344.3,235.8,326.0,342.8,9.24,9.24,9.23,43.5,0.0,0.00,0.00,0.00,0.00,,
240.1086733,11:57:15,33.97,34.16,34.29,34.30,34.30,34.28,34.29,34.35,34.29,34.27,33.39,33.73,34.25,34.41,34.30,34.21,34.25,34.27,34.14,25.51,34.27,34.10,25.82,34.25,34.31,34.31,34.32,34.33,34.28,34.28,34.36,34.32,34.37,34.43,411.6,90.0,272.2,257.2,258.1,254.4,247.5,291.3,257.8,336.5,437.5,516.5,229.8,169.0,297.0,118.9,211.4,190.7,118.7,0.0,276.3,92.2,0.0,253.6,252.1,268.0,255.6,253.5,352.3,223.0,334.4,222.9,314.0,326.9,9.25,9.26,9.24,43.5,0.0,0.00,0.00,0.00,0.00,,
270.1241741,11:57:45,34.05,34.17,34.30,34.30,34.30,34.31,34.29,34.35,34.30,34.30,33.51,33.81,34.28,34.40,34.34,34.20,34.24,34.30,34.16,25.53,34.32,34.12,25.83,34.29,34.32,34.33,34.33,34.34,34.32,34.28,34.39,34.33,34.42,34.44,398.2,86.2,265.1,249.0,250.6,244.5,241.7,284.7,247.7,325.8,433.7,507.1,221.5,161.6,285.6,115.0,206.2,182.2,121.4,0.0,263.1,89.4,0.0,245.6,243.2,259.5,245.9,246.9,329.2,211.8,323.9,212.9,298.5,316.9,9.26,9.26,9.26,43.2,0.0,0.00,0.00,0.00,0.00,,
300.1381684,11:58:15,34.09,34.17,34.31,34.31,34.29,34.30,34.28,34.35,34.28,34.31,33.60,33.88,34.27,34.37,34.37,34.20,34.24,34.30,34.14,25.55,34.30,34.11,25.85,34.32,34.31,34.37,34.31,34.36,34.33,34.28,34.37,34.31,34.37,34.40,390.3,81.8,255.6,242.4,245.7,238.5,237.2,277.7,241.9,319.5,431.0,504.0,213.8,156.1,274.0,112.5,201.1,174.8,113.8,0.0,257.1,86.6,0.0,238.5,232.6,250.2,239.8,238.0,322.0,207.2,317.5,208.3,298.4,310.6,9.27,9.28,9.27,43.1,0.0,0.00,0.00,0.00,0.00,,
330.1521623,11:58:45,34.07,34.17,34.30,34.29,34.28,34.29,34.25,34.33,34.25,34.29,33.69,33.86,34.26,34.35,34.39,34.18,34.22,34.30,34.14,25.52,34.33,34.11,25.86,34.32,34.31,34.32,34.29,34.34,34.35,34.28,34.35,34.29,34.40,34.38,390.7,78.6,251.8,239.1,241.6,233.8,234.8,272.6,239.9,314.4,425.0,508.7,209.0,152.5,263.2,109.3,198.9,171.2,110.9,0.0,248.8,84.1,0.0,231.5,235.0,244.5,233.9,231.7,318.3,194.7,310.7,205.0,290.7,306.5,9.29,9.29,9.28,43.3,0.0,0.00,0.00,0.00,0.00,,
360.1671619,11:59:15,34.09,34.16,34.28,34.26,34.27,34.28,34.25,34.30,34.24,34.29,33.75,33.90,34.25,34.31,34.36,34.15,34.19,34.30,34.15,25.54,34.32,34.10,25.87,34.30,34.27,34.33,34.28,34.31,34.32,34.26,34.33,34.28,34.35,34.35,385.3,78.0,245.4,236.4,237.7,230.1,230.7,270.1,237.8,310.1,421.4,507.0,204.9,150.7,260.0,109.8,198.1,166.3,103.4,0.0,248.4,83.8,0.0,227.9,227.4,240.5,229.5,229.6,316.4,194.7,308.7,202.3,285.8,301.7,9.29,9.30,9.28,43.1,0.0,0.00,0.00,0.00,0.00,,
390.1831668,11:59:45,34.10,34.15,34.26,34.23,34.22,34.25,34.24,34.27,34.21,34.25,33.79,33.90,34.23,34.28,34.34,34.14,34.17,34.26,34.14,25.55,34.30,34.10,25.88,34.28,34.22,34.30,34.25,34.28,34.29,34.21,34.29,34.24,34.32,34.31,381.0,75.1,244.7,234.3,237.0,227.4,228.3,267.2,236.2,309.5,419.5,507.6,202.4,148.5,256.4,106.8,196.7,166.3,105.8,0.0,243.0,81.9,0.0,225.9,227.9,241.8,225.0,226.5,306.2,193.6,306.8,205.5,286.7,298.2,9.30,9.31,9.28,42.9,0.0,0.00,0.00,0.00,0.00,,
420.1966784,12:00:16,34.10,34.13,34.23,34.20,34.20,34.22,34.21,34.25,34.18,34.22,33.82,33.91,34.21,34.24,34.32,34.12,34.16,34.24,34.08,25.55,34.26,34.08,25.89,34.26,34.23,34.27,34.24,34.26,34.27,34.20,34.27,34.20,34.28,34.27,379.5,74.9,242.0,232.6,234.8,226.5,225.2,265.6,236.9,308.2,420.4,507.8,199.2,147.1,250.7,108.1,196.7,164.7,105.1,0.0,239.6,81.0,0.0,224.5,222.0,236.1,223.6,225.1,305.3,192.8,304.9,204.9,287.1,300.4,9.31,9.33,9.30,43.0,0.0,0.00,0.00,0.00,0.00,,
450.2121779,12:00:46,34.11,34.12,34.20,34.18,34.19,34.19,34.19,34.20,34.16,34.19,33.84,33.92,34.19,34.21,34.26,34.10,34.13,34.23,34.12,25.54,34.24,34.07,25.89,34.24,34.19,34.25,34.20,34.22,34.25,34.17,34.24,34.17,34.25,34.26,376.9,74.9,240.4,232.0,234.9,225.8,223.7,266.4,235.4,306.8,419.3,510.7,199.2,147.1,251.3,108.6,196.1,161.1,101.6,0.0,240.8,81.3,0.0,222.9,224.4,234.8,224.0,223.9,302.0,194.6,307.0,204.9,283.6,292.8,9.32,9.33,9.30,43.1,0.0,0.00,0.00,0.00,0.00,,
480.2271838,12:01:16,34.09,34.10,34.17,34.15,34.15,34.17,34.16,34.17,34.15,34.19,33.89,33.96,34.14,34.18,34.23,34.08,34.11,34.20,34.12,25.57,34.20,34.07,25.93,34.21,34.17,34.20,34.18,34.18,34.23,34.13,34.19,34.14,34.23,34.20,375.1,74.0,241.0,235.7,234.6,224.7,224.7,266.8,234.3,304.7,416.1,507.7,203.2,146.4,252.4,108.4,198.3,160.8,106.6,0.0,237.9,80.6,0.0,221.2,223.6,242.7,223.0,224.3,293.2,192.4,305.4,204.3,278.8,297.9,9.32,9.35,9.30,43.1,0.0,0.00,0.00,0.00,0.00,,
510.2416859,12:01:46,34.11,34.09,34.15,34.13,34.15,34.15,34.13,34.14,34.14,34.17,33.87,34.00,34.14,34.16,34.19,34.07,34.10,34.17,34.13,25.59,34.19,34.06,25.93,34.18,34.13,34.13,34.15,34.15,34.20,34.08,34.16,34.14,34.18,34.18,372.4,73.5,240.2,233.7,231.3,223.7,225.6,266.8,232.5,302.7,424.7,498.5,202.3,144.9,252.8,108.0,195.2,159.7,104.7,0.0,240.2,80.4,0.0,222.3,226.2,237.5,224.1,227.5,299.2,194.2,306.4,201.7,282.1,298.3,9.33,9.35,9.32,42.8,0.0,0.00,0.00,0.00,0.00,,
540.2561911,12:02:16,34.09,34.07,34.12,34.11,34.11,34.13,34.10,34.13,34.11,34.14,33.93,34.00,34.11,34.13,34.18,34.06,34.09,34.15,34.05,25.60,34.15,34.05,25.94,34.16,34.08,34.16,34.11,34.13,34.18,34.13,34.15,34.12,34.16,34.15,371.5,73.3,240.9,234.6,233.5,222.9,227.0,267.0,233.7,302.1,418.0,498.1,203.2,145.2,252.2,108.2,194.5,159.7,107.6,0.0,238.6,80.4,0.0,221.1,232.4,233.4,225.0,226.3,296.5,196.0,303.0,204.0,279.6,296.7,9.33,9.35,9.32,42.8,0.0,0.00,0.00,0.00,0.00,,
