[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,12:36:49
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\HighCurv_RadOn_wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0110437,12:37:19,32.92,33.68,33.42,33.56,33.43,33.48,33.45,33.41,33.53,33.32,32.93,32.20,33.54,33.27,33.34,33.63,33.59,33.65,33.60,25.37,33.64,33.75,26.02,33.64,33.42,33.36,33.49,33.36,33.51,33.45,33.47,33.42,33.57,33.58,561.9,123.8,337.3,298.4,327.8,296.6,324.8,342.1,310.2,388.3,653.1,839.4,268.0,258.7,367.0,165.0,272.7,198.5,168.5,0.0,286.7,120.4,0.0,272.7,321.1,327.4,309.4,320.3,370.3,304.0,387.8,302.5,350.5,365.0,9.60,9.66,9.57,42.4,0.0,0.00,0.00,0.00,0.00,,
60.0260542,12:37:49,32.96,33.63,33.39,33.56,33.43,33.45,33.44,33.38,33.49,33.25,33.02,32.28,33.53,33.27,33.33,33.60,33.58,33.56,33.55,25.17,33.62,33.75,25.93,33.59,33.40,33.35,33.45,33.33,33.50,33.46,33.47,33.42,33.54,33.55,583.2,137.1,354.6,310.3,342.4,313.2,339.5,358.9,326.8,413.5,666.5,872.2,278.3,275.6,382.4,179.2,287.3,213.9,182.4,0.0,302.2,126.6,0.0,287.3,333.5,346.6,328.3,342.9,378.1,312.9,397.2,315.0,360.2,380.9,9.69,9.77,9.63,42.0,0.0,0.00,0.00,0.00,0.00,,
90.0395607,12:38:19,33.00,33.64,33.41,33.56,33.44,33.46,33.46,33.37,33.52,33.26,33.09,32.59,33.54,33.33,33.37,33.62,33.59,33.53,33.56,24.97,33.56,33.75,25.86,33.58,33.39,33.37,33.45,33.34,33.52,33.50,33.50,33.47,33.49,33.55,600.5,144.6,365.9,318.6,352.5,324.2,350.5,370.9,335.4,428.0,677.1,859.0,288.3,282.7,391.0,186.4,296.6,226.1,196.0,0.0,311.5,131.9,0.0,296.8,350.1,355.5,339.6,355.3,386.9,319.7,403.5,321.4,369.6,389.3,9.75,9.84,9.67,42.0,0.0,0.00,0.00,0.00,0.00,,
120.0550573,12:38:49,33.06,33.65,33.45,33.58,33.46,33.49,33.48,33.40,33.56,33.29,33.18,32.82,33.57,33.39,33.40,33.65,33.61,33.51,33.58,24.80,33.59,33.77,25.77,33.58,33.45,33.38,33.46,33.37,33.52,33.56,33.55,33.52,33.55,33.58,615.0,150.4,372.3,324.7,361.7,329.2,358.8,380.0,342.2,437.7,685.5,845.4,293.5,288.5,399.1,189.8,303.0,234.7,198.1,0.0,318.2,135.7,0.0,304.0,353.3,362.2,346.2,364.1,401.4,323.5,409.3,323.2,379.9,395.9,9.80,9.90,9.73,42.0,0.0,0.00,0.00,0.00,0.00,,
150.0685776,12:39:19,33.15,33.67,33.48,33.62,33.49,33.52,33.52,33.44,33.59,33.33,33.28,32.97,33.60,33.45,33.43,33.66,33.63,33.50,33.59,24.61,33.59,33.79,25.69,33.60,33.48,33.43,33.51,33.42,33.58,33.64,33.59,33.57,33.60,33.59,620.6,155.6,379.4,329.0,367.7,337.4,363.8,386.2,345.9,446.8,690.5,849.5,297.9,291.2,406.0,191.6,309.0,245.2,202.7,0.0,322.9,137.7,0.0,310.2,357.7,371.7,354.5,370.9,399.3,328.8,412.2,325.0,385.9,401.6,9.84,9.95,9.73,42.1,0.0,0.00,0.00,0.00,0.00,,
180.0845863,12:39:49,33.22,33.70,33.53,33.64,33.55,33.56,33.56,33.49,33.63,33.39,33.35,33.10,33.63,33.50,33.49,33.70,33.65,33.51,33.63,24.47,33.60,33.81,25.61,33.62,33.54,33.46,33.55,33.47,33.61,33.65,33.62,33.63,33.64,33.62,625.2,159.3,385.3,334.3,372.5,340.8,368.0,390.5,350.5,452.8,696.6,848.7,302.5,293.5,412.7,192.6,313.8,251.8,207.3,0.0,329.7,136.6,0.0,314.2,362.8,379.2,360.0,374.7,404.1,324.0,416.7,326.7,387.4,406.2,9.81,9.94,9.66,42.3,0.0,0.00,0.00,0.00,0.00,,
210.0985969,12:40:19,33.33,33.72,33.58,33.68,33.59,33.60,33.60,33.52,33.67,33.45,33.44,33.21,33.67,33.57,33.53,33.74,33.69,33.52,33.66,24.30,33.63,33.83,25.53,33.64,33.60,33.54,33.57,33.52,33.64,33.68,33.67,33.67,33.67,33.66,630.0,161.0,387.6,336.9,375.3,343.9,372.1,396.3,351.6,456.1,699.3,852.9,305.0,292.4,415.3,192.3,314.6,258.3,209.3,0.0,335.0,140.7,0.0,317.6,363.8,380.7,363.9,379.1,408.6,325.8,419.2,327.2,391.5,410.3,9.76,9.90,9.61,42.4,0.0,0.00,0.00,0.00,0.00,,
240.1145989,12:40:49,33.39,33.76,33.62,33.71,33.62,33.64,33.64,33.59,33.70,33.48,33.51,33.25,33.71,33.61,33.60,33.75,33.72,33.56,33.66,24.10,33.65,33.84,25.47,33.67,33.63,33.58,33.61,33.56,33.67,33.72,33.68,33.69,33.72,33.70,632.1,161.6,390.1,337.5,378.2,346.1,372.8,397.2,356.2,463.3,698.5,865.5,303.5,293.0,413.5,198.1,318.4,263.0,217.1,0.0,335.7,141.1,0.0,321.4,372.4,383.7,368.1,383.8,405.8,328.2,421.7,331.0,392.9,411.8,9.68,9.84,9.51,42.6,0.0,0.00,0.00,0.00,0.00,,
270.1271139,12:41:19,33.45,33.79,33.67,33.74,33.67,33.68,33.69,33.63,33.72,33.54,33.55,33.38,33.74,33.68,33.64,33.77,33.74,33.58,33.71,24.00,33.69,33.85,25.39,33.70,33.67,33.62,33.65,33.62,33.70,33.74,33.73,33.74,33.71,33.73,639.2,161.0,391.0,340.6,380.8,348.8,375.7,399.0,359.0,464.5,704.3,869.6,307.2,292.9,414.5,198.2,322.0,266.5,215.2,0.0,341.9,142.6,0.0,323.3,375.2,387.1,371.0,385.0,411.9,330.5,424.8,332.3,394.5,413.1,9.61,9.78,9.43,42.6,0.0,0.00,0.00,0.00,0.00,,
