[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/10/2018,13:50:41
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\LowCurv_RadOff_wind0_3 (run with new conditons).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0085162,13:51:11,37.99,37.83,37.94,37.98,37.96,37.96,37.95,38.03,37.97,37.99,37.97,37.91,37.97,37.71,38.00,38.00,38.01,37.97,38.01,36.26,38.03,38.01,36.24,37.99,37.99,38.00,37.98,38.00,37.98,38.00,37.98,38.01,37.99,38.00,387.5,41.9,264.7,267.2,270.1,282.9,264.7,289.2,268.6,320.6,443.0,492.2,213.2,235.5,290.2,135.1,226.9,163.6,89.8,185.9,260.4,73.0,166.9,250.9,254.8,255.1,265.1,252.9,341.8,303.5,354.9,309.6,362.5,374.3,2.02,1.42,2.60,42.5,0.0,0.00,0.00,0.00,0.00,,
60.0220111,13:51:41,37.98,37.77,37.96,37.98,37.98,37.96,37.97,38.02,37.99,38.03,37.98,37.97,37.98,37.73,38.00,37.97,38.01,37.97,38.00,36.32,38.01,38.00,36.34,37.99,37.99,38.00,38.00,37.99,37.99,38.03,37.98,37.98,38.02,37.99,392.2,54.3,263.7,266.8,270.4,283.5,262.6,289.7,265.1,315.5,443.4,486.1,213.3,241.1,288.7,133.0,225.6,162.8,85.1,168.0,256.4,72.9,147.3,250.0,258.8,255.7,265.0,253.0,334.1,295.8,353.5,310.0,360.0,371.4,1.95,1.40,2.48,42.6,0.0,0.00,0.00,0.00,0.00,,
90.0370086,13:52:11,37.96,37.75,37.97,37.98,37.96,37.96,37.98,38.02,37.99,38.00,37.98,37.97,37.98,37.75,38.00,37.96,38.01,37.97,37.99,36.33,38.01,37.99,36.35,37.98,38.03,38.00,37.99,38.00,37.94,37.99,37.97,38.00,37.94,37.99,393.4,64.5,263.0,264.6,271.1,285.4,260.4,289.5,264.3,317.4,444.2,487.0,214.2,245.5,289.8,134.2,225.0,164.1,90.6,157.8,257.7,74.1,135.4,251.4,253.6,250.8,264.4,252.3,351.5,291.0,357.4,310.2,360.4,373.8,1.88,1.39,2.37,42.6,0.0,0.00,0.00,0.00,0.00,,
120.0525081,13:52:41,37.95,37.75,37.97,37.99,37.97,37.97,37.97,38.01,37.99,38.03,37.97,37.99,37.98,37.79,38.01,37.97,38.01,37.98,38.04,36.34,38.04,38.01,36.35,38.00,38.02,37.97,38.00,38.00,38.02,37.98,38.02,38.01,37.98,37.99,394.0,71.2,264.1,264.6,269.9,283.9,262.1,289.4,265.2,315.6,444.7,481.8,213.5,247.8,288.4,130.7,224.3,165.3,84.2,149.6,259.6,76.4,127.2,250.9,253.4,258.2,263.7,252.6,338.8,294.9,349.4,307.8,362.0,372.3,1.83,1.37,2.27,42.5,0.0,0.00,0.00,0.00,0.00,,
150.0680105,13:53:11,37.97,37.75,37.97,37.99,37.97,37.97,37.98,38.01,37.98,38.00,37.97,37.98,37.98,37.81,37.98,37.95,38.00,37.99,38.01,36.30,38.01,37.99,36.33,38.00,37.98,37.99,38.01,38.00,38.01,37.99,38.00,38.00,37.94,38.00,395.5,74.9,265.4,265.8,269.6,285.0,262.0,290.7,265.9,316.6,448.1,485.4,213.2,245.3,290.5,134.3,225.5,164.3,86.1,147.2,261.3,73.3,121.0,249.1,257.3,249.1,262.6,253.1,343.3,293.1,352.5,308.6,361.3,372.2,1.78,1.36,2.19,42.6,0.0,0.00,0.00,0.00,0.00,,
180.0810058,13:53:41,37.98,37.75,37.97,37.97,37.97,37.97,37.98,37.99,37.99,37.99,37.96,37.97,37.98,37.82,37.99,37.95,38.00,37.97,37.99,36.27,38.02,38.00,36.29,38.00,38.00,37.99,37.99,37.99,38.01,37.99,37.98,37.99,37.97,38.00,394.5,80.1,264.7,268.2,271.6,286.6,262.0,292.8,266.3,318.4,450.3,488.9,212.8,249.2,291.2,134.1,228.2,166.2,84.2,144.3,260.2,74.3,118.3,248.7,258.2,253.4,262.4,252.5,342.9,288.0,355.6,307.8,369.2,372.2,1.74,1.36,2.11,42.5,0.0,0.00,0.00,0.00,0.00,,
210.0960067,13:54:11,37.96,37.77,37.98,37.98,37.98,37.97,37.98,37.99,37.99,38.00,37.98,37.97,37.98,37.87,37.98,37.97,37.99,37.97,37.98,36.27,38.03,38.00,36.26,38.00,38.02,38.02,38.00,38.00,37.95,38.00,37.98,37.98,38.05,38.00,396.2,83.5,263.8,268.0,270.7,287.5,261.3,294.2,266.3,318.1,447.3,488.1,212.2,248.1,291.7,131.9,228.4,165.6,89.1,141.1,259.6,75.5,118.9,249.5,252.5,255.6,263.6,252.4,345.6,295.0,357.0,310.8,356.7,371.0,1.70,1.35,2.04,42.5,0.0,0.00,0.00,0.00,0.00,,
240.1110042,13:54:41,37.97,37.79,37.99,37.98,37.97,37.96,37.99,37.98,37.99,37.99,37.97,37.97,37.98,37.86,37.98,37.97,38.00,37.98,37.99,36.23,37.99,38.00,36.23,37.99,37.97,37.95,37.98,38.00,37.98,37.99,37.99,38.00,37.97,37.99,397.2,84.5,264.3,267.7,273.6,288.3,260.6,294.3,266.7,319.1,448.6,491.1,212.1,250.3,293.5,134.5,227.7,165.3,92.4,137.7,257.9,75.1,117.6,250.2,260.0,253.1,263.4,252.0,344.9,298.0,356.2,309.8,365.1,371.3,1.68,1.35,1.99,42.6,0.0,0.00,0.00,0.00,0.00,,
270.1255022,13:55:11,38.01,37.82,37.98,37.98,38.00,37.98,38.00,38.00,37.99,37.99,37.98,37.97,37.98,37.89,38.01,38.00,38.00,37.98,38.01,36.18,38.00,38.00,36.19,38.01,37.99,38.00,38.00,38.01,37.96,37.98,38.00,38.00,38.02,38.01,391.4,85.6,264.5,267.1,270.7,286.4,258.7,292.4,266.1,317.8,445.5,488.2,211.0,244.1,290.1,133.8,225.6,165.9,87.6,137.3,262.8,72.7,117.7,249.2,261.7,253.4,263.6,251.3,344.4,296.2,354.0,307.7,355.7,370.2,1.65,1.34,1.95,42.6,0.0,0.00,0.00,0.00,0.00,,
