[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,14:08:57
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\LowCurv_RadOff_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0105492,14:09:27,35.14,34.25,34.64,34.45,34.59,34.54,34.62,34.69,34.47,34.72,34.99,35.56,34.52,34.67,34.73,34.37,34.45,34.52,34.45,21.70,34.46,34.24,24.29,34.46,34.63,34.68,34.61,34.70,34.53,34.54,34.53,34.53,34.49,34.47,397.2,95.1,272.6,247.4,256.6,237.0,258.9,291.4,257.9,328.0,426.3,473.2,213.1,215.8,264.4,115.3,214.9,213.9,144.9,0.0,282.4,96.9,0.0,261.2,241.1,254.7,254.8,257.3,321.3,205.6,337.6,202.2,310.1,314.4,8.87,9.03,8.69,44.0,0.0,0.00,0.00,0.00,0.00,,
60.0240445,14:09:57,35.07,34.23,34.58,34.43,34.54,34.50,34.57,34.65,34.43,34.68,34.88,35.29,34.47,34.58,34.64,34.36,34.43,34.56,34.42,21.85,34.44,34.22,24.36,34.45,34.56,34.62,34.57,34.67,34.52,34.49,34.49,34.48,34.45,34.45,384.8,93.1,266.6,240.6,252.3,230.8,250.5,284.4,251.0,318.7,426.0,483.3,209.9,211.1,262.7,113.1,207.8,203.8,138.1,0.0,271.2,91.4,0.0,252.1,231.6,248.1,250.2,246.0,313.6,201.2,330.6,201.1,305.0,307.1,8.82,8.98,8.65,43.9,0.0,0.00,0.00,0.00,0.00,,
90.0405304,14:10:27,34.99,34.23,34.52,34.39,34.50,34.45,34.54,34.60,34.39,34.62,34.77,35.03,34.44,34.52,34.57,34.32,34.37,34.56,34.41,21.99,34.44,34.21,24.42,34.42,34.50,34.58,34.53,34.61,34.45,34.45,34.44,34.44,34.41,34.43,373.9,89.2,261.9,236.3,249.1,227.2,243.2,276.3,243.5,314.2,422.6,498.3,205.8,207.4,258.9,111.8,205.7,194.1,131.9,0.0,265.1,90.6,0.0,245.7,230.3,239.5,243.6,238.3,310.2,194.9,326.5,199.0,300.1,301.5,8.79,8.95,8.62,44.2,0.0,0.00,0.00,0.00,0.00,,
120.0550381,14:10:57,34.85,34.21,34.48,34.35,34.43,34.42,34.48,34.56,34.35,34.57,34.70,34.85,34.39,34.45,34.52,34.28,34.34,34.51,34.37,22.13,34.43,34.18,24.48,34.40,34.46,34.51,34.48,34.57,34.43,34.40,34.39,34.38,34.37,34.38,370.7,87.9,256.7,234.1,247.8,223.0,241.2,269.6,243.3,311.2,415.3,507.4,203.6,203.0,253.5,106.5,202.8,188.6,129.9,0.0,262.1,87.6,0.0,241.5,227.2,237.5,237.2,232.7,303.8,193.8,325.1,197.8,295.5,296.4,8.77,8.91,8.62,44.3,0.0,0.00,0.00,0.00,0.00,,
150.0695348,14:11:27,34.75,34.19,34.43,34.30,34.39,34.37,34.43,34.50,34.31,34.51,34.58,34.75,34.34,34.39,34.45,34.23,34.31,34.49,34.33,22.25,34.38,34.17,24.55,34.38,34.42,34.43,34.43,34.49,34.37,34.33,34.34,34.34,34.34,34.36,368.6,86.2,254.0,233.2,244.3,222.3,238.2,266.9,239.1,307.0,418.8,503.0,203.1,208.3,252.8,108.3,201.2,183.7,124.6,0.0,256.2,86.8,0.0,237.7,222.1,237.2,234.0,231.1,301.6,194.2,323.2,194.4,296.1,297.0,8.76,8.89,8.62,44.3,0.0,0.00,0.00,0.00,0.00,,
180.0840404,14:11:57,34.64,34.16,34.38,34.26,34.34,34.32,34.38,34.44,34.26,34.44,34.51,34.63,34.30,34.35,34.40,34.21,34.26,34.45,34.28,22.38,34.35,34.14,24.60,34.33,34.36,34.39,34.37,34.42,34.33,34.30,34.30,34.26,34.28,34.31,369.8,86.1,250.9,232.9,243.9,220.6,237.1,264.5,240.2,306.7,414.4,505.6,202.7,204.7,250.6,109.8,199.3,180.8,125.1,0.0,253.5,86.8,0.0,235.0,224.3,236.1,233.1,231.0,297.9,197.2,321.5,197.8,293.8,294.3,8.76,8.87,8.64,44.1,0.0,0.00,0.00,0.00,0.00,,
210.0990412,14:12:27,34.54,34.14,34.33,34.23,34.30,34.27,34.33,34.39,34.22,34.39,34.43,34.57,34.26,34.29,34.35,34.16,34.23,34.38,34.25,22.50,34.31,34.12,24.65,34.30,34.31,34.34,34.35,34.36,34.29,34.26,34.25,34.23,34.25,34.28,370.0,85.7,251.4,233.8,243.0,220.7,235.9,263.3,240.2,305.9,416.6,499.4,203.8,209.7,250.0,108.8,199.0,181.6,123.8,0.0,251.6,86.6,0.0,232.5,221.4,233.4,229.5,232.5,298.5,196.8,323.7,198.3,293.5,289.6,8.77,8.89,8.66,44.1,0.0,0.00,0.00,0.00,0.00,,
240.112039,14:12:57,34.47,34.12,34.29,34.20,34.26,34.22,34.29,34.35,34.18,34.33,34.39,34.46,34.23,34.23,34.31,34.14,34.20,34.36,34.20,22.62,34.29,34.10,24.71,34.27,34.25,34.28,34.31,34.30,34.25,34.21,34.24,34.19,34.21,34.23,371.6,85.4,250.4,232.5,242.5,220.8,235.2,262.1,239.9,306.0,413.8,502.5,202.7,208.5,247.5,114.6,199.5,176.0,122.3,0.0,250.8,86.8,0.0,230.8,221.4,236.3,228.2,231.3,298.6,195.7,320.5,204.3,293.5,294.4,8.80,8.90,8.70,44.0,0.0,0.00,0.00,0.00,0.00,,
270.1260384,14:13:27,34.43,34.10,34.25,34.18,34.22,34.20,34.26,34.31,34.15,34.26,34.35,34.36,34.20,34.18,34.28,34.14,34.17,34.32,34.17,22.74,34.23,34.09,24.76,34.23,34.21,34.26,34.26,34.27,34.22,34.18,34.20,34.13,34.18,34.19,367.2,85.0,248.0,232.4,244.8,221.1,232.3,259.6,240.5,308.4,409.6,510.5,203.3,208.8,246.1,107.5,199.7,176.7,125.2,0.0,250.2,88.0,0.0,230.4,223.1,231.1,226.3,232.0,296.6,197.3,318.1,203.9,294.8,295.9,8.83,8.93,8.73,43.9,0.0,0.00,0.00,0.00,0.00,,
