[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,13:21:09
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\LowCurv_RadOff_wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0140456,13:21:39,33.76,33.66,34.08,34.01,34.04,33.99,34.17,34.28,34.07,34.06,34.17,34.50,34.04,33.70,34.16,33.88,34.00,33.89,33.97,21.32,34.02,33.93,24.39,34.02,34.09,34.11,34.07,34.04,34.04,34.05,34.05,34.06,34.06,34.07,697.5,237.0,385.2,328.3,371.4,348.2,353.4,362.9,347.6,466.1,688.0,781.0,304.4,350.2,376.5,212.5,323.4,292.8,233.3,0.0,353.8,155.7,0.0,337.3,358.9,360.9,366.5,374.7,409.9,333.9,419.6,314.2,380.3,410.8,9.09,9.32,8.85,42.3,0.0,0.00,0.00,0.00,0.00,,
60.027545,13:22:09,33.77,33.83,34.02,34.03,33.99,33.98,34.06,34.18,34.01,34.06,34.07,34.04,34.02,33.68,34.06,33.95,33.98,33.96,33.96,21.33,34.01,33.97,24.40,34.01,34.05,34.06,34.04,34.03,34.00,33.97,34.02,34.01,34.06,34.03,708.0,218.7,388.0,324.5,380.9,345.8,358.6,366.1,349.8,454.6,696.0,841.0,310.7,356.5,384.3,208.3,323.7,290.1,232.7,0.0,348.6,151.6,0.0,336.3,368.0,362.1,370.8,376.6,415.3,335.9,423.5,315.2,376.6,412.2,9.04,9.28,8.80,42.3,0.0,0.00,0.00,0.00,0.00,,
90.0415493,13:22:39,33.91,33.99,33.98,33.98,33.97,33.98,33.98,34.02,33.97,34.00,33.90,33.81,33.97,33.76,33.97,33.99,33.97,33.96,33.98,21.32,34.04,34.00,24.37,34.00,33.99,33.96,34.00,33.99,34.01,33.98,33.99,33.99,34.02,34.01,690.7,196.3,395.1,330.4,383.5,347.2,374.4,387.4,358.0,462.5,735.9,893.9,319.0,353.9,395.6,203.7,326.8,287.7,233.4,0.0,351.4,146.5,0.0,334.4,364.0,378.7,377.9,380.1,411.7,342.4,429.9,320.1,381.8,415.8,9.01,9.23,8.78,42.3,0.0,0.00,0.00,0.00,0.00,,
120.0560519,13:23:09,33.96,34.04,33.96,33.96,33.97,33.98,33.95,33.95,33.94,33.98,33.89,33.79,33.97,33.81,33.94,34.02,33.96,33.97,33.99,21.32,34.01,33.99,24.35,34.00,33.96,33.96,33.97,33.98,33.98,33.98,33.96,33.97,33.97,33.99,681.7,186.2,398.9,332.6,384.8,347.6,379.9,395.0,363.4,462.1,740.2,904.7,319.5,351.8,398.3,201.5,327.8,287.3,231.4,0.0,350.2,146.3,0.0,333.9,370.8,379.6,382.4,382.4,416.6,333.6,432.9,322.8,386.6,416.5,8.97,9.17,8.76,42.2,0.0,0.00,0.00,0.00,0.00,,
150.0700509,13:23:39,33.98,34.11,33.96,33.96,33.96,33.97,33.94,33.92,33.95,33.98,33.89,33.84,33.97,33.85,33.95,34.04,33.97,33.99,34.02,21.30,33.98,34.01,24.34,34.00,33.98,33.99,33.97,33.99,33.96,33.97,33.98,33.99,34.00,33.99,679.7,179.4,400.8,332.7,385.2,347.1,383.6,400.8,362.5,464.0,740.8,903.0,320.3,350.8,400.7,195.4,328.6,286.8,227.6,0.0,352.8,144.6,0.0,334.5,365.7,377.3,383.0,383.2,430.1,338.0,430.6,321.4,384.9,417.5,8.93,9.15,8.71,42.3,0.0,0.00,0.00,0.00,0.00,,
180.086052,13:24:09,34.00,34.14,33.95,33.95,33.98,33.97,33.93,33.90,33.95,33.96,33.90,33.85,33.96,33.85,33.95,34.02,33.98,33.97,34.00,21.27,33.96,34.01,24.31,33.99,33.97,33.97,33.95,33.99,33.98,33.99,33.96,33.98,33.99,33.98,675.5,171.0,401.1,335.0,384.3,347.8,386.2,404.1,364.5,465.5,743.4,903.8,321.9,352.4,400.8,197.6,326.1,288.0,233.8,0.0,356.9,145.2,0.0,334.3,372.3,377.2,385.1,382.4,421.8,340.4,433.6,323.3,387.1,419.5,8.91,9.13,8.70,42.3,0.0,0.00,0.00,0.00,0.00,,
210.0995597,13:24:39,33.99,34.14,33.96,33.97,33.97,33.98,33.94,33.92,33.95,33.97,33.92,33.88,33.97,33.87,33.95,34.03,33.98,33.97,34.00,21.26,34.00,34.00,24.29,33.99,33.99,33.94,33.96,33.98,33.98,33.98,33.97,33.98,33.99,33.97,677.0,166.3,401.6,335.0,385.4,347.2,387.4,404.4,365.6,465.2,745.1,900.5,322.7,350.8,401.3,194.5,325.8,287.9,226.6,0.0,357.3,145.9,0.0,336.3,369.1,378.8,384.8,382.9,423.6,340.2,432.2,322.2,382.0,419.8,8.92,9.13,8.71,42.3,0.0,0.00,0.00,0.00,0.00,,
240.1160733,13:25:09,34.02,34.14,33.96,33.96,33.97,33.98,33.93,33.91,33.95,33.96,33.92,33.85,33.97,33.89,33.96,34.03,33.98,33.97,34.02,21.27,33.99,34.01,24.26,34.00,33.97,33.96,33.96,33.99,34.00,33.95,33.98,33.99,33.94,33.98,671.4,162.5,401.2,335.7,384.9,348.7,389.1,406.4,367.2,468.4,744.2,907.8,322.0,352.1,403.5,195.8,325.4,289.1,231.9,0.0,358.0,144.2,0.0,335.5,371.1,378.8,385.3,381.9,414.4,341.7,432.5,322.0,390.2,418.1,8.90,9.11,8.68,42.3,0.0,0.00,0.00,0.00,0.00,,
270.1295815,13:25:39,33.99,34.15,33.95,33.97,33.99,33.97,33.93,33.90,33.94,33.95,33.92,33.80,33.97,33.90,33.97,34.00,33.98,33.98,34.01,21.24,34.01,33.99,24.25,33.99,33.99,33.98,33.95,33.97,33.99,33.97,33.97,33.99,33.98,33.97,674.6,158.3,405.1,335.9,383.8,348.6,389.2,407.3,370.0,469.1,749.4,922.2,322.1,355.5,403.3,200.2,326.1,290.0,229.8,0.0,356.4,146.0,0.0,337.7,373.5,378.6,387.6,384.4,425.5,342.8,436.4,320.9,391.1,421.2,8.87,9.09,8.65,42.3,0.0,0.00,0.00,0.00,0.00,,
