[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/10/2018,12:48:21
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\LowCurv_RadOn_wind0_3 (run with new conditons).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0100403,12:48:51,38.02,37.81,37.99,38.02,38.02,38.02,37.96,38.02,37.98,38.01,37.98,38.06,38.03,37.98,38.04,37.97,37.98,37.97,37.98,37.81,37.99,38.00,36.59,37.99,38.07,38.01,38.04,37.98,37.98,38.03,37.98,38.01,37.98,37.96,376.4,149.1,258.5,263.0,258.3,274.6,267.8,291.9,259.1,329.1,427.7,473.3,210.2,203.4,286.8,134.8,230.0,164.7,95.9,220.7,267.8,74.1,169.5,247.8,250.1,242.7,252.8,257.2,351.2,290.4,373.2,306.1,371.5,367.8,1.72,1.33,2.13,43.0,0.0,0.00,0.00,0.00,0.00,,
60.0230252,12:49:21,37.97,38.03,38.00,38.00,37.99,38.00,37.99,37.99,37.98,37.99,37.98,38.05,38.02,37.99,37.98,38.00,37.98,38.01,38.03,37.82,37.97,37.99,36.67,37.97,37.97,37.99,38.01,37.99,38.00,38.02,37.99,38.00,37.99,37.98,382.0,116.6,258.7,267.3,262.0,276.9,263.5,298.2,258.9,332.1,432.9,469.6,209.9,201.2,294.8,130.4,231.0,161.2,89.1,181.8,266.6,75.1,147.7,249.8,254.3,247.9,255.5,254.8,350.8,289.2,371.1,308.4,373.8,366.5,1.77,1.36,2.20,43.1,0.0,0.00,0.00,0.00,0.00,,
90.0380181,12:49:51,37.99,38.15,38.02,38.00,38.00,38.01,38.00,38.00,37.99,38.00,38.01,38.06,38.01,38.01,38.00,38.02,38.02,38.03,38.03,37.76,38.00,38.00,36.66,38.00,37.98,38.01,38.00,38.00,38.00,37.98,38.02,37.99,38.04,38.02,379.4,98.4,256.7,267.8,263.2,275.2,261.4,297.3,257.7,331.0,426.4,469.3,211.0,200.3,291.1,129.1,225.6,159.8,90.5,156.8,264.8,74.5,133.0,247.8,257.4,247.3,259.2,253.9,344.8,290.0,362.7,308.0,368.2,361.9,1.81,1.35,2.27,42.8,0.0,0.00,0.00,0.00,0.00,,
120.0530168,12:50:21,37.97,38.23,38.01,37.99,38.00,38.01,38.01,37.99,38.01,37.98,38.01,38.04,38.01,38.01,38.00,38.02,38.01,38.03,38.00,37.62,38.01,38.00,36.62,38.00,37.98,37.98,37.99,38.01,38.00,37.98,38.01,37.99,38.00,38.02,383.8,85.1,256.0,269.0,264.0,275.9,260.6,296.9,256.4,332.0,427.1,471.2,210.4,198.9,291.5,127.9,226.4,159.4,85.8,134.1,261.8,75.4,123.5,247.1,261.3,247.7,259.2,253.3,340.8,291.6,364.1,308.9,367.8,363.6,1.83,1.34,2.33,42.8,0.0,0.00,0.00,0.00,0.00,,
150.0675169,12:50:51,37.99,38.27,38.00,38.00,38.00,38.00,38.00,38.00,38.01,38.00,38.02,38.02,37.99,38.01,37.99,38.01,38.00,38.04,38.01,37.45,38.05,38.00,36.56,38.00,38.05,38.01,38.00,38.00,38.01,37.97,38.01,37.98,38.02,38.00,382.7,73.2,257.8,269.3,263.9,276.2,261.2,297.3,256.5,331.0,425.1,474.5,212.4,198.8,293.8,129.9,228.0,157.7,85.6,123.8,263.1,75.0,117.3,245.3,254.0,245.9,258.8,253.7,344.3,285.7,363.1,307.9,365.8,363.9,1.86,1.33,2.39,42.9,0.0,0.00,0.00,0.00,0.00,,
180.0830169,12:51:21,38.01,38.28,38.01,38.01,38.01,38.00,38.02,38.00,38.01,37.99,38.04,38.00,38.00,38.01,37.99,38.01,38.00,38.02,37.99,37.26,38.01,37.99,36.49,38.02,37.99,38.01,37.98,38.01,38.01,38.01,38.02,38.00,37.99,38.01,379.7,65.6,256.8,268.6,260.6,276.4,258.3,297.0,257.1,332.3,421.4,475.0,212.8,197.0,294.7,130.0,229.3,158.3,85.9,120.1,259.9,76.7,114.4,244.6,255.4,244.4,259.1,255.1,344.8,297.0,362.9,307.3,362.5,363.7,1.88,1.33,2.44,42.8,0.0,0.00,0.00,0.00,0.00,,
210.0970112,12:51:51,37.98,38.29,38.01,38.01,38.00,38.00,38.02,38.00,38.02,38.01,38.03,38.00,38.01,38.02,37.99,38.02,38.01,38.03,38.01,37.13,38.04,37.99,36.44,38.01,37.99,37.98,37.99,38.01,38.02,38.00,38.00,37.97,38.01,38.00,381.3,59.4,257.0,265.7,262.3,276.2,256.7,296.5,253.8,330.6,423.7,474.6,211.2,196.5,294.4,129.5,227.1,156.5,84.1,116.4,260.5,76.3,114.0,245.2,259.1,247.0,259.3,254.4,348.8,298.3,365.3,308.9,359.3,362.6,1.90,1.32,2.48,42.7,0.0,0.00,0.00,0.00,0.00,,
240.112512,12:52:21,37.99,38.28,38.00,38.00,38.00,38.00,38.01,38.00,38.01,37.99,38.01,37.97,37.99,38.00,37.99,38.00,38.00,38.02,38.04,36.94,38.01,38.00,36.37,38.00,37.99,38.00,37.98,38.00,37.98,37.99,38.01,37.99,38.00,38.00,382.7,54.0,257.7,266.7,262.8,277.3,257.4,296.1,254.8,332.4,423.8,482.9,212.6,197.5,294.9,129.5,227.8,156.6,90.9,114.7,261.2,73.9,112.2,245.0,258.4,247.7,261.1,254.7,346.9,289.0,366.7,308.8,360.9,364.5,1.91,1.30,2.50,42.8,0.0,0.00,0.00,0.00,0.00,,
270.1265159,12:52:51,37.98,38.27,38.01,38.00,38.01,37.99,38.03,38.00,38.01,38.00,38.01,37.97,38.00,38.00,37.99,38.01,38.00,38.02,37.99,36.82,38.04,38.00,36.31,38.01,38.01,37.99,37.99,38.00,37.98,37.98,37.99,37.99,37.98,37.98,382.8,50.0,256.5,268.1,260.5,278.9,257.1,295.8,254.1,331.1,426.1,483.3,214.2,197.3,295.4,128.6,226.8,157.3,87.9,114.4,262.5,73.4,112.3,245.6,257.4,248.6,261.0,255.3,344.4,296.8,368.6,309.0,371.2,365.3,1.91,1.30,2.52,42.8,0.0,0.00,0.00,0.00,-0.30,,
