[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,15:07:43
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\LowCurv_RadOn_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0130349,15:08:13,34.05,34.14,34.06,34.03,34.05,34.04,34.04,34.03,34.03,34.00,34.11,34.11,34.03,34.21,34.02,34.03,34.01,34.03,34.00,25.44,34.00,33.98,25.90,34.01,34.01,34.02,34.04,34.01,34.07,34.01,34.03,34.00,34.00,34.03,369.6,69.8,238.2,237.2,241.2,222.4,225.7,264.5,237.6,309.9,392.0,497.9,203.4,179.6,258.5,111.0,194.0,166.1,113.8,0.0,246.6,84.0,0.0,223.3,228.9,235.5,222.6,240.9,307.3,205.8,311.3,212.4,301.0,295.1,9.38,9.38,9.38,43.1,0.0,0.00,0.00,0.00,0.00,,
60.0270346,15:08:43,34.04,34.18,34.06,34.05,34.03,34.04,34.06,34.02,34.03,34.02,34.09,34.06,34.04,34.21,34.04,34.02,34.02,34.02,34.00,25.45,34.02,34.01,25.89,34.02,34.02,34.01,34.03,34.02,34.02,34.01,34.03,34.03,34.03,34.01,368.3,62.6,237.5,236.6,243.9,221.3,224.6,263.7,238.0,307.7,392.1,505.8,201.7,175.0,257.0,112.8,193.5,166.1,114.1,0.0,244.3,83.7,0.0,220.6,232.5,236.9,221.0,238.6,306.4,203.1,315.5,211.2,298.6,289.9,9.44,9.40,9.49,43.2,0.0,0.00,0.00,0.00,0.00,,
90.0415364,15:09:13,34.05,34.20,34.06,34.04,34.04,34.04,34.06,34.02,34.03,34.02,34.06,34.07,34.04,34.20,34.04,34.03,34.01,34.03,34.01,25.47,34.01,34.01,25.90,34.01,34.01,34.02,34.02,34.02,34.02,34.01,34.05,34.00,34.02,34.03,368.0,54.9,235.2,234.8,240.8,220.1,222.5,264.2,238.2,308.0,391.8,506.5,200.9,175.4,255.8,109.4,195.4,164.0,113.5,0.0,244.5,84.2,0.0,222.1,228.7,235.4,220.7,238.5,305.0,200.7,309.2,211.7,303.8,293.7,9.50,9.43,9.58,43.0,0.0,0.00,0.00,0.00,0.00,,
120.0575367,15:09:43,34.03,34.20,34.05,34.05,34.05,34.04,34.06,34.02,34.03,34.02,34.07,34.06,34.04,34.18,34.04,34.02,34.01,34.03,34.01,25.46,34.01,33.99,25.91,34.02,34.01,34.03,34.02,34.03,34.02,34.01,34.04,34.02,34.01,34.01,368.2,50.3,237.7,232.8,238.4,219.9,221.2,263.5,236.1,307.0,391.2,503.1,199.6,173.0,256.4,110.5,193.6,163.7,111.9,0.0,243.9,86.7,0.0,220.0,229.6,235.4,222.4,237.0,305.5,199.4,310.2,213.2,299.1,293.2,9.55,9.46,9.65,43.1,0.0,0.00,0.00,0.00,0.00,,
150.071541,15:10:13,34.03,34.19,34.04,34.02,34.03,34.03,34.05,34.02,34.03,34.02,34.06,34.07,34.02,34.12,34.00,34.02,34.00,34.01,34.01,25.48,34.01,34.03,25.92,34.01,34.01,34.02,34.02,34.01,34.03,34.02,34.03,34.02,34.01,34.01,368.2,46.9,238.2,236.3,239.7,220.5,220.4,262.5,235.7,306.5,389.7,501.8,200.1,175.3,258.8,109.5,194.9,164.4,111.7,0.0,243.6,81.8,0.0,221.0,228.7,232.9,222.0,238.3,305.8,198.2,310.6,209.0,296.2,293.0,9.58,9.48,9.69,43.3,0.0,0.00,0.00,0.00,0.00,,
180.0855353,15:10:43,34.06,34.19,34.05,34.03,34.04,34.04,34.04,34.02,34.05,34.03,34.03,34.08,34.03,34.15,34.00,34.04,34.01,34.02,34.01,25.48,34.00,34.01,25.92,34.02,34.01,34.00,34.03,34.01,34.02,34.03,34.02,34.02,34.03,34.01,364.3,42.4,236.3,235.7,238.8,219.5,221.2,262.9,233.4,305.5,392.9,497.5,202.4,173.8,261.5,106.5,195.2,163.8,112.8,0.0,244.5,82.9,0.0,221.2,227.6,233.9,221.3,239.7,306.2,201.6,311.2,208.7,295.9,293.0,9.61,9.49,9.73,43.5,0.0,0.00,0.00,0.00,0.00,,
210.1000325,15:11:13,34.03,34.17,34.04,34.02,34.01,34.02,34.03,34.01,34.03,34.01,34.03,34.03,34.02,34.10,34.02,34.03,34.01,34.02,34.00,25.49,34.02,34.01,25.92,34.00,34.01,34.02,34.02,34.01,34.01,34.02,34.03,34.01,34.03,34.01,365.9,41.2,237.3,235.6,241.4,219.0,219.8,263.6,234.5,307.6,392.6,500.8,201.2,177.7,259.8,107.9,196.0,164.2,110.9,0.0,242.5,82.4,0.0,222.7,229.4,236.1,220.5,238.2,301.2,199.8,311.2,208.5,295.8,293.6,9.62,9.49,9.76,43.6,0.0,0.00,0.00,0.00,0.00,,
240.1145288,15:11:43,34.04,34.16,34.04,34.04,34.01,34.03,34.03,34.02,34.02,34.02,34.03,34.01,34.02,34.07,34.01,34.01,34.01,34.02,34.01,25.50,34.02,34.01,25.92,34.02,34.01,34.02,34.01,34.02,34.00,34.02,34.02,34.01,34.02,34.02,365.0,40.5,236.5,235.1,241.5,218.6,221.2,262.6,234.8,307.5,392.1,505.8,202.1,176.9,260.4,108.9,195.2,163.1,112.9,0.0,244.1,83.1,0.0,222.1,227.2,235.1,222.0,237.6,304.1,191.6,309.9,209.7,298.0,293.5,9.64,9.50,9.78,43.9,0.0,0.00,0.00,0.00,0.00,,
270.1285257,15:12:13,34.02,34.13,34.03,34.03,34.03,34.02,34.02,34.01,34.03,34.02,34.02,34.03,34.03,34.07,34.02,34.01,34.00,34.02,34.00,25.50,34.00,34.01,25.93,34.00,33.99,34.01,34.02,34.02,34.00,34.00,34.03,33.99,34.00,34.03,366.6,38.8,236.8,233.3,240.1,218.9,221.2,262.8,232.2,307.5,393.2,500.8,199.7,177.8,257.2,109.8,196.0,162.3,111.7,0.0,241.2,83.3,0.0,222.9,230.5,233.3,220.5,238.6,304.7,201.5,308.3,210.6,297.8,292.8,9.64,9.49,9.80,43.9,0.0,0.00,0.00,0.00,0.00,,
300.14502,15:12:43,34.02,34.12,34.01,34.02,34.01,34.03,34.00,34.01,34.01,34.02,34.01,34.02,34.00,34.05,33.98,34.02,34.00,34.00,34.01,25.50,34.03,34.02,25.93,34.01,33.99,34.01,34.01,34.02,34.03,34.01,34.02,34.01,34.02,34.01,363.9,38.3,238.4,233.6,240.0,218.1,222.7,261.8,233.9,304.8,393.1,504.1,204.1,176.8,263.2,106.9,197.5,163.2,110.8,0.0,242.8,81.2,0.0,222.3,228.1,236.0,222.6,236.6,303.8,198.5,310.1,209.5,292.4,293.8,9.64,9.49,9.80,43.9,0.0,0.00,0.00,0.00,0.00,,
330.1580136,15:13:13,34.03,34.11,34.01,34.01,34.01,34.03,34.01,34.01,34.02,34.02,34.01,34.03,34.00,34.05,33.99,34.02,34.00,34.00,34.01,25.51,34.00,34.00,25.94,34.00,34.01,34.00,34.00,34.00,34.02,34.00,34.01,34.02,34.02,34.03,364.2,37.1,238.2,235.7,239.9,217.8,223.7,262.5,232.9,305.9,393.1,499.7,203.3,177.7,262.9,106.9,197.9,164.5,109.4,0.0,241.8,82.4,0.0,222.9,230.8,234.0,220.7,239.2,304.0,196.6,308.1,207.2,295.6,293.1,9.65,9.48,9.81,44.1,0.0,0.00,0.00,0.00,0.00,,
360.1730153,15:13:43,34.03,34.10,34.01,34.01,34.02,34.02,33.99,34.00,34.02,34.03,34.00,34.03,33.99,34.05,33.97,34.02,34.00,34.00,34.02,25.52,34.00,34.02,25.95,34.00,34.00,34.00,34.00,34.00,34.03,34.02,34.03,34.04,34.02,34.01,364.7,36.8,238.4,234.6,239.8,218.2,223.7,263.2,232.8,304.6,397.2,503.4,203.0,175.0,267.4,107.8,199.0,164.6,109.7,0.0,242.0,80.8,0.0,223.4,227.8,233.8,221.6,240.4,304.7,194.8,308.4,204.8,297.3,292.6,9.65,9.49,9.81,43.8,0.0,0.00,0.00,0.00,0.00,,
390.1875154,15:14:13,34.03,34.08,33.99,34.02,34.01,34.02,34.00,33.99,34.03,34.03,33.97,34.06,34.00,34.03,33.97,34.01,34.00,34.02,34.01,25.52,34.01,34.01,25.95,34.01,33.99,34.00,33.99,34.01,34.01,34.01,34.01,34.03,34.04,34.01,361.9,36.5,240.7,234.4,241.5,217.1,224.0,266.1,229.3,302.9,402.1,495.6,204.1,176.8,269.3,108.7,197.4,162.3,109.5,0.0,242.7,81.7,0.0,223.2,230.7,236.8,223.8,240.3,305.3,199.3,309.2,204.5,293.5,292.5,9.65,9.49,9.81,43.7,0.0,0.00,0.00,0.00,0.00,,
420.2030162,15:14:43,34.01,34.08,34.00,34.00,34.02,34.02,33.99,33.97,34.03,34.04,33.98,34.07,33.99,34.02,33.97,34.01,34.01,34.01,34.01,25.53,34.00,34.00,25.96,34.00,33.98,34.00,33.99,34.00,34.01,34.01,34.01,34.04,34.03,34.01,365.6,35.8,240.6,235.7,240.1,217.4,225.5,266.0,229.4,302.5,400.5,489.3,204.6,177.8,270.0,109.2,195.5,163.1,108.8,0.0,242.1,82.9,0.0,223.0,231.6,235.9,223.5,240.2,304.1,197.1,307.5,204.7,295.2,291.3,9.65,9.49,9.81,43.6,0.0,0.00,0.00,0.00,0.00,,
450.2165127,15:15:13,34.01,34.06,33.99,34.00,34.00,34.01,33.98,33.98,34.01,34.03,33.99,34.02,34.00,34.02,33.96,34.00,33.99,34.00,34.01,25.53,34.00,34.00,25.96,34.00,33.98,34.00,33.99,34.00,34.01,34.02,34.01,34.03,34.01,34.02,362.8,36.5,242.1,237.9,239.3,218.2,227.0,267.2,228.4,302.3,399.3,495.4,205.1,177.4,271.9,108.1,198.9,163.2,108.5,0.0,242.2,82.6,0.0,223.0,232.5,235.4,226.8,242.0,304.1,198.3,309.7,202.9,294.0,293.6,9.63,9.47,9.79,43.4,0.0,0.00,0.00,0.00,0.00,,
