[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,15:54:15
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\LowCurv_RadOn_wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0095504,15:54:45,32.87,33.72,33.42,33.56,33.44,33.47,33.45,33.39,33.49,33.31,32.94,32.17,33.51,33.24,33.34,33.65,33.57,33.61,33.59,25.28,33.66,33.77,26.14,33.64,33.42,33.36,33.47,33.36,33.49,33.43,33.49,33.43,33.55,33.60,574.6,71.0,331.9,309.6,333.5,292.4,323.8,365.1,311.4,387.4,628.7,831.3,278.4,297.5,361.6,167.8,277.9,201.8,176.0,0.0,293.1,122.6,0.0,276.2,316.4,339.5,309.9,345.9,393.8,293.0,383.7,313.8,362.0,362.9,9.81,9.77,9.86,42.5,0.0,0.00,0.00,0.00,0.00,,
60.0235669,15:55:15,32.90,33.71,33.41,33.55,33.42,33.46,33.44,33.36,33.50,33.27,33.01,32.33,33.49,33.27,33.36,33.61,33.56,33.52,33.59,25.07,33.60,33.77,26.04,33.59,33.39,33.33,33.44,33.33,33.50,33.49,33.51,33.43,33.55,33.53,590.5,77.0,347.1,322.3,345.6,303.2,339.1,382.3,322.7,402.8,643.1,845.8,290.2,307.9,372.1,175.9,290.8,215.8,185.0,0.0,302.7,128.7,0.0,289.3,333.3,358.4,326.3,365.1,405.1,304.8,389.4,324.4,371.6,373.8,9.86,9.84,9.90,42.2,0.0,0.00,0.00,0.00,0.00,,
90.0380641,15:55:45,32.95,33.71,33.42,33.55,33.46,33.47,33.46,33.36,33.50,33.27,33.11,32.58,33.51,33.32,33.38,33.64,33.58,33.48,33.60,24.88,33.58,33.78,25.93,33.59,33.43,33.36,33.45,33.35,33.52,33.50,33.55,33.47,33.56,33.55,607.4,83.9,356.3,331.2,352.1,311.6,348.4,394.7,334.3,414.3,649.6,842.4,298.5,318.4,382.0,181.6,299.8,230.3,189.6,0.0,315.0,135.3,0.0,300.2,342.1,368.9,338.3,376.5,414.2,304.0,389.3,327.5,375.8,382.8,9.89,9.88,9.88,42.0,0.0,0.00,0.00,0.00,0.00,,
120.0525793,15:56:15,33.06,33.71,33.45,33.58,33.50,33.50,33.49,33.39,33.54,33.31,33.23,32.78,33.54,33.38,33.42,33.67,33.60,33.45,33.60,24.69,33.59,33.78,25.85,33.59,33.47,33.39,33.47,33.38,33.57,33.54,33.59,33.53,33.58,33.58,614.1,89.4,364.2,336.7,356.3,318.8,355.1,404.8,338.7,422.2,651.5,834.0,303.5,323.5,386.6,182.5,305.9,240.0,194.2,0.0,321.4,136.0,0.0,306.9,348.3,375.1,344.3,386.5,419.6,309.8,393.0,331.0,387.4,391.4,9.90,9.93,9.87,41.9,0.0,0.00,0.00,0.00,0.00,,
150.0670802,15:56:45,33.14,33.74,33.50,33.61,33.53,33.53,33.53,33.43,33.58,33.36,33.32,32.95,33.58,33.46,33.48,33.68,33.63,33.47,33.61,24.53,33.61,33.81,25.75,33.61,33.50,33.47,33.50,33.43,33.57,33.59,33.63,33.57,33.62,33.58,622.1,93.1,369.0,342.8,361.0,323.8,359.2,411.4,344.9,429.3,653.0,840.2,307.4,323.4,391.4,185.9,311.6,248.4,200.8,0.0,329.3,137.7,0.0,312.1,353.2,381.6,349.9,393.3,421.3,315.6,396.4,332.1,390.3,398.1,9.88,9.93,9.83,41.9,0.0,0.00,0.00,0.00,0.00,,
180.0820877,15:57:15,33.24,33.74,33.55,33.65,33.58,33.57,33.57,33.49,33.62,33.42,33.39,33.09,33.62,33.53,33.52,33.71,33.67,33.47,33.65,24.37,33.63,33.83,25.67,33.63,33.54,33.50,33.53,33.49,33.59,33.65,33.65,33.62,33.63,33.62,629.5,97.3,374.3,344.1,365.3,325.7,361.9,414.8,347.5,432.7,656.1,838.6,310.9,323.7,395.3,188.8,312.8,255.1,202.4,0.0,334.4,138.8,0.0,316.2,357.7,386.3,356.0,397.0,430.8,317.3,399.6,336.7,395.2,401.1,9.86,9.91,9.80,41.9,0.0,0.00,0.00,0.00,0.00,,
210.0975965,15:57:45,33.31,33.77,33.59,33.67,33.60,33.60,33.60,33.53,33.65,33.45,33.45,33.15,33.65,33.58,33.57,33.76,33.69,33.50,33.67,24.20,33.66,33.83,25.58,33.65,33.60,33.53,33.57,33.52,33.62,33.67,33.68,33.66,33.64,33.65,632.1,97.8,376.7,348.5,369.9,330.0,364.7,418.8,353.4,436.8,658.4,850.8,313.2,328.0,395.5,191.5,314.2,262.5,205.3,0.0,336.6,141.2,0.0,321.7,360.9,389.4,362.1,402.8,435.8,317.4,402.4,337.5,401.1,406.7,9.81,9.88,9.73,41.9,0.0,0.00,0.00,0.00,0.00,,
240.1125898,15:58:15,33.38,33.79,33.63,33.70,33.65,33.65,33.63,33.57,33.69,33.51,33.51,33.26,33.69,33.62,33.60,33.77,33.71,33.54,33.72,24.03,33.66,33.86,25.50,33.67,33.64,33.58,33.62,33.56,33.68,33.71,33.71,33.71,33.69,33.69,639.1,100.5,380.5,350.2,374.1,331.4,369.4,423.9,355.0,439.5,662.2,850.4,315.5,327.1,399.4,191.9,318.3,267.3,208.0,0.0,339.9,140.9,0.0,325.2,362.2,393.6,362.8,406.7,436.5,316.6,405.7,337.7,399.0,409.4,9.75,9.82,9.65,41.9,0.0,0.00,0.00,0.00,0.00,,
270.1305893,15:58:45,33.44,33.81,33.66,33.73,33.69,33.68,33.68,33.62,33.72,33.54,33.55,33.32,33.71,33.69,33.65,33.82,33.74,33.56,33.74,23.88,33.69,33.88,25.42,33.70,33.69,33.63,33.65,33.61,33.71,33.76,33.73,33.74,33.73,33.72,643.6,102.0,382.9,351.9,374.8,335.0,370.5,425.2,356.7,443.5,662.2,861.5,318.1,325.0,401.8,191.4,319.6,271.1,212.4,0.0,342.8,142.2,0.0,327.6,365.6,394.5,366.9,410.0,438.0,314.2,407.2,337.9,403.4,410.1,9.65,9.74,9.54,42.0,0.0,0.00,0.00,0.00,0.00,,
