[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/10/2018,14:41:00
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\MidCurv_RadOff_wind0_3 (run with new conditons).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.006534,14:41:30,37.96,38.05,38.03,38.02,38.03,37.98,38.03,38.01,38.03,38.04,38.04,38.14,38.01,37.99,38.01,38.04,38.02,38.00,38.05,37.00,38.03,37.98,37.03,38.01,37.98,37.98,38.01,38.03,38.09,38.02,38.05,38.01,38.03,38.02,402.9,123.3,269.9,274.2,260.9,292.5,270.1,293.4,265.0,321.4,444.8,476.0,219.9,256.7,285.7,133.1,228.4,164.5,84.4,203.8,263.6,77.0,182.0,249.3,254.3,250.1,257.8,261.6,349.6,300.3,360.2,301.4,376.7,362.7,1.15,1.00,1.30,44.4,0.0,0.00,0.00,0.00,0.00,,
60.0210312,14:42:00,37.98,38.09,38.02,38.01,38.00,37.99,38.01,38.00,38.04,38.04,38.04,38.15,38.00,38.00,38.00,38.03,38.00,38.03,38.02,37.07,38.01,38.01,37.10,38.02,38.01,38.02,38.01,38.02,38.01,38.06,38.04,38.03,38.03,38.02,400.1,117.4,270.6,274.3,265.4,292.3,273.5,295.8,264.5,319.6,444.9,471.1,222.4,261.8,286.2,136.7,231.3,162.2,89.5,176.2,269.3,74.5,150.9,246.0,252.6,251.8,260.6,259.9,351.3,299.5,357.6,300.9,366.3,359.6,1.17,1.02,1.32,44.3,0.0,0.00,0.00,0.00,0.00,,
90.0360454,14:42:30,38.01,38.12,38.02,38.03,38.03,37.98,38.04,38.02,38.04,38.04,38.05,38.15,38.01,38.03,38.01,38.02,38.02,38.02,38.02,37.05,38.05,38.00,37.02,37.99,37.98,38.01,38.00,38.02,38.03,37.96,38.05,38.01,38.07,38.03,398.0,111.5,270.2,271.7,261.8,292.9,269.1,292.8,261.6,318.8,442.4,468.3,220.8,256.0,287.5,135.0,229.9,160.6,87.7,155.5,265.2,78.4,130.2,246.4,258.4,252.9,261.0,260.1,355.8,299.5,359.7,300.8,367.5,354.9,1.19,1.04,1.34,44.2,0.0,0.00,0.00,0.00,0.00,,
120.0495389,14:43:00,37.98,38.13,38.02,38.03,38.03,37.98,38.03,38.01,38.04,38.04,38.02,38.11,38.01,38.03,38.02,38.03,38.03,38.03,38.01,36.95,38.04,38.00,36.95,38.02,38.02,38.00,37.99,38.02,38.05,38.00,38.05,38.01,38.07,38.04,402.6,105.3,269.2,272.2,260.7,294.9,269.2,291.8,261.8,319.0,445.0,472.3,220.8,255.0,287.1,132.8,226.8,162.0,93.0,139.1,261.6,76.5,118.1,246.5,256.6,247.9,263.9,258.7,349.6,298.7,354.7,301.9,370.3,357.9,1.20,1.05,1.35,44.0,0.0,0.00,0.00,0.00,0.00,,
150.0655367,14:43:30,37.96,38.13,38.02,38.01,38.02,37.99,38.02,38.00,38.03,38.02,38.01,38.03,38.00,38.02,38.02,38.02,38.01,38.02,37.98,36.87,38.02,38.01,36.84,38.02,37.98,38.02,38.01,38.02,37.98,37.99,38.04,38.01,38.02,38.03,407.0,102.7,269.7,271.8,259.9,294.4,269.2,291.5,262.8,321.8,446.9,485.9,219.5,252.6,287.4,133.8,228.6,160.1,91.5,132.3,264.2,75.3,115.2,245.3,257.9,252.7,260.9,255.6,356.0,299.2,353.2,302.3,367.3,354.1,1.20,1.05,1.35,43.9,0.0,0.00,0.00,0.00,0.00,,
180.079034,14:44:00,38.00,38.13,38.01,38.00,38.01,37.98,38.03,37.98,38.03,38.04,37.98,38.04,37.99,38.01,38.01,38.02,38.01,38.03,38.04,36.78,38.03,37.99,36.73,38.03,38.02,37.98,37.97,38.01,38.03,37.98,38.02,37.97,38.02,38.04,401.9,99.7,270.3,275.4,262.5,296.2,269.1,292.6,261.9,318.1,454.3,481.7,221.2,254.9,289.6,131.9,229.5,159.8,83.2,129.5,264.1,76.1,110.7,245.4,261.3,254.4,264.0,257.0,341.3,301.0,361.0,302.5,361.8,355.7,1.20,1.05,1.33,43.9,0.0,0.00,0.00,0.00,0.00,,
210.0940324,14:44:30,38.01,38.12,38.01,38.01,38.01,37.97,38.02,38.00,38.02,38.02,37.99,38.01,38.00,37.99,38.00,38.02,38.01,38.03,37.99,36.69,38.02,37.99,36.63,38.02,37.97,38.00,37.99,38.01,38.00,37.97,38.01,38.01,37.98,38.02,396.3,99.3,269.8,274.7,261.3,297.7,268.9,292.1,261.3,320.6,451.8,484.4,219.7,255.6,290.8,133.8,230.5,160.2,88.9,126.0,262.1,75.8,108.9,245.8,255.4,250.8,262.6,255.7,356.9,307.0,356.1,304.4,374.1,358.3,1.19,1.05,1.32,43.9,0.0,0.00,0.00,0.00,0.00,,
240.1085321,14:45:00,37.95,38.11,38.00,37.99,38.00,37.98,38.01,37.99,38.00,38.00,37.96,37.95,37.99,37.99,37.99,37.98,38.00,38.02,38.02,36.57,38.01,38.01,36.53,38.00,37.99,37.99,37.99,38.01,38.04,37.94,38.00,37.99,38.03,38.03,404.5,97.1,270.7,275.2,261.3,297.6,270.8,293.4,262.8,323.4,458.8,496.1,219.8,258.1,291.5,133.7,230.4,161.2,88.9,126.0,262.3,74.2,106.9,246.3,262.1,250.1,266.0,257.4,355.1,300.4,363.2,306.9,374.2,355.3,1.17,1.03,1.30,43.9,0.0,0.00,0.00,0.00,0.00,,
270.1235367,14:45:30,37.96,38.09,37.99,37.98,37.99,37.98,38.00,37.98,37.98,37.97,37.97,37.89,37.99,38.01,38.00,38.01,38.00,38.01,38.04,36.48,38.01,38.00,36.46,38.00,37.97,37.96,37.97,37.99,37.99,37.99,37.95,37.98,38.01,37.98,404.3,97.9,272.1,275.1,264.0,295.6,271.0,292.5,266.5,328.6,455.9,507.4,220.3,258.4,290.5,135.6,230.3,160.7,85.0,129.8,263.6,76.6,111.2,247.2,260.5,256.8,265.0,260.9,359.5,309.2,363.8,305.1,378.9,359.3,1.14,1.01,1.27,44.0,0.0,0.00,0.00,0.00,0.00,,
300.1375339,14:46:00,37.98,38.10,37.99,37.98,37.98,37.99,37.99,37.98,37.99,37.98,37.97,37.88,37.98,38.00,37.98,37.99,37.99,38.00,37.97,36.40,37.99,38.01,36.38,38.00,38.00,37.96,37.98,37.98,37.98,37.99,37.99,38.01,37.93,37.99,401.4,96.4,272.8,279.6,264.7,296.3,273.6,294.1,266.0,326.2,456.7,513.0,219.9,257.8,296.4,136.3,231.8,161.7,89.7,129.3,260.9,76.5,110.6,247.1,257.3,257.5,263.9,260.7,361.0,305.1,367.8,309.7,374.9,359.8,1.12,0.98,1.24,44.0,0.0,0.00,0.00,0.00,0.00,,
330.1515387,14:46:30,37.96,38.08,37.99,38.00,38.00,37.99,38.01,37.98,37.99,37.97,38.00,37.91,37.99,37.97,37.97,37.99,37.99,38.02,37.97,36.35,37.98,37.99,36.33,38.00,38.00,37.98,38.00,37.98,38.01,38.01,37.98,37.99,37.98,37.98,405.7,94.8,272.9,276.7,263.7,295.6,271.9,293.3,266.1,326.9,450.7,514.5,220.4,260.1,295.4,134.1,232.2,161.5,94.5,127.3,268.6,74.6,111.7,247.6,263.0,257.7,261.9,262.2,360.4,307.7,365.5,307.4,375.5,360.2,1.09,0.96,1.22,44.0,0.0,0.00,0.00,0.00,0.00,,
