[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,17:32:42
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\MidCurv_RadOff_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.019523,17:33:12,35.32,34.29,34.64,34.48,34.62,34.57,34.64,34.68,34.51,34.69,35.22,36.01,34.51,34.74,34.77,34.41,34.46,34.40,34.47,21.45,34.38,34.24,24.24,34.40,34.69,34.67,34.62,34.71,34.53,34.62,34.59,34.60,34.51,34.46,457.8,103.4,281.6,270.8,284.6,258.6,277.8,318.7,268.8,366.8,443.4,510.5,235.1,213.5,289.3,130.7,241.9,234.9,166.6,0.0,317.7,106.7,0.0,296.2,269.5,284.3,275.0,297.6,353.9,227.2,338.5,218.5,340.3,347.0,9.03,9.17,8.89,43.3,0.0,0.00,0.00,0.00,0.00,,
60.0335227,17:33:42,35.28,34.32,34.67,34.50,34.64,34.59,34.65,34.71,34.52,34.75,35.13,35.90,34.52,34.72,34.77,34.41,34.48,34.50,34.45,21.62,34.42,34.26,24.33,34.45,34.62,34.72,34.67,34.75,34.56,34.62,34.58,34.66,34.52,34.50,432.3,92.9,262.8,260.1,269.3,246.6,260.8,299.7,255.0,343.5,427.5,467.5,220.7,200.4,271.2,121.0,227.9,218.1,150.3,0.0,301.8,98.8,0.0,281.3,253.1,262.7,254.3,276.2,337.5,209.3,330.2,205.4,320.0,332.0,8.99,9.13,8.84,43.3,0.0,0.00,0.00,0.00,0.00,,
90.0490218,17:34:12,35.21,34.31,34.64,34.47,34.61,34.57,34.61,34.69,34.52,34.78,35.00,35.69,34.50,34.66,34.70,34.38,34.45,34.54,34.46,21.78,34.47,34.24,24.41,34.46,34.62,34.67,34.61,34.73,34.57,34.55,34.53,34.62,34.48,34.52,412.2,86.9,250.9,252.8,261.2,237.0,251.9,287.3,243.1,320.9,423.2,454.6,211.1,191.9,265.4,114.7,218.3,206.7,140.8,0.0,289.6,95.6,0.0,269.9,247.5,250.4,244.2,259.0,331.8,203.0,321.0,197.2,308.2,321.7,8.94,9.08,8.78,43.4,0.0,0.00,0.00,0.00,0.00,,
120.0640185,17:34:42,35.08,34.28,34.59,34.44,34.56,34.53,34.55,34.64,34.47,34.73,34.88,35.41,34.46,34.59,34.62,34.36,34.42,34.57,34.41,21.94,34.46,34.21,24.49,34.44,34.56,34.62,34.57,34.67,34.49,34.48,34.51,34.56,34.49,34.45,400.2,83.7,245.7,247.0,255.1,229.2,247.2,279.2,238.3,309.6,418.0,459.1,206.7,187.7,262.5,111.2,212.4,196.6,135.0,0.0,284.0,94.5,0.0,260.6,232.1,244.9,238.0,252.7,318.4,206.7,318.3,191.8,301.8,311.8,8.87,9.01,8.70,43.8,0.0,0.00,0.00,0.00,0.00,,
150.0780107,17:35:12,34.96,34.26,34.54,34.40,34.50,34.47,34.51,34.59,34.40,34.65,34.77,35.12,34.41,34.51,34.56,34.30,34.39,34.55,34.36,22.04,34.43,34.20,24.55,34.42,34.53,34.63,34.54,34.60,34.47,34.46,34.42,34.49,34.39,34.40,397.2,82.2,241.4,244.2,252.4,227.8,242.1,273.1,236.9,306.0,416.1,477.9,205.3,187.4,258.0,110.8,207.5,188.5,129.0,0.0,270.6,89.9,0.0,255.3,233.7,234.5,229.5,246.8,307.1,197.2,315.0,194.6,298.0,305.1,8.79,8.95,8.62,43.8,0.0,0.00,0.00,0.00,0.00,,
180.0920125,17:35:42,34.87,34.22,34.47,34.35,34.45,34.43,34.45,34.52,34.37,34.61,34.68,34.92,34.36,34.42,34.51,34.27,34.34,34.52,34.38,22.20,34.38,34.19,24.61,34.38,34.46,34.52,34.47,34.55,34.38,34.33,34.40,34.40,34.40,34.39,391.4,79.5,237.2,240.7,248.1,224.7,238.5,269.8,235.7,299.7,414.3,488.7,202.4,188.9,254.1,111.0,206.4,182.7,124.5,0.0,272.2,88.2,0.0,251.0,229.0,240.6,225.3,242.1,319.9,199.2,309.0,193.7,289.9,309.9,8.73,8.89,8.56,44.1,0.0,0.00,0.00,0.00,0.00,,
210.1085182,17:36:12,34.74,34.20,34.42,34.31,34.39,34.37,34.40,34.46,34.31,34.50,34.58,34.72,34.31,34.35,34.43,34.22,34.31,34.48,34.30,22.34,34.36,34.14,24.66,34.36,34.42,34.42,34.42,34.47,34.34,34.27,34.32,34.36,34.31,34.33,392.1,80.2,236.8,239.9,246.2,223.5,236.9,267.0,236.1,300.2,412.3,497.3,203.5,190.9,254.0,110.1,202.4,177.9,123.6,0.0,268.3,90.2,0.0,246.6,226.9,238.9,225.2,239.9,313.4,203.2,314.2,194.5,291.2,303.6,8.67,8.82,8.51,43.9,0.0,0.00,0.00,0.00,0.00,,
240.1215214,17:36:42,34.62,34.17,34.36,34.26,34.33,34.32,34.34,34.39,34.27,34.44,34.47,34.63,34.27,34.29,34.36,34.19,34.25,34.44,34.27,22.42,34.30,34.13,24.73,34.32,34.34,34.36,34.37,34.39,34.28,34.23,34.27,34.29,34.29,34.28,392.6,79.4,239.1,238.8,245.8,223.2,237.7,268.1,235.0,299.8,415.3,498.7,201.2,192.3,255.7,110.6,205.7,174.5,126.2,0.0,265.0,91.9,0.0,244.6,231.8,238.2,221.7,244.1,311.5,208.6,312.4,195.8,300.2,301.9,8.62,8.77,8.47,43.9,0.0,0.00,0.00,0.00,0.00,,
270.1375209,17:37:12,34.53,34.15,34.31,34.23,34.29,34.28,34.31,34.35,34.21,34.37,34.42,34.49,34.23,34.24,34.31,34.16,34.22,34.40,34.22,22.53,34.27,34.11,24.78,34.28,34.27,34.32,34.32,34.35,34.29,34.21,34.25,34.24,34.22,34.25,395.2,79.5,237.3,237.8,246.5,222.7,236.5,267.1,237.9,298.7,414.2,506.4,201.3,193.4,253.4,110.3,204.3,172.6,116.3,0.0,261.9,91.0,0.0,243.0,228.5,239.9,226.6,242.7,310.9,208.8,311.3,194.9,288.4,300.6,8.60,8.73,8.46,43.8,0.0,0.00,0.00,0.00,0.00,,
