[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,16:46:29
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\MidCurv_RadOff_wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0105267,16:46:59,34.33,35.03,34.02,34.01,33.99,34.02,33.99,33.99,34.01,34.02,33.97,33.96,34.02,34.12,34.00,34.03,34.01,34.05,34.03,21.17,34.02,34.01,24.01,34.02,34.02,34.01,34.02,34.01,33.99,34.00,34.00,34.01,34.00,34.02,680.6,210.0,377.6,352.6,384.4,335.5,376.3,415.3,355.8,463.2,686.0,888.6,331.0,318.8,395.8,188.7,323.6,274.8,229.8,0.0,362.1,148.5,0.0,350.6,362.6,394.8,365.7,404.9,443.6,322.5,414.6,322.9,402.0,406.5,9.06,9.23,8.88,42.6,0.0,0.00,0.00,0.00,0.00,,
60.0260195,16:47:29,34.30,35.01,34.00,34.01,33.99,34.01,33.99,33.98,33.98,33.99,33.96,33.91,34.02,34.10,34.00,34.04,34.01,34.05,34.01,21.16,34.01,34.01,24.04,34.02,33.99,33.98,34.00,34.00,34.03,33.98,34.00,34.00,34.00,34.03,676.6,190.3,379.2,353.2,384.3,334.6,379.7,419.2,358.9,467.0,688.3,902.5,329.9,317.3,395.9,190.1,323.5,276.1,229.4,0.0,363.4,148.2,0.0,350.0,367.1,400.7,364.5,407.4,448.9,320.6,410.7,323.9,410.7,407.6,9.03,9.20,8.86,42.7,0.0,0.00,0.00,0.00,0.00,,
90.0395097,16:47:59,34.28,34.96,33.99,34.00,33.99,34.01,33.97,33.94,33.96,33.98,33.96,33.90,34.00,34.09,33.98,34.04,34.01,34.06,34.00,21.17,33.99,34.03,24.03,34.02,34.00,33.99,34.02,34.00,33.98,34.00,34.00,34.01,33.98,34.01,673.1,177.9,382.0,352.9,384.6,336.0,380.6,423.8,360.5,468.3,690.0,910.9,332.5,318.9,399.1,190.4,324.5,275.5,229.8,0.0,366.2,146.4,0.0,349.8,365.7,399.3,365.6,406.8,447.3,319.2,411.9,322.9,407.2,408.1,9.02,9.19,8.84,42.8,0.0,0.00,0.00,0.00,0.00,,
120.0550034,16:48:29,34.24,34.89,33.98,34.01,33.99,34.00,33.97,33.95,33.98,33.97,33.96,33.90,33.99,34.07,33.97,34.04,34.02,34.06,34.02,21.17,34.02,34.02,24.01,34.01,33.99,33.97,33.99,33.99,34.00,34.00,33.95,33.96,33.97,34.00,674.2,168.6,381.5,352.5,387.9,336.1,382.2,425.3,360.8,470.2,693.9,908.7,333.5,317.9,400.6,189.4,324.2,274.0,230.1,0.0,362.4,147.1,0.0,349.7,369.6,403.6,366.3,407.2,445.6,320.8,416.8,329.9,406.0,409.3,9.00,9.17,8.82,42.8,0.0,0.00,0.00,0.00,0.00,,
150.0675059,16:48:59,34.21,34.82,33.98,34.00,33.97,33.99,33.97,33.96,33.96,33.96,33.96,33.91,34.00,34.06,33.99,34.01,34.01,34.03,33.97,21.15,34.01,34.02,24.01,34.00,34.00,33.97,33.99,33.99,33.97,33.99,33.99,33.99,33.98,34.00,675.1,159.8,384.7,352.2,387.0,337.4,381.9,424.2,362.6,471.9,692.8,909.3,331.0,318.9,399.5,189.6,323.1,274.8,232.2,0.0,363.4,147.1,0.0,349.7,367.4,402.2,367.7,406.2,449.0,325.3,419.7,329.6,415.1,408.6,8.97,9.14,8.79,42.9,0.0,0.00,0.00,0.00,0.00,,
180.0840044,16:49:29,34.18,34.73,33.98,34.01,33.98,33.99,33.97,33.95,33.97,33.97,33.95,33.92,33.99,34.05,33.97,34.01,34.01,34.04,33.97,21.15,33.98,34.01,24.00,34.01,33.97,33.96,33.98,33.98,34.01,34.01,33.98,33.97,33.97,33.98,676.1,155.4,387.5,352.1,386.5,338.8,384.3,426.9,365.0,472.1,697.2,910.1,333.6,318.5,400.0,190.2,324.1,274.3,229.9,0.0,363.1,148.2,0.0,350.2,371.7,404.8,369.9,409.7,451.1,318.1,419.0,328.7,408.9,410.9,8.97,9.13,8.80,42.9,0.0,0.00,0.00,0.00,0.00,,
210.0975009,16:49:59,34.14,34.64,33.98,33.99,33.98,33.98,33.97,33.96,33.96,33.96,33.98,33.93,33.99,34.03,33.99,34.00,34.01,34.03,33.99,21.14,33.98,33.99,24.01,34.01,34.00,33.97,33.99,33.99,33.98,33.99,33.97,33.98,33.99,33.98,678.4,152.8,388.2,354.2,389.3,339.5,384.2,428.0,363.8,473.0,691.6,908.4,332.4,321.7,401.6,192.7,323.9,274.3,233.5,0.0,363.4,147.7,0.0,349.6,367.8,405.0,369.1,409.8,451.0,324.1,419.6,328.8,415.6,410.9,8.95,9.12,8.76,42.9,0.0,0.00,0.00,0.00,0.00,,
240.111998,16:50:29,34.12,34.57,33.99,34.00,33.98,33.99,33.98,33.97,33.96,33.95,33.97,33.91,33.99,34.03,33.98,33.99,34.00,34.03,33.99,21.15,33.98,34.01,24.02,34.00,33.97,33.98,33.98,33.99,33.98,33.98,33.98,33.99,33.99,34.00,678.5,150.4,388.4,352.2,387.4,340.0,383.5,425.9,366.0,474.8,695.8,912.1,332.8,320.7,401.0,194.8,324.4,275.0,228.6,0.0,365.6,147.4,0.0,349.1,368.4,401.5,370.3,410.0,452.7,322.7,420.5,331.7,413.7,409.7,8.92,9.10,8.73,42.9,0.0,0.00,0.00,0.00,0.00,,
270.1269985,16:50:59,34.08,34.49,33.98,33.98,33.98,33.99,33.98,33.97,33.97,33.95,33.96,33.90,33.99,34.01,33.98,34.00,33.99,34.02,33.99,21.14,33.99,34.01,24.01,34.00,34.00,33.99,33.96,33.99,33.98,34.01,33.98,34.00,33.99,33.98,684.0,149.6,389.2,354.4,389.6,339.2,383.9,426.9,367.6,477.2,695.4,918.9,333.0,322.9,403.6,193.8,326.1,275.7,231.1,0.0,366.0,146.2,0.0,350.1,370.9,402.2,373.1,409.5,454.0,322.3,420.1,329.5,409.5,412.2,8.89,9.07,8.71,42.9,0.0,0.00,0.00,0.00,0.00,,
