[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/10/2018,15:42:00
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\MidCurv_RadOn_wind0_3 (run with new conditons).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0260325,15:42:30,38.03,38.03,38.01,38.02,38.01,38.01,38.03,38.00,38.00,37.98,38.03,38.00,38.01,38.10,38.00,38.02,38.00,37.99,38.02,36.22,38.01,37.98,36.23,37.98,38.03,38.03,38.00,38.00,37.99,37.97,37.98,37.99,37.97,37.99,397.5,79.8,267.4,277.9,261.5,295.8,271.9,295.5,267.3,332.7,449.2,491.9,218.6,244.6,292.4,136.0,233.7,164.4,89.7,181.0,264.5,80.1,169.6,257.7,263.4,245.5,259.4,264.2,349.9,295.1,355.5,311.0,376.4,362.1,1.08,0.94,1.22,44.9,0.0,0.00,0.00,0.00,0.00,,
60.0400372,15:43:00,38.03,38.07,38.04,38.03,38.04,38.04,38.03,38.00,38.03,38.00,38.07,38.06,38.02,38.24,38.03,38.01,38.01,38.02,38.02,36.31,37.98,38.01,36.33,37.99,38.05,38.00,38.01,38.00,38.00,38.00,38.02,38.00,38.03,38.00,395.5,74.2,263.1,276.5,259.6,291.4,270.8,296.1,264.1,332.9,442.9,483.2,216.3,218.8,292.4,133.7,234.1,163.5,98.2,165.4,264.1,78.6,151.0,256.4,253.1,246.7,259.1,262.7,355.1,292.7,352.8,312.2,371.8,356.2,1.12,0.97,1.30,44.8,0.0,0.00,0.00,0.00,0.00,,
90.0555388,15:43:30,38.01,38.10,38.05,38.05,38.04,38.04,38.04,38.01,38.02,38.00,38.08,38.07,38.04,38.29,38.04,38.02,38.01,38.02,37.98,36.35,38.00,38.01,36.34,38.00,38.02,38.03,38.02,38.00,38.03,37.99,38.02,38.01,37.99,38.01,398.2,67.2,262.2,275.1,259.2,289.9,268.4,295.2,266.2,332.4,438.3,478.7,215.5,206.0,291.9,134.3,230.2,162.9,97.9,155.8,263.1,77.8,139.1,255.6,257.3,246.5,256.7,263.1,346.5,298.0,349.2,313.6,374.8,358.6,1.19,1.00,1.39,44.6,0.0,0.00,0.00,0.00,0.00,,
120.068535,15:44:00,38.03,38.13,38.07,38.05,38.06,38.05,38.05,38.02,38.05,38.04,38.08,38.13,38.04,38.26,38.05,38.03,38.02,38.02,38.02,36.34,38.02,38.00,36.34,38.02,38.04,37.98,38.01,38.01,38.00,38.03,38.05,38.02,38.01,38.03,397.7,61.3,257.8,271.2,253.6,286.4,264.6,293.4,262.3,327.1,430.7,464.2,214.1,202.0,288.3,130.9,229.8,162.2,91.7,144.3,260.8,79.5,132.1,254.1,255.1,250.6,257.8,264.5,353.9,294.8,344.8,309.3,371.7,355.3,1.25,1.03,1.48,44.5,0.0,0.00,0.00,0.00,0.00,,
150.0845403,15:44:30,38.02,38.14,38.06,38.04,38.05,38.04,38.07,38.00,38.05,38.06,38.06,38.13,38.03,38.23,38.02,38.04,38.01,38.03,38.00,36.31,37.99,38.01,36.32,38.01,38.02,38.01,38.00,38.01,38.00,38.01,38.04,38.01,38.03,38.03,397.0,56.5,256.4,271.8,251.9,287.6,262.3,294.6,259.8,323.9,434.9,460.4,213.4,201.1,291.1,127.3,229.7,160.7,93.2,145.6,262.9,77.8,126.1,252.9,261.3,251.2,257.0,260.9,347.9,288.2,344.9,309.6,366.8,354.2,1.31,1.07,1.57,44.3,0.0,0.00,0.00,0.00,0.00,,
180.0985446,15:45:00,38.04,38.15,38.06,38.04,38.06,38.04,38.07,38.02,38.05,38.06,38.05,38.14,38.05,38.21,38.01,38.04,38.02,38.04,38.02,36.28,38.02,38.00,36.29,38.02,38.00,38.02,38.01,38.01,38.04,38.05,38.03,38.03,38.07,38.03,393.2,53.2,255.7,271.3,251.1,285.9,261.2,293.4,257.1,321.5,435.1,456.9,210.6,200.2,292.1,128.3,230.4,159.2,93.4,138.7,256.8,79.6,121.9,252.1,262.2,249.0,257.3,261.6,352.4,289.8,346.2,308.7,367.9,354.2,1.37,1.10,1.65,44.1,0.0,0.00,0.00,0.00,0.00,,
210.1135472,15:45:30,38.02,38.15,38.05,38.04,38.05,38.04,38.06,38.03,38.05,38.05,38.05,38.12,38.03,38.19,38.03,38.03,38.03,38.04,38.00,36.26,38.03,38.02,36.25,38.03,38.01,37.98,38.01,38.02,38.03,38.01,38.05,38.01,38.05,38.04,396.0,50.9,254.9,270.2,252.3,283.9,261.5,291.3,257.2,320.9,434.3,455.7,211.9,197.8,289.3,126.7,227.0,158.8,90.6,136.1,262.1,77.6,122.5,250.8,263.6,254.3,256.1,261.0,345.4,291.9,340.3,308.9,363.6,347.0,1.42,1.14,1.72,44.0,0.0,0.00,0.00,0.00,0.00,,
240.1270537,15:46:00,38.02,38.13,38.03,38.03,38.04,38.04,38.05,38.02,38.03,38.03,38.05,38.04,38.03,38.17,38.02,38.04,38.03,38.04,38.02,36.21,38.00,38.01,36.21,38.03,37.97,37.99,38.00,38.02,38.02,38.01,38.05,38.02,38.03,38.03,393.9,50.1,255.3,270.6,254.4,285.9,260.9,291.4,256.8,324.4,434.1,466.7,212.3,199.1,289.4,126.5,227.4,157.7,87.8,136.7,260.3,76.5,118.2,251.0,262.1,250.6,257.6,260.1,349.6,289.7,342.4,309.1,367.0,349.8,1.47,1.16,1.79,43.8,0.0,0.00,0.00,0.00,0.00,,
270.1410589,15:46:30,38.00,38.11,38.03,38.03,38.03,38.03,38.04,38.02,38.03,38.01,38.03,38.00,38.02,38.14,38.04,38.02,38.03,38.04,38.03,36.18,38.00,38.02,36.19,38.03,38.02,38.00,37.99,38.01,38.07,38.01,38.01,37.99,38.05,38.01,397.9,49.6,257.4,272.2,254.0,285.3,260.8,291.2,260.0,323.6,435.9,473.8,214.8,196.9,285.9,127.3,225.6,157.1,95.3,135.8,262.5,74.8,118.4,248.8,261.9,245.6,258.2,261.5,338.1,291.5,342.0,311.1,362.1,350.2,1.50,1.19,1.83,43.6,0.0,0.00,0.00,0.00,0.00,,
