[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,18:17:48
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\MidCurv_RadOn_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0055259,18:18:18,34.03,34.08,34.03,34.02,34.04,34.04,34.02,33.99,34.01,34.01,34.05,34.05,34.00,34.21,34.00,34.02,34.00,34.00,33.99,25.44,34.00,33.99,25.93,34.01,34.01,34.01,33.98,34.00,34.00,34.06,34.01,34.01,33.99,34.01,388.5,79.6,238.0,233.5,241.2,220.7,231.8,270.6,237.7,304.8,398.9,501.4,199.8,167.8,271.9,112.2,196.5,162.6,114.5,0.0,258.3,86.2,0.0,231.4,228.5,232.1,222.1,242.2,303.5,199.9,314.0,200.3,297.6,296.0,9.15,9.20,9.11,43.7,0.0,0.00,0.00,0.00,0.00,,
60.0190237,18:18:48,34.07,34.11,34.06,34.04,34.04,34.04,34.05,34.02,34.00,34.01,34.09,34.03,34.02,34.23,34.03,34.03,34.00,34.00,34.01,25.47,34.00,34.00,25.94,34.00,34.01,34.03,34.01,34.02,34.02,34.02,34.03,34.03,34.01,34.01,381.9,72.8,233.4,232.9,240.1,218.4,228.1,267.8,237.1,305.8,391.2,503.5,198.4,159.9,268.5,111.2,196.6,162.0,108.4,0.0,254.8,82.5,0.0,230.1,225.5,228.9,221.2,241.4,310.3,207.0,312.1,201.2,294.8,294.3,9.20,9.24,9.19,43.4,0.0,0.00,0.00,0.00,0.00,,
90.0340228,18:19:18,34.07,34.13,34.06,34.05,34.04,34.04,34.05,34.02,34.03,34.03,34.08,34.04,34.02,34.22,34.02,34.04,33.99,34.02,34.03,25.49,34.03,34.02,25.94,34.01,34.03,33.98,34.02,34.01,34.03,33.95,34.02,34.03,34.03,34.02,379.1,65.9,232.6,229.6,236.9,217.5,224.3,266.1,236.5,303.5,391.2,501.8,198.6,156.5,268.4,110.0,197.6,160.5,108.9,0.0,251.7,81.0,0.0,228.3,223.6,231.1,219.8,239.4,300.6,207.1,313.1,199.9,297.0,294.5,9.27,9.27,9.27,43.2,0.0,0.00,0.00,0.00,0.00,,
120.0475177,18:19:48,34.07,34.14,34.06,34.04,34.04,34.04,34.07,34.04,34.02,34.00,34.09,34.02,34.02,34.20,34.03,34.03,34.00,34.01,34.02,25.50,34.03,34.02,25.94,34.01,34.03,34.03,34.00,34.02,34.01,34.03,34.02,34.02,33.99,34.02,376.2,61.1,230.5,229.4,235.5,217.4,221.9,264.1,236.3,305.2,386.4,506.3,197.7,152.6,266.1,108.4,197.4,159.6,108.6,0.0,250.9,80.5,0.0,229.2,222.5,220.7,219.9,237.8,305.6,202.3,310.1,199.8,294.3,293.1,9.32,9.31,9.34,43.2,0.0,0.00,0.00,0.00,0.00,,
150.0620127,18:20:18,34.05,34.14,34.06,34.04,34.04,34.04,34.06,34.03,34.02,34.02,34.08,34.04,34.03,34.17,34.06,34.03,34.01,34.02,34.02,25.48,34.01,34.01,25.95,34.01,34.02,34.04,34.02,34.03,33.99,34.06,34.02,34.02,33.97,34.02,377.5,59.0,228.6,228.7,238.0,217.0,220.7,263.0,235.0,305.5,384.4,501.2,195.6,153.9,262.1,109.1,196.7,160.1,109.0,0.0,248.3,82.4,0.0,228.5,227.7,226.4,218.4,236.5,306.1,202.6,310.2,201.9,298.5,292.7,9.37,9.35,9.41,43.1,0.0,0.00,0.00,0.00,0.00,,
180.0780122,18:20:48,34.06,34.12,34.04,34.03,34.04,34.04,34.05,34.02,34.04,34.04,34.05,34.12,34.02,34.15,34.03,34.03,34.02,34.02,34.04,25.51,34.00,34.02,25.96,34.02,34.01,34.03,34.03,34.03,34.03,34.04,34.02,34.02,34.03,34.02,377.0,57.5,229.1,226.9,235.1,214.7,222.0,264.7,232.9,300.6,390.9,488.0,198.1,154.3,265.0,108.3,194.2,159.0,105.0,0.0,252.2,80.3,0.0,227.1,224.5,232.4,217.7,238.5,301.0,196.8,308.7,201.3,291.5,293.4,9.41,9.36,9.45,43.0,0.0,0.00,0.00,0.00,0.00,,
210.0925106,18:21:18,34.04,34.12,34.03,34.03,34.04,34.04,34.03,34.00,34.05,34.05,34.03,34.16,34.01,34.13,34.00,34.03,34.01,34.03,34.05,25.52,34.03,34.00,25.97,34.01,34.02,34.00,34.01,34.00,34.03,34.00,34.03,34.02,34.02,34.02,377.8,56.2,230.9,225.8,234.9,212.9,221.9,266.9,228.7,297.1,394.6,472.9,198.7,153.8,268.5,107.0,195.0,157.7,105.2,0.0,250.9,81.2,0.0,227.1,223.8,230.2,219.7,239.2,306.5,206.5,310.1,197.7,295.3,292.0,9.43,9.38,9.49,43.4,0.0,0.00,0.00,0.00,0.00,,
240.1075018,18:21:48,34.03,34.11,34.03,34.02,34.03,34.04,34.02,34.00,34.02,34.02,34.02,34.07,34.01,34.11,34.00,34.01,34.01,34.03,33.99,25.52,34.02,34.00,25.98,34.01,33.99,34.01,34.01,34.00,33.99,34.02,34.03,34.03,34.01,34.01,379.8,54.0,230.9,224.9,229.8,214.1,223.6,266.7,231.3,300.4,396.8,482.8,199.0,154.3,268.9,109.7,195.1,157.4,105.6,0.0,246.8,83.2,0.0,226.8,221.0,229.4,217.4,240.0,303.0,203.1,307.3,199.6,294.2,292.2,9.45,9.40,9.50,43.3,0.0,0.00,0.00,0.00,0.00,,
270.1204988,18:22:18,34.01,34.11,34.03,34.02,34.03,34.03,34.00,33.99,34.02,34.01,34.02,34.02,34.01,34.09,33.99,34.00,34.01,34.04,34.00,25.53,34.01,34.00,26.00,34.01,34.00,34.00,34.00,34.01,34.01,34.00,34.01,34.02,34.00,34.02,382.2,52.4,232.4,224.8,234.5,213.4,226.6,268.1,232.4,301.3,397.4,495.2,196.3,155.1,271.4,110.5,192.9,155.7,109.4,0.0,245.4,83.0,0.0,227.5,220.5,230.8,219.2,239.0,302.6,204.3,308.9,200.3,292.1,291.9,9.45,9.39,9.49,43.2,0.0,0.00,0.00,0.00,0.00,,
300.1349989,18:22:48,33.98,34.09,34.01,34.01,34.02,34.03,34.00,33.98,34.03,34.04,33.99,34.07,34.00,34.06,33.98,34.01,34.01,34.03,34.02,25.54,34.02,33.99,26.01,34.01,34.01,33.99,34.01,34.00,33.98,33.99,34.01,34.01,34.01,34.03,385.4,54.0,232.9,225.4,236.1,212.0,228.2,270.1,229.2,297.0,402.5,483.5,198.2,155.8,270.9,109.9,194.2,155.8,102.5,0.0,250.4,84.4,0.0,227.5,228.1,232.1,219.3,239.2,305.9,206.2,310.4,201.3,294.2,289.4,9.42,9.35,9.48,43.5,0.0,0.00,0.00,0.00,0.00,,
330.1504993,18:23:18,33.99,34.07,34.01,34.02,34.00,34.03,33.99,33.98,34.04,34.04,34.01,34.09,34.00,34.06,33.97,34.00,34.00,34.03,34.00,25.56,34.00,34.00,26.04,34.00,34.01,33.99,34.00,33.99,33.98,34.00,34.01,34.01,34.03,34.01,383.1,53.7,233.9,226.0,235.6,211.6,226.8,270.5,226.9,296.1,398.1,479.5,197.5,156.8,273.3,110.5,195.6,155.7,105.4,0.0,248.7,82.6,0.0,227.1,226.3,234.1,220.5,241.7,307.5,204.6,310.3,200.7,294.3,291.3,9.38,9.32,9.45,43.5,0.0,0.00,0.00,0.00,0.00,,
360.1654934,18:23:48,33.96,34.06,34.00,34.00,34.00,34.02,33.98,33.97,34.02,34.03,33.98,34.06,34.01,34.05,33.98,34.00,34.00,34.02,33.99,25.56,34.01,34.00,26.07,34.00,34.02,33.99,33.99,33.99,33.96,33.95,34.01,34.00,33.99,34.01,389.0,54.6,234.3,225.4,235.3,209.9,228.6,271.3,230.2,297.0,403.0,478.6,198.2,155.9,273.6,110.9,194.4,155.9,103.5,0.0,246.5,86.4,0.0,226.7,227.2,231.9,221.8,240.8,308.9,204.2,308.5,202.9,296.0,291.6,9.36,9.31,9.40,44.2,0.0,0.00,0.00,0.00,0.00,,
390.1814887,18:24:18,33.97,34.06,34.00,34.01,34.00,34.02,34.00,33.98,34.01,34.02,34.00,34.04,33.99,34.03,33.99,33.99,34.00,34.02,34.00,25.57,33.99,34.00,26.05,34.01,33.99,33.98,34.00,34.00,33.99,33.97,33.99,34.00,34.01,34.02,388.4,53.0,234.7,226.2,238.4,212.7,227.4,270.2,230.5,297.5,399.0,483.1,198.6,157.3,272.1,110.5,195.6,155.2,107.9,0.0,250.4,84.1,0.0,226.7,223.3,237.0,221.7,240.5,304.4,203.4,311.0,201.7,296.3,290.9,9.34,9.28,9.38,43.9,0.0,0.00,0.00,0.00,0.00,,
420.1939933,18:24:48,33.98,34.05,34.01,34.00,34.00,34.02,33.99,33.98,34.02,34.03,33.97,34.06,33.99,34.03,33.99,33.99,34.01,34.03,34.01,25.56,34.01,34.00,26.07,34.00,33.98,33.99,34.01,33.98,33.99,33.98,34.00,34.01,33.98,33.99,387.8,53.2,231.8,227.5,238.3,212.2,229.3,272.2,229.8,295.4,404.2,476.6,197.0,156.6,270.9,112.0,194.4,154.4,108.5,0.0,249.8,85.0,0.0,227.2,226.3,233.6,217.9,241.8,299.0,204.3,310.3,203.2,293.6,291.1,9.31,9.26,9.36,44.0,0.0,0.00,0.00,0.00,0.00,,
