[Test Data]
Format 2
Experiment Type:,dry
Test Date:,26/10/2018,19:11:53
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\MidCurv_RadOn_wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0270875,19:12:23,32.90,33.70,33.43,33.59,33.43,33.49,33.47,33.43,33.49,33.31,32.93,32.14,33.53,33.34,33.35,33.63,33.58,33.63,33.59,25.34,33.68,33.77,26.21,33.65,33.40,33.42,33.47,33.39,33.51,33.44,33.49,33.44,33.57,33.60,572.6,93.4,329.0,295.2,332.1,292.6,301.2,369.5,321.4,383.2,642.4,893.5,286.3,263.5,383.0,166.2,269.1,196.1,171.9,0.0,299.4,125.2,0.0,271.0,312.5,326.3,298.0,321.3,392.3,311.0,409.9,313.8,373.4,345.4,9.73,9.79,9.70,42.1,0.0,0.00,0.00,0.00,0.00,,
60.0415884,19:12:53,32.90,33.68,33.42,33.56,33.42,33.46,33.45,33.39,33.48,33.26,33.00,32.31,33.53,33.35,33.33,33.62,33.57,33.56,33.59,25.15,33.62,33.77,26.11,33.61,33.39,33.37,33.44,33.35,33.51,33.48,33.50,33.46,33.55,33.56,594.7,103.4,344.3,305.9,346.2,307.1,316.8,388.2,335.5,403.0,657.4,911.3,299.8,273.6,397.1,175.5,279.6,208.6,181.3,0.0,311.8,132.0,0.0,283.9,327.8,345.7,312.7,340.9,403.0,311.8,420.0,323.0,382.9,360.8,9.84,9.89,9.80,41.7,0.0,0.00,0.00,0.00,0.00,,
90.055581,19:13:23,32.97,33.68,33.43,33.58,33.43,33.47,33.47,33.39,33.50,33.26,33.10,32.53,33.54,33.42,33.37,33.63,33.57,33.51,33.59,24.96,33.59,33.77,26.02,33.59,33.39,33.39,33.45,33.35,33.52,33.49,33.52,33.48,33.57,33.55,608.0,109.3,356.5,315.1,357.2,317.6,324.9,399.3,345.1,417.0,662.2,906.6,308.4,278.8,406.5,183.4,287.5,218.5,187.5,0.0,323.8,135.8,0.0,292.6,339.4,348.4,321.5,355.0,405.6,321.8,428.0,327.8,396.4,370.4,9.89,9.96,9.84,41.5,0.0,0.00,0.00,0.00,0.00,,
120.0710827,19:13:53,33.03,33.69,33.47,33.59,33.47,33.51,33.48,33.40,33.54,33.30,33.17,32.77,33.55,33.48,33.41,33.65,33.60,33.49,33.61,24.78,33.60,33.78,25.91,33.60,33.44,33.44,33.47,33.39,33.54,33.53,33.57,33.54,33.55,33.57,620.3,114.1,363.9,322.8,364.7,325.0,335.0,407.9,351.4,424.3,670.3,898.9,317.8,281.6,412.5,188.4,294.3,227.9,197.4,0.0,328.1,137.8,0.0,299.1,344.1,358.8,328.5,363.0,415.1,324.2,428.3,327.0,399.3,377.0,9.92,9.99,9.86,41.4,0.0,0.00,0.00,0.00,0.00,,
150.0865893,19:14:23,33.13,33.71,33.50,33.62,33.50,33.52,33.52,33.45,33.58,33.35,33.27,32.96,33.60,33.53,33.45,33.69,33.62,33.50,33.65,24.59,33.61,33.80,25.83,33.62,33.51,33.48,33.50,33.43,33.59,33.59,33.61,33.59,33.57,33.60,630.4,118.4,368.5,327.5,372.0,331.7,340.6,414.9,353.3,430.1,675.9,886.9,323.1,285.7,419.3,189.2,299.5,235.4,203.0,0.0,336.9,142.1,0.0,305.7,354.7,358.5,334.1,370.1,420.4,331.2,431.8,327.4,410.3,383.2,9.92,10.00,9.82,41.5,0.0,0.00,0.00,0.00,0.00,,
180.0990863,19:14:53,33.22,33.74,33.55,33.64,33.54,33.57,33.55,33.48,33.61,33.40,33.33,33.09,33.63,33.58,33.48,33.72,33.64,33.50,33.63,24.40,33.61,33.83,25.73,33.63,33.55,33.52,33.53,33.48,33.60,33.64,33.64,33.64,33.65,33.63,633.4,120.1,373.4,331.9,378.4,335.4,346.4,418.8,360.0,436.4,682.9,891.5,329.0,288.7,423.5,193.6,303.6,242.7,210.4,0.0,340.4,141.6,0.0,310.6,356.9,361.8,339.0,375.3,426.3,333.4,435.3,327.2,407.4,387.3,9.88,9.98,9.77,41.6,0.0,0.00,0.00,0.00,0.00,,
210.1135781,19:15:23,33.29,33.76,33.59,33.67,33.58,33.61,33.59,33.53,33.64,33.45,33.41,33.15,33.67,33.63,33.53,33.75,33.67,33.53,33.68,24.28,33.65,33.83,25.64,33.65,33.58,33.53,33.56,33.53,33.61,33.65,33.66,33.66,33.66,33.65,637.9,122.8,376.7,336.4,380.6,335.4,350.0,423.8,360.9,441.1,689.1,901.1,331.3,290.2,427.2,193.6,305.5,248.2,211.1,0.0,346.7,143.4,0.0,315.0,356.7,369.6,344.7,379.6,432.9,334.5,439.2,329.6,416.0,390.2,9.82,9.94,9.69,41.8,0.0,0.00,0.00,0.00,0.00,,
240.1285743,19:15:53,33.38,33.80,33.63,33.70,33.62,33.63,33.63,33.56,33.68,33.49,33.45,33.24,33.70,33.68,33.59,33.76,33.71,33.56,33.70,24.12,33.68,33.84,25.55,33.67,33.64,33.60,33.61,33.56,33.65,33.70,33.70,33.70,33.69,33.69,642.2,122.2,376.5,339.1,386.0,340.5,352.8,427.3,364.7,447.2,694.2,909.6,334.3,290.5,427.8,196.0,308.2,252.6,212.7,0.0,349.5,148.6,0.0,320.0,363.7,375.4,348.3,384.9,430.7,336.2,442.6,332.4,413.8,393.2,9.75,9.89,9.58,42.0,0.0,0.00,0.00,0.00,0.00,,
270.1430794,19:16:23,33.45,33.82,33.66,33.74,33.66,33.67,33.66,33.61,33.72,33.55,33.51,33.37,33.74,33.73,33.63,33.80,33.74,33.60,33.72,23.96,33.69,33.87,25.47,33.70,33.64,33.67,33.65,33.62,33.69,33.75,33.74,33.76,33.71,33.74,646.2,122.6,377.5,340.7,389.0,340.6,355.1,428.2,366.3,449.5,698.9,910.4,335.1,290.2,430.4,196.5,309.5,256.2,213.3,0.0,352.2,147.1,0.0,322.3,366.0,373.9,349.8,385.5,435.7,336.6,443.0,332.2,415.7,394.9,9.67,9.82,9.50,42.0,0.0,0.00,0.00,0.00,0.00,,
