[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/10/2018,10:18:51
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\NoWig_RadOff_wind0_3 (run with new conditons).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0160218,10:19:21,37.98,37.39,37.98,37.98,37.97,37.99,37.96,38.02,38.00,38.04,37.94,38.08,37.98,37.69,38.01,38.00,38.01,38.01,37.98,36.12,38.03,38.01,36.08,38.01,37.99,38.03,38.01,38.03,38.00,38.05,38.05,38.03,38.02,38.03,437.3,226.5,265.4,276.7,268.2,278.6,267.6,297.7,273.4,330.3,441.7,463.2,216.6,223.1,296.8,137.6,226.9,161.7,95.3,178.5,270.3,79.6,157.2,256.3,261.0,241.9,251.0,260.1,335.8,293.9,353.0,312.5,362.9,360.3,2.08,1.23,2.91,43.1,0.0,0.00,0.00,0.00,0.00,,
60.0305123,10:19:51,37.96,37.21,37.96,37.98,37.97,37.97,37.96,38.00,37.99,38.02,37.93,37.99,37.96,37.49,37.99,37.99,38.01,37.99,38.03,36.20,38.02,38.00,36.15,38.01,38.02,38.00,38.00,38.02,38.06,38.04,38.02,38.01,38.04,38.01,440.7,279.6,268.4,279.2,271.6,281.4,269.2,299.2,275.4,331.7,448.1,476.6,219.9,268.0,300.7,140.5,225.6,161.8,95.0,174.8,265.2,80.6,145.7,256.8,261.5,245.4,255.7,261.2,336.9,296.5,350.6,311.0,359.0,359.3,1.98,1.21,2.73,43.2,0.0,0.00,0.00,0.00,0.00,,
90.0490134,10:20:21,37.95,37.20,37.96,37.98,37.97,37.96,37.96,38.01,37.99,38.01,37.94,37.96,37.96,37.49,38.00,37.98,38.00,38.00,37.99,36.22,38.02,38.00,36.16,38.01,37.98,38.01,37.99,38.00,38.02,38.04,38.01,38.00,38.02,38.00,441.7,298.6,269.0,278.0,270.5,284.0,270.0,297.9,274.1,331.1,448.6,483.9,222.5,280.4,300.3,141.7,227.6,163.2,96.6,166.0,260.7,82.4,139.1,256.5,271.5,246.7,258.2,261.8,343.7,289.5,354.9,311.6,361.0,360.1,1.89,1.20,2.57,43.1,0.0,0.00,0.00,0.00,0.00,,
120.0590046,10:20:51,37.97,37.24,37.96,37.98,37.96,37.96,37.97,38.02,37.99,38.02,37.98,37.97,37.96,37.52,38.01,37.98,38.00,37.99,38.06,36.22,38.00,38.01,36.16,38.01,37.99,38.00,37.98,37.99,38.01,37.97,38.00,38.00,38.02,38.01,440.6,308.5,270.7,278.0,272.4,285.5,270.4,296.6,274.5,329.3,441.3,481.1,223.7,287.5,299.6,142.4,227.2,163.8,96.9,160.3,263.0,83.8,132.8,255.3,267.5,245.4,259.6,261.7,348.5,293.3,355.2,313.4,356.7,359.3,1.81,1.18,2.43,43.1,0.0,0.00,0.00,0.00,0.00,,
150.072002,10:21:21,37.94,37.31,37.97,37.99,37.97,37.97,37.97,38.04,38.00,38.02,38.00,37.97,37.96,37.59,38.01,37.98,38.01,37.99,38.07,36.26,38.03,38.01,36.15,38.01,38.03,38.01,37.99,38.00,37.99,38.00,38.02,38.00,38.01,38.01,440.9,316.0,270.6,277.3,271.6,285.7,269.7,293.9,274.9,328.3,437.7,483.6,226.5,289.0,298.5,143.1,225.3,164.2,89.7,152.5,261.5,79.2,131.6,254.6,262.3,245.7,257.1,262.7,337.0,297.2,352.2,311.2,361.1,357.9,1.75,1.17,2.32,43.2,0.0,0.00,0.00,0.00,0.00,,
180.0890071,10:21:51,37.97,37.37,37.98,37.99,37.98,37.97,37.99,38.03,38.00,38.01,38.00,37.95,37.96,37.65,38.01,37.99,38.02,37.99,38.04,36.19,38.01,38.01,36.14,38.00,37.97,37.96,37.99,38.01,38.01,38.01,38.01,37.97,38.03,38.00,443.0,321.9,272.3,277.3,269.7,287.1,267.2,292.1,274.7,329.4,438.0,488.1,226.1,288.8,297.9,142.6,224.4,164.1,88.9,154.4,260.6,80.3,130.6,255.6,266.1,243.3,261.1,261.5,341.0,296.2,352.2,312.6,354.3,358.8,1.69,1.16,2.22,43.1,0.0,0.00,0.00,0.00,0.00,,
210.1035127,10:22:21,37.98,37.44,37.98,37.99,37.98,37.97,37.99,38.02,38.01,38.01,37.98,37.97,37.98,37.70,38.01,38.00,38.01,37.98,38.01,36.18,38.02,38.01,36.12,38.01,37.98,37.98,37.98,38.01,38.02,37.99,38.01,38.00,38.02,38.01,442.6,324.3,272.4,276.0,271.0,287.2,268.2,293.4,274.2,330.7,439.5,485.8,225.6,288.9,296.0,141.4,224.0,164.8,94.0,151.3,259.4,81.3,130.7,254.7,262.8,246.2,257.2,261.2,339.8,299.6,352.6,308.0,353.2,357.3,1.66,1.17,2.13,43.1,0.0,0.00,0.00,0.00,0.00,,
240.1165117,10:22:51,38.00,37.53,37.98,38.00,37.98,37.97,37.97,38.02,37.99,37.99,37.99,37.94,37.98,37.74,38.00,37.99,37.99,37.98,37.96,36.19,38.02,37.99,36.09,38.02,38.05,38.02,38.01,38.00,37.97,38.01,37.97,37.99,38.01,38.02,439.4,324.6,273.5,276.7,271.3,287.6,269.1,293.5,275.7,332.4,440.3,494.2,224.9,288.6,299.0,143.8,225.6,164.8,93.8,151.2,261.5,81.8,128.8,254.4,264.6,245.5,255.9,262.7,344.9,300.0,358.9,309.9,363.5,358.3,1.62,1.17,2.07,43.1,0.0,0.00,0.00,0.00,0.00,,
270.13201,10:23:21,38.01,37.60,37.98,38.00,37.98,37.98,37.98,38.00,37.99,37.99,38.00,37.95,37.98,37.77,37.99,37.98,37.99,37.98,38.00,36.15,38.00,38.00,36.10,38.00,38.04,38.01,38.00,38.00,38.03,38.01,37.98,38.00,37.96,38.02,436.9,324.6,273.1,275.2,272.2,288.2,270.1,295.0,276.6,332.1,437.3,495.9,227.7,290.5,299.5,144.6,228.0,164.7,97.1,149.2,263.4,80.0,127.9,255.7,260.0,248.2,257.0,262.7,344.3,299.6,354.4,309.8,366.1,358.3,1.59,1.17,2.01,43.0,0.0,0.00,0.00,0.00,0.00,,
300.1450086,10:23:51,38.02,37.65,37.99,38.01,37.99,37.99,37.98,37.99,37.98,38.02,38.01,38.02,37.99,37.80,38.00,37.99,37.99,37.98,37.98,36.15,38.02,38.00,36.08,37.99,38.02,37.99,38.00,38.00,38.02,38.00,38.01,38.00,38.02,37.98,435.9,323.2,272.8,274.2,272.5,288.7,269.5,298.1,275.1,329.1,434.2,485.2,226.2,291.1,298.7,143.3,228.0,165.9,96.6,151.2,260.7,82.4,126.4,256.2,264.8,251.5,254.8,262.9,345.3,295.4,352.3,307.0,358.6,360.6,1.57,1.18,1.96,42.9,0.0,0.00,0.00,0.00,0.00,,
330.1600108,10:24:21,38.00,37.69,38.00,38.00,38.00,38.00,38.00,38.00,38.01,38.04,38.00,38.05,37.99,37.85,38.00,38.00,38.01,37.99,38.06,36.12,38.02,37.99,36.06,38.00,38.01,37.98,37.99,38.00,38.02,38.03,37.99,37.98,38.00,37.99,438.0,324.6,270.9,275.7,271.5,287.3,268.4,296.2,272.1,324.4,436.9,474.8,224.6,288.5,297.1,140.5,225.0,165.8,98.6,148.0,255.6,81.0,127.9,256.5,260.7,246.3,254.7,264.5,339.7,294.0,353.2,309.1,353.5,359.7,1.55,1.19,1.90,42.8,0.0,0.00,0.00,0.00,0.00,,
