[Test Data]
Format 2
Experiment Type:,dry
Test Date:,29/10/2018,11:11:15
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\NoWig_RadOff_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0166127,11:11:45,35.43,35.02,34.65,34.47,34.64,34.58,34.62,34.66,34.55,34.73,35.23,36.10,34.53,34.76,34.77,34.44,34.48,34.42,34.46,21.15,34.41,34.28,23.70,34.42,34.66,34.66,34.61,34.71,34.58,34.63,34.58,34.65,34.51,34.48,512.7,291.9,292.9,280.9,285.0,265.9,287.2,320.8,272.2,368.2,466.4,510.6,231.8,232.0,295.6,132.0,245.1,251.8,167.1,0.0,312.2,112.9,0.0,302.1,267.6,281.8,284.4,284.9,335.4,229.7,343.2,224.0,339.0,346.4,8.65,8.82,8.48,44.1,0.0,0.00,0.00,0.00,0.00,,
60.0312057,11:12:15,35.42,35.01,34.66,34.49,34.65,34.59,34.64,34.70,34.55,34.78,35.14,35.99,34.54,34.76,34.77,34.43,34.49,34.53,34.51,21.31,34.45,34.28,23.80,34.47,34.70,34.71,34.64,34.74,34.60,34.60,34.56,34.63,34.52,34.51,482.0,270.1,279.5,267.4,267.7,252.5,269.8,301.8,257.7,347.6,446.0,463.2,217.5,222.1,282.0,121.9,233.3,235.4,152.9,0.0,299.2,106.5,0.0,285.6,252.9,265.1,268.4,263.3,325.4,217.1,331.6,210.8,319.6,331.5,8.61,8.78,8.42,44.4,0.0,0.00,0.00,0.00,0.00,,
90.0463078,11:12:45,35.33,34.96,34.64,34.48,34.61,34.57,34.61,34.69,34.53,34.79,35.04,35.73,34.52,34.70,34.72,34.43,34.49,34.56,34.48,21.46,34.45,34.28,23.88,34.48,34.65,34.71,34.62,34.74,34.54,34.54,34.54,34.59,34.53,34.50,462.9,257.8,267.7,259.2,258.7,243.7,259.1,286.9,247.7,330.0,440.9,460.5,208.5,212.7,273.6,117.4,222.5,223.0,145.3,0.0,288.6,98.4,0.0,275.2,242.3,246.7,253.3,250.4,317.4,207.6,322.8,204.6,315.4,320.4,8.57,8.74,8.39,44.2,0.0,0.00,0.00,0.00,0.00,,
120.0598947,11:13:15,35.22,34.91,34.60,34.45,34.56,34.53,34.58,34.65,34.49,34.75,34.93,35.44,34.48,34.62,34.66,34.40,34.45,34.61,34.45,21.62,34.46,34.26,23.97,34.48,34.62,34.66,34.59,34.70,34.53,34.53,34.50,34.54,34.49,34.49,451.9,247.2,257.5,254.9,253.0,237.2,251.0,278.5,240.9,317.3,432.7,466.6,201.4,215.2,265.7,110.7,214.7,207.6,135.4,0.0,280.2,95.7,0.0,266.2,234.3,241.6,243.9,237.7,309.2,199.4,315.6,199.9,309.4,310.9,8.54,8.70,8.36,44.5,0.0,0.00,0.00,0.00,0.00,,
150.0744705,11:13:45,35.09,34.84,34.56,34.42,34.52,34.49,34.54,34.61,34.44,34.68,34.84,35.15,34.45,34.56,34.63,34.34,34.42,34.55,34.45,21.78,34.42,34.24,24.03,34.46,34.55,34.61,34.55,34.64,34.49,34.47,34.45,34.47,34.45,34.46,448.2,238.1,251.1,250.8,248.5,231.4,242.1,270.1,236.7,312.2,423.2,483.5,195.9,211.6,257.9,107.0,210.1,201.4,129.8,0.0,272.3,93.7,0.0,257.9,227.1,233.6,236.8,234.7,302.3,198.4,313.0,198.8,302.3,307.3,8.51,8.67,8.35,44.4,0.0,0.00,0.00,0.00,0.00,,
180.0900407,11:14:15,35.00,34.75,34.50,34.39,34.47,34.44,34.49,34.55,34.39,34.61,34.71,34.97,34.39,34.46,34.56,34.31,34.38,34.56,34.38,21.92,34.42,34.22,24.11,34.42,34.51,34.51,34.50,34.56,34.44,34.41,34.39,34.39,34.39,34.41,437.6,231.9,247.8,245.7,243.1,229.0,237.2,267.1,234.8,306.9,424.8,489.6,193.8,209.3,255.8,107.9,206.7,195.1,126.8,0.0,266.9,91.1,0.0,252.8,225.2,233.6,232.9,232.5,298.8,199.0,314.2,199.0,300.5,304.5,8.51,8.66,8.35,44.5,0.0,0.00,0.00,0.00,0.00,,
210.1036263,11:14:45,34.87,34.65,34.45,34.33,34.41,34.39,34.45,34.50,34.34,34.55,34.63,34.80,34.35,34.41,34.49,34.28,34.33,34.52,34.36,22.05,34.38,34.20,24.19,34.38,34.44,34.48,34.44,34.50,34.40,34.36,34.35,34.34,34.37,34.37,434.8,230.0,245.6,244.1,241.8,226.7,234.3,264.1,235.4,303.8,418.5,494.5,192.7,210.6,252.8,109.5,206.3,187.6,127.2,0.0,266.7,87.9,0.0,249.0,224.1,233.1,229.9,230.3,299.5,198.5,310.8,197.1,295.4,303.5,8.51,8.64,8.38,44.2,0.0,0.00,0.00,0.00,0.00,,
240.1197149,11:15:15,34.71,34.54,34.42,34.30,34.35,34.35,34.40,34.46,34.28,34.46,34.58,34.62,34.30,34.33,34.46,34.24,34.29,34.48,34.28,22.17,34.35,34.18,24.25,34.35,34.36,34.41,34.40,34.44,34.33,34.31,34.30,34.30,34.31,34.32,440.3,232.7,239.2,242.6,242.6,226.5,231.1,257.2,235.7,302.1,411.0,509.7,190.3,213.1,246.5,108.1,203.8,179.5,127.5,0.0,264.5,88.0,0.0,247.0,221.0,227.5,225.8,227.8,294.9,192.7,310.2,197.8,294.4,297.9,8.53,8.65,8.40,44.3,0.0,0.00,0.00,0.00,0.00,,
270.1337816,11:15:45,34.66,34.47,34.36,34.28,34.31,34.29,34.35,34.40,34.25,34.41,34.49,34.52,34.27,34.28,34.40,34.23,34.26,34.44,34.27,22.29,34.32,34.15,24.31,34.32,34.32,34.36,34.35,34.38,34.29,34.24,34.25,34.23,34.25,34.29,432.5,229.5,239.4,239.3,240.5,224.8,229.7,256.6,236.9,301.9,413.4,511.3,189.5,213.3,247.0,105.1,201.3,180.9,125.5,0.0,256.2,88.8,0.0,243.7,221.6,225.9,224.5,226.9,296.8,200.5,310.0,201.7,294.0,299.2,8.55,8.67,8.44,44.0,0.0,0.00,0.00,0.00,0.00,,
