[Test Data]
Format 2
Experiment Type:,dry
Test Date:,29/10/2018,10:29:45
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\NoWig_RadOff_wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0170974,10:30:15,33.95,33.23,33.94,33.98,33.95,33.95,33.96,34.01,33.95,33.99,33.92,33.90,33.95,33.52,33.97,33.97,33.98,33.98,33.97,20.78,33.99,33.99,23.55,33.99,33.99,33.99,33.98,33.99,33.99,33.99,33.97,33.98,33.96,33.99,749.4,417.6,388.9,357.0,389.8,350.1,370.6,394.6,358.5,465.0,743.4,896.3,319.1,360.9,427.8,210.6,333.0,287.2,243.3,0.0,357.6,158.1,0.0,334.2,376.4,381.9,358.8,389.0,429.4,334.3,440.0,334.5,408.5,419.3,8.85,8.93,8.76,43.3,0.0,0.00,0.00,0.00,0.00,,
60.0316414,10:30:45,33.94,33.27,33.95,33.97,33.97,33.95,33.96,34.00,33.95,33.97,33.93,33.90,33.96,33.54,33.99,33.98,33.99,33.98,33.97,20.80,33.97,33.99,23.53,33.99,33.97,34.01,33.97,33.99,33.97,33.97,33.99,33.98,33.95,33.98,754.0,428.1,389.3,358.0,389.2,351.4,370.6,394.6,359.2,465.0,741.8,897.7,318.5,365.6,424.2,208.5,332.2,288.3,246.4,0.0,359.0,159.4,0.0,334.9,371.4,378.4,360.4,389.5,430.6,336.5,439.1,333.9,411.2,421.8,8.83,8.93,8.73,43.3,0.0,0.00,0.00,0.00,0.00,,
90.0481885,10:31:15,33.95,33.33,33.95,33.97,33.97,33.96,33.96,34.00,33.98,34.00,33.96,33.98,33.94,33.61,33.98,34.00,33.99,33.99,33.98,20.79,34.00,34.00,23.54,33.99,33.99,34.00,33.99,33.99,34.01,33.99,33.99,33.99,33.98,33.96,756.4,432.9,388.8,358.4,388.6,352.1,371.5,395.6,355.2,463.8,740.2,886.7,320.9,365.9,427.9,205.5,331.4,286.4,244.3,0.0,352.2,156.3,0.0,336.2,375.4,378.6,357.7,387.8,429.6,333.7,436.4,334.3,412.6,421.0,8.81,8.92,8.70,43.2,0.0,0.00,0.00,0.00,0.00,,
120.0622288,10:31:45,33.95,33.39,33.95,33.98,33.97,33.96,33.96,34.00,33.97,33.98,33.92,33.97,33.96,33.68,33.96,33.99,34.00,33.99,34.00,20.80,34.01,34.00,23.53,33.99,33.98,33.97,33.98,33.99,33.98,33.98,33.97,33.99,34.00,33.98,754.3,439.5,389.6,357.7,389.8,352.4,372.1,394.5,355.2,465.2,746.9,888.5,320.6,364.8,428.5,207.5,331.2,288.0,245.3,0.0,355.7,158.5,0.0,335.6,375.6,377.1,358.9,389.3,432.3,334.0,441.0,334.9,408.0,421.5,8.80,8.92,8.68,43.3,0.0,0.00,0.00,0.00,0.00,,
150.0757944,10:32:15,33.96,33.44,33.95,33.97,33.96,33.96,33.96,33.98,33.98,33.99,33.95,33.97,33.97,33.69,33.99,33.98,34.00,33.98,33.99,20.80,33.98,33.99,23.53,33.98,33.98,33.99,33.98,33.99,33.99,34.01,33.99,33.98,33.99,33.98,756.8,443.9,390.3,358.9,390.0,353.3,372.1,395.9,354.7,465.2,743.5,890.8,320.9,368.2,426.0,205.8,331.3,288.5,244.5,0.0,361.1,158.8,0.0,337.1,380.4,379.5,358.9,389.7,435.3,333.8,438.1,336.3,410.2,422.3,8.79,8.91,8.66,43.2,0.0,0.00,0.00,0.00,0.00,,
180.0948438,10:32:45,33.95,33.52,33.97,33.98,33.98,33.96,33.97,34.00,33.99,34.00,33.97,34.04,33.97,33.74,33.97,34.00,33.99,33.99,34.00,20.78,34.00,34.01,23.54,33.99,34.00,34.01,34.00,33.99,34.00,33.99,33.99,33.99,33.99,33.98,756.4,445.4,389.9,359.7,390.9,353.8,372.6,396.3,351.9,463.8,740.2,875.5,321.1,367.9,429.6,203.4,331.0,287.4,242.7,0.0,358.0,157.6,0.0,337.3,371.8,375.8,358.7,389.8,430.9,332.2,440.0,336.7,413.0,422.2,8.79,8.92,8.66,43.2,0.0,0.00,0.00,0.00,0.00,,
210.1059013,10:33:15,33.97,33.59,33.97,33.98,33.98,33.96,33.96,33.98,34.00,33.99,33.96,33.97,33.96,33.80,33.97,34.04,34.00,33.98,33.98,20.79,33.99,34.01,23.54,33.99,34.01,33.99,33.99,33.99,33.97,33.98,33.98,33.98,33.97,34.00,755.5,444.8,390.2,358.6,391.0,354.2,373.1,397.5,353.9,464.6,743.7,887.5,320.5,361.5,428.4,201.8,331.3,287.7,242.7,0.0,358.1,156.7,0.0,336.3,382.7,376.9,359.5,390.7,433.7,334.6,442.7,336.4,408.7,422.3,8.78,8.92,8.63,43.3,0.0,0.00,0.00,0.00,0.00,,
240.1209628,10:33:45,33.98,33.62,33.97,33.98,33.96,33.97,33.98,33.99,33.97,33.99,33.99,33.95,33.97,33.80,33.99,34.00,33.99,33.98,34.00,20.80,33.99,33.99,23.53,33.99,33.99,33.98,34.00,34.00,34.00,33.97,33.99,33.99,33.98,34.01,756.4,447.3,390.9,358.9,391.4,353.4,372.3,397.2,354.8,463.7,739.0,892.8,320.2,367.9,429.2,203.9,330.2,288.4,243.0,0.0,354.9,158.0,0.0,336.2,379.5,373.9,357.7,390.5,433.2,340.0,444.0,335.9,415.2,422.1,8.77,8.91,8.62,43.4,0.0,0.00,0.00,0.00,0.00,,
270.1355047,10:34:15,33.97,33.67,33.98,33.98,33.98,33.98,33.97,33.99,34.00,34.00,33.97,33.98,33.97,33.85,33.99,33.98,33.99,33.98,34.01,20.79,34.01,34.00,23.52,33.99,33.97,34.00,33.99,34.00,33.98,33.98,33.99,33.98,33.98,33.99,757.2,448.7,390.0,360.1,392.3,352.9,373.0,397.1,352.4,463.9,743.5,891.4,320.1,364.0,428.0,207.2,332.2,287.5,243.8,0.0,357.8,156.5,0.0,337.3,380.5,374.0,361.7,388.4,430.6,338.6,445.9,336.8,413.5,423.0,8.77,8.92,8.63,43.4,0.0,0.00,0.00,0.00,0.00,,
