[Test Data]
Format 2
Experiment Type:,dry
Test Date:,28/10/2018,09:30:53
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\NoWig_RadOn_wind0_3 (run with new conditons).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0260408,09:31:23,34.01,34.70,34.05,34.11,34.04,34.04,34.04,34.04,34.03,34.00,34.05,34.11,34.04,34.34,33.97,33.99,33.98,34.01,34.01,23.93,34.02,34.01,24.31,33.99,34.04,34.03,34.06,34.01,33.98,33.98,33.98,34.02,34.02,34.01,364.9,131.5,238.9,253.9,238.0,260.2,241.4,271.6,247.5,296.5,380.9,404.7,193.7,161.2,270.7,131.9,225.9,185.7,112.4,134.3,268.8,102.6,137.8,268.1,223.2,214.1,240.7,238.2,331.2,271.7,328.6,273.7,330.4,323.6,1.66,1.05,2.28,44.3,0.0,0.00,0.00,0.00,0.00,,
60.0410412,09:31:53,34.11,34.78,34.19,34.30,34.24,34.17,34.21,34.23,34.23,34.18,34.29,34.18,34.21,34.42,34.10,34.15,34.20,34.16,34.13,25.08,34.18,34.22,25.41,34.15,34.19,34.13,34.20,34.14,34.18,34.15,34.13,34.18,34.18,34.17,421.0,184.3,297.2,303.7,291.5,311.4,290.9,319.6,305.1,345.6,430.8,483.6,252.1,220.7,328.3,192.1,276.9,228.1,161.8,314.1,317.5,158.3,294.8,322.6,278.1,262.2,304.1,295.4,387.8,328.0,388.8,329.5,382.6,372.3,1.73,1.08,2.38,44.1,0.0,0.00,0.00,0.00,0.00,,
90.0540353,09:32:23,34.41,35.00,34.48,34.60,34.55,34.47,34.51,34.54,34.57,34.50,34.67,34.46,34.50,34.63,34.36,34.46,34.55,34.43,34.49,26.29,34.43,34.56,26.60,34.41,34.48,34.40,34.51,34.42,34.46,34.47,34.43,34.46,34.51,34.48,454.7,218.1,335.8,335.1,324.3,348.7,326.1,352.9,337.0,378.0,456.5,538.4,290.6,264.8,372.7,231.4,308.7,257.1,203.5,366.2,353.5,192.6,346.7,362.0,317.0,307.5,342.8,336.4,433.2,374.1,417.7,367.8,415.4,407.9,1.77,1.10,2.45,43.8,0.0,0.00,0.00,0.00,0.00,,
120.0710245,09:32:53,34.72,35.28,34.83,34.97,34.93,34.81,34.89,34.90,34.96,34.88,35.09,34.89,34.85,34.95,34.71,34.85,34.98,34.76,34.84,27.48,34.77,34.96,27.80,34.77,34.87,34.71,34.85,34.76,34.81,34.81,34.84,34.82,34.84,34.85,487.7,240.5,361.7,350.9,344.3,373.6,347.4,369.9,351.5,398.1,469.5,555.6,314.1,288.6,400.5,248.6,321.5,276.0,223.2,394.5,376.1,208.3,371.3,386.2,334.5,331.8,363.1,364.7,464.5,392.6,435.5,388.4,441.8,430.6,1.80,1.10,2.50,43.6,0.0,0.00,0.00,0.00,0.00,,
150.0850192,09:33:23,35.14,35.57,35.21,35.33,35.31,35.18,35.27,35.26,35.34,35.24,35.47,35.31,35.21,35.29,35.05,35.27,35.38,35.14,35.23,28.65,35.13,35.33,28.95,35.13,35.24,35.05,35.23,35.13,35.13,35.20,35.20,35.21,35.21,35.20,492.9,255.8,373.4,362.5,353.5,389.9,355.5,380.5,357.7,407.4,472.5,563.1,329.3,304.7,417.9,254.8,326.2,286.6,233.2,402.3,388.8,218.7,378.8,398.1,345.8,346.4,374.2,378.9,484.2,410.3,448.5,401.1,450.2,445.3,1.81,1.10,2.52,43.5,0.0,0.00,0.00,0.00,0.00,,
180.0985199,09:33:53,35.48,35.87,35.57,35.70,35.67,35.54,35.65,35.63,35.70,35.60,35.81,35.69,35.59,35.65,35.46,35.66,35.75,35.52,35.60,29.70,35.49,35.71,29.97,35.48,35.61,35.44,35.59,35.51,35.52,35.60,35.57,35.61,35.57,35.57,505.0,263.3,380.5,367.5,358.7,395.1,358.1,384.0,362.6,413.2,475.4,561.2,334.6,308.6,424.3,253.4,326.6,288.0,232.7,399.0,398.5,219.7,375.9,404.1,360.0,353.8,377.3,384.9,496.5,416.4,452.2,404.5,459.3,448.2,1.81,1.07,2.54,43.4,0.0,0.00,0.00,0.00,0.00,,
210.1140265,09:34:23,35.81,36.15,35.91,36.02,36.00,35.88,35.98,35.97,36.03,35.91,36.13,36.02,35.94,35.97,35.81,36.04,36.11,35.89,35.95,30.69,35.84,36.05,30.94,35.83,35.95,35.77,35.95,35.86,35.89,35.92,35.92,35.96,35.93,35.93,512.8,265.9,383.2,365.5,359.4,397.5,358.2,385.0,361.4,417.6,474.2,560.3,336.7,311.3,425.9,248.3,320.3,286.5,230.6,394.4,403.1,218.4,365.5,407.4,356.6,354.3,380.4,385.1,493.8,411.6,453.3,403.0,452.6,449.4,1.80,1.05,2.54,43.3,0.0,0.00,0.00,0.00,0.00,,
240.1270235,09:34:53,36.11,36.45,36.22,36.34,36.28,36.22,36.29,36.28,36.33,36.21,36.41,36.34,36.27,36.30,36.17,36.36,36.43,36.27,36.25,31.56,36.21,36.38,31.77,36.17,36.28,36.14,36.30,36.22,36.13,36.24,36.25,36.28,36.29,36.25,514.1,262.3,382.5,363.1,359.4,395.1,356.4,381.7,360.0,416.3,473.5,555.7,330.5,307.9,421.0,244.3,315.0,282.6,230.6,372.9,397.5,210.9,349.3,404.0,347.7,353.5,375.4,378.8,489.2,411.9,447.7,399.4,454.3,446.0,1.78,1.02,2.54,43.4,0.0,0.00,0.00,0.00,0.00,,
270.1430246,09:35:23,36.39,36.73,36.51,36.60,36.59,36.50,36.55,36.56,36.62,36.53,36.66,36.65,36.56,36.58,36.49,36.66,36.70,36.59,36.59,32.29,36.47,36.66,32.51,36.48,36.58,36.44,36.58,36.52,36.43,36.56,36.54,36.57,36.58,36.54,512.6,258.1,376.7,358.3,356.0,390.8,352.2,380.2,353.9,410.0,474.7,539.1,323.6,302.6,413.6,236.2,308.4,275.7,226.8,359.3,393.5,204.7,333.9,397.5,350.1,352.2,365.9,372.5,493.2,404.6,443.9,391.0,447.7,439.3,1.77,1.00,2.54,43.5,0.0,0.00,0.00,0.00,0.00,,
