[Test Data]
Format 2
Experiment Type:,dry
Test Date:,29/10/2018,08:05:17
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\NoWig_RadOn_wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0075708,08:05:47,33.22,33.92,33.69,33.80,33.71,33.83,33.78,33.67,33.75,33.64,33.54,33.28,33.73,34.04,33.56,33.88,33.80,33.80,33.89,26.21,33.82,33.92,26.42,33.81,33.73,33.65,33.74,33.64,33.61,33.91,33.60,33.88,33.72,33.70,441.4,93.6,233.7,225.5,228.9,220.7,218.5,248.3,229.7,287.9,399.6,510.6,197.2,138.6,262.2,117.5,188.9,155.2,101.0,0.0,217.7,79.5,0.0,206.2,211.2,230.8,216.6,233.6,306.8,201.7,303.6,207.6,285.4,293.7,9.58,9.20,9.94,43.1,0.0,0.00,0.00,0.00,0.00,,
60.0226051,08:06:17,33.23,33.91,33.67,33.79,33.71,33.84,33.74,33.63,33.79,33.70,33.50,33.50,33.74,34.03,33.55,33.87,33.79,33.80,33.91,26.18,33.78,33.90,26.43,33.81,33.75,33.63,33.74,33.64,33.59,33.93,33.62,33.90,33.72,33.71,450.3,95.7,244.3,233.1,235.6,220.2,228.1,260.4,228.3,287.3,423.4,486.8,201.8,141.0,272.4,119.3,194.8,159.4,101.8,0.0,224.5,83.7,0.0,212.6,224.2,237.0,221.5,241.9,317.0,203.6,306.3,206.6,288.5,296.7,9.47,9.09,9.80,43.6,0.0,0.00,0.00,0.00,0.00,,
90.0381281,08:06:47,33.28,33.90,33.68,33.79,33.73,33.86,33.73,33.63,33.83,33.74,33.52,33.67,33.75,34.03,33.61,33.87,33.81,33.81,33.90,26.16,33.79,33.92,26.42,33.80,33.76,33.62,33.73,33.65,33.62,33.87,33.63,33.90,33.71,33.74,461.5,99.5,250.1,237.5,241.9,220.7,237.1,269.5,226.0,287.0,434.5,464.7,205.6,139.9,276.5,122.9,198.9,159.9,105.2,0.0,231.4,86.7,0.0,215.8,224.0,245.5,227.0,248.3,319.3,210.7,310.7,210.4,292.7,299.2,9.32,8.97,9.62,43.9,0.0,0.00,0.00,0.00,0.00,,
120.0521462,08:07:17,33.34,33.92,33.70,33.79,33.75,33.86,33.74,33.66,33.84,33.76,33.61,33.73,33.78,34.00,33.65,33.87,33.82,33.82,33.92,26.12,33.81,33.92,26.40,33.80,33.74,33.64,33.79,33.66,33.62,33.89,33.67,33.90,33.74,33.76,465.7,99.8,254.4,243.2,245.5,223.0,241.1,273.6,227.0,288.2,431.1,458.8,205.3,140.6,278.3,125.5,201.0,161.9,110.8,0.0,231.9,85.4,0.0,221.3,226.4,253.3,225.7,254.2,329.1,211.2,312.1,212.8,299.8,300.0,9.17,8.85,9.46,44.0,0.0,0.00,0.00,0.00,0.00,,
150.0656887,08:07:47,33.50,33.93,33.73,33.83,33.77,33.86,33.79,33.70,33.85,33.77,33.70,33.71,33.80,34.01,33.67,33.91,33.84,33.84,33.92,26.04,33.81,33.92,26.40,33.82,33.76,33.68,33.77,33.72,33.69,33.92,33.71,33.92,33.78,33.78,459.3,98.9,256.4,241.6,245.8,225.6,241.1,274.6,229.5,291.4,427.5,467.4,207.8,140.8,281.3,124.8,202.1,163.6,105.6,0.0,236.8,87.6,0.0,221.9,227.7,251.4,229.4,253.9,325.3,210.0,315.3,212.4,300.7,304.1,9.09,8.77,9.40,44.3,0.0,0.00,0.00,0.00,0.00,,
180.080718,08:08:17,33.56,33.95,33.79,33.86,33.82,33.87,33.85,33.77,33.84,33.75,33.78,33.63,33.82,34.02,33.73,33.93,33.86,33.83,33.93,26.06,33.83,33.95,26.36,33.85,33.84,33.73,33.80,33.77,33.77,33.90,33.75,33.94,33.78,33.80,455.1,99.2,253.6,243.0,246.3,227.9,236.4,271.5,236.3,299.3,415.8,491.9,207.9,143.7,282.5,121.4,203.2,165.1,109.7,0.0,236.6,83.6,0.0,224.0,232.3,252.3,231.9,252.3,325.7,208.0,313.1,212.0,299.8,309.2,9.07,8.76,9.40,44.1,0.0,0.00,0.00,0.00,0.00,,
210.0947567,08:08:47,33.69,33.98,33.85,33.89,33.85,33.89,33.90,33.82,33.85,33.78,33.84,33.65,33.87,34.01,33.82,33.95,33.90,33.86,33.93,26.03,33.83,33.96,26.35,33.87,33.87,33.79,33.84,33.83,33.81,33.92,33.80,33.95,33.84,33.84,448.6,94.3,246.9,241.1,243.3,227.8,231.5,269.1,237.7,302.4,412.9,497.7,205.3,141.0,274.6,120.8,200.4,166.3,113.9,0.0,233.0,82.7,0.0,222.2,229.0,251.8,232.5,248.5,320.6,211.9,311.3,212.7,304.4,308.6,9.13,8.80,9.48,43.6,0.0,0.00,0.00,0.00,0.00,,
240.110785,08:09:17,33.78,34.02,33.91,33.93,33.87,33.91,33.95,33.90,33.87,33.80,33.93,33.65,33.91,34.02,33.89,33.97,33.93,33.87,33.92,26.00,33.86,33.98,26.32,33.90,33.89,33.84,33.88,33.88,33.87,33.97,33.84,33.95,33.88,33.85,443.7,91.2,241.2,237.2,245.1,228.4,226.2,260.7,238.6,303.0,398.6,512.9,202.2,139.0,269.1,118.7,197.8,165.9,110.0,0.0,241.6,79.8,0.0,221.4,229.4,240.0,232.8,244.7,315.9,209.1,312.2,209.2,296.2,309.5,9.23,8.87,9.62,43.3,0.0,0.00,0.00,0.00,0.00,,
270.1243204,08:09:47,33.83,34.04,33.94,33.97,33.91,33.93,33.98,33.92,33.88,33.82,33.96,33.71,33.96,34.02,33.93,33.98,33.95,33.92,33.95,26.02,33.93,33.98,26.30,33.91,33.94,33.88,33.91,33.91,33.88,33.97,33.88,33.97,33.89,33.89,441.5,87.3,238.7,234.8,242.6,226.1,223.6,259.9,238.5,304.6,394.4,511.7,197.6,137.5,263.2,116.4,195.7,164.9,110.3,0.0,235.8,80.4,0.0,221.4,221.9,244.7,227.6,243.2,315.3,206.3,308.5,210.7,300.4,305.1,9.36,8.97,9.77,42.6,0.0,0.00,0.00,0.00,0.00,,
