[Test Data]
Format 2
Experiment Type:,dry
Test Date:,29/10/2018,09:15:54
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round2\NoWig_RadOn_wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0076269,09:16:24,32.73,33.08,33.37,33.51,33.37,33.43,33.38,33.33,33.46,33.22,32.87,32.17,33.48,33.24,33.26,33.58,33.53,33.56,33.52,24.99,33.57,33.72,25.88,33.57,33.39,33.32,33.41,33.30,33.45,33.43,33.44,33.40,33.52,33.54,661.4,238.3,350.2,319.9,355.9,316.2,330.0,366.5,322.4,420.0,677.1,890.4,284.4,262.2,380.4,185.0,282.5,207.4,191.1,0.0,286.0,128.4,0.0,279.2,345.5,347.4,327.2,348.5,398.1,305.1,411.1,325.5,378.1,378.8,9.61,9.42,9.78,43.0,0.0,0.00,0.00,0.00,0.00,,
60.0227014,09:16:54,32.75,33.10,33.35,33.50,33.39,33.43,33.38,33.30,33.45,33.19,32.95,32.31,33.47,33.29,33.28,33.57,33.52,33.48,33.55,24.79,33.55,33.71,25.76,33.54,33.37,33.27,33.39,33.28,33.41,33.46,33.46,33.42,33.49,33.51,685.8,256.8,367.1,331.7,366.6,327.4,340.6,385.3,335.4,441.6,695.1,903.7,297.7,273.2,391.0,191.7,293.3,223.1,203.9,0.0,300.1,138.1,0.0,288.8,348.2,365.8,340.8,365.8,414.8,316.7,421.4,334.2,387.1,391.5,9.51,9.36,9.65,43.1,0.0,0.00,0.00,0.00,0.00,,
90.0377558,09:17:24,32.82,33.15,33.37,33.53,33.42,33.45,33.40,33.33,33.49,33.22,33.05,32.56,33.49,33.36,33.32,33.60,33.53,33.44,33.54,24.56,33.55,33.74,25.65,33.54,33.44,33.33,33.42,33.31,33.46,33.50,33.49,33.47,33.50,33.53,702.2,267.0,377.4,338.2,375.1,337.2,349.5,396.8,344.8,455.6,703.6,901.0,305.7,277.2,399.6,198.6,302.0,235.3,209.3,0.0,306.8,140.5,0.0,299.0,355.1,373.5,352.4,377.4,424.9,319.2,427.8,336.9,395.5,401.7,9.45,9.32,9.58,43.1,0.0,0.00,0.00,0.00,0.00,,
120.0508101,09:17:55,32.92,33.23,33.43,33.56,33.47,33.49,33.46,33.39,33.54,33.29,33.19,32.85,33.56,33.43,33.38,33.62,33.59,33.44,33.57,24.39,33.55,33.76,25.54,33.57,33.44,33.39,33.47,33.39,33.53,33.57,33.55,33.56,33.57,33.56,716.6,272.4,383.3,343.1,378.9,341.6,354.4,400.1,347.1,463.3,703.2,882.9,310.2,279.0,403.5,201.6,306.8,242.9,216.9,0.0,314.8,139.8,0.0,304.7,360.2,378.6,359.2,381.4,424.6,319.4,428.4,334.4,400.1,405.8,9.47,9.36,9.60,42.8,0.0,0.00,0.00,0.00,0.00,,
150.06535,09:18:25,33.06,33.33,33.48,33.62,33.53,33.55,33.51,33.45,33.60,33.36,33.31,33.08,33.60,33.51,33.47,33.68,33.63,33.47,33.63,24.22,33.59,33.78,25.44,33.59,33.49,33.46,33.50,33.44,33.62,33.63,33.60,33.61,33.59,33.59,718.6,274.7,387.7,345.5,382.4,344.5,358.0,403.5,349.7,467.0,703.6,870.2,312.4,281.2,405.2,202.0,308.8,250.9,218.2,0.0,318.8,145.8,0.0,308.6,362.7,383.0,362.2,386.8,426.0,321.5,431.4,340.7,402.6,409.4,9.54,9.43,9.68,42.4,0.0,0.00,0.00,0.00,0.00,,
180.0813883,09:18:55,33.17,33.40,33.55,33.66,33.57,33.60,33.57,33.52,33.64,33.43,33.39,33.21,33.66,33.59,33.52,33.71,33.66,33.49,33.68,24.06,33.63,33.81,25.37,33.63,33.59,33.53,33.57,33.51,33.62,33.69,33.68,33.66,33.65,33.63,720.3,276.4,389.2,346.3,386.3,346.7,360.4,405.5,350.7,469.9,704.3,865.3,312.7,280.0,406.9,204.5,311.2,257.5,222.5,0.0,321.9,143.1,0.0,310.6,363.1,383.6,364.0,389.2,424.3,319.4,432.2,336.5,406.0,415.1,9.62,9.50,9.76,42.0,0.0,0.00,0.00,0.00,0.00,,
210.0949204,09:19:25,33.28,33.49,33.60,33.70,33.63,33.66,33.62,33.58,33.70,33.50,33.47,33.31,33.70,33.68,33.58,33.76,33.70,33.52,33.70,23.90,33.66,33.85,25.29,33.67,33.58,33.62,33.62,33.60,33.69,33.72,33.71,33.71,33.68,33.68,721.2,277.3,391.4,346.5,386.1,347.3,362.5,405.8,352.7,472.3,708.0,869.9,312.8,274.8,408.4,202.5,312.3,261.0,224.9,0.0,325.6,143.8,0.0,312.3,368.1,381.0,366.7,387.9,425.5,318.7,433.7,337.7,404.6,416.9,9.69,9.55,9.83,41.9,0.0,0.00,0.00,0.00,0.00,,
240.1109637,09:19:55,33.38,33.57,33.66,33.74,33.67,33.70,33.67,33.64,33.73,33.56,33.55,33.45,33.74,33.69,33.64,33.77,33.74,33.57,33.70,23.78,33.69,33.85,25.21,33.70,33.66,33.63,33.67,33.63,33.72,33.76,33.74,33.75,33.73,33.73,723.1,276.5,392.1,347.2,385.8,348.0,363.3,406.7,350.0,473.2,706.5,862.1,312.2,277.6,409.2,206.7,315.2,264.1,232.6,0.0,327.4,146.5,0.0,314.4,368.2,383.9,366.0,389.4,428.2,321.5,431.6,336.1,407.5,415.3,9.71,9.57,9.84,41.7,0.0,0.00,0.00,0.00,0.00,,
270.1255006,09:20:25,33.46,33.62,33.69,33.77,33.72,33.73,33.71,33.69,33.76,33.61,33.59,33.47,33.77,33.75,33.69,33.80,33.77,33.60,33.75,23.62,33.73,33.87,25.14,33.71,33.74,33.68,33.69,33.67,33.73,33.78,33.78,33.79,33.73,33.75,723.8,278.6,393.4,348.8,388.6,349.2,364.8,406.8,352.7,474.4,706.1,868.0,312.7,276.2,408.4,209.3,315.0,268.5,233.7,0.0,330.8,149.6,0.0,317.9,371.2,386.0,368.7,392.2,428.1,321.4,435.1,337.2,405.9,417.4,9.69,9.55,9.83,41.7,0.0,0.00,0.00,0.00,0.00,,
300.138534,09:20:55,33.54,33.70,33.73,33.79,33.76,33.77,33.74,33.70,33.80,33.65,33.64,33.49,33.79,33.79,33.74,33.86,33.79,33.64,33.78,23.46,33.74,33.89,25.07,33.75,33.75,33.71,33.72,33.71,33.77,33.80,33.77,33.85,33.78,33.78,722.5,274.6,394.6,351.4,388.8,348.8,365.8,411.6,352.9,477.2,709.0,878.8,313.0,274.5,406.3,205.8,315.6,268.3,230.0,0.0,330.0,146.6,0.0,319.3,373.3,388.1,368.3,394.0,429.2,324.6,435.0,332.5,410.4,419.0,9.64,9.52,9.74,41.8,0.0,0.00,0.00,0.00,0.00,,
330.1530555,09:21:25,33.59,33.74,33.75,33.81,33.80,33.79,33.76,33.72,33.82,33.68,33.68,33.53,33.81,33.83,33.77,33.87,33.81,33.67,33.80,23.36,33.77,33.89,25.00,33.78,33.76,33.75,33.76,33.74,33.78,33.83,33.82,33.83,33.82,33.80,725.9,275.5,396.5,353.2,388.6,352.4,367.7,413.3,354.7,478.5,711.6,885.6,313.8,277.0,408.6,206.6,317.4,272.0,231.4,0.0,332.9,150.5,0.0,319.7,372.1,388.2,372.2,394.6,427.4,325.4,435.7,338.0,413.0,420.3,9.56,9.47,9.64,41.9,0.0,0.00,0.00,0.00,0.00,,
360.167597,09:21:55,33.63,33.77,33.80,33.83,33.80,33.81,33.79,33.76,33.83,33.71,33.71,33.59,33.85,33.83,33.79,33.88,33.83,33.71,33.82,23.23,33.79,33.91,24.94,33.79,33.81,33.76,33.77,33.76,33.81,33.84,33.82,33.85,33.81,33.82,725.1,275.2,394.9,353.8,389.5,350.3,368.6,415.2,354.9,478.6,714.6,890.3,313.5,276.2,410.4,205.2,320.3,273.3,231.4,0.0,334.5,153.0,0.0,322.9,372.7,390.3,372.6,397.1,434.1,323.2,436.1,335.1,411.7,418.1,9.48,9.39,9.54,42.1,0.0,0.00,0.00,0.00,0.00,,
