[Test Data]
Format 2
Experiment Type:,dry
Test Date:,31/10/2018,15:41:56
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\HighCurv_RadOff_Wind0.3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0249339,15:42:26,37.93,37.94,37.92,37.96,37.94,37.96,37.93,37.95,37.95,37.97,37.86,37.87,37.95,37.54,37.97,37.97,37.98,38.00,38.01,37.24,38.00,38.00,37.27,38.00,37.99,37.99,38.00,37.98,37.97,37.98,37.95,37.97,37.96,37.99,381.4,100.6,273.9,280.7,271.9,284.4,281.2,293.6,279.2,332.5,459.2,495.5,220.7,265.8,292.5,136.0,241.1,143.3,89.6,199.1,268.5,72.9,169.3,251.4,252.0,234.6,243.8,257.5,354.9,288.4,363.8,310.3,371.2,360.1,1.78,1.76,1.79,48.5,0.0,0.00,0.00,0.00,0.00,,
60.0383087,15:42:56,37.93,37.94,37.92,37.95,37.93,37.95,37.92,37.95,37.95,37.95,37.90,37.88,37.95,37.55,37.98,37.97,37.96,38.01,38.00,37.29,37.99,38.00,37.27,38.00,37.99,38.00,37.98,38.00,37.96,37.96,37.97,37.97,38.01,37.99,383.2,101.7,277.0,283.5,274.7,287.6,283.9,295.0,279.3,336.8,455.0,497.9,222.3,274.0,292.3,136.3,243.8,143.0,84.3,169.9,269.9,71.8,138.7,253.0,249.2,233.2,242.7,257.5,356.7,295.3,361.5,312.7,365.7,358.7,1.72,1.72,1.71,48.4,0.0,0.00,0.00,0.00,0.00,,
90.0526787,15:43:26,37.93,37.94,37.93,37.94,37.94,37.95,37.92,37.97,37.95,37.95,37.93,37.91,37.95,37.61,37.99,37.97,37.97,38.00,38.00,37.21,37.97,38.01,37.18,37.99,37.98,37.99,37.99,38.00,37.95,38.01,37.98,37.99,37.96,37.98,383.6,105.8,277.0,286.0,276.8,288.0,285.5,293.6,282.7,336.6,453.1,495.0,223.8,275.6,291.6,138.2,245.3,143.8,90.7,147.7,270.0,71.7,122.0,252.3,250.6,232.1,242.6,256.2,354.3,294.6,362.2,313.0,370.3,359.7,1.67,1.67,1.65,48.5,0.0,0.00,0.00,0.00,0.00,,
120.0680398,15:43:56,37.95,37.93,37.94,37.97,37.96,37.97,37.95,37.98,37.97,37.97,37.96,37.97,37.96,37.67,37.99,37.97,37.98,38.00,37.99,37.12,37.97,38.00,37.09,38.00,37.98,38.00,38.01,38.00,38.00,38.01,38.00,37.99,37.98,37.97,382.4,105.6,278.3,282.6,274.4,287.1,285.0,290.8,280.7,334.5,448.1,487.4,224.6,276.8,289.9,137.7,243.2,143.9,88.7,135.0,269.8,72.8,110.4,251.0,249.5,232.5,241.6,256.4,350.3,290.1,360.2,310.2,371.6,358.0,1.62,1.63,1.60,48.8,0.0,0.00,0.00,0.00,0.00,,
150.0818842,15:44:26,37.96,37.93,37.96,37.97,37.96,37.97,37.94,37.99,37.98,37.98,37.98,37.98,37.97,37.72,38.00,37.99,37.99,37.99,38.01,36.99,38.00,38.00,36.92,38.00,37.99,37.99,38.01,38.01,38.02,37.97,38.00,37.98,37.99,37.99,379.5,105.9,276.7,283.6,273.5,287.5,286.2,290.8,280.0,334.3,443.0,485.0,224.4,276.7,289.0,136.5,241.7,144.3,85.2,126.4,268.1,73.8,105.2,250.8,249.1,234.6,241.5,256.4,349.6,296.0,359.9,310.5,363.1,357.6,1.57,1.59,1.55,49.0,0.0,0.00,0.00,0.00,-0.30,,
180.0982767,15:44:56,37.96,37.92,37.95,37.96,37.96,37.97,37.93,38.00,37.97,37.98,37.96,37.98,37.97,37.75,38.00,37.98,37.98,37.99,37.98,36.88,38.00,38.02,36.82,37.99,38.00,38.00,38.00,38.01,38.00,38.00,37.99,37.99,37.97,37.99,381.0,110.1,277.8,285.7,275.2,288.7,288.1,290.9,279.5,334.7,447.3,484.9,224.1,277.1,289.3,137.2,244.7,145.0,88.2,122.0,268.2,72.0,103.0,252.6,251.0,233.9,243.7,255.2,352.8,297.0,364.4,310.9,363.1,357.5,1.54,1.57,1.50,49.1,0.0,0.00,0.00,0.00,0.00,,
210.1116409,15:45:26,37.97,37.94,37.95,37.98,37.98,37.98,37.92,38.00,37.99,38.00,37.97,38.01,37.96,37.77,38.01,37.98,37.99,37.99,38.00,36.78,38.00,38.00,36.72,38.00,38.00,38.00,38.00,37.98,38.02,37.99,37.99,37.98,37.99,37.99,382.8,109.3,280.5,283.7,273.6,286.8,291.1,290.3,279.6,332.9,447.6,484.0,225.3,281.1,288.4,137.6,242.0,146.0,89.8,119.1,270.1,74.4,101.2,250.7,248.7,234.0,243.2,258.3,356.9,294.6,364.8,312.1,365.9,355.2,1.50,1.53,1.46,49.0,0.0,0.00,0.00,0.00,0.00,,
240.1265612,15:45:56,37.97,37.95,37.96,38.00,37.97,37.96,37.95,38.00,37.97,37.98,37.97,37.97,37.97,37.80,37.98,37.99,37.99,37.98,38.00,36.67,38.01,38.01,36.60,37.99,37.98,37.99,37.99,37.98,38.01,37.98,38.00,37.97,38.02,38.01,383.2,109.8,278.1,280.9,274.1,289.4,287.4,289.8,279.2,336.6,447.0,489.3,226.0,279.0,291.9,138.5,242.8,146.1,87.8,117.5,267.8,73.1,101.9,253.1,251.0,236.0,245.0,258.6,354.6,294.9,364.4,312.7,360.6,353.5,1.47,1.50,1.43,49.2,0.0,0.00,0.00,0.00,0.00,,
270.1399919,15:46:26,37.98,37.95,37.98,37.99,37.98,37.98,37.97,38.01,38.00,38.01,37.99,38.02,37.98,37.83,38.01,37.98,38.00,37.98,38.00,36.57,38.02,37.99,36.51,37.99,38.00,37.99,38.00,37.99,38.00,37.98,38.02,38.00,38.01,38.01,383.2,111.4,277.8,281.8,276.0,288.1,287.5,289.1,279.4,332.5,443.7,483.2,226.3,279.6,288.4,136.0,241.1,147.1,90.9,117.0,268.5,71.4,101.7,252.8,252.6,236.1,243.6,257.7,348.1,290.8,359.6,309.3,362.7,354.7,1.44,1.46,1.42,49.4,0.0,0.00,0.00,0.00,0.00,,
