[Test Data]
Format 2
Experiment Type:,dry
Test Date:,30/10/2018,12:35:09
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\HighCurv_RadOff_Wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0092683,12:35:39,33.82,33.93,33.89,33.93,33.90,33.92,33.91,33.92,33.93,33.94,33.80,33.66,33.89,33.54,33.88,33.94,33.96,33.99,33.97,25.67,33.97,33.96,26.43,33.99,33.93,33.91,33.94,33.92,33.88,33.98,33.89,33.97,33.93,33.95,367.2,77.5,234.4,233.3,238.8,218.0,221.7,257.5,220.6,274.5,405.2,475.6,195.2,209.4,261.7,115.7,190.8,153.1,101.9,0.0,219.4,82.2,0.0,216.0,213.1,222.2,213.4,226.6,294.8,194.0,300.2,197.3,282.1,282.2,9.24,9.27,9.20,41.8,0.0,0.00,0.00,0.00,0.00,,
60.0225565,12:36:09,33.82,33.91,33.89,33.91,33.91,33.92,33.91,33.91,33.92,33.93,33.83,33.72,33.89,33.56,33.87,33.93,33.95,33.96,33.95,25.65,34.01,33.98,26.43,33.97,33.92,33.91,33.94,33.91,33.90,33.98,33.88,33.98,33.95,33.91,372.4,80.8,237.0,235.7,241.0,219.1,227.4,261.0,223.2,278.8,407.1,474.0,198.6,217.6,264.5,118.4,192.5,154.8,106.9,0.0,224.0,82.0,0.0,219.4,219.6,228.1,219.5,227.8,295.3,194.2,303.0,200.2,283.2,285.7,9.20,9.25,9.15,41.8,0.0,0.00,0.00,0.00,0.00,,
90.0373081,12:36:39,33.83,33.91,33.90,33.92,33.91,33.92,33.92,33.91,33.91,33.92,33.84,33.75,33.90,33.62,33.88,33.95,33.96,33.96,33.95,25.69,33.98,33.98,26.43,33.96,33.92,33.90,33.91,33.92,33.90,33.97,33.90,33.96,33.89,33.93,375.0,83.2,238.6,240.3,242.2,221.7,227.7,262.6,225.9,281.2,408.7,474.7,201.5,219.4,266.6,118.7,193.5,155.8,108.0,0.0,229.7,83.4,0.0,220.4,216.3,220.3,219.0,231.9,300.9,198.4,305.4,200.0,285.6,287.0,9.17,9.23,9.11,41.9,0.0,0.00,0.00,0.00,0.00,,
120.0515438,12:37:09,33.85,33.90,33.90,33.91,33.91,33.91,33.93,33.92,33.91,33.91,33.86,33.72,33.91,33.67,33.89,33.93,33.96,33.94,33.97,25.69,33.97,33.97,26.42,33.96,33.92,33.91,33.92,33.91,33.91,33.96,33.91,33.96,33.90,33.92,376.9,85.2,240.1,240.9,246.0,223.6,228.0,264.0,230.1,283.7,410.6,485.7,202.8,220.0,267.1,119.5,194.8,157.5,112.7,0.0,229.4,83.8,0.0,223.2,219.3,229.4,223.6,233.4,303.9,201.5,308.1,199.6,293.0,291.0,9.15,9.22,9.09,41.9,0.0,0.00,0.00,0.00,0.00,,
150.0667672,12:37:39,33.85,33.90,33.90,33.92,33.91,33.91,33.93,33.91,33.92,33.92,33.88,33.81,33.90,33.69,33.89,33.94,33.96,33.94,33.96,25.68,33.97,33.98,26.43,33.96,33.94,33.88,33.93,33.91,33.93,33.98,33.90,33.97,33.95,33.92,377.7,86.4,241.2,242.5,247.5,226.4,227.7,266.2,229.6,286.5,410.8,480.6,203.4,221.9,269.5,120.7,196.6,159.3,114.2,0.0,233.0,83.5,0.0,224.8,223.7,233.7,227.2,234.2,299.3,194.4,308.1,202.6,288.9,292.9,9.15,9.22,9.06,41.9,0.0,0.00,0.00,0.00,0.00,,
180.0964948,12:38:09,33.88,33.92,33.91,33.92,33.92,33.93,33.94,33.93,33.95,33.94,33.90,33.87,33.92,33.74,33.89,33.96,33.95,33.95,33.97,25.68,33.93,33.99,26.42,33.96,33.94,33.94,33.94,33.93,33.91,33.96,33.93,33.98,33.92,33.93,377.3,88.4,243.2,242.5,248.3,225.9,230.9,266.6,230.7,284.7,408.9,472.9,203.8,223.5,269.8,119.1,197.0,161.5,108.8,0.0,235.9,85.1,0.0,225.9,222.7,235.6,223.2,233.7,301.9,197.8,308.3,201.1,290.2,290.0,9.12,9.20,9.04,42.2,0.0,0.00,0.00,0.00,0.00,,
210.111248,12:38:39,33.88,33.92,33.92,33.93,33.93,33.93,33.96,33.94,33.94,33.93,33.91,33.86,33.92,33.78,33.92,33.97,33.95,33.93,33.97,25.67,33.98,33.99,26.41,33.96,33.93,33.94,33.93,33.93,33.93,33.97,33.93,33.99,33.93,33.95,379.6,88.4,242.4,243.7,248.5,227.2,228.7,266.9,232.3,286.2,408.7,476.1,205.5,220.6,269.6,119.2,198.1,161.2,109.6,0.0,236.1,84.1,0.0,226.0,226.5,234.7,225.4,235.3,308.5,194.7,310.1,201.0,289.9,291.8,9.12,9.20,9.04,42.2,0.0,0.00,0.00,0.00,0.00,,
240.1254285,12:39:09,33.92,33.93,33.95,33.94,33.95,33.94,33.96,33.95,33.95,33.95,33.94,33.89,33.94,33.83,33.93,33.96,33.96,33.94,33.96,25.66,33.96,33.99,26.41,33.97,33.97,33.93,33.94,33.94,33.94,33.96,33.95,33.98,33.97,33.94,376.6,90.6,242.2,244.4,247.0,227.9,229.2,266.7,232.5,286.3,407.1,479.5,205.8,220.2,267.7,120.1,197.4,161.8,113.4,0.0,233.1,83.4,0.0,226.2,214.9,230.4,226.8,235.7,302.4,201.1,309.4,202.4,287.7,293.7,9.12,9.18,9.05,42.5,0.0,0.00,0.00,0.00,0.00,,
270.15616,12:39:39,33.92,33.94,33.96,33.96,33.97,33.96,33.97,33.97,33.95,33.95,33.97,33.90,33.96,33.85,33.95,33.97,33.98,33.95,33.99,25.67,33.94,33.99,26.41,33.97,34.00,33.97,33.96,33.95,33.96,34.00,33.96,33.98,33.96,33.95,377.2,89.4,239.7,241.6,245.2,227.2,226.7,265.1,232.8,287.2,402.2,480.1,205.1,220.9,265.8,118.3,196.0,162.8,112.8,0.0,235.9,82.9,0.0,226.9,220.3,234.2,225.1,234.7,304.5,199.9,309.6,203.4,283.5,293.2,9.14,9.21,9.09,42.7,0.0,0.00,0.00,0.00,0.00,,
