[Test Data]
Format 2
Experiment Type:,dry
Test Date:,30/10/2018,13:41:41
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\HighCurv_RadOff_Wind2.5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.020856,13:42:11,33.13,33.63,33.42,33.59,33.47,33.53,33.48,33.42,33.55,33.33,33.19,32.82,33.55,33.46,33.39,33.65,33.59,33.48,33.61,24.52,33.62,33.79,25.60,33.58,33.46,33.46,33.47,33.39,33.55,33.57,33.58,33.54,33.56,33.55,609.0,170.7,382.6,355.2,403.6,337.7,361.3,405.7,355.5,448.4,684.0,892.1,327.9,378.8,406.0,199.7,300.1,239.2,205.3,0.0,317.3,137.1,0.0,313.4,359.6,371.6,350.7,385.4,423.1,320.7,414.4,339.0,389.2,398.5,9.34,9.48,9.20,40.0,0.0,0.00,0.00,0.00,0.00,,
60.0376642,13:42:41,33.19,33.67,33.46,33.63,33.51,33.56,33.53,33.46,33.60,33.39,33.29,32.99,33.61,33.52,33.44,33.66,33.62,33.47,33.64,24.34,33.61,33.81,25.52,33.60,33.50,33.47,33.48,33.44,33.55,33.62,33.60,33.59,33.59,33.59,616.2,171.9,389.5,360.2,409.6,342.9,364.8,410.4,362.0,456.1,686.3,895.4,332.9,382.3,411.9,204.1,302.6,246.3,210.4,0.0,321.0,137.4,0.0,321.0,368.3,378.8,358.1,393.8,429.1,329.6,420.8,342.7,396.4,401.0,9.32,9.46,9.17,39.9,0.0,0.00,0.00,0.00,0.00,,
90.0499588,13:43:11,33.28,33.71,33.52,33.66,33.56,33.58,33.57,33.51,33.65,33.43,33.39,33.12,33.64,33.57,33.48,33.70,33.66,33.51,33.66,24.18,33.62,33.82,25.43,33.62,33.56,33.53,33.54,33.49,33.62,33.63,33.65,33.64,33.62,33.62,622.7,172.3,392.1,362.0,412.2,346.3,367.7,414.4,366.1,461.3,688.5,895.1,336.3,384.7,416.8,206.3,304.4,248.9,213.0,0.0,325.3,139.2,0.0,324.9,371.5,382.3,359.3,396.0,427.5,332.9,421.1,342.5,400.5,405.3,9.29,9.45,9.12,39.9,0.0,0.00,0.00,0.00,0.00,,
120.0652299,13:43:41,33.34,33.75,33.57,33.69,33.60,33.63,33.61,33.55,33.68,33.49,33.43,33.20,33.66,33.64,33.55,33.74,33.70,33.55,33.69,24.02,33.63,33.84,25.36,33.64,33.58,33.58,33.59,33.55,33.62,33.66,33.68,33.70,33.64,33.66,628.8,172.5,393.9,365.9,414.9,347.8,370.0,416.2,369.2,465.2,695.8,899.4,339.6,386.7,417.1,203.7,307.1,253.3,218.0,0.0,330.3,142.6,0.0,328.1,374.2,386.1,364.1,398.7,435.6,331.0,424.2,342.7,405.9,407.7,9.23,9.40,9.05,39.9,0.0,0.00,0.00,0.00,0.00,,
150.0809951,13:44:11,33.43,33.78,33.64,33.73,33.66,33.67,33.67,33.60,33.72,33.55,33.52,33.32,33.71,33.67,33.61,33.78,33.73,33.58,33.72,23.89,33.69,33.85,25.29,33.68,33.66,33.65,33.64,33.60,33.68,33.73,33.71,33.73,33.71,33.69,629.7,173.2,393.3,364.9,412.7,351.0,370.4,419.1,370.7,467.8,694.0,900.1,339.3,385.9,418.3,207.1,307.2,255.7,219.5,0.0,332.1,143.7,0.0,330.2,372.9,386.9,364.0,402.7,433.7,333.5,422.5,343.4,405.4,410.0,9.17,9.34,8.97,40.0,0.0,0.00,0.00,0.00,0.00,,
180.0937713,13:44:41,33.51,33.82,33.67,33.75,33.70,33.71,33.69,33.63,33.74,33.59,33.56,33.37,33.76,33.73,33.65,33.79,33.76,33.61,33.76,23.73,33.71,33.88,25.21,33.71,33.68,33.64,33.67,33.64,33.74,33.74,33.75,33.77,33.72,33.72,628.4,172.0,397.0,365.8,414.5,351.1,372.4,421.1,371.1,470.0,699.2,901.7,339.2,387.6,420.1,207.0,309.8,258.3,219.3,0.0,333.6,144.6,0.0,331.6,378.4,387.1,367.4,403.0,432.6,331.2,424.6,343.5,406.7,411.7,9.08,9.28,8.87,40.6,0.0,0.00,0.00,0.00,0.00,,
210.110528,13:45:11,33.57,33.86,33.72,33.79,33.75,33.75,33.74,33.68,33.79,33.65,33.62,33.44,33.80,33.76,33.72,33.85,33.79,33.66,33.78,23.62,33.74,33.90,25.15,33.74,33.75,33.70,33.72,33.68,33.71,33.82,33.80,33.81,33.77,33.78,630.3,172.0,395.8,366.5,411.7,353.5,372.5,424.1,370.0,471.6,698.7,908.4,340.0,385.4,418.5,206.9,310.4,262.0,219.3,0.0,335.2,143.3,0.0,335.0,374.7,390.0,365.8,403.5,435.8,330.1,425.0,340.5,406.8,412.3,9.01,9.23,8.78,41.3,0.0,0.00,0.00,0.00,0.00,,
240.123817,13:45:41,33.62,33.88,33.76,33.82,33.78,33.78,33.77,33.73,33.80,33.69,33.64,33.54,33.83,33.82,33.75,33.86,33.82,33.70,33.79,23.48,33.76,33.91,25.09,33.76,33.76,33.73,33.75,33.72,33.79,33.84,33.80,33.84,33.78,33.80,634.1,171.7,397.6,366.3,414.9,354.1,372.7,423.9,371.0,472.5,705.3,903.6,337.8,385.4,420.8,209.0,311.2,263.4,223.1,0.0,336.7,144.4,0.0,337.3,376.8,393.4,367.4,406.7,437.7,333.4,423.6,341.9,405.7,411.3,8.96,9.19,8.72,42.2,0.0,0.00,0.00,0.00,0.00,,
270.1381144,13:46:11,33.67,33.90,33.80,33.84,33.80,33.80,33.80,33.76,33.84,33.73,33.68,33.58,33.86,33.85,33.78,33.88,33.85,33.74,33.83,23.36,33.79,33.92,25.04,33.79,33.81,33.81,33.78,33.77,33.83,33.85,33.82,33.85,33.81,33.82,634.0,170.4,396.4,368.4,413.9,355.4,372.1,424.0,371.5,473.4,705.9,913.2,338.0,383.4,420.1,210.1,310.9,264.0,222.9,0.0,337.1,142.5,0.0,337.0,377.0,389.3,367.6,404.5,438.2,334.5,428.0,342.7,410.1,411.1,8.90,9.12,8.67,42.7,0.0,0.00,0.00,0.00,0.00,,
300.1614053,13:46:41,33.72,33.90,33.82,33.87,33.82,33.84,33.82,33.80,33.87,33.77,33.72,33.66,33.88,33.86,33.79,33.90,33.85,33.76,33.85,23.25,33.80,33.94,24.99,33.81,33.83,33.82,33.81,33.80,33.82,33.86,33.84,33.86,33.82,33.85,634.9,172.0,397.4,365.3,415.7,354.2,374.3,423.5,369.9,472.2,705.7,903.7,336.6,386.1,423.7,207.3,312.9,264.4,225.4,0.0,341.1,142.3,0.0,337.3,375.5,390.0,367.6,406.7,441.6,335.8,428.3,344.9,411.3,412.8,8.84,9.02,8.64,43.2,0.0,0.00,0.00,0.00,0.00,,
330.1681781,13:47:11,33.75,33.93,33.84,33.88,33.85,33.86,33.84,33.82,33.88,33.79,33.77,33.69,33.90,33.89,33.84,33.91,33.89,33.79,33.86,23.14,33.83,33.96,24.93,33.83,33.85,33.82,33.83,33.83,33.88,33.88,33.85,33.88,33.88,33.86,634.5,170.0,396.6,368.2,415.9,354.0,373.8,424.9,371.5,473.1,706.5,904.9,335.5,383.7,421.4,209.3,311.8,265.3,224.8,0.0,341.8,141.9,0.0,339.9,374.8,388.6,368.9,406.3,437.4,332.0,430.4,342.2,405.1,413.9,8.81,8.99,8.62,43.5,0.0,0.00,0.00,0.00,0.00,,
360.1819445,13:47:41,33.77,33.97,33.87,33.90,33.87,33.87,33.87,33.84,33.90,33.82,33.79,33.74,33.91,33.91,33.88,33.92,33.89,33.82,33.90,23.03,33.86,33.95,24.87,33.86,33.87,33.86,33.86,33.85,33.86,33.91,33.87,33.90,33.90,33.89,636.4,167.3,395.4,368.1,414.7,356.0,373.0,424.9,371.4,472.2,706.1,902.1,336.9,381.8,417.6,209.5,312.6,265.4,225.1,0.0,342.4,141.8,0.0,337.4,379.2,391.4,365.6,406.1,439.2,333.4,431.4,343.5,408.8,413.2,8.78,8.97,8.57,43.6,0.0,0.00,0.00,0.00,0.00,,
390.1977201,13:48:11,33.80,33.96,33.88,33.91,33.87,33.89,33.87,33.86,33.91,33.84,33.79,33.76,33.92,33.91,33.87,33.94,33.89,33.83,33.89,22.92,33.87,33.96,24.83,33.86,33.87,33.86,33.86,33.87,33.92,33.91,33.89,33.91,33.88,33.87,639.2,167.8,397.1,368.3,418.0,355.8,375.0,426.1,372.5,474.4,711.1,906.5,338.4,383.3,421.2,207.1,315.4,267.1,225.1,0.0,341.8,142.0,0.0,339.2,379.4,393.0,368.1,406.8,439.9,335.9,430.2,344.1,410.3,415.9,8.71,8.91,8.50,43.5,0.0,0.00,0.00,0.00,0.00,,
