[Test Data]
Format 2
Experiment Type:,dry
Test Date:,31/10/2018,14:42:13
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\HighCurv_RadOn_Wind0.3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0188733,14:42:43,38.05,37.81,38.06,38.04,38.04,38.04,38.05,38.00,38.04,38.01,38.06,38.11,38.03,38.29,37.98,38.04,38.01,38.03,38.01,36.77,38.01,38.00,36.81,38.00,38.01,37.98,38.00,37.99,38.04,38.01,38.03,38.00,38.03,38.01,377.9,164.4,260.0,271.6,259.6,278.1,277.7,298.5,271.5,334.1,447.4,471.6,210.2,209.0,295.6,135.0,238.7,155.6,88.3,200.0,266.2,74.9,178.6,250.0,249.1,244.5,247.4,256.5,349.7,278.7,357.2,305.0,365.1,352.9,1.47,1.45,1.49,50.7,0.0,0.00,0.00,0.00,0.00,,
60.0327372,14:43:13,38.08,37.92,38.06,38.03,38.02,38.03,38.06,38.00,38.04,38.00,38.10,38.07,38.03,38.26,37.98,38.02,38.00,38.05,38.01,36.82,38.02,38.00,36.86,38.00,38.03,38.01,38.02,38.01,38.02,38.00,38.03,38.00,38.00,38.01,372.1,151.0,259.5,274.2,260.8,277.4,276.5,299.0,270.3,333.9,438.9,479.1,206.9,205.6,294.4,136.3,240.4,154.3,86.9,171.9,264.3,76.7,153.9,250.5,246.9,244.6,244.8,254.5,346.7,284.2,354.5,301.0,367.8,355.4,1.49,1.45,1.53,50.5,0.0,0.00,0.00,0.00,0.00,,
90.0470821,14:43:43,38.08,38.00,38.06,38.02,38.02,38.04,38.04,38.00,38.03,38.01,38.10,38.07,38.03,38.23,38.01,38.02,38.00,38.05,38.02,36.81,38.03,38.01,36.83,38.02,38.01,38.00,38.02,38.01,38.03,38.00,38.02,38.00,37.99,38.01,368.6,141.6,257.5,275.7,257.8,276.5,277.2,299.1,270.8,334.2,434.9,478.2,208.6,202.9,294.2,135.9,241.2,151.7,83.9,154.2,261.5,76.2,133.3,250.2,249.0,240.8,242.8,252.4,343.7,281.7,357.2,304.2,368.0,354.0,1.50,1.44,1.58,50.5,0.0,0.00,0.00,0.00,0.00,,
120.1124132,14:44:13,38.07,38.05,38.04,38.02,38.02,38.03,38.04,38.00,38.03,38.00,38.06,38.03,38.02,38.22,38.00,38.03,38.00,38.06,38.02,36.77,38.02,38.01,36.77,38.02,38.02,38.00,38.02,38.01,38.03,38.01,38.04,38.00,38.03,38.03,370.2,134.0,258.4,275.5,262.4,276.5,277.0,299.0,272.8,335.2,436.6,485.2,207.5,200.9,294.4,135.1,241.7,149.2,86.7,144.6,263.6,75.4,123.3,248.7,247.7,240.6,243.4,252.8,337.7,281.9,356.1,303.5,364.5,352.8,1.52,1.45,1.60,50.4,0.0,0.00,0.00,0.00,0.00,,
150.1237262,14:44:43,38.09,38.08,38.02,38.02,38.02,38.01,38.02,38.00,38.01,37.98,38.02,37.97,38.02,38.17,37.99,38.02,37.99,38.06,38.01,36.71,38.03,38.00,36.70,38.01,38.03,38.01,38.01,38.02,38.02,38.00,38.01,38.00,37.99,38.01,365.8,128.1,260.1,274.6,262.2,278.4,278.3,299.3,274.8,339.2,445.5,495.9,207.7,202.3,296.3,134.8,241.6,149.1,87.3,134.5,260.6,74.9,116.9,248.2,246.6,242.5,245.5,251.7,346.6,285.8,359.3,303.3,369.9,354.8,1.53,1.46,1.61,50.2,0.0,0.00,0.00,0.00,0.00,,
180.1375741,14:45:13,38.07,38.10,38.03,37.99,38.01,38.00,38.02,37.99,38.00,37.97,38.05,37.98,38.01,38.16,37.98,38.01,37.99,38.06,38.02,36.63,38.02,38.01,36.62,38.03,38.03,38.04,38.01,38.02,38.01,37.99,38.00,37.99,38.02,38.01,366.9,124.0,259.2,276.6,262.7,279.4,279.2,301.8,274.2,339.8,439.7,498.3,209.1,201.7,295.8,136.4,243.0,148.8,83.6,132.2,262.1,74.6,110.9,247.1,248.7,240.1,243.1,250.2,347.4,283.7,359.1,302.8,367.5,353.9,1.54,1.46,1.62,50.1,0.0,0.00,0.00,0.00,0.00,,
210.151937,14:45:43,38.05,38.11,38.02,38.01,38.00,38.02,38.02,37.99,38.00,37.99,38.03,38.02,38.01,38.15,38.01,38.02,38.00,38.06,38.00,36.56,38.01,38.00,36.53,38.02,38.03,38.03,38.02,38.00,38.02,38.01,38.04,37.99,37.98,38.02,366.4,119.3,260.9,277.2,265.5,278.4,279.8,300.6,275.2,337.7,441.6,489.9,209.7,201.3,293.2,135.7,242.7,148.2,87.0,127.5,265.3,76.1,110.3,248.0,244.3,238.9,242.9,250.5,346.4,282.9,359.3,305.7,366.1,353.0,1.53,1.44,1.62,50.1,0.0,0.00,0.00,0.00,0.00,,
240.1667785,14:46:13,38.01,38.12,38.02,38.00,38.01,38.00,38.02,38.00,38.00,37.98,38.01,37.99,38.01,38.11,37.99,38.01,37.99,38.05,37.99,36.48,38.00,38.01,36.46,38.00,38.01,38.02,38.01,38.01,38.01,37.99,38.03,37.98,38.02,38.02,370.7,116.7,259.7,276.4,262.6,279.2,277.1,299.3,276.5,339.3,442.3,491.2,208.5,201.2,294.5,136.7,242.5,147.6,86.8,126.3,263.8,73.9,111.0,249.7,247.9,238.6,245.0,252.6,345.4,283.4,357.2,305.3,364.0,352.9,1.53,1.43,1.62,50.1,0.0,0.00,0.00,0.00,0.00,,
270.1811389,14:46:43,38.03,38.11,38.01,38.02,37.99,38.01,37.99,37.99,38.00,37.99,37.97,38.02,38.01,38.09,38.03,38.01,38.00,38.04,38.01,36.41,38.00,38.00,36.38,38.00,38.02,38.01,37.98,37.99,37.99,38.00,38.02,37.99,38.04,38.02,370.1,112.8,261.3,275.6,264.0,279.0,281.8,301.6,277.3,339.6,453.0,492.3,207.6,201.2,291.7,134.5,242.9,147.4,88.8,129.0,264.1,76.3,111.0,249.3,249.0,242.3,247.2,253.4,345.2,283.9,356.1,305.3,360.5,352.5,1.53,1.43,1.63,50.1,0.0,0.00,0.00,0.00,0.00,,
