[Test Data]
Format 2
Experiment Type:,dry
Test Date:,30/10/2018,11:42:09
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\HighCurv_RadOn_Wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0042877,11:42:39,35.17,34.34,34.62,34.47,34.64,34.57,34.59,34.62,34.56,34.74,35.22,36.16,34.52,34.81,34.75,34.40,34.47,34.39,34.43,21.38,34.39,34.25,24.28,34.39,34.64,34.63,34.60,34.67,34.58,34.61,34.61,34.66,34.48,34.45,445.0,101.7,280.4,271.9,289.1,259.0,268.2,335.5,263.5,366.0,447.1,479.0,236.6,158.0,298.5,135.6,237.2,242.9,162.1,0.0,312.9,112.3,0.0,293.2,266.8,292.1,285.2,298.9,342.8,223.0,340.5,216.9,330.7,342.3,8.80,8.92,8.66,42.2,0.0,0.00,0.00,0.00,0.00,,
60.0195429,11:43:09,35.18,34.37,34.67,34.48,34.65,34.58,34.62,34.67,34.57,34.80,35.17,36.04,34.54,34.81,34.74,34.42,34.48,34.47,34.45,21.54,34.45,34.25,24.37,34.45,34.62,34.67,34.63,34.73,34.62,34.61,34.57,34.68,34.51,34.49,415.9,90.7,259.5,257.7,270.8,248.1,250.4,314.5,250.2,339.8,423.5,430.9,219.2,141.5,283.0,124.5,225.8,226.2,153.0,0.0,298.1,102.6,0.0,280.5,249.6,273.4,265.0,272.5,324.8,215.5,336.7,200.3,322.5,328.5,8.72,8.85,8.57,42.4,0.0,0.00,0.00,0.00,0.00,,
90.0333415,11:43:39,35.10,34.38,34.63,34.46,34.62,34.56,34.61,34.67,34.54,34.80,35.03,35.74,34.52,34.73,34.70,34.39,34.47,34.52,34.46,21.69,34.45,34.23,24.45,34.45,34.63,34.64,34.63,34.71,34.58,34.57,34.57,34.59,34.49,34.48,399.1,80.8,247.4,249.8,257.9,238.5,242.3,301.1,240.8,322.0,414.5,432.4,209.1,133.2,273.6,118.6,215.3,211.8,143.0,0.0,289.6,99.2,0.0,266.3,244.6,257.0,253.1,259.8,315.2,209.5,320.3,195.6,313.7,322.3,8.64,8.77,8.49,42.4,0.0,0.00,0.00,0.00,0.00,,
120.0486302,11:44:09,35.02,34.36,34.61,34.44,34.58,34.52,34.57,34.63,34.49,34.74,34.92,35.38,34.48,34.64,34.64,34.36,34.44,34.53,34.43,21.83,34.45,34.21,24.52,34.45,34.59,34.63,34.58,34.70,34.51,34.52,34.51,34.52,34.48,34.47,388.0,74.0,238.8,243.2,250.2,231.6,232.7,290.3,237.0,313.2,410.7,455.5,203.3,132.4,266.2,114.3,207.7,201.6,136.6,0.0,278.0,96.1,0.0,257.7,241.3,250.0,247.1,245.0,308.3,202.8,319.1,192.5,310.5,313.5,8.57,8.69,8.43,42.5,0.0,0.00,0.00,0.00,0.00,,
150.0643778,11:44:39,34.91,34.34,34.55,34.40,34.54,34.50,34.51,34.58,34.45,34.71,34.81,35.21,34.45,34.57,34.59,34.34,34.40,34.54,34.41,21.99,34.43,34.20,24.62,34.43,34.56,34.57,34.55,34.65,34.47,34.46,34.47,34.48,34.45,34.43,380.7,70.9,234.9,239.5,244.3,226.2,228.0,284.2,231.2,301.3,408.1,457.4,197.5,130.0,263.8,111.2,204.2,191.7,133.4,0.0,273.6,94.1,0.0,252.4,227.2,246.4,237.4,239.5,303.9,202.0,312.1,190.1,303.1,307.8,8.51,8.62,8.38,42.5,0.0,0.00,0.00,0.00,0.00,,
180.0791813,11:45:09,34.81,34.32,34.50,34.38,34.48,34.45,34.46,34.52,34.42,34.65,34.71,35.02,34.39,34.50,34.52,34.30,34.37,34.51,34.38,22.11,34.44,34.18,24.69,34.41,34.49,34.54,34.51,34.57,34.41,34.38,34.42,34.42,34.42,34.40,374.4,67.2,231.9,238.2,240.4,222.7,223.8,280.5,226.7,293.4,406.9,451.6,195.6,125.0,260.1,108.1,200.6,185.5,126.5,0.0,269.0,90.6,0.0,245.9,223.8,239.0,234.1,236.3,299.7,198.9,309.7,186.7,298.7,303.0,8.46,8.57,8.36,42.5,0.0,0.00,0.00,0.00,0.00,,
210.0929079,11:45:39,34.73,34.27,34.45,34.32,34.43,34.40,34.43,34.48,34.36,34.58,34.63,34.88,34.35,34.43,34.47,34.25,34.32,34.47,34.32,22.26,34.37,34.16,24.76,34.38,34.43,34.47,34.45,34.50,34.38,34.33,34.37,34.38,34.33,34.37,370.5,66.0,225.9,234.5,238.4,220.8,220.0,275.3,222.5,290.3,400.3,458.6,195.4,125.5,256.8,107.8,199.1,181.2,129.3,0.0,261.8,88.8,0.0,242.6,221.6,237.4,228.9,233.8,300.9,200.0,311.2,189.5,294.3,300.1,8.45,8.52,8.37,42.5,0.0,0.00,0.00,0.00,0.00,,
240.1061651,11:46:09,34.64,34.24,34.41,34.29,34.38,34.34,34.38,34.43,34.30,34.51,34.54,34.70,34.31,34.37,34.41,34.24,34.28,34.45,34.26,22.36,34.36,34.16,24.83,34.33,34.41,34.41,34.41,34.44,34.36,34.29,34.34,34.30,34.32,34.31,370.5,64.9,223.1,233.5,234.9,219.6,219.1,272.6,223.5,287.7,398.5,464.5,193.0,125.1,254.2,105.8,197.6,176.5,125.5,0.0,260.5,89.6,0.0,240.9,216.9,239.8,225.8,231.9,292.5,199.9,306.5,193.1,293.8,299.6,8.43,8.48,8.39,42.4,0.0,0.00,0.00,0.00,0.00,,
270.1229247,11:46:39,34.55,34.21,34.35,34.25,34.32,34.30,34.33,34.38,34.25,34.43,34.49,34.56,34.26,34.29,34.37,34.19,34.25,34.40,34.25,22.50,34.32,34.13,24.88,34.31,34.33,34.36,34.36,34.38,34.31,34.25,34.29,34.27,34.28,34.29,371.3,63.8,222.8,231.0,233.5,219.7,216.2,269.7,225.6,289.0,395.4,474.1,193.3,127.1,251.4,105.4,196.4,174.8,120.5,0.0,260.6,87.2,0.0,237.8,220.6,239.4,225.6,231.2,295.5,196.4,307.0,192.8,291.4,297.5,8.45,8.48,8.43,42.2,0.0,0.00,0.00,0.00,0.00,,
