[Test Data]
Format 2
Experiment Type:,dry
Test Date:,30/10/2018,10:40:26
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\HighCurv_RadOn_Wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0073152,10:40:56,34.13,33.89,34.00,33.98,33.97,34.02,33.99,33.91,34.05,33.93,34.01,33.92,33.94,34.29,33.81,33.98,34.02,34.15,34.00,21.23,34.01,34.12,24.19,34.00,33.90,33.99,33.94,33.97,34.01,33.97,34.01,33.98,34.00,33.99,652.1,201.2,379.8,344.0,391.6,346.6,357.5,408.5,362.2,465.9,708.3,922.7,316.7,315.3,405.2,198.8,327.0,273.0,239.5,0.0,359.8,155.1,0.0,337.5,373.2,382.9,374.6,400.0,425.4,330.6,431.9,329.6,406.6,409.9,8.84,8.97,8.71,42.8,0.0,0.00,0.00,0.00,0.00,,
60.0220789,10:41:26,34.16,33.96,34.01,33.99,33.99,34.03,33.99,33.92,34.02,33.92,34.02,33.92,33.95,34.35,33.86,34.00,34.02,34.14,34.00,21.24,34.00,34.11,24.17,34.00,33.90,33.97,33.94,33.97,34.00,33.96,33.99,33.98,33.99,33.99,644.0,194.9,376.5,341.4,393.3,344.2,357.3,410.3,363.9,469.6,705.4,926.8,316.8,297.8,406.4,197.6,325.6,272.7,237.2,0.0,356.8,155.6,0.0,338.3,373.6,386.4,374.2,400.5,425.7,332.0,434.0,331.0,408.2,409.6,8.85,8.96,8.74,42.8,0.0,0.00,0.00,0.00,0.00,,
90.0358507,10:41:56,34.14,34.02,34.02,33.99,33.99,34.02,33.99,33.90,34.02,33.91,34.03,33.95,33.96,34.36,33.87,33.99,34.01,34.13,34.00,21.22,34.01,34.10,24.16,33.99,33.92,33.97,33.94,33.97,34.01,33.95,33.99,33.99,34.02,33.98,644.2,186.5,377.3,342.4,392.8,344.8,356.9,413.2,359.4,471.4,705.6,927.9,318.1,288.7,409.1,197.4,326.4,274.3,237.0,0.0,357.6,153.9,0.0,338.5,376.3,391.7,376.2,402.9,426.9,329.1,433.3,333.1,409.9,412.9,8.85,8.95,8.75,42.8,0.0,0.00,0.00,0.00,0.00,,
120.049084,10:42:26,34.12,34.04,34.01,34.00,33.98,34.00,33.98,33.91,34.04,33.93,34.00,34.00,33.97,34.32,33.89,33.99,34.02,34.12,34.01,21.26,34.00,34.08,24.17,33.99,33.96,33.98,33.93,33.96,33.97,33.99,34.00,34.01,33.96,34.00,642.5,182.3,377.7,339.8,394.9,346.1,359.2,415.3,361.8,472.4,711.2,917.5,318.0,285.1,410.1,198.6,324.7,275.6,239.8,0.0,359.8,151.9,0.0,338.0,378.0,390.2,376.6,401.9,423.8,328.7,432.2,337.5,414.5,410.1,8.85,8.94,8.76,42.8,0.0,0.00,0.00,0.00,0.00,,
150.0658648,10:42:56,34.13,34.06,34.01,33.99,33.99,34.00,34.00,33.93,34.02,33.93,34.03,33.98,33.98,34.28,33.89,33.99,34.02,34.10,33.98,21.22,34.00,34.07,24.17,33.99,33.94,33.99,33.96,33.98,34.00,33.99,34.00,34.00,34.01,34.00,639.1,178.2,378.4,340.8,393.5,347.0,359.2,415.5,359.9,472.1,711.1,921.1,316.7,282.7,410.2,198.0,324.5,276.1,239.8,0.0,359.7,152.4,0.0,339.3,371.3,390.9,373.7,402.2,428.8,339.9,430.4,332.7,406.1,409.4,8.85,8.93,8.76,42.8,0.0,0.00,0.00,0.00,0.00,,
180.0800938,10:43:26,34.08,34.09,34.01,34.00,34.00,34.00,34.00,33.93,34.03,33.94,34.03,34.00,33.99,34.25,33.91,33.98,34.02,34.09,34.01,21.22,33.99,34.07,24.18,34.00,33.97,33.99,33.97,33.98,34.01,33.94,34.02,34.00,34.02,34.01,639.1,174.2,377.2,341.1,394.0,346.4,357.0,415.6,359.7,472.4,708.0,919.2,315.8,283.4,409.8,198.7,323.8,276.4,236.0,0.0,359.2,151.6,0.0,338.2,373.2,389.1,374.8,402.9,427.8,339.8,430.7,335.5,407.7,411.4,8.85,8.95,8.75,42.8,0.0,0.00,0.00,0.00,0.00,,
210.098331,10:43:56,34.11,34.11,34.00,34.01,34.00,34.01,34.00,33.93,34.01,33.94,34.01,33.97,33.99,34.22,33.93,33.99,34.03,34.08,33.99,21.20,34.00,34.05,24.18,34.00,33.94,33.98,33.95,33.98,34.01,34.01,34.00,34.00,34.02,33.99,632.9,171.3,377.0,338.8,393.6,343.7,357.4,416.3,359.5,475.3,712.9,921.7,315.1,282.4,409.9,197.2,322.6,275.6,237.2,0.0,359.4,151.5,0.0,338.1,381.2,391.9,377.1,404.0,426.5,331.6,433.7,333.4,408.4,411.4,8.85,8.96,8.75,42.7,0.0,0.00,0.00,0.00,0.00,,
240.1095526,10:44:27,34.08,34.11,34.01,33.99,33.99,33.99,34.00,33.94,34.01,33.94,34.01,33.95,33.99,34.17,33.95,33.98,34.02,34.07,34.01,21.19,34.01,34.05,24.18,34.00,33.98,33.95,33.97,33.97,33.98,34.00,34.01,33.99,33.98,33.99,634.8,167.5,376.5,339.8,393.8,344.0,357.4,417.6,359.4,476.9,713.2,929.1,315.8,285.2,409.2,198.6,322.7,276.0,239.3,0.0,357.1,150.6,0.0,338.0,376.7,391.6,376.5,404.4,422.3,333.7,427.0,331.8,406.8,411.3,8.85,8.96,8.73,42.6,0.0,0.00,0.00,0.00,0.00,,
270.1228178,10:44:57,34.05,34.10,34.01,33.99,33.99,34.00,33.99,33.94,33.99,33.93,34.01,33.92,33.99,34.13,33.96,33.99,34.02,34.04,33.99,21.17,34.01,34.04,24.17,33.99,33.97,33.98,33.97,33.98,34.02,33.97,34.00,33.99,33.97,34.00,636.7,165.2,376.9,340.1,393.8,342.9,357.6,417.9,360.6,478.8,713.0,933.5,316.5,286.9,408.1,200.1,322.7,277.4,235.9,0.0,358.2,152.6,0.0,339.3,373.5,391.5,376.0,403.7,431.9,336.6,431.6,334.5,409.8,412.9,8.82,8.94,8.70,42.7,0.0,0.00,0.00,0.00,0.00,,
