[Test Data]
Format 2
Experiment Type:,dry
Test Date:,31/10/2018,10:01:01
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\LowCurv_RadOff_Wind0.3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0219026,10:01:31,37.98,37.89,37.96,37.96,37.97,37.97,37.97,37.99,37.96,38.00,37.92,37.91,37.98,37.75,37.99,37.98,38.00,38.00,38.02,36.26,38.03,38.00,36.30,38.02,38.01,38.03,38.04,37.99,37.98,38.00,37.99,38.01,38.02,38.01,392.3,37.4,274.0,275.4,274.8,274.1,276.2,303.3,279.8,335.4,452.0,508.8,224.4,229.9,282.5,137.1,233.2,153.6,95.8,186.3,264.1,76.4,171.5,242.4,260.5,241.9,249.3,255.5,345.8,274.6,357.6,300.0,351.4,357.9,1.98,1.54,2.40,44.7,0.0,0.00,0.00,0.00,0.00,,
60.0367784,10:02:01,37.98,37.82,37.95,37.97,37.95,37.97,37.96,38.00,37.96,38.00,37.91,37.90,37.98,37.75,37.99,37.98,37.99,38.00,38.00,36.37,37.99,37.99,36.40,38.01,38.01,38.00,37.98,37.99,37.99,38.01,37.97,37.99,37.98,37.98,394.8,49.5,276.9,276.5,277.0,275.8,279.3,302.2,280.0,335.7,457.6,513.8,225.7,235.3,282.8,139.0,234.1,152.3,95.2,167.1,271.5,75.9,150.9,244.2,259.0,240.5,251.6,255.2,349.5,280.5,359.6,303.2,352.3,360.8,1.91,1.53,2.27,44.6,0.0,0.00,0.00,0.00,0.00,,
90.0511308,10:02:31,37.97,37.79,37.95,37.94,37.94,37.95,37.93,37.99,37.95,37.97,37.91,37.90,37.96,37.77,37.98,37.97,37.98,37.99,38.03,36.38,38.01,37.98,36.40,37.99,38.01,38.02,37.99,37.99,37.93,37.99,37.94,37.98,37.98,38.01,395.1,61.0,278.6,281.7,280.6,277.9,283.8,302.4,281.6,338.9,459.4,516.6,226.8,238.5,284.3,140.6,234.8,153.4,93.6,154.7,270.0,74.2,139.2,245.6,258.8,239.1,250.5,257.2,344.2,281.5,363.7,303.6,353.3,359.7,1.84,1.52,2.14,44.6,0.0,0.00,0.00,0.00,0.00,,
120.0655569,10:03:01,37.98,37.77,37.96,37.95,37.96,37.97,37.95,38.00,37.97,37.98,37.95,37.93,37.96,37.80,37.97,37.98,38.00,37.99,38.02,36.36,38.01,38.00,36.38,38.00,37.98,38.02,37.98,37.99,37.98,37.97,37.99,37.97,37.93,37.99,395.0,66.2,278.6,283.3,279.1,277.3,282.2,301.0,280.7,338.8,456.2,513.3,226.6,238.5,287.7,142.1,233.1,154.9,90.7,149.7,269.4,76.8,129.9,244.8,260.4,240.9,248.6,256.4,347.5,283.4,364.0,303.4,354.9,358.9,1.76,1.49,2.02,44.6,0.0,0.00,0.00,0.00,0.00,,
150.0804344,10:03:31,37.95,37.78,37.95,37.96,37.98,37.97,37.96,38.00,37.98,37.98,37.96,37.95,37.98,37.82,37.97,37.97,37.99,37.99,37.99,36.35,38.00,38.01,36.36,38.00,37.98,38.01,37.95,38.00,38.02,38.01,37.96,37.97,37.98,38.00,398.1,71.5,279.6,282.2,278.4,278.8,282.0,301.1,279.1,339.3,454.9,510.1,226.1,240.8,287.4,142.6,233.4,156.3,94.9,142.5,270.3,76.1,124.1,245.1,263.0,241.0,251.3,255.8,345.9,284.7,366.8,301.2,359.8,358.5,1.70,1.47,1.92,44.7,0.0,0.00,0.00,0.00,0.00,,
180.0948051,10:04:01,37.96,37.77,37.96,37.96,37.96,37.97,37.96,37.99,37.97,38.00,37.94,37.96,37.96,37.84,37.99,37.98,37.99,37.98,37.99,36.30,37.99,37.98,36.32,37.99,37.96,37.98,38.01,38.00,38.00,37.99,37.97,38.02,37.98,37.97,400.5,75.6,280.4,282.4,279.6,278.4,284.1,301.8,281.3,338.4,458.1,511.1,227.3,241.0,286.3,142.7,233.5,155.9,91.9,137.7,270.0,76.0,119.5,245.5,262.8,241.5,249.5,255.0,343.4,281.7,360.9,298.3,358.3,359.1,1.64,1.44,1.83,44.8,0.0,0.00,0.00,0.00,0.00,,
210.110189,10:04:31,37.99,37.78,37.98,37.97,37.98,37.96,37.97,38.00,37.99,38.01,37.97,37.97,37.99,37.87,37.98,37.98,38.00,37.98,38.01,36.27,37.99,38.00,36.28,38.00,37.99,37.98,37.98,37.99,37.98,38.01,37.97,37.99,38.01,38.00,398.5,79.5,280.1,281.6,278.6,278.3,284.0,301.9,277.4,335.6,455.9,508.1,224.8,242.0,286.9,141.9,234.7,156.6,94.6,137.3,266.9,76.4,119.8,243.2,260.5,242.6,253.3,261.0,347.0,289.9,364.4,302.5,356.8,361.1,1.60,1.43,1.75,44.8,0.0,0.00,0.00,0.00,0.00,,
240.1235851,10:05:01,38.01,37.79,37.99,37.97,37.98,37.97,37.97,38.00,37.99,38.00,37.99,37.95,37.98,37.88,38.00,37.98,38.00,37.98,38.01,36.22,38.00,38.00,36.25,38.00,37.99,38.01,38.04,37.99,37.99,37.96,38.00,38.01,37.96,38.01,395.4,83.0,278.5,283.9,278.3,279.1,284.4,300.6,280.2,336.8,453.4,511.8,227.2,243.8,287.4,141.2,233.2,157.2,90.1,137.7,271.8,76.7,118.6,243.5,258.7,243.6,254.6,256.3,341.4,285.6,366.5,301.8,357.7,360.2,1.55,1.40,1.69,44.8,0.0,0.00,0.00,0.00,0.00,,
270.1389722,10:05:31,38.00,37.82,38.00,37.98,37.97,37.98,37.96,38.00,37.98,38.00,37.99,37.97,37.98,37.90,37.99,37.99,38.00,37.98,38.01,36.22,37.99,37.99,36.22,38.01,38.00,38.01,38.03,38.01,38.00,37.99,38.01,37.98,37.96,37.97,393.4,83.7,276.7,284.8,279.1,278.5,285.6,300.7,282.0,337.7,451.4,510.5,225.7,242.7,285.3,143.1,232.4,157.4,87.9,134.7,266.2,78.4,120.8,242.9,255.9,237.8,246.7,257.9,348.3,289.7,365.5,304.9,359.4,363.1,1.51,1.38,1.64,45.0,0.0,0.00,0.00,0.00,0.00,,
