[Test Data]
Format 2
Experiment Type:,dry
Test Date:,30/10/2018,16:47:51
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\LowCurv_RadOff_Wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0193245,16:48:21,33.97,33.85,33.96,33.97,33.96,33.98,33.95,34.00,33.99,34.03,33.93,33.94,33.98,33.76,33.98,33.98,34.00,34.00,34.01,25.60,34.00,34.00,26.43,34.00,34.01,33.99,34.00,34.00,33.99,34.05,33.99,34.01,34.00,34.00,408.4,49.6,245.7,243.6,240.8,222.9,233.5,271.6,228.1,282.6,415.5,473.7,205.0,218.4,271.8,116.6,194.6,153.1,120.2,0.0,245.2,87.0,0.0,221.2,226.7,236.6,224.3,240.1,313.6,207.2,304.4,198.8,295.4,300.5,9.43,9.46,9.40,42.1,0.0,0.00,0.00,0.00,0.00,,
60.0350692,16:48:51,33.97,33.80,33.96,33.98,33.96,33.96,33.97,34.00,33.96,34.00,33.94,33.94,33.98,33.81,33.99,33.98,34.00,33.98,33.99,25.60,34.02,34.01,26.43,34.00,33.98,34.02,34.00,34.00,34.03,34.00,33.98,34.00,34.01,33.99,407.6,58.6,245.7,242.8,243.3,225.3,235.4,272.3,230.8,285.6,415.5,472.5,205.4,220.1,270.7,118.1,194.0,154.3,114.0,0.0,243.9,86.1,0.0,220.8,225.0,236.2,226.2,239.9,318.6,208.5,310.8,196.6,303.7,300.3,9.38,9.43,9.31,42.2,0.0,0.00,0.00,0.00,0.00,,
90.0498145,16:49:21,33.97,33.79,33.96,33.97,33.98,33.97,33.96,34.00,33.99,34.01,33.94,33.98,33.98,33.83,33.99,33.98,33.99,33.99,34.01,25.57,34.02,34.01,26.43,34.00,34.01,34.02,33.99,34.00,33.96,33.96,33.98,34.00,33.98,33.98,408.6,66.8,247.3,244.9,240.7,225.2,235.5,273.2,230.4,284.2,416.3,468.4,204.7,220.3,270.4,118.3,194.3,154.5,113.1,0.0,240.8,85.6,0.0,221.9,227.6,239.7,227.9,238.8,317.2,205.9,305.1,198.8,296.5,300.3,9.33,9.41,9.24,42.3,0.0,0.00,0.00,0.00,0.00,,
120.0635227,16:49:51,33.97,33.79,33.96,33.97,33.98,33.97,33.96,34.00,33.99,34.01,33.95,33.99,33.98,33.84,33.99,33.98,33.99,33.99,34.06,25.63,33.97,34.00,26.43,33.99,34.05,34.02,33.98,34.00,34.03,34.00,34.00,34.01,33.94,34.01,408.3,71.6,247.0,244.0,241.7,225.6,237.9,272.4,231.2,284.4,417.6,467.8,206.0,220.2,269.7,118.1,195.7,154.9,112.3,0.0,244.2,85.5,0.0,222.2,223.1,240.5,226.8,240.3,313.8,209.0,309.2,199.3,300.4,298.7,9.29,9.40,9.19,42.3,0.0,0.00,0.00,0.00,0.00,,
150.079272,16:50:21,33.97,33.79,33.96,33.98,33.97,33.97,33.96,33.99,34.01,34.01,33.95,34.04,33.98,33.87,33.99,33.98,33.99,34.00,33.98,25.56,34.00,34.00,26.43,34.00,33.99,33.99,34.00,33.99,33.97,33.97,33.98,33.99,34.01,34.01,409.3,75.8,248.1,245.3,241.6,225.6,238.2,273.3,228.2,282.8,419.0,455.6,207.0,221.7,270.5,118.5,194.6,155.2,109.8,0.0,246.7,84.8,0.0,222.9,227.7,236.9,224.7,241.0,310.3,209.6,308.7,197.9,306.5,295.4,9.27,9.39,9.14,42.3,0.0,0.00,0.00,0.00,0.00,,
180.0930032,16:50:51,33.98,33.80,33.97,33.97,33.99,33.98,33.97,34.00,33.98,34.00,33.96,33.98,33.99,33.89,33.97,33.98,33.98,33.98,34.03,25.58,34.02,34.00,26.43,33.99,33.98,33.99,34.00,34.01,34.01,34.00,33.99,34.00,34.00,33.99,407.7,79.6,248.7,244.6,242.2,226.1,237.9,273.6,231.1,284.9,419.3,464.5,205.0,219.5,270.2,118.6,196.0,155.0,115.5,0.0,245.5,85.2,0.0,223.2,225.5,238.5,225.2,240.0,322.5,212.1,309.0,199.1,295.0,297.0,9.23,9.37,9.09,42.3,0.0,0.00,0.00,0.00,0.00,,
210.1067181,16:51:21,33.97,33.82,33.98,33.98,33.99,33.97,33.97,34.00,33.97,33.99,33.98,33.92,33.99,33.90,33.99,33.98,33.99,33.98,34.00,25.56,33.98,33.99,26.42,34.00,34.03,34.05,33.99,34.00,33.96,33.99,33.99,34.01,34.01,33.99,410.5,81.5,246.6,244.9,240.0,227.1,238.5,273.5,233.0,286.4,418.4,479.4,205.1,220.4,272.1,119.9,196.0,155.9,111.7,0.0,244.4,84.6,0.0,221.8,220.9,234.6,227.9,238.2,315.4,211.1,308.6,199.2,298.7,299.5,9.21,9.36,9.06,42.3,0.0,0.00,0.00,0.00,0.00,,
240.1224779,16:51:51,34.00,33.83,33.98,33.98,33.98,33.98,33.97,34.00,33.97,33.98,33.98,33.90,33.99,33.92,34.00,33.99,33.99,33.98,34.00,25.56,34.00,34.01,26.43,34.00,33.96,33.98,34.00,34.00,34.00,33.97,33.98,33.99,33.98,33.99,408.1,83.8,246.9,245.5,244.0,227.8,237.9,272.7,234.4,286.7,416.6,485.4,204.2,220.3,270.1,120.0,196.4,156.0,116.4,0.0,246.1,84.1,0.0,222.9,226.5,239.1,227.4,238.6,314.7,211.8,310.0,197.4,303.8,297.0,9.19,9.34,9.03,42.3,0.0,0.00,0.00,0.00,0.00,,
270.1377026,16:52:21,34.01,33.85,33.98,33.98,33.98,33.98,33.97,33.99,33.96,33.98,33.98,33.92,33.98,33.94,34.00,33.99,33.99,33.99,34.00,25.59,34.00,33.99,26.41,34.00,33.98,33.99,34.00,34.01,33.98,34.02,33.98,33.99,34.02,34.00,405.6,84.3,247.5,244.1,242.9,227.7,237.5,273.2,234.8,287.8,418.1,482.3,204.1,219.1,271.0,118.0,196.9,156.7,113.9,0.0,247.2,87.9,0.0,221.4,233.0,240.1,225.5,238.3,319.1,209.8,310.9,199.5,304.1,295.7,9.17,9.32,9.01,42.5,0.0,0.00,0.00,0.00,0.00,,
