[Test Data]
Format 2
Experiment Type:,dry
Test Date:,30/10/2018,17:38:41
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\LowCurv_RadOff_Wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0303963,17:39:11,33.32,33.90,33.74,33.79,33.70,33.73,33.71,33.70,33.77,33.68,33.23,33.09,33.78,33.68,33.63,33.81,33.78,33.88,33.81,25.44,33.88,33.87,26.02,33.88,33.74,33.74,33.76,33.73,33.77,33.73,33.72,33.70,33.74,33.77,496.5,100.4,286.6,273.1,290.7,258.4,269.5,303.4,278.6,340.9,532.5,644.9,241.7,263.6,317.0,139.2,227.6,169.9,139.0,0.0,252.7,99.0,0.0,236.2,265.2,272.0,253.9,265.9,337.7,239.1,351.9,250.3,318.9,333.1,9.08,9.25,8.94,43.3,0.0,0.00,0.00,0.00,0.00,,
60.0456741,17:39:41,32.90,33.79,33.47,33.59,33.43,33.52,33.48,33.44,33.56,33.39,32.87,32.27,33.56,33.32,33.34,33.63,33.58,33.68,33.66,25.19,33.66,33.78,25.89,33.68,33.43,33.42,33.50,33.41,33.50,33.44,33.48,33.45,33.60,33.62,581.6,119.9,335.1,308.9,340.3,298.5,312.0,347.4,324.0,386.0,654.2,838.3,280.6,327.2,369.2,171.8,267.3,192.2,173.1,0.0,279.8,119.3,0.0,263.8,314.0,318.9,304.5,324.2,385.5,300.4,393.2,294.1,342.8,358.8,9.17,9.34,9.03,42.8,0.0,0.00,0.00,0.00,0.00,,
90.0589014,17:40:11,32.87,33.76,33.41,33.55,33.41,33.48,33.43,33.37,33.51,33.32,32.92,32.28,33.52,33.30,33.30,33.64,33.55,33.58,33.59,25.00,33.60,33.76,25.79,33.60,33.41,33.33,33.43,33.34,33.51,33.41,33.48,33.44,33.52,33.56,606.6,126.4,350.1,327.2,356.7,313.4,329.4,369.2,343.2,407.3,678.8,883.9,298.2,346.7,381.7,181.5,283.6,210.7,183.5,0.0,291.2,127.7,0.0,282.6,332.5,336.4,325.6,346.7,399.1,311.8,401.1,308.4,360.9,375.2,9.25,9.41,9.12,42.4,0.0,0.00,0.00,0.00,0.00,,
120.0946797,17:40:41,32.91,33.75,33.41,33.56,33.42,33.47,33.43,33.35,33.52,33.30,33.02,32.51,33.52,33.36,33.33,33.61,33.55,33.51,33.59,24.80,33.59,33.76,25.69,33.59,33.40,33.34,33.40,33.34,33.48,33.48,33.50,33.45,33.51,33.56,628.9,133.1,357.7,335.9,368.2,326.0,338.9,384.3,353.4,424.3,690.8,884.9,307.4,351.8,386.7,190.2,295.7,225.6,197.1,0.0,304.1,132.0,0.0,294.3,344.0,354.1,340.5,361.5,409.6,319.6,405.9,317.9,368.7,386.4,9.33,9.50,9.18,42.2,0.0,0.00,0.00,0.00,0.00,,
150.1039463,17:41:11,32.98,33.74,33.44,33.58,33.44,33.51,33.45,33.38,33.56,33.32,33.10,32.72,33.55,33.42,33.37,33.66,33.58,33.47,33.58,24.65,33.59,33.79,25.60,33.59,33.44,33.40,33.44,33.36,33.47,33.55,33.52,33.50,33.50,33.58,644.0,137.2,365.8,342.1,377.3,333.1,348.8,391.7,361.1,435.8,704.3,879.7,312.1,357.9,392.3,197.3,301.6,236.6,202.9,0.0,314.4,132.2,0.0,301.8,352.3,357.4,352.5,372.0,420.0,319.3,415.6,322.5,372.4,394.7,9.39,9.55,9.23,42.0,0.0,0.00,0.00,0.00,0.00,,
180.1192447,17:41:41,33.05,33.77,33.47,33.61,33.49,33.54,33.48,33.40,33.60,33.35,33.19,32.90,33.57,33.48,33.40,33.69,33.61,33.47,33.62,24.46,33.56,33.79,25.51,33.59,33.47,33.42,33.46,33.40,33.53,33.57,33.56,33.56,33.58,33.59,657.0,141.4,372.8,349.2,384.8,338.7,355.8,398.9,365.0,445.4,712.6,880.3,314.9,357.8,399.4,202.2,306.7,246.5,204.0,0.0,322.1,136.9,0.0,307.9,356.3,368.9,361.6,381.7,424.7,321.6,420.0,326.1,383.7,398.3,9.40,9.56,9.22,42.0,0.0,0.00,0.00,0.00,0.00,,
210.1325584,17:42:11,33.13,33.76,33.53,33.63,33.53,33.57,33.52,33.44,33.63,33.41,33.30,33.07,33.62,33.51,33.46,33.73,33.64,33.50,33.65,24.31,33.60,33.81,25.43,33.61,33.53,33.48,33.50,33.44,33.60,33.59,33.59,33.60,33.59,33.62,664.2,143.9,377.1,353.7,385.4,344.1,361.4,404.9,369.1,449.6,713.6,879.6,314.5,361.8,404.3,200.7,309.3,253.4,210.7,0.0,328.5,141.5,0.0,313.7,358.2,373.6,369.9,387.3,433.0,324.9,421.5,327.5,386.8,401.1,9.38,9.56,9.18,42.0,0.0,0.00,0.00,0.00,0.00,,
240.1468464,17:42:41,33.23,33.80,33.56,33.66,33.56,33.61,33.57,33.49,33.65,33.45,33.35,33.16,33.64,33.58,33.52,33.74,33.67,33.52,33.68,24.13,33.63,33.83,25.34,33.63,33.53,33.49,33.53,33.48,33.63,33.65,33.62,33.66,33.63,33.64,666.7,147.1,380.7,357.8,392.7,347.5,364.8,408.3,372.7,456.6,719.3,886.4,316.9,359.1,406.7,201.4,314.6,261.2,214.1,0.0,333.2,142.8,0.0,319.9,364.6,376.7,372.6,395.0,431.9,332.1,427.0,326.7,391.4,401.8,9.31,9.49,9.12,42.2,0.0,0.00,0.00,0.00,0.00,,
270.1766264,17:43:11,33.33,33.80,33.61,33.70,33.61,33.64,33.60,33.54,33.70,33.51,33.44,33.27,33.69,33.63,33.56,33.78,33.70,33.55,33.73,23.94,33.66,33.84,25.26,33.64,33.63,33.56,33.58,33.53,33.60,33.66,33.68,33.69,33.64,33.67,668.9,149.7,385.9,357.9,393.6,350.7,367.8,412.0,374.4,461.5,722.5,889.1,317.8,361.3,409.6,204.4,318.0,264.4,218.6,0.0,338.9,142.7,0.0,324.0,371.9,380.4,376.8,398.6,437.0,333.2,428.9,327.9,402.8,402.1,9.25,9.44,9.04,42.4,0.0,0.00,0.00,0.00,0.00,,
