[Test Data]
Format 2
Experiment Type:,dry
Test Date:,31/10/2018,09:00:02
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\LowCurv_RadOn_Wind0.3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0158793,09:00:32,34.02,34.19,34.02,34.08,34.04,34.09,34.01,34.01,34.03,34.02,34.04,34.16,33.97,34.23,33.95,34.00,33.98,34.04,34.07,23.77,34.02,34.01,24.16,33.99,34.05,34.00,34.04,33.98,34.00,34.03,33.99,34.01,34.03,34.02,371.0,75.5,238.2,260.6,245.1,264.5,256.1,279.8,255.1,300.6,400.4,432.1,202.4,188.0,261.6,147.6,223.9,196.2,118.2,103.4,286.1,98.1,144.2,250.3,252.7,226.6,253.9,253.8,310.2,268.7,308.4,293.8,330.7,329.1,1.30,1.04,1.58,46.4,0.0,0.00,0.00,0.00,0.00,,
60.0306967,09:01:02,34.21,34.41,34.17,34.30,34.24,34.26,34.19,34.19,34.21,34.23,34.30,34.28,34.14,34.36,34.12,34.18,34.21,34.19,34.28,24.81,34.17,34.21,25.25,34.13,34.23,34.18,34.21,34.15,34.14,34.19,34.15,34.18,34.18,34.20,419.0,119.7,297.7,310.6,309.9,310.3,308.6,332.6,309.4,347.4,458.7,500.7,263.6,243.8,318.3,202.0,270.8,238.6,168.7,278.6,338.8,157.0,283.3,296.3,303.4,282.0,311.3,307.5,360.8,325.1,363.0,353.4,372.3,379.9,1.37,1.06,1.69,46.2,0.0,0.00,0.00,0.00,0.00,,
90.0465142,09:01:32,34.52,34.75,34.46,34.62,34.53,34.59,34.54,34.51,34.56,34.50,34.71,34.53,34.43,34.62,34.40,34.52,34.58,34.47,34.59,25.91,34.47,34.56,26.53,34.42,34.57,34.48,34.54,34.46,34.44,34.51,34.49,34.53,34.51,34.50,461.2,145.4,334.5,341.1,347.3,343.5,340.5,366.1,343.8,386.0,484.5,559.1,300.6,282.1,347.4,241.3,304.9,270.6,206.6,347.0,377.0,190.2,341.7,336.0,343.2,316.8,350.6,350.1,404.0,357.3,392.9,394.1,411.1,415.5,1.43,1.07,1.80,46.1,0.0,0.00,0.00,0.00,0.00,,
120.0598499,09:02:02,34.85,35.14,34.83,35.01,34.93,34.92,34.90,34.88,34.94,34.87,35.11,34.93,34.80,34.96,34.76,34.88,34.98,34.79,34.96,27.18,34.77,34.95,27.65,34.76,34.94,34.83,34.87,34.80,34.73,34.84,34.81,34.86,34.80,34.87,480.7,160.2,357.9,354.4,368.6,360.7,355.2,388.8,365.8,404.9,497.7,575.8,326.3,304.8,369.1,254.1,317.4,291.3,217.9,384.6,406.6,209.5,366.3,358.8,361.1,344.9,371.1,370.3,429.8,379.3,414.6,411.3,435.7,433.7,1.47,1.07,1.88,46.1,0.0,0.00,0.00,0.00,0.00,,
150.0747307,09:02:32,35.27,35.50,35.19,35.39,35.30,35.29,35.33,35.25,35.34,35.26,35.54,35.37,35.19,35.32,35.11,35.31,35.41,35.19,35.36,28.27,35.13,35.32,28.88,35.12,35.33,35.18,35.26,35.19,35.11,35.24,35.21,35.26,35.24,35.24,492.4,165.9,370.0,356.6,378.4,372.2,359.9,397.5,371.2,412.9,493.1,575.1,339.0,317.9,385.3,261.3,320.3,301.8,232.3,393.6,417.4,215.4,379.6,373.5,367.9,356.5,382.7,385.4,449.2,391.5,428.3,425.7,444.7,446.8,1.51,1.07,1.94,46.1,0.0,0.00,0.00,0.00,0.00,,
180.0905256,09:03:02,35.62,35.87,35.56,35.75,35.65,35.65,35.66,35.61,35.70,35.62,35.87,35.78,35.55,35.68,35.51,35.68,35.76,35.55,35.72,29.45,35.48,35.71,29.87,35.48,35.71,35.57,35.63,35.56,35.49,35.60,35.58,35.62,35.57,35.63,494.7,164.6,377.0,361.6,383.2,376.7,365.1,402.4,373.6,416.5,498.0,567.5,344.4,320.8,388.7,260.5,320.8,305.8,229.5,392.0,424.6,218.4,376.9,380.5,372.5,360.3,384.6,388.1,454.4,396.6,432.3,427.0,453.6,450.1,1.54,1.08,2.01,46.0,0.0,0.00,0.00,0.00,0.00,,
210.1048396,09:03:32,35.95,36.20,35.90,36.07,35.98,35.99,36.02,35.96,36.04,35.94,36.17,36.12,35.92,36.03,35.84,36.07,36.11,35.94,36.06,30.39,35.85,36.06,30.87,35.83,36.01,35.90,35.98,35.93,35.85,35.97,35.93,35.99,35.98,35.97,499.0,160.1,376.3,360.3,385.9,376.9,363.0,402.8,373.6,418.7,498.5,562.0,343.1,319.5,390.4,255.3,318.6,302.4,228.8,384.7,428.3,217.1,363.1,383.4,373.4,362.0,383.5,388.1,458.7,396.5,433.4,424.9,448.3,447.9,1.57,1.09,2.05,45.9,0.0,0.00,0.00,0.00,0.00,,
240.1196732,09:04:02,36.28,36.53,36.24,36.39,36.31,36.30,36.34,36.27,36.34,36.27,36.47,36.44,36.26,36.35,36.22,36.40,36.42,36.30,36.38,31.33,36.19,36.37,31.69,36.18,36.38,36.27,36.34,36.26,36.15,36.30,36.27,36.34,36.30,36.30,496.1,152.8,374.1,359.0,383.1,374.8,359.9,401.1,369.8,418.3,493.3,555.6,338.9,313.5,387.1,248.5,312.6,296.6,225.3,371.9,426.4,211.2,345.5,379.4,368.4,357.1,380.9,385.0,455.8,392.1,430.2,422.2,445.7,445.8,1.59,1.10,2.08,45.9,0.0,0.00,0.00,0.00,0.00,,
270.1324612,09:04:32,36.57,36.81,36.53,36.66,36.58,36.59,36.62,36.56,36.63,36.54,36.71,36.70,36.55,36.64,36.50,36.70,36.70,36.63,36.68,32.12,36.49,36.67,32.48,36.50,36.61,36.54,36.61,36.57,36.44,36.59,36.53,36.61,36.56,36.56,489.7,143.6,368.5,353.8,381.0,370.9,353.6,395.4,365.8,417.8,486.5,548.6,332.2,305.9,387.9,239.3,305.7,288.4,216.0,360.8,417.2,202.2,326.9,371.9,363.1,348.1,373.9,379.5,449.8,386.1,428.7,414.4,443.5,437.3,1.60,1.10,2.11,45.8,0.0,0.00,0.00,0.00,0.00,,
