[Test Data]
Format 2
Experiment Type:,dry
Test Date:,30/10/2018,15:49:15
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\LowCurv_RadOn_Wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0033939,15:49:45,35.21,34.26,34.64,34.48,34.64,34.56,34.60,34.67,34.57,34.79,35.19,36.19,34.53,34.78,34.77,34.43,34.49,34.46,34.46,21.38,34.41,34.26,24.13,34.45,34.65,34.66,34.63,34.70,34.58,34.59,34.60,34.67,34.52,34.48,454.2,62.6,282.8,269.5,276.6,246.8,264.6,318.8,247.3,351.3,430.6,415.5,230.6,187.5,293.0,134.6,232.9,223.9,160.5,0.0,307.6,107.2,0.0,296.0,256.5,286.0,264.5,286.9,336.1,217.7,342.0,212.6,331.4,337.7,8.82,8.85,8.78,42.3,0.0,0.00,0.00,0.00,0.00,,
60.0197331,15:50:15,35.18,34.29,34.65,34.49,34.63,34.56,34.60,34.69,34.58,34.83,35.10,36.01,34.54,34.73,34.74,34.44,34.50,34.53,34.46,21.56,34.45,34.26,24.22,34.46,34.62,34.69,34.64,34.71,34.60,34.58,34.58,34.64,34.52,34.48,427.1,50.9,266.4,256.8,260.9,235.2,252.1,302.1,235.1,325.2,414.7,393.1,218.2,175.6,282.7,123.2,218.2,206.0,148.0,0.0,288.3,99.9,0.0,281.2,249.7,264.6,248.5,270.7,327.0,203.3,332.7,201.7,324.3,323.2,8.77,8.78,8.75,42.5,0.0,0.00,0.00,0.00,0.00,,
90.0325611,15:50:45,35.07,34.29,34.62,34.46,34.60,34.54,34.56,34.65,34.54,34.80,34.96,35.69,34.52,34.69,34.68,34.41,34.48,34.56,34.46,21.74,34.45,34.24,24.34,34.47,34.62,34.67,34.63,34.69,34.55,34.54,34.54,34.58,34.50,34.51,415.1,44.8,258.6,249.1,249.9,224.7,244.6,292.9,225.8,311.7,410.8,395.5,207.3,168.8,277.7,116.7,211.1,193.7,143.4,0.0,280.9,94.6,0.0,271.6,234.8,261.0,238.7,259.0,318.1,202.5,328.1,199.0,318.3,315.8,8.73,8.73,8.71,42.4,0.0,0.00,0.00,0.00,0.00,,
120.0483794,15:51:15,35.00,34.30,34.60,34.43,34.56,34.50,34.53,34.62,34.49,34.73,34.90,35.37,34.49,34.62,34.63,34.37,34.44,34.56,34.43,21.88,34.45,34.24,24.44,34.46,34.55,34.66,34.60,34.66,34.49,34.47,34.49,34.52,34.46,34.45,403.1,37.7,247.1,244.0,242.0,221.7,237.3,284.6,224.3,303.5,399.9,410.5,200.5,163.3,274.8,112.4,204.7,184.5,138.1,0.0,269.7,93.5,0.0,265.1,230.3,246.6,230.7,250.9,305.9,196.7,322.0,194.3,314.2,309.2,8.69,8.67,8.71,42.6,0.0,0.00,0.00,0.00,0.00,,
150.0622223,15:51:45,34.93,34.29,34.56,34.40,34.52,34.46,34.48,34.57,34.43,34.67,34.80,35.09,34.45,34.55,34.59,34.34,34.41,34.55,34.39,22.00,34.40,34.22,24.53,34.43,34.55,34.56,34.54,34.57,34.47,34.40,34.43,34.49,34.44,34.42,394.7,33.1,238.8,237.8,234.8,217.4,230.8,278.2,218.5,298.0,392.5,428.7,194.3,160.1,267.3,108.6,199.8,176.2,130.3,0.0,268.9,93.1,0.0,259.8,229.1,242.2,220.4,242.9,311.5,201.0,319.6,187.8,303.0,307.3,8.69,8.63,8.74,42.7,0.0,0.00,0.00,0.00,0.00,,
180.0760092,15:52:15,34.84,34.27,34.50,34.36,34.46,34.42,34.43,34.52,34.39,34.62,34.68,34.90,34.40,34.47,34.54,34.30,34.36,34.52,34.40,22.14,34.43,34.21,24.61,34.41,34.48,34.51,34.47,34.55,34.47,34.36,34.42,34.37,34.40,34.39,383.7,30.2,232.6,234.8,230.9,212.4,228.1,272.8,216.5,290.0,393.2,436.3,190.6,157.8,260.0,106.5,196.8,171.1,127.5,0.0,263.6,86.7,0.0,253.5,218.7,233.6,217.6,239.2,299.0,193.5,316.3,190.1,308.4,302.5,8.70,8.61,8.79,42.7,0.0,0.00,0.00,0.00,0.00,,
210.0928328,15:52:45,34.74,34.25,34.43,34.32,34.41,34.36,34.38,34.47,34.35,34.54,34.57,34.77,34.35,34.41,34.49,34.28,34.31,34.48,34.31,22.29,34.40,34.19,24.68,34.38,34.39,34.46,34.43,34.48,34.35,34.34,34.39,34.32,34.36,34.36,380.5,26.8,231.5,232.5,230.0,210.8,225.3,269.9,214.6,285.6,395.0,436.4,191.3,157.3,256.8,106.2,196.8,166.8,125.9,0.0,257.0,85.0,0.0,248.4,218.7,232.3,217.1,233.5,307.8,189.9,312.1,190.7,304.3,298.2,8.71,8.59,8.84,42.6,0.0,0.00,0.00,0.00,0.00,,
240.1061411,15:53:15,34.65,34.22,34.40,34.29,34.35,34.32,34.35,34.42,34.29,34.47,34.52,34.61,34.32,34.35,34.43,34.24,34.28,34.44,34.30,22.43,34.33,34.14,24.75,34.35,34.37,34.42,34.39,34.43,34.34,34.27,34.30,34.31,34.35,34.32,378.0,26.1,228.0,230.2,228.9,211.2,224.6,266.5,218.3,286.7,391.3,445.5,188.3,157.4,255.4,104.5,195.6,164.5,119.4,0.0,253.3,87.8,0.0,245.6,221.4,226.5,213.8,232.6,296.8,191.4,312.7,189.5,302.2,300.5,8.75,8.60,8.91,42.5,0.0,0.00,0.00,0.00,0.00,,
270.1209039,15:53:45,34.57,34.20,34.35,34.26,34.31,34.28,34.30,34.37,34.24,34.40,34.46,34.52,34.27,34.30,34.37,34.21,34.25,34.40,34.25,22.58,34.31,34.14,24.81,34.32,34.31,34.37,34.35,34.37,34.34,34.27,34.26,34.25,34.28,34.28,376.1,23.1,226.8,228.0,226.8,209.1,222.5,264.5,216.6,285.3,386.5,445.8,189.1,157.0,254.4,104.0,193.1,160.7,119.0,0.0,254.9,86.8,0.0,242.3,219.8,226.2,214.6,232.5,295.8,188.9,311.5,186.4,300.9,299.6,8.80,8.61,9.00,42.4,0.0,0.00,0.00,0.00,0.00,,
