[Test Data]
Format 2
Experiment Type:,dry
Test Date:,30/10/2018,14:35:05
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\LowCurv_RadOn_Wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0323152,14:35:35,33.88,33.77,34.10,34.09,34.04,34.04,34.11,34.12,34.05,34.03,34.09,34.11,34.06,34.21,34.07,33.98,34.01,33.98,34.01,21.13,34.01,34.00,24.14,34.02,34.07,34.06,34.04,34.04,34.03,34.02,34.03,34.02,34.01,34.04,680.0,233.1,378.3,342.2,386.5,344.1,343.4,388.4,347.7,473.0,696.4,887.9,296.7,334.7,405.0,210.0,320.1,280.5,232.9,0.0,355.1,146.0,0.0,349.2,360.5,370.5,363.0,404.8,421.5,328.1,413.3,339.5,409.7,413.1,8.86,8.96,8.76,42.7,0.0,0.00,0.00,0.00,0.00,,
60.0461098,14:36:06,33.92,34.04,34.07,34.04,34.04,34.05,34.05,34.04,34.02,34.00,34.04,34.05,34.03,34.22,34.01,34.03,33.99,33.99,33.97,21.13,34.01,33.99,24.13,34.01,34.01,34.01,34.00,34.02,34.03,34.02,34.00,34.00,34.02,34.00,674.5,199.3,380.3,348.7,386.5,340.2,352.4,397.6,351.5,476.8,709.7,900.0,301.4,330.5,412.7,204.6,322.9,278.9,230.9,0.0,353.2,146.6,0.0,350.6,366.9,374.0,366.7,405.8,428.6,329.4,416.9,339.3,411.1,416.9,8.91,8.99,8.84,42.7,0.0,0.00,0.00,0.00,0.00,,
90.0628506,14:36:36,33.93,34.17,34.06,34.02,34.04,34.04,34.02,34.00,34.01,33.98,34.01,34.01,34.01,34.20,33.99,34.03,33.99,33.99,33.98,21.11,34.00,33.99,24.11,34.00,34.01,33.98,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,671.5,179.5,380.8,349.7,385.5,342.3,356.2,402.6,354.6,477.5,714.9,905.2,303.3,324.7,416.4,202.6,324.4,278.8,230.8,0.0,354.4,146.4,0.0,351.3,367.0,376.4,368.6,408.5,424.1,331.5,417.5,338.9,413.1,415.5,8.93,8.98,8.88,42.6,0.0,0.00,0.00,0.00,0.00,,
120.0775787,14:37:06,33.93,34.23,34.03,34.02,34.03,34.04,34.01,33.98,34.01,33.99,34.00,34.02,33.99,34.16,33.97,34.05,33.97,33.98,33.98,21.13,33.99,33.99,24.11,34.00,33.98,33.95,33.99,33.99,33.97,33.99,34.00,33.99,34.00,34.01,670.8,165.8,384.2,350.7,384.6,341.8,358.4,405.0,353.5,476.5,716.8,903.8,306.5,325.8,418.3,199.9,327.0,278.3,235.6,0.0,356.3,147.6,0.0,351.5,369.1,380.4,368.2,410.8,429.0,335.8,416.1,344.2,414.3,415.8,8.92,8.96,8.88,42.6,0.0,0.00,0.00,0.00,0.00,,
150.0912944,14:37:36,33.97,34.29,34.03,34.01,34.04,34.03,34.01,33.97,34.01,33.98,34.02,34.02,33.99,34.13,33.98,34.03,33.99,33.99,33.99,21.11,34.00,33.99,24.08,33.99,34.02,33.96,33.98,33.99,34.00,34.00,33.98,34.01,34.00,34.01,669.1,154.9,383.8,352.1,384.4,341.7,357.9,407.1,353.5,477.6,715.0,901.1,307.8,325.1,420.2,198.6,326.4,277.5,235.1,0.0,357.7,148.7,0.0,352.9,373.5,381.3,370.2,410.6,429.2,332.0,418.8,338.0,410.2,418.8,8.92,8.96,8.88,42.6,0.0,0.00,0.00,0.00,0.00,,
180.1060493,14:38:06,33.96,34.31,34.03,34.00,34.04,34.02,34.01,33.97,33.99,33.97,34.01,34.00,33.99,34.11,33.98,34.01,33.99,34.00,33.97,21.11,34.00,33.99,24.08,34.00,33.98,33.97,33.99,33.98,33.99,33.98,33.98,33.98,34.00,34.01,668.0,143.4,383.4,353.2,382.6,341.3,357.8,406.7,353.4,478.7,716.0,907.4,308.2,326.4,417.5,202.6,325.7,278.4,240.9,0.0,357.6,150.1,0.0,352.2,369.6,378.5,371.8,411.4,428.0,334.2,418.4,342.7,411.9,418.8,8.91,8.94,8.88,42.5,0.0,0.00,0.00,0.00,0.00,,
210.1193015,14:38:36,33.98,34.30,34.02,34.00,34.02,34.02,34.01,33.96,34.01,33.99,34.02,34.02,34.00,34.10,33.98,34.03,33.99,34.00,33.98,21.08,33.98,34.00,24.06,34.00,34.00,33.98,33.99,33.98,34.00,33.97,33.99,33.99,33.96,34.01,667.6,139.5,382.7,353.0,383.7,341.2,357.2,407.5,352.8,476.6,714.8,899.1,306.0,324.1,418.9,201.6,325.4,278.1,236.7,0.0,358.3,148.3,0.0,351.7,367.3,381.9,370.2,412.1,429.0,331.4,419.0,343.8,412.7,417.8,8.89,8.92,8.86,42.5,0.0,0.00,0.00,0.00,0.00,,
240.1345729,14:39:06,33.98,34.30,34.03,34.00,34.03,34.03,34.01,33.97,34.00,33.98,34.02,34.01,34.00,34.09,34.00,34.01,34.00,34.00,33.98,21.07,33.98,33.99,24.06,34.00,33.98,33.97,34.00,34.00,34.00,33.99,34.00,33.99,33.98,34.00,667.1,132.3,381.7,353.0,381.8,340.7,356.6,409.3,352.1,477.6,714.1,902.2,305.2,323.1,416.0,200.1,324.6,276.2,240.9,0.0,357.6,150.3,0.0,352.8,370.6,382.4,369.6,410.7,429.8,332.9,422.0,345.8,414.7,417.6,8.87,8.90,8.85,42.6,0.0,0.00,0.00,0.00,0.00,,
270.1568451,14:39:36,33.99,34.28,34.01,33.99,34.02,34.01,34.00,33.97,34.00,34.00,34.00,33.99,33.99,34.07,33.99,34.02,34.00,34.01,34.02,21.08,33.99,33.99,24.04,34.00,33.99,33.98,34.00,33.99,33.98,34.00,34.00,33.99,34.00,34.00,666.4,129.2,382.8,353.0,381.4,340.9,357.8,407.2,349.9,477.1,716.8,907.0,304.8,325.6,417.9,198.1,325.5,275.7,237.0,0.0,357.2,150.3,0.0,352.7,370.1,381.3,368.4,410.2,427.1,329.1,417.7,340.7,414.2,416.4,8.88,8.91,8.86,42.5,0.0,0.00,0.00,0.00,0.00,,
