[Test Data]
Format 2
Experiment Type:,dry
Test Date:,31/10/2018,13:55:58
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\MidCurv_RadOff_Wind0.3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0078524,13:56:28,37.97,37.88,37.95,37.96,37.95,37.97,37.93,37.99,37.98,38.00,37.90,37.98,37.98,37.71,38.00,37.98,37.99,37.97,38.01,36.25,38.00,37.99,36.26,38.01,37.99,37.99,38.00,38.01,38.02,37.97,38.01,38.01,38.04,37.99,384.2,56.0,268.1,271.8,276.0,280.2,281.8,300.0,281.5,336.2,449.3,497.1,223.2,242.0,289.3,136.4,241.1,152.4,91.4,170.0,269.1,75.7,164.7,248.4,256.3,236.7,248.3,251.7,345.0,292.0,353.2,294.8,357.5,365.1,1.75,1.62,1.86,48.3,0.0,0.00,0.00,0.00,0.00,,
60.0356611,13:56:58,37.96,37.85,37.95,37.96,37.95,37.95,37.95,37.99,37.99,37.98,37.91,37.99,37.98,37.72,37.98,37.98,37.99,37.98,37.99,36.31,38.00,38.01,36.34,38.00,37.98,37.95,37.98,37.99,37.97,38.02,38.00,37.99,38.00,37.98,383.8,65.5,270.3,273.4,277.1,280.6,282.1,298.9,280.8,338.2,449.1,499.5,223.8,246.7,290.4,137.5,239.8,153.9,87.1,152.1,267.9,75.2,147.3,249.3,262.3,238.7,248.0,253.5,351.4,287.1,356.6,300.0,357.5,364.9,1.69,1.59,1.79,48.4,0.0,0.00,0.00,0.00,0.00,,
90.0480093,13:57:28,37.97,37.82,37.94,37.96,37.95,37.96,37.94,37.99,37.98,37.99,37.94,37.96,37.97,37.76,37.99,37.98,38.00,37.98,37.99,36.31,37.98,38.01,36.35,37.99,37.99,37.97,37.99,37.99,38.02,37.98,38.00,38.00,38.02,38.01,383.3,71.6,273.6,274.1,279.0,281.9,284.3,300.1,284.9,338.0,448.8,506.9,225.5,249.5,289.3,138.9,240.7,155.0,87.3,144.3,273.1,75.2,135.4,248.9,259.4,236.8,245.0,255.2,349.3,288.3,352.7,300.7,357.1,362.2,1.65,1.56,1.71,48.4,0.0,0.00,0.00,0.00,0.00,,
120.0533175,13:57:58,37.99,37.83,37.95,37.96,37.97,37.96,37.95,38.00,37.99,37.98,37.95,38.00,37.98,37.77,37.98,37.97,37.99,37.98,38.00,36.30,38.00,38.00,36.32,37.99,37.99,37.99,37.98,37.99,37.97,38.01,38.00,37.98,38.02,38.01,378.9,76.6,273.9,276.1,275.3,282.5,284.4,298.4,280.5,339.3,446.3,499.6,225.6,249.6,290.4,139.0,240.8,154.7,94.2,138.7,269.2,73.5,128.6,250.2,257.5,238.6,246.4,255.4,349.0,286.8,353.0,300.2,357.3,361.6,1.61,1.56,1.65,48.5,0.0,0.00,0.00,0.00,0.00,,
150.068141,13:58:29,37.96,37.82,37.95,37.99,37.97,37.97,37.97,37.99,37.99,38.00,37.95,38.03,37.98,37.82,38.00,37.97,37.99,37.99,38.01,36.29,37.98,38.00,36.32,37.98,37.96,37.99,38.00,38.00,38.02,38.00,38.03,38.00,37.97,38.02,383.5,79.1,274.8,274.1,275.6,281.7,283.5,299.4,280.5,337.0,448.0,493.2,226.2,249.5,289.3,141.9,242.5,155.1,90.5,135.4,267.1,73.4,124.9,252.5,263.2,238.3,248.4,254.0,344.4,286.2,352.5,296.5,347.5,363.9,1.58,1.55,1.60,48.6,0.0,0.00,0.00,0.00,0.00,,
180.0814807,13:58:59,37.96,37.83,37.96,37.96,37.97,37.98,37.95,37.99,37.98,38.00,37.95,38.02,37.97,37.83,38.00,37.99,38.00,37.97,38.00,36.25,38.01,38.00,36.26,37.98,37.97,37.99,38.00,38.00,38.04,38.01,37.98,38.02,38.03,38.00,385.9,82.8,274.9,275.8,279.8,279.8,284.9,298.5,282.4,335.9,448.4,493.7,228.1,251.5,289.0,140.2,241.4,156.8,88.6,131.7,266.0,74.7,121.5,250.9,261.8,235.5,244.4,254.4,346.9,281.5,352.9,300.8,355.8,365.7,1.54,1.52,1.56,48.7,0.0,0.00,0.00,0.00,0.00,,
210.1053413,13:59:29,37.98,37.86,37.97,37.96,37.97,37.97,37.97,37.99,37.99,38.00,38.00,37.97,37.98,37.84,37.99,37.97,37.97,37.97,37.99,36.23,38.00,37.98,36.25,37.98,38.02,38.01,38.01,38.00,37.99,37.96,38.00,37.99,37.99,37.98,384.7,81.8,273.5,278.5,277.9,284.1,284.3,298.7,284.0,339.2,442.1,502.0,226.3,251.4,290.0,141.2,244.8,156.3,89.3,128.9,268.5,74.4,116.7,252.5,255.3,236.8,246.1,255.9,351.5,288.5,354.8,298.9,359.2,367.9,1.52,1.51,1.53,48.8,0.0,0.00,0.00,0.00,0.00,,
240.1106682,13:59:59,37.99,37.88,37.98,37.98,37.98,37.98,37.99,38.01,37.99,38.02,37.99,37.99,37.99,37.87,37.99,37.98,38.00,37.98,38.00,36.18,37.99,38.01,36.21,37.98,38.00,38.00,38.00,37.99,37.97,37.98,37.95,37.99,37.99,37.99,382.3,82.6,272.5,279.3,277.4,283.1,283.0,298.1,283.8,334.7,441.9,501.7,226.1,250.5,289.9,142.1,240.3,157.2,91.5,130.4,264.9,74.4,119.1,252.0,259.7,234.6,244.5,256.7,350.4,280.2,356.5,298.4,359.8,365.6,1.50,1.50,1.50,48.8,0.0,0.00,0.00,0.00,0.00,,
270.1245088,14:00:29,37.98,37.88,37.99,37.97,37.98,37.98,37.99,38.00,37.98,38.00,38.00,38.00,38.00,37.89,37.99,37.98,38.00,37.99,38.02,36.16,38.00,37.99,36.19,38.00,38.00,38.01,37.99,38.00,37.98,38.02,38.00,38.02,37.95,37.98,384.4,82.7,271.9,278.0,277.7,283.9,282.5,297.6,283.0,337.1,440.4,497.8,226.3,252.2,290.6,142.6,242.3,157.1,92.1,129.7,267.6,72.8,117.4,250.4,258.8,236.9,248.3,254.6,348.7,284.7,351.5,298.8,355.6,367.0,1.48,1.48,1.47,48.9,0.0,0.00,0.00,0.00,0.00,,
