[Test Data]
Format 2
Experiment Type:,dry
Test Date:,30/10/2018,08:45:57
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\MidCurv_RadOff_Wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0252782,08:46:27,33.40,33.85,33.66,33.80,33.68,33.80,33.74,33.66,33.68,33.59,33.50,33.06,33.67,33.67,33.54,33.80,33.84,33.84,33.89,26.14,33.82,33.90,26.40,33.83,33.73,33.57,33.76,33.60,33.53,33.88,33.54,33.87,33.66,33.70,365.2,82.4,230.5,228.1,233.9,223.6,228.2,244.5,232.9,280.9,409.9,521.0,195.0,221.0,257.1,123.2,178.9,148.7,103.0,0.0,213.4,80.3,0.0,204.5,211.4,223.3,205.7,228.7,310.1,206.3,302.7,211.9,280.1,289.7,9.03,8.96,9.09,43.9,0.0,0.00,0.00,0.00,0.00,,
60.039508,08:46:57,33.43,33.86,33.68,33.80,33.70,33.80,33.75,33.66,33.70,33.59,33.56,33.23,33.68,33.69,33.56,33.81,33.84,33.82,33.88,26.11,33.80,33.90,26.39,33.82,33.76,33.58,33.78,33.60,33.56,33.89,33.56,33.89,33.68,33.71,372.0,85.3,237.3,232.4,235.5,227.8,235.1,251.9,238.6,290.9,414.3,517.8,203.3,227.5,262.5,126.4,181.6,153.0,107.9,0.0,220.0,82.1,0.0,212.2,215.4,230.7,209.6,239.5,317.4,209.3,311.3,213.1,284.0,292.5,9.00,8.96,9.05,43.8,0.0,0.00,0.00,0.00,0.00,,
90.0537086,08:47:27,33.47,33.86,33.70,33.81,33.72,33.80,33.76,33.68,33.71,33.60,33.60,33.33,33.71,33.71,33.59,33.83,33.85,33.82,33.90,26.10,33.79,33.90,26.37,33.83,33.76,33.59,33.79,33.62,33.58,33.89,33.60,33.89,33.70,33.71,380.9,86.7,240.0,236.6,240.9,230.7,238.4,256.7,242.6,300.5,418.2,515.7,206.8,229.7,267.8,128.5,185.5,156.5,108.7,0.0,224.4,81.6,0.0,215.5,217.8,237.8,214.5,246.0,322.3,210.5,315.5,211.8,289.0,299.8,8.98,8.95,9.02,44.0,0.0,0.00,0.00,0.00,0.00,,
120.0683807,08:47:57,33.51,33.87,33.71,33.82,33.73,33.82,33.78,33.71,33.72,33.61,33.66,33.40,33.73,33.75,33.65,33.84,33.85,33.84,33.90,26.08,33.79,33.90,26.36,33.83,33.78,33.62,33.80,33.66,33.63,33.92,33.66,33.90,33.73,33.74,385.0,87.9,245.8,240.2,244.5,232.5,240.1,259.7,247.6,306.9,418.3,520.9,208.7,230.7,269.3,130.4,189.2,157.3,109.9,0.0,228.8,85.0,0.0,217.5,217.3,241.6,216.0,249.6,322.9,208.3,316.0,214.6,291.0,301.8,8.98,8.96,9.00,44.0,0.0,0.00,0.00,0.00,0.00,,
150.0835836,08:48:27,33.58,33.90,33.75,33.84,33.76,33.84,33.81,33.73,33.74,33.65,33.70,33.48,33.77,33.77,33.69,33.85,33.87,33.84,33.90,26.06,33.80,33.92,26.35,33.84,33.82,33.68,33.80,33.71,33.67,33.95,33.69,33.92,33.78,33.76,385.7,89.0,247.1,240.4,247.1,233.3,240.2,260.9,250.0,309.1,418.1,525.1,210.8,231.9,270.9,132.5,188.4,159.7,110.5,0.0,230.6,83.8,0.0,219.9,220.3,242.8,219.6,249.4,328.2,208.7,320.5,213.2,292.5,303.7,8.96,8.95,8.97,44.1,0.0,0.00,0.00,0.00,0.00,,
180.0993296,08:48:57,33.63,33.90,33.77,33.87,33.77,33.86,33.84,33.78,33.77,33.67,33.77,33.52,33.81,33.81,33.75,33.89,33.89,33.86,33.89,26.06,33.82,33.93,26.34,33.85,33.85,33.72,33.83,33.74,33.74,33.94,33.74,33.93,33.80,33.79,387.7,89.6,247.9,239.9,247.9,234.4,239.1,260.1,252.0,312.7,413.6,527.0,208.6,229.9,268.1,131.6,190.0,160.6,114.5,0.0,231.6,86.4,0.0,222.1,220.5,242.5,220.0,248.4,326.0,209.4,317.6,211.8,290.9,305.3,8.95,8.95,8.95,43.9,0.0,0.00,0.00,0.00,0.00,,
210.113518,08:49:27,33.69,33.92,33.81,33.88,33.80,33.87,33.87,33.80,33.79,33.71,33.81,33.60,33.83,33.83,33.78,33.88,33.90,33.87,33.92,26.05,33.84,33.93,26.32,33.88,33.86,33.77,33.86,33.78,33.76,33.95,33.78,33.93,33.82,33.82,386.5,89.4,247.7,241.9,250.1,236.1,238.7,262.0,251.3,315.7,413.3,524.8,209.0,230.1,267.9,131.9,189.6,162.4,113.7,0.0,234.1,84.5,0.0,222.9,222.4,241.4,219.1,249.4,329.6,208.8,319.7,212.9,295.3,307.1,8.95,8.95,8.95,44.0,0.0,0.00,0.00,0.00,0.00,,
240.1267401,08:49:57,33.72,33.93,33.83,33.88,33.84,33.90,33.89,33.82,33.82,33.74,33.83,33.69,33.85,33.85,33.79,33.91,33.91,33.89,33.94,26.03,33.85,33.94,26.32,33.88,33.87,33.78,33.86,33.80,33.78,33.97,33.80,33.93,33.84,33.83,388.1,89.3,249.3,242.2,250.3,234.9,239.4,262.4,252.5,316.4,413.2,520.2,209.3,230.8,272.2,131.7,190.0,161.7,113.1,0.0,234.2,86.7,0.0,223.9,221.2,244.4,219.7,251.7,330.1,209.3,321.1,214.7,293.9,307.9,8.94,8.95,8.93,43.9,0.0,0.00,0.00,0.00,0.00,,
270.1429646,08:50:27,33.76,33.94,33.86,33.91,33.85,33.92,33.89,33.85,33.85,33.78,33.85,33.74,33.87,33.89,33.83,33.93,33.92,33.90,33.92,26.01,33.87,33.95,26.30,33.90,33.90,33.82,33.89,33.83,33.83,33.98,33.83,33.96,33.87,33.86,388.3,88.6,250.6,242.1,252.2,234.4,241.2,262.6,251.7,316.4,413.7,516.2,208.1,230.5,269.6,131.3,191.1,162.2,114.6,0.0,237.3,86.1,0.0,223.2,223.6,243.2,217.8,251.8,328.9,206.7,318.1,212.8,295.6,306.1,8.93,8.95,8.91,44.0,0.0,0.00,0.00,0.00,0.00,,
