[Test Data]
Format 2
Experiment Type:,dry
Test Date:,30/10/2018,09:36:15
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\MidCurv_RadOff_Wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.018806,09:36:45,32.77,33.66,33.36,33.53,33.37,33.43,33.38,33.32,33.50,33.31,32.81,32.17,33.47,33.27,33.24,33.61,33.53,33.59,33.56,25.27,33.60,33.76,25.96,33.58,33.37,33.36,33.41,33.32,33.46,33.37,33.45,33.39,33.52,33.53,615.9,137.5,351.8,323.5,359.7,316.2,339.6,361.9,340.3,422.1,674.7,887.8,301.1,338.1,374.5,189.3,284.2,204.6,182.7,0.0,291.8,130.2,0.0,281.0,322.7,328.8,316.9,349.6,415.5,306.7,414.2,307.9,363.3,374.6,8.97,9.06,8.90,43.4,0.0,0.00,0.00,0.00,0.00,,
60.0575664,09:37:15,32.82,33.66,33.33,33.52,33.38,33.43,33.38,33.30,33.50,33.28,32.92,32.36,33.47,33.30,33.25,33.62,33.52,33.50,33.58,25.05,33.58,33.77,25.85,33.55,33.36,33.34,33.40,33.30,33.42,33.44,33.46,33.44,33.50,33.52,637.5,147.2,368.1,335.5,375.4,327.5,355.7,382.7,349.8,438.6,692.4,906.1,317.4,353.0,390.2,195.3,296.2,220.4,194.3,0.0,305.0,135.4,0.0,295.1,337.3,345.7,330.9,364.2,422.8,322.5,418.5,315.7,377.1,385.6,9.04,9.14,8.96,43.0,0.0,0.00,0.00,0.00,0.00,,
90.0623114,09:37:45,32.91,33.67,33.37,33.54,33.40,33.46,33.40,33.33,33.53,33.30,33.02,32.59,33.50,33.36,33.30,33.63,33.54,33.47,33.59,24.86,33.56,33.76,25.75,33.55,33.41,33.36,33.40,33.32,33.46,33.47,33.49,33.46,33.53,33.52,650.5,152.8,378.1,344.4,384.6,334.7,366.0,392.4,355.1,445.0,700.6,901.6,322.3,355.7,398.5,198.7,304.2,229.8,205.1,0.0,314.6,138.5,0.0,301.9,347.5,357.7,340.6,374.4,427.7,327.6,419.4,324.3,390.7,389.6,9.11,9.22,9.02,42.7,0.0,0.00,0.00,0.00,0.00,,
120.0775685,09:38:15,32.98,33.68,33.43,33.58,33.44,33.48,33.44,33.38,33.56,33.33,33.16,32.80,33.54,33.44,33.36,33.67,33.57,33.46,33.60,24.67,33.56,33.80,25.67,33.57,33.43,33.40,33.44,33.36,33.50,33.52,33.54,33.51,33.52,33.54,666.0,157.3,381.2,350.1,389.6,341.6,373.9,400.7,357.9,454.4,702.2,895.3,320.5,361.0,403.5,201.8,311.2,239.1,212.2,0.0,322.8,140.9,0.0,309.5,353.4,362.9,349.0,382.2,437.9,333.8,424.1,327.1,393.6,396.0,9.15,9.25,9.04,42.5,0.0,0.00,0.00,0.00,0.00,,
150.0933211,09:38:45,33.06,33.71,33.47,33.60,33.50,33.53,33.48,33.41,33.59,33.38,33.24,32.92,33.58,33.49,33.42,33.69,33.60,33.46,33.63,24.49,33.59,33.80,25.57,33.58,33.50,33.44,33.48,33.42,33.57,33.56,33.58,33.57,33.57,33.56,673.6,159.3,388.3,355.6,394.2,346.1,379.0,407.6,361.5,461.6,704.9,901.1,324.3,362.7,409.2,206.2,314.0,246.5,214.9,0.0,327.8,144.5,0.0,314.7,354.8,365.9,353.4,388.8,439.8,335.6,427.6,328.2,401.6,400.6,9.15,9.27,9.03,42.5,0.0,0.00,0.00,0.00,0.00,,
180.1080509,09:39:15,33.18,33.75,33.52,33.64,33.54,33.57,33.53,33.47,33.64,33.44,33.32,33.11,33.61,33.57,33.49,33.72,33.65,33.48,33.64,24.32,33.60,33.82,25.50,33.61,33.53,33.50,33.53,33.47,33.60,33.64,33.62,33.61,33.59,33.61,678.7,161.6,388.2,356.7,399.0,349.7,384.5,410.9,364.1,465.8,710.3,897.2,326.3,363.1,412.1,208.8,317.4,252.9,222.4,0.0,334.6,145.4,0.0,320.1,358.4,369.8,359.1,393.2,443.5,332.5,431.0,334.1,403.3,401.6,9.14,9.29,8.99,42.5,0.0,0.00,0.00,0.00,0.00,,
210.1218411,09:39:45,33.28,33.78,33.58,33.68,33.60,33.62,33.57,33.52,33.70,33.50,33.41,33.24,33.66,33.61,33.55,33.76,33.67,33.52,33.69,24.15,33.63,33.85,25.41,33.63,33.61,33.57,33.56,33.54,33.63,33.67,33.67,33.67,33.66,33.64,680.9,162.7,389.9,359.3,402.2,353.4,389.2,415.2,363.0,466.7,708.8,891.5,328.8,364.7,415.2,208.2,320.0,255.8,224.7,0.0,337.2,145.1,0.0,323.6,359.8,373.7,363.7,396.1,452.1,336.1,432.8,333.9,403.0,403.2,9.10,9.26,8.93,42.8,0.0,0.00,0.00,0.00,0.00,,
240.1355786,09:40:15,33.37,33.80,33.64,33.71,33.66,33.66,33.62,33.59,33.72,33.54,33.47,33.28,33.71,33.67,33.60,33.78,33.71,33.57,33.71,24.00,33.66,33.86,25.33,33.66,33.63,33.61,33.61,33.59,33.67,33.70,33.70,33.70,33.70,33.69,681.5,164.4,390.2,360.5,403.3,354.3,391.3,414.7,366.0,470.8,707.4,904.7,329.3,364.3,413.7,208.9,321.8,261.0,230.0,0.0,339.8,146.9,0.0,326.6,364.7,374.0,366.7,397.4,452.6,335.7,434.4,333.9,409.2,405.4,9.05,9.20,8.89,42.9,0.0,0.00,0.00,0.00,0.00,,
270.1503502,09:40:45,33.40,33.83,33.67,33.75,33.68,33.70,33.67,33.62,33.75,33.60,33.55,33.37,33.74,33.72,33.64,33.81,33.74,33.59,33.74,23.85,33.70,33.88,25.27,33.69,33.67,33.64,33.65,33.63,33.70,33.78,33.74,33.76,33.71,33.71,690.5,163.0,392.1,360.5,403.3,355.1,390.6,418.0,366.4,471.7,708.7,906.9,330.1,364.7,414.0,207.8,324.5,263.3,229.1,0.0,343.1,146.6,0.0,328.4,366.7,377.8,367.1,399.1,453.0,337.9,437.4,334.1,409.7,406.9,9.01,9.19,8.82,43.1,0.0,0.00,0.00,0.00,0.00,,
