[Test Data]
Format 2
Experiment Type:,dry
Test Date:,31/10/2018,12:45:09
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\MidCurv_RadOn_Wind0.3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0238901,12:45:39,38.26,39.18,38.06,38.04,38.05,38.04,38.06,38.01,38.02,38.00,38.05,38.02,38.04,38.40,38.03,38.03,38.01,38.04,38.03,36.78,38.01,38.02,36.84,38.00,38.00,37.98,38.00,37.99,38.01,38.00,38.01,38.00,38.04,38.02,374.3,134.3,265.4,270.0,265.4,278.4,276.3,293.9,275.8,328.4,447.1,487.2,214.8,209.6,290.9,130.1,239.3,159.3,87.3,200.5,261.8,74.2,188.4,246.8,258.2,244.6,246.7,261.4,349.1,296.3,355.6,309.7,365.4,356.7,1.32,1.20,1.46,49.4,0.0,0.00,0.00,0.00,0.00,,
60.0407301,12:46:09,38.28,39.19,38.06,38.04,38.05,38.05,38.04,38.01,38.02,38.02,38.06,38.04,38.04,38.36,38.03,38.03,38.01,38.04,38.03,36.85,38.00,38.01,36.91,38.01,38.00,38.01,38.01,38.00,38.01,38.00,38.01,38.00,38.07,38.03,363.2,104.1,263.6,271.1,265.2,276.8,275.6,294.2,272.2,325.7,441.6,488.0,213.4,204.6,289.9,130.6,240.2,158.7,92.0,171.4,262.2,74.6,158.2,245.1,254.0,242.2,247.7,260.7,349.3,291.3,355.5,309.4,358.7,357.1,1.36,1.21,1.51,49.3,0.0,0.00,0.00,0.00,0.00,,
90.0541176,12:46:39,38.28,39.16,38.06,38.05,38.04,38.04,38.04,38.01,38.03,38.02,38.01,38.06,38.03,38.33,38.02,38.04,38.02,38.06,38.03,36.85,38.01,38.02,36.88,38.02,38.02,38.03,38.03,38.00,38.06,38.03,38.04,38.02,38.03,38.03,355.4,85.1,264.5,270.4,266.4,276.9,275.7,294.7,270.7,324.9,447.0,485.6,212.8,203.7,290.3,130.5,239.0,158.3,86.6,157.1,261.1,73.6,138.0,246.0,253.2,238.9,245.2,261.5,338.7,288.9,351.1,308.7,359.6,357.0,1.40,1.23,1.58,49.3,0.0,0.00,0.00,0.00,0.00,,
120.0679225,12:47:09,38.21,39.08,38.03,38.04,38.03,38.04,38.02,38.02,38.02,38.01,38.03,38.07,38.04,38.29,38.03,38.05,38.02,38.06,38.02,36.81,38.02,38.02,36.84,38.02,38.04,38.00,38.02,38.01,38.03,38.01,38.03,38.01,38.05,38.04,357.6,70.7,265.8,267.9,264.1,275.6,278.4,293.5,272.6,327.2,445.4,484.8,211.8,200.1,288.1,129.7,239.6,157.4,85.7,142.6,258.7,74.5,123.5,243.0,254.0,238.0,247.4,258.8,340.3,288.3,347.6,310.4,356.0,354.7,1.43,1.24,1.64,49.3,0.0,0.00,0.00,0.00,0.00,,
150.0837761,12:47:39,38.17,38.99,38.04,38.06,38.03,38.04,38.04,38.02,38.02,38.02,38.02,38.06,38.04,38.25,38.03,38.03,38.03,38.08,38.01,36.74,38.05,38.03,36.74,38.03,38.01,38.00,38.01,38.00,38.04,38.04,38.03,38.03,38.03,38.03,363.0,61.0,264.8,267.3,265.5,275.3,274.3,293.1,271.2,323.7,447.4,483.2,212.0,202.4,287.9,127.8,237.6,156.5,89.8,135.1,260.0,71.8,117.6,241.5,260.3,238.7,245.9,261.0,350.1,289.7,350.6,311.0,353.8,353.8,1.47,1.26,1.68,49.3,0.0,0.00,0.00,0.00,0.00,,
180.0971388,12:48:09,38.16,38.89,38.02,38.03,38.02,38.02,38.02,38.01,38.00,38.01,37.99,38.02,38.02,38.20,38.03,38.02,38.01,38.06,38.02,36.67,38.00,38.01,36.66,38.03,38.01,38.01,38.00,38.01,38.03,38.02,38.00,38.01,38.03,38.02,359.7,54.5,265.6,268.1,266.6,276.9,276.1,293.8,273.3,326.3,449.0,488.6,210.5,202.5,286.1,129.5,238.9,157.8,87.6,131.1,259.5,73.7,114.0,241.5,256.5,243.4,246.3,260.0,342.0,290.6,350.7,312.2,356.1,355.3,1.49,1.27,1.71,49.2,0.0,0.00,0.00,0.00,0.00,,
210.1125018,12:48:39,38.13,38.78,38.01,38.02,38.00,38.02,37.99,38.00,37.99,38.00,38.00,37.97,38.02,38.17,38.03,38.02,37.99,38.06,38.00,36.57,38.01,38.01,36.58,38.01,38.01,38.01,38.02,38.01,37.98,38.01,38.01,38.01,38.01,38.00,359.2,51.5,267.0,270.1,269.2,277.1,279.7,294.7,277.2,327.9,450.2,499.3,212.8,203.5,286.8,128.9,243.3,155.0,86.3,129.7,260.5,72.7,111.3,242.4,258.4,239.8,246.0,260.0,348.5,291.2,350.7,310.6,359.6,360.1,1.49,1.26,1.72,49.0,0.0,0.00,0.00,0.00,0.00,,
240.1338574,12:49:09,38.10,38.67,38.01,38.01,38.01,38.01,37.99,38.00,37.98,38.00,37.99,37.98,38.02,38.14,38.01,38.00,38.00,38.05,38.00,36.50,38.00,38.01,36.49,38.01,38.01,38.01,38.00,38.00,37.98,38.01,38.03,38.00,37.98,38.01,360.6,49.4,266.9,270.1,266.1,278.5,278.6,295.8,277.5,327.6,452.0,499.9,211.8,204.8,289.6,130.0,242.5,154.6,86.1,126.6,261.3,73.2,110.0,243.4,255.8,240.1,247.7,261.4,350.6,290.6,351.4,313.8,362.4,358.4,1.49,1.26,1.72,49.1,0.0,0.00,0.00,0.00,0.00,,
270.1426847,12:49:39,38.05,38.59,38.01,38.01,38.03,38.01,38.02,38.01,38.01,38.00,38.00,38.02,38.01,38.11,38.01,38.03,38.01,38.05,38.01,36.45,38.01,38.02,36.41,38.01,38.00,38.01,37.99,37.99,37.98,38.02,37.98,38.00,38.03,38.01,365.8,47.8,267.5,270.5,264.8,277.8,277.0,295.0,272.7,327.1,450.0,491.3,212.4,205.8,288.8,130.8,240.7,154.8,89.1,125.0,259.7,72.8,110.9,244.3,253.9,240.4,244.4,261.5,346.6,291.5,352.8,311.1,361.8,355.8,1.50,1.27,1.73,49.0,0.0,0.00,0.00,0.00,0.00,,
